DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,8.16,8.41,8.15,8.30,2096400,0
20030501,8.30,8.38,8.27,8.32,1799200,0
20030502,8.32,8.50,8.30,8.32,2348800,0
20030505,8.36,8.39,8.19,8.25,2915600,0
20030506,8.27,8.28,8.14,8.18,1704000,0
20030507,8.18,8.31,8.09,8.26,3473200,0
20030508,8.22,8.32,8.18,8.23,1951600,0
20030509,8.28,8.32,8.19,8.24,1988000,0
20030512,8.22,8.35,8.19,8.28,1572000,0
20030513,8.25,8.47,8.21,8.43,2060000,0
20030514,8.45,8.53,8.40,8.49,1001200,0
20030515,8.54,8.56,8.43,8.46,1334400,0
20030516,8.46,8.48,8.36,8.42,1601200,0
20030519,8.44,8.52,8.34,8.47,3386400,0
20030520,8.51,8.65,8.50,8.59,4703600,0
20030521,8.63,9.07,8.61,9.07,7935600,0
20030522,9.13,9.16,9.03,9.05,2918000,0
20030523,9.01,9.10,8.99,9.08,2257600,0
20030527,9.06,9.24,9.05,9.17,932000,0
20030528,9.17,9.17,9.00,9.00,1581600,0
20030529,9.05,9.05,8.88,8.94,1754800,0
20030530,8.99,9.15,8.97,9.11,781200,0
20030602,9.22,9.40,9.22,9.31,1661600,0
20030603,9.32,9.42,9.18,9.42,1512400,0
20030604,9.48,9.63,9.32,9.51,2824800,0
20030605,9.51,9.53,9.41,9.52,1514000,0
20030606,9.52,9.59,9.45,9.47,2273600,0
20030609,9.46,9.50,9.42,9.45,1470000,0
20030610,9.45,9.55,9.45,9.53,1187200,0
20030611,9.56,9.96,9.53,9.94,2388000,0
20030612,10.19,10.19,9.59,9.65,2708800,0
20030613,9.45,9.65,9.34,9.47,2362400,0
20030616,9.47,9.50,9.34,9.41,2248000,0
20030617,9.47,9.51,9.41,9.43,2586800,0
20030618,9.42,9.45,9.35,9.35,2211600,0
20030619,9.35,9.55,9.18,9.46,2145600,0
20030620,9.52,9.53,9.36,9.47,8101200,0
20030623,9.47,9.54,9.39,9.46,1024800,0
20030624,9.45,9.52,9.44,9.46,707600,0
20030625,9.46,9.65,9.46,9.59,1300000,0
20030626,9.57,9.67,9.50,9.50,1851600,0
20030627,9.50,9.59,9.45,9.50,2043600,0
20030630,9.51,9.55,9.42,9.45,1469200,0
20030701,9.45,9.48,9.35,9.46,1294800,0
20030702,9.46,9.46,9.35,9.38,1484400,0
20030703,9.38,9.47,9.33,9.42,576000,0
20030707,9.44,9.45,9.24,9.26,1968400,0
20030708,9.26,9.26,9.06,9.10,3082800,0
20030709,9.07,9.25,9.07,9.23,1974000,0
20030710,9.23,9.23,9.00,9.07,1848000,0
20030711,9.08,9.25,9.07,9.20,622000,0
20030714,9.25,9.26,9.07,9.09,1562800,0
20030715,9.09,9.14,8.99,9.01,1654400,0
20030716,9.04,9.05,8.97,9.02,2340400,0
20030717,9.02,9.15,8.99,9.13,1417600,0
20030718,9.13,9.35,9.11,9.34,1462800,0
20030721,9.32,9.41,9.25,9.26,1416000,0
20030722,9.26,9.32,9.22,9.30,1212800,0
20030723,9.35,9.43,9.20,9.26,1050000,0
20030724,9.34,9.40,9.19,9.20,1131200,0
20030725,9.19,9.23,9.11,9.23,970800,0
20030728,9.25,9.28,9.06,9.23,2368400,0
20030729,9.22,9.26,9.09,9.10,1796000,0
20030730,9.11,9.16,9.05,9.14,1168000,0
20030731,9.14,9.24,9.10,9.13,1763600,0
20030801,9.14,9.14,8.96,9.06,1874000,0
20030804,9.06,9.06,8.90,8.96,2112000,0
20030805,8.96,9.03,8.84,8.84,1682400,0
20030806,8.89,9.06,8.88,9.03,1176000,0
20030807,9.05,9.30,9.05,9.30,1319200,0
20030808,9.32,9.35,9.22,9.29,896400,0
20030811,9.27,9.50,9.27,9.46,964000,0
20030812,9.46,9.61,9.43,9.61,1243600,0
20030813,9.61,9.71,9.57,9.65,1895200,0
20030814,9.68,9.71,9.49,9.59,1931200,0
20030815,9.59,9.68,9.57,9.63,322400,0
20030818,9.64,9.72,9.64,9.66,582400,0
20030819,9.66,9.68,9.59,9.61,878400,0
20030820,9.66,9.79,9.65,9.76,1172800,0
20030821,9.74,9.86,9.69,9.85,823200,0
20030822,9.92,9.92,9.76,9.82,1331600,0
20030825,9.84,9.88,9.71,9.74,1095600,0
20030826,9.74,9.74,9.50,9.59,1104400,0
20030827,9.61,9.70,9.60,9.68,1253600,0
20030828,9.70,9.87,9.65,9.85,1017200,0
20030829,9.84,9.93,9.80,9.90,735200,0
20030902,9.90,9.90,9.75,9.83,914000,0
20030903,9.83,9.91,9.79,9.90,1068400,0
20030904,9.92,9.95,9.86,9.93,978000,0
20030905,9.90,9.95,9.82,9.89,1196400,0
20030908,9.89,10.00,9.89,9.98,792800,0
20030909,9.99,9.99,9.78,9.80,1286400,0
20030910,9.80,9.82,9.70,9.75,1296000,0
20030911,9.77,9.83,9.65,9.74,540400,0
20030912,9.72,9.81,9.68,9.80,671200,0
20030915,9.77,9.80,9.69,9.71,1378400,0
20030916,9.91,9.97,9.80,9.84,2498000,0
