DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030425,20.77,20.82,20.50,20.70,2038600,0
20030428,20.58,20.82,20.19,20.31,3048600,0
20030429,20.06,20.41,19.48,19.84,4301000,0
20030430,19.84,19.98,19.60,19.60,5457600,0
20030501,19.60,19.86,19.48,19.57,2761000,0
20030502,19.58,19.75,19.35,19.60,3716400,0
20030505,19.65,19.73,19.40,19.61,3465600,0
20030506,19.45,19.57,19.15,19.15,3980600,0
20030507,19.00,19.99,18.82,19.89,7082800,0
20030508,19.75,20.41,19.63,20.35,3452600,0
20030509,20.35,20.73,20.07,20.69,2885800,0
20030512,20.60,20.95,20.50,20.73,3324600,0
20030513,20.67,21.17,20.50,20.98,3310600,0
20030514,20.95,21.38,20.81,21.11,3634600,0
20030515,21.00,21.25,20.81,21.25,2905200,0
20030516,21.63,21.77,21.25,21.77,3961600,0
20030519,21.70,21.77,21.43,21.48,2608000,0
20030520,21.45,21.51,20.73,20.89,4535200,0
20030521,20.88,22.02,20.85,21.81,3796000,0
20030522,21.88,22.28,21.78,21.98,3579600,0
20030523,22.10,22.37,21.84,22.17,2178200,0
20030527,22.15,22.84,22.10,22.70,3913400,0
20030528,22.60,22.85,22.01,22.07,2318800,0
20030529,22.13,22.13,21.75,21.89,2275800,0
20030530,22.50,22.70,21.88,22.54,2184200,0
20030602,22.63,22.75,22.15,22.32,2572600,0
20030603,22.54,22.54,21.48,21.75,11671600,0
20030604,21.75,21.98,21.60,21.67,6601200,0
20030605,21.57,21.76,21.45,21.76,4579000,0
20030606,21.76,21.90,21.49,21.52,3836600,0
20030609,21.50,21.66,21.15,21.65,3205400,0
20030610,21.75,21.93,21.61,21.80,2983600,0
20030611,21.88,22.75,21.73,22.75,4115600,0
20030612,22.73,22.92,21.64,21.70,5738400,0
20030613,21.26,21.70,20.63,20.67,6453000,0
20030616,20.67,20.80,20.07,20.32,5767400,0
20030617,20.32,20.32,20.06,20.11,7741600,0
20030618,20.11,20.40,19.86,20.32,4320400,0
20030619,20.27,21.00,20.15,20.85,5754200,0
20030620,21.10,21.15,20.70,20.81,4337800,0
20030623,20.81,20.92,20.13,20.27,3246600,0
20030624,20.39,20.62,20.23,20.26,2183600,0
20030625,20.46,20.79,20.30,20.65,3196600,0
20030626,20.60,20.95,19.88,20.07,4449200,0
20030627,20.15,20.28,19.97,20.17,3175800,0
20030630,20.17,20.25,19.77,19.77,1847600,0
20030701,19.75,19.76,19.43,19.65,3522000,0
20030702,19.73,19.80,19.30,19.58,3590400,0
20030703,19.58,20.03,19.40,19.96,2579600,0
20030707,19.96,20.07,19.31,19.35,5500600,0
20030708,19.35,19.37,19.00,19.20,5976400,0
20030709,19.25,19.77,19.25,19.55,3219000,0
20030710,19.55,19.64,18.85,18.95,5471600,0
20030711,18.98,19.05,18.63,18.88,4122800,0
20030714,18.88,19.02,18.40,18.45,3033200,0
20030715,18.48,18.70,18.07,18.07,4550600,0
20030716,18.20,18.24,17.60,17.63,5105600,0
20030717,17.55,18.35,17.47,18.17,5202600,0
20030718,18.17,19.60,18.16,19.40,8863800,0
20030721,19.82,19.84,19.10,19.19,3841800,0
20030722,19.35,19.39,18.73,18.75,4049800,0
20030723,19.00,19.13,18.10,18.54,4302200,0
20030724,18.57,18.91,17.92,17.92,4236200,0
20030725,17.80,18.24,17.80,17.98,5270200,0
20030728,17.67,18.02,17.38,17.38,6683200,0
20030729,17.63,17.63,17.01,17.10,7669000,0
20030730,17.20,17.70,16.93,17.57,5983600,0
20030731,17.88,18.08,17.65,17.90,4866400,0
20030801,17.54,18.02,17.54,17.98,3384600,0
20030804,17.95,17.96,17.48,17.50,2386000,0
20030805,17.50,17.76,17.41,17.45,2477600,0
20030806,17.45,17.81,17.45,17.68,3277600,0
20030807,17.85,18.67,17.70,18.67,4716400,0
20030808,18.67,19.00,18.52,18.81,4597400,0
20030811,18.80,19.05,18.73,18.94,2715200,0
20030812,18.94,19.03,18.65,18.89,3142800,0
20030813,18.89,19.02,18.68,18.95,1910200,0
20030814,18.88,19.05,18.25,18.50,7061800,0
20030815,18.50,18.50,18.25,18.50,377400,0
20030818,18.48,18.79,18.48,18.75,2164400,0
20030819,18.91,19.57,18.90,19.53,6980200,0
20030820,19.63,19.77,19.40,19.75,4371000,0
20030821,19.82,19.95,19.65,19.95,3039800,0
20030822,19.95,19.95,19.61,19.70,2778200,0
20030825,19.70,19.76,19.56,19.62,3183600,0
20030826,19.52,19.85,19.45,19.85,2251800,0
20030827,19.85,19.98,19.45,19.45,2420200,0
20030828,19.45,20.25,19.34,20.22,3561000,0
20030829,20.22,20.22,19.88,20.07,1531400,0
20030902,20.07,20.07,19.52,19.72,2847800,0
20030903,19.73,20.00,19.71,19.95,4045600,0
20030904,19.98,20.10,19.58,19.71,2571200,0
20030905,19.67,19.96,19.56,19.77,3161200,0
20030908,19.85,19.98,19.79,19.90,1855400,0
20030909,19.90,19.90,19.16,19.16,4907400,0
20030910,19.16,19.20,18.67,18.72,5158200,0
20030911,18.65,18.82,18.52,18.56,3356200,0
20030912,18.48,18.81,18.39,18.81,5449000,0
20030915,18.85,18.99,18.67,18.67,1694000,0
20030916,18.67,18.81,18.50,18.53,2782400,0
20030917,18.40,18.60,18.00,18.00,3908400,0
20030918,18.00,18.40,17.83,18.39,3871400,0
20030919,18.55,18.55,18.36,18.45,3315000,0
20030922,18.50,18.66,18.25,18.50,2039200,0
20030923,18.48,18.58,18.32,18.48,2451600,0
20030924,18.73,19.10,18.70,18.94,3620400,0
20030925,18.88,19.13,18.82,18.90,3106000,0
20030926,18.85,18.88,18.35,18.51,3690400,0
20030929,18.45,18.78,18.42,18.78,2274200,0
20030930,18.78,19.00,18.56,18.63,2739600,0
20031001,18.60,19.07,18.60,19.04,3161800,0
20031002,19.04,19.27,18.85,19.27,2017200,0
20031003,19.25,19.53,19.00,19.45,2401800,0
20031006,19.50,19.72,19.44,19.64,2700200,0
20031007,19.64,19.64,19.18,19.50,1887200,0
20031008,19.35,19.75,19.35,19.44,1921600,0
20031009,19.44,19.51,18.99,19.51,2738600,0
20031010,19.53,19.77,19.48,19.55,3028000,0
20031013,19.40,19.57,19.32,19.34,1638800,0
20031014,19.23,19.24,18.72,18.72,4478200,0
20031015,18.70,18.70,18.23,18.38,3699800,0
20031016,18.38,18.57,18.16,18.41,5471600,0
20031017,18.42,18.59,18.39,18.43,2919000,0
20031020,18.50,18.60,18.10,18.42,2822000,0
20031021,18.45,18.84,18.43,18.70,3520000,0
20031022,18.55,18.63,18.40,18.50,3238400,0
20031023,18.50,18.50,18.25,18.31,3510400,0
20031024,18.32,18.32,18.12,18.15,4073600,0
20031027,18.23,18.38,18.00,18.02,2015600,0
20031028,18.05,18.47,17.90,18.47,3178800,0
20031029,18.47,18.76,18.47,18.55,3248400,0
