DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,13.42,13.59,13.42,13.52,5171200,0
20030501,13.55,13.73,13.42,13.55,2362400,0
20030502,13.52,13.73,13.48,13.64,2998200,0
20030505,13.64,13.70,13.47,13.65,4317800,0
20030506,13.69,13.87,13.65,13.69,2097600,0
20030507,13.69,14.25,13.52,14.21,4308000,0
20030508,14.18,14.57,14.04,14.48,4676000,0
20030509,14.60,14.77,14.23,14.77,2999600,0
20030512,14.76,15.07,14.57,14.87,3847800,0
20030513,14.87,15.32,14.79,15.25,3726600,0
20030514,15.28,15.33,15.03,15.19,3361400,0
20030515,15.19,15.26,14.92,15.15,2349600,0
20030516,15.15,15.65,15.10,15.65,4598000,0
20030519,15.55,15.56,15.08,15.08,2866200,0
20030520,15.11,15.18,14.76,14.91,2775800,0
20030521,14.90,15.79,14.77,15.62,3166800,0
20030522,15.62,15.69,15.27,15.29,3069600,0
20030523,15.29,15.42,15.13,15.37,3216400,0
20030527,15.37,15.62,15.25,15.54,2571600,0
20030528,15.54,15.61,15.09,15.24,2130200,0
20030529,15.21,15.33,15.00,15.11,2435800,0
20030530,15.11,15.73,14.97,15.58,3365800,0
20030602,15.59,15.74,15.39,15.42,2023000,0
20030603,15.42,15.42,15.14,15.42,2644600,0
20030604,15.48,15.73,15.32,15.41,3341000,0
20030605,15.41,15.41,15.09,15.27,2561800,0
20030606,15.29,15.50,15.04,15.13,3459400,0
20030609,15.43,15.43,14.89,15.33,2536000,0
20030610,15.33,15.62,15.32,15.52,3355600,0
20030611,15.57,16.42,15.40,16.33,4687000,0
20030612,16.33,16.51,15.93,16.08,3354800,0
20030613,16.08,16.08,15.53,15.61,3406200,0
20030616,16.02,16.02,15.18,15.41,3014800,0
20030617,15.41,15.59,15.07,15.12,3059000,0
20030618,15.12,15.30,14.77,15.01,4380600,0
20030619,15.01,15.39,14.87,15.18,4133000,0
20030620,15.33,15.45,15.13,15.29,3911600,0
20030623,15.29,15.41,14.95,15.16,2966400,0
20030624,15.16,15.40,15.13,15.16,2780600,0
20030625,15.16,15.70,15.16,15.44,2945400,0
20030626,15.44,15.58,14.90,14.98,3566200,0
20030627,14.98,15.22,14.98,15.05,2423600,0
20030630,15.05,15.32,14.91,14.98,3272600,0
20030701,14.98,14.98,14.66,14.83,3842800,0
20030702,14.83,15.15,14.57,14.97,3140800,0
20030703,14.97,15.16,14.76,14.98,2119400,0
20030707,14.87,14.94,14.44,14.46,3646400,0
20030708,14.46,14.62,14.14,14.54,3272200,0
20030709,14.48,14.95,14.48,14.83,3422000,0
20030710,14.87,14.92,14.35,14.55,5004000,0
20030711,14.74,14.74,14.33,14.49,2387600,0
20030714,14.49,14.70,14.33,14.35,2044600,0
20030715,14.35,14.57,14.18,14.38,2747400,0
20030716,14.38,14.53,14.22,14.37,2908000,0
20030717,14.37,14.85,14.00,14.59,4788000,0
20030718,14.59,15.42,14.34,15.23,5747000,0
20030721,15.29,15.44,15.03,15.22,3663200,0
20030722,15.22,15.31,14.85,14.93,3577000,0
20030723,15.09,15.24,14.46,14.82,2857000,0
20030724,14.92,15.08,14.37,14.37,3029400,0
20030725,14.37,14.57,14.23,14.40,2852400,0
20030728,14.26,14.56,14.24,14.47,2860400,0
20030729,14.47,14.50,14.04,14.05,2542000,0
20030730,14.05,14.31,13.96,14.22,2491200,0
20030731,14.28,14.72,14.18,14.36,2499000,0
20030801,14.23,14.50,14.07,14.42,2372200,0
20030804,14.39,14.40,13.96,14.01,2766400,0
20030805,14.11,14.19,13.98,13.98,2512200,0
20030806,13.98,14.54,13.70,14.50,3451800,0
20030807,14.50,15.28,14.20,15.27,4924600,0
20030808,15.27,15.29,14.92,15.10,2347600,0
20030811,15.14,15.38,15.07,15.34,2430000,0
20030812,15.34,15.44,15.08,15.42,1622400,0
20030813,15.41,15.46,15.18,15.35,2048600,0
20030814,15.36,15.48,15.18,15.37,3675800,0
20030815,15.48,15.48,15.25,15.25,1178800,0
20030818,15.31,15.45,15.29,15.38,1614400,0
20030819,15.68,15.68,15.10,15.32,2162000,0
20030820,15.32,15.60,14.99,15.51,2558800,0
20030821,15.58,15.62,15.42,15.59,3721600,0
20030822,15.61,15.61,15.30,15.32,1987000,0
20030825,15.29,15.45,14.99,15.32,1870000,0
20030826,15.32,15.32,15.01,15.25,1686200,0
20030827,15.27,15.55,15.15,15.17,1846000,0
20030828,15.18,15.81,15.07,15.80,2627000,0
20030829,15.86,15.87,15.48,15.80,2563200,0
20030902,15.80,15.94,15.48,15.91,3117200,0
20030903,15.93,15.99,15.72,15.85,2176800,0
20030904,15.85,15.88,15.53,15.53,3224800,0
20030905,15.53,15.67,15.41,15.46,3164200,0
20030908,15.51,15.75,15.44,15.68,1519200,0
20030909,15.68,15.68,15.29,15.29,1797000,0
20030910,15.29,15.33,15.07,15.16,2900600,0
20030911,15.18,15.29,14.99,15.12,2042000,0
20030912,15.07,15.11,14.86,15.09,2595800,0
20030915,15.09,15.14,14.74,14.74,3708200,0
20030916,14.76,14.83,14.59,14.67,2802000,0
20030917,14.57,14.69,14.31,14.31,3221400,0
20030918,14.37,14.45,14.09,14.38,7626000,0
20030919,14.38,14.55,14.20,14.52,4767200,0
20030922,14.42,14.59,14.27,14.41,3702600,0
20030923,14.43,14.52,14.28,14.34,2491000,0
20030924,14.59,14.93,14.55,14.84,5564400,0
20030925,14.74,14.92,14.73,14.81,4815800,0
20030926,14.75,14.79,14.45,14.53,3073400,0
20030929,14.53,14.85,14.51,14.73,2922000,0
20030930,14.73,15.10,14.63,14.85,3242200,0
20031001,14.90,15.15,14.76,15.13,2344200,0
20031002,15.08,15.18,14.88,15.10,2315600,0
20031003,15.17,15.35,15.03,15.22,2469800,0
20031006,15.22,15.51,15.19,15.38,1968400,0
20031007,15.38,15.49,15.02,15.33,2395400,0
20031008,15.33,15.50,15.22,15.29,1926400,0
20031009,15.28,15.35,15.10,15.18,2474600,0
20031010,15.18,15.38,15.12,15.26,1838800,0
20031013,15.26,15.28,15.01,15.07,1903600,0
20031014,15.01,15.05,14.76,14.79,4120800,0
20031015,14.79,14.79,14.32,14.41,4829600,0
20031016,14.47,14.66,14.44,14.52,2422600,0
20031017,14.48,14.55,14.41,14.48,2835600,0
20031020,14.48,14.52,14.31,14.38,2800400,0
20031021,14.35,14.96,14.35,14.91,4036800,0
20031022,14.91,14.93,14.33,14.85,3047000,0
20031023,14.85,15.01,14.75,14.94,4616000,0
20031024,14.90,14.92,14.68,14.77,1760000,0
20031027,14.79,14.89,14.62,14.74,1733000,0
20031028,14.74,14.90,14.52,14.90,2124400,0
20031029,14.90,15.07,14.73,14.79,1971800,0
20031030,14.79,14.86,14.54,14.79,1891000,0
20031031,14.78,15.11,14.70,15.00,2385800,0
20031103,15.05,15.05,14.65,14.69,1960786,0
20031104,14.69,14.74,14.52,14.70,2813954,0
20031105,14.63,14.90,14.59,14.83,1940800,0
20031106,14.85,14.98,14.70,14.90,1795800,0
20031107,14.90,15.04,14.81,14.93,1499200,0
20031110,14.88,15.02,14.70,14.84,1787000,0
20031111,14.80,14.88,14.69,14.76,2544600,0
20031112,14.74,14.82,14.70,14.76,1590400,0
20031113,14.85,15.22,14.85,15.17,3644000,0
20031114,15.12,15.42,15.10,15.35,2963200,0
20031117,15.35,15.35,15.03,15.07,2052200,0
20031118,15.10,15.10,14.66,14.95,1814000,0
20031119,14.95,14.95,14.77,14.83,1905800,0
20031120,14.83,15.05,14.78,14.81,1895000,0
20031121,14.85,14.86,14.54,14.71,2167400,0
20031124,14.71,14.80,14.59,14.73,2175200,0
20031125,14.69,15.04,14.67,14.94,2128200,0
20031126,14.94,15.16,14.85,15.12,2203200,0
20031128,15.08,15.15,15.03,15.11,553600,0
20031201,15.09,15.27,14.99,15.11,2002200,0
20031202,15.14,15.26,15.07,15.13,3143600,0
20031203,15.14,15.15,14.86,14.97,1929200,0
20031204,14.94,15.65,14.90,15.46,3462000,0
20031205,15.59,15.80,15.47,15.77,3168200,0
20031208,15.77,16.13,15.73,16.06,4152600,0
20031209,16.06,16.29,16.01,16.15,4060600,0
20031210,16.21,16.36,16.03,16.19,3917200,0
20031211,16.18,16.21,15.86,15.87,3497600,0
20031212,15.91,16.28,15.86,16.22,3277000,0
20031215,16.22,16.27,15.94,16.00,2104800,0
20031216,15.99,16.25,15.85,15.97,4408600,0
20031217,15.90,15.90,15.38,15.49,8408600,0
20031218,15.49,15.93,15.49,15.88,7860600,0
20031219,15.88,16.04,15.72,15.90,3534000,0
20031222,15.84,16.08,15.73,15.79,2562400,0
20031223,15.79,15.79,15.39,15.46,2307400,0
20031224,15.49,15.68,15.46,15.60,1192600,0
20031226,15.66,15.70,15.50,15.59,660800,0
20031229,15.60,15.78,15.49,15.67,1981800,0
20031230,15.70,15.91,15.62,15.78,2218000,0
20031231,15.73,15.87,15.52,15.63,2212000,0
20040102,15.67,15.79,15.35,15.56,1768200,0
20040105,15.44,15.84,15.38,15.68,3463000,0
20040106,15.73,15.91,15.59,15.65,3537400,0
