DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.44,35.47,34.25,35.13,15044,0
20010103,35.25,35.81,33.50,33.56,13348,0
20010104,33.63,33.69,30.88,31.56,26418,0
20010105,31.69,32.28,31.44,31.69,18656,0
20010108,31.94,32.19,31.44,31.84,14266,0
20010109,31.84,31.97,31.44,31.59,9774,0
20010110,31.53,31.91,31.13,31.19,21020,0
20010111,31.44,31.47,28.50,28.72,22110,0
20010112,28.91,29.56,28.09,29.19,0,0
20010115,29.19,29.19,29.19,29.19,0,0
20010116,28.56,29.22,27.41,29.00,31610,0
20010117,29.06,29.81,28.84,29.81,18498,0
20010118,29.69,30.31,29.50,29.97,52122,0
20010119,29.97,30.19,29.13,29.47,19756,0
20010122,29.47,29.47,29.47,29.47,0,0
20010123,30.50,31.28,29.97,30.06,25430,0
20010124,30.38,30.50,30.09,30.19,252610,0
20010125,30.31,30.66,30.06,30.34,14322,0
20010126,30.34,30.53,29.34,30.00,47390,0
20010129,31.14,31.53,30.00,30.91,13303200,0
20010130,30.23,31.05,29.73,30.67,20523600,0
20010131,29.55,29.55,28.85,29.00,16256200,0
20010201,29.08,29.13,28.10,28.69,6879200,0
20010202,29.08,29.37,29.06,29.16,1326200,0
20010205,29.28,29.80,29.15,29.25,1363200,0
20010206,29.25,29.95,29.25,29.74,1464400,0
20010207,29.75,30.40,29.75,29.97,1909800,0
20010208,29.97,30.58,29.97,30.50,1266000,0
20010209,30.40,31.23,30.20,31.10,1068200,0
20010212,31.23,31.70,30.42,30.86,1824800,0
20010213,30.86,31.25,30.45,30.90,748000,0
20010214,31.02,31.23,30.59,30.90,11778400,0
20010215,30.95,30.98,30.60,30.90,1445400,0
20010216,31.10,31.65,31.10,31.59,1385400,0
20010219,31.59,31.59,31.59,31.59,0,0
20010220,31.48,32.45,31.48,32.28,2219600,0
20010221,32.10,32.90,32.10,32.45,2670800,0
20010222,32.53,32.60,31.80,32.27,2033800,0
20010223,32.55,32.60,31.39,32.06,2246000,0
20010226,32.19,32.47,32.01,32.10,1666600,0
20010227,32.23,33.01,32.21,33.01,3033200,0
20010228,32.95,32.96,32.23,32.53,1799200,0
20010301,32.63,32.87,32.40,32.67,1468000,0
20010302,32.67,32.85,32.22,32.67,1454200,0
20010305,32.80,32.99,32.35,32.62,6514800,0
20010306,32.53,32.63,32.35,32.47,664400,0
20010307,32.40,32.75,32.17,32.50,1578000,0
20010308,32.53,32.79,32.15,32.70,1956200,0
20010309,32.72,32.85,32.33,32.78,1413600,0
20010312,32.90,33.06,32.41,32.50,1533800,0
20010313,32.85,32.92,32.25,32.25,2049600,0
