DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20020604,1.1214,1.1393,1.1107,1.1179,3087000,0
20020605,1.1107,1.1593,1.1071,1.1471,1246000,0
20020606,1.1500,1.2321,1.1487,1.1821,2290400,0
20020607,1.1779,1.1779,1.1036,1.1186,915600,0
20020610,1.1350,1.1750,1.1349,1.1565,484400,0
20020611,1.1565,1.1871,1.1286,1.1536,7434,0
20020612,1.1536,1.1821,1.0894,1.0929,1415400,0
20020613,1.1043,1.1221,1.0800,1.0829,2567600,0
20020614,1.0822,1.0850,0.9800,0.9864,4779600,0
20020617,1.0136,1.0586,0.9179,0.9221,4838400,0
20020618,0.9386,0.9393,0.8393,0.9107,10808000,0
20020619,0.9107,0.9964,0.8929,0.9514,5482400,0
20020620,0.9714,1.0400,0.9500,0.9571,6111000,0
20020621,0.9821,0.9893,0.9500,0.9793,2346400,0
20020624,0.9793,1.0100,0.9571,0.9714,2563400,0
20020625,0.9886,1.0071,0.9471,0.9643,58571800,0
20020626,0.9636,0.9964,0.9214,0.9886,2920400,0
20020627,1.0093,1.0186,0.9435,0.9436,3817800,0
20020628,0.9607,1.0121,0.9607,0.9993,7823200,0
20020701,1.0000,1.0464,0.9929,1.0279,4499600,0
20020702,1.0536,1.1943,1.0400,1.1729,9020200,0
20020703,1.1786,1.2143,1.1179,1.2143,4956000,0
20020704,1.2143,1.2143,1.2143,1.2143,0,0
20020705,1.2143,1.2993,1.2136,1.2764,2003400,0
20020708,1.2521,1.2521,1.1679,1.1757,1946000,0
20020709,1.1793,1.1964,1.1143,1.1607,2935800,0
20020710,1.1614,1.1786,1.1322,1.1636,1554000,0
20020711,1.1571,1.2786,1.1329,1.2693,2529800,0
20020712,1.2786,1.2800,1.2071,1.2079,893200,0
20020715,1.2429,1.2429,1.0764,1.1429,4219600,0
20020716,1.1457,1.1571,1.1043,1.1264,1936200,0
20020717,1.1529,1.1636,1.0757,1.0893,1150800,0
20020718,1.1171,1.1664,1.1107,1.1493,2899400,0
20020719,1.1529,1.1607,1.1221,1.1600,1792000,0
20020722,1.1421,1.1793,1.1157,1.1707,1993600,0
20020723,1.1764,1.2136,1.1307,1.1707,1681400,0
20020724,1.1464,1.1464,1.0743,1.1143,3315200,0
20020725,1.1257,1.1279,1.0357,1.0364,4755800,0
20020726,1.0500,1.0586,0.8500,0.8714,7047600,0
20020729,0.8964,0.9243,0.8507,0.8764,3248000,0
20020730,0.8957,0.9429,0.8957,0.9144,3775800,0
20020731,0.9286,0.9593,0.9057,0.9536,3330600,0
20020801,0.9600,0.9600,0.8779,0.8914,4529000,0
20020802,0.8864,0.8864,0.7071,0.7779,6652800,0
20020805,0.7786,0.8129,0.7607,0.7750,3808000,0
20020806,0.7957,0.8036,0.7429,0.7607,2517200,0
20020807,0.7614,0.7936,0.7429,0.7936,2758000,0
20020808,0.7964,0.8036,0.7507,0.7964,2283400,0
20020809,0.8000,0.8214,0.7821,0.7979,1500800,0
20020812,0.7971,0.8071,0.7536,0.7571,2130800,0
20020813,0.7679,0.8050,0.7636,0.7729,1677200,0
20020814,0.7764,0.8336,0.7714,0.8336,4004000,0
20020815,0.8371,0.9107,0.8329,0.8857,3246600,0
20020816,0.8929,0.9243,0.8571,0.9129,1275400,0
20020819,0.9250,0.9843,0.9179,0.9821,2074800,0
20020820,0.9850,0.9936,0.9215,0.9464,2528400,0
20020821,0.9535,0.9693,0.9186,0.9686,2744000,0
20020822,0.9736,0.9993,0.9293,0.9836,2163000,0
20020823,0.9836,0.9964,0.9679,0.9936,2339400,0
20020826,0.9964,0.9964,0.9379,0.9679,2644600,0
20020827,0.9679,0.9679,0.8579,0.8736,4984000,0
20020828,0.8614,0.8900,0.8250,0.8643,2203600,0
20020829,0.8321,0.9221,0.8243,0.9036,2395400,0
20020830,0.9143,0.9629,0.8943,0.9357,2112600,0
20020902,0.9357,0.9357,0.9357,0.9357,0,0
20020903,0.9635,0.9635,0.9136,0.9256,1597400,0
20020904,0.9257,0.9456,0.9079,0.9286,256200,0
20020905,0.9179,0.9357,0.9107,0.9179,285600,0
20020906,0.9286,0.9357,0.9107,0.9143,758800,0
20020909,0.9193,0.9214,0.8929,0.9014,1419600,0
20020910,0.9007,0.9500,0.8900,0.9450,3347400,0
20020911,0.9386,0.9764,0.9386,0.9614,1629600,0
20020912,0.9671,0.9671,0.9143,0.9251,1943200,0
20020913,0.9214,0.9271,0.8643,0.8786,2359000,0
20020916,0.8921,0.8921,0.8529,0.8571,3512600,0
20020917,0.8642,0.8643,0.8250,0.8557,2867200,0
20020918,0.8221,0.8414,0.7850,0.7879,1521800,0
20020919,0.7850,0.7857,0.7179,0.7243,4961600,0
20020920,0.7536,0.7671,0.7000,0.7036,3397800,0
20020923,0.7179,0.7307,0.7058,0.7115,4827200,0
20020924,0.7121,0.7243,0.6893,0.7179,3728200,0
20020925,0.7250,0.7500,0.7079,0.7321,1443400,0
20020926,0.7429,0.7834,0.7300,0.7834,4165000,0
20020927,0.7821,0.7821,0.7123,0.7200,5110000,0
20020930,0.7071,0.7179,0.6893,0.6929,4193000,0
20021001,0.7099,0.7099,0.6614,0.6786,3848600,0
20021002,0.6886,0.6886,0.5607,0.5786,9315600,0
20021003,0.5693,0.5693,0.4893,0.5179,9766400,0
20021004,0.5179,0.5314,0.4500,0.4688,8433600,0
20021007,0.4500,0.4500,0.3829,0.4121,15239000,0
20021008,0.4079,0.4279,0.3907,0.4050,4533200,0
20021009,0.4100,0.4107,0.3471,0.3750,5975200,0
20021010,0.3779,0.5250,0.3464,0.5064,1358000000,0
20021011,0.5086,0.5264,0.4464,0.4707,13266400,0
20021014,0.4636,0.5350,0.4636,0.5343,5248600,0
20021015,0.5429,0.5857,0.5421,0.5500,4113200,0
20021016,0.5321,0.5321,0.4429,0.4593,5804400,0
20021017,0.4721,0.5857,0.4721,0.5500,7217000,0
20021018,0.6043,0.7321,0.5936,0.6829,24868200,0
20021021,0.6386,0.6643,0.6086,0.6364,9688000,0
20021022,0.6357,0.6393,0.6179,0.6256,4265800,0
20021023,0.6250,0.6250,0.5857,0.5893,3543400,0
20021024,0.5858,0.5879,0.5536,0.5793,2433200,0
20021025,0.5807,0.6850,0.5679,0.6429,6448400,0
20021028,0.6757,0.7071,0.6500,0.6857,5651800,0
20021029,0.6750,0.6786,0.6329,0.6571,2004800,0
20021030,0.6636,0.6657,0.6357,0.6414,1352400,0
20021031,0.6364,0.6429,0.6286,0.6408,1657600,0
20021101,0.6286,0.6429,0.6071,0.6236,210000000,0
20021104,0.6429,0.7029,0.6393,0.6714,3589600,0
20021105,0.6721,0.6743,0.6507,0.6514,1047200,0
20021106,0.6643,0.6643,0.6143,0.6393,7028000,0
20021107,0.6293,0.6379,0.5929,0.5929,2585800,0
20021108,0.6050,0.6129,0.5536,0.6107,5147800,0
20021111,0.6071,0.6071,0.5857,0.6007,303800,0
20021112,0.6000,0.6143,0.5729,0.5779,2189600,0
20021113,0.5857,0.6429,0.5557,0.6414,3197600,0
20021114,0.6429,0.6450,0.6186,0.6186,932400,0
20021115,0.6371,0.6536,0.5893,0.6500,1517600,0
20021118,0.6493,0.7807,0.6286,0.7786,11873400,0
20021119,0.7200,0.7207,0.6236,0.6643,28197400,0
20021120,0.6750,0.7279,0.6607,0.7171,10088400,0
20021121,0.7179,0.7857,0.7179,0.7857,10518200,0
20021122,0.7579,0.8000,0.7521,0.7871,4494000,0
20021125,0.7929,0.7964,0.7536,0.7929,4769800,0
20021126,0.7714,0.7857,0.7486,0.7493,1772400,0
20021127,0.7614,0.7643,0.7471,0.7515,1069600,0
20021128,0.7515,0.7515,0.7515,0.7515,0,0
20021129,0.7500,0.7893,0.7429,0.7714,931000,0
20021202,0.7429,0.7929,0.7271,0.7614,2010400,0
20021203,0.7500,0.7893,0.7393,0.7707,14645400,0
20021204,0.7429,0.7500,0.6964,0.7106,15321600,0
20021205,0.8571,0.8586,0.7700,0.7857,4629800,0
20021206,0.7750,0.7979,0.7393,0.7822,2301600,0
20021207,0.7979,0.7979,0.7979,0.7979,7000,0
20021208,0.8429,0.8643,0.7436,0.8536,24862600,0
20021209,0.7957,0.8000,0.7636,0.7993,113670200,0
20021210,0.8000,0.8729,0.7993,0.8729,15881600,0
20021211,0.8407,0.9286,0.8407,0.8971,2686600,0
20021212,0.8929,0.9143,0.8857,0.8986,29377600,0
20021213,0.9000,0.9143,0.8607,0.8929,877800,0
20021216,0.8986,0.9279,0.8679,0.9171,2098600,0
20021217,0.9271,0.9271,0.8929,0.9064,14800800,0
20021218,0.8929,0.8929,0.7636,0.7856,12573400,0
20021219,0.7900,0.7900,0.7586,0.7714,2777600,0
20021220,0.7643,0.7700,0.7286,0.7643,17736600,0
20021223,0.7386,0.7607,0.7286,0.7321,16769200,0
20021224,0.7286,0.7321,0.6993,0.7071,3389400,0
20021226,0.7021,0.7143,0.6850,0.6964,1611400,0
20021227,0.6929,0.7086,0.6857,0.6907,2741200,0
20021230,0.6857,0.7143,0.6857,0.7136,3724000,0
20021231,0.7129,0.8001,0.6929,0.7864,105294000,0
20030102,0.8464,0.9000,0.8107,0.8179,18944800,0
20030103,0.8500,0.8500,0.7714,0.7729,1618400,0
20030106,0.7750,0.7993,0.7621,0.7929,28862400,0
20030107,0.7957,0.7957,0.7750,0.7836,14778400,0
20030108,0.7693,0.8571,0.7621,0.8150,32295200,0
20030109,0.8250,0.8457,0.8093,0.8386,3427200,0
20030110,0.8350,0.9050,0.8321,0.8868,2347800,0
20030113,0.8593,0.8829,0.8550,0.8671,43255800,0
20030114,0.8736,0.8821,0.8364,0.8600,1471400,0
20030115,0.8500,0.8821,0.8500,0.8714,87602200,0
