DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.63,23.88,22.88,22.91,0,0
20010103,22.91,22.91,21.59,22.06,24212,0
20010104,22.06,22.47,20.25,20.25,0,0
20010105,20.38,21.13,20.31,20.50,15920,0
20010108,20.63,21.34,20.50,21.22,0,0
20010109,21.34,21.72,20.94,21.38,0,0
20010110,21.28,21.63,21.19,21.50,5346,0
20010111,21.63,21.81,21.41,21.78,6064,0
20010112,21.63,21.72,21.38,21.53,0,0
20010115,21.53,21.53,21.53,21.53,0,0
20010116,21.53,21.53,20.88,20.88,23416,0
20010117,20.88,20.88,18.81,19.09,0,0
20010118,19.22,19.28,17.19,17.72,126186,0
20010119,17.81,18.22,17.38,17.84,11738,0
20010122,17.84,17.84,17.84,17.84,0,0
20010123,17.84,17.94,17.75,17.88,16178,0
20010124,17.88,18.25,17.78,18.06,0,0
20010125,18.25,18.59,18.25,18.50,11242,0
20010126,18.63,18.72,17.78,17.84,9442,0
20010129,18.03,18.98,17.93,18.28,742000,0
20010130,17.00,18.41,17.00,17.61,745600,0
20010131,17.25,17.27,16.25,16.74,5853000,0
20010201,16.75,16.98,16.47,16.98,0,0
20010202,16.85,18.00,16.85,17.98,930800,0
20010205,18.10,18.55,18.00,18.02,1026800,0
20010206,18.24,18.65,18.00,18.46,617000,0
20010207,18.46,19.07,18.46,18.65,533400,0
20010208,18.65,19.02,18.60,18.73,418600,0
20010209,18.65,19.38,18.65,19.26,484600,0
20010212,19.50,19.50,18.88,19.24,522800,0
20010213,19.17,19.80,19.17,19.64,413400,0
20010214,19.75,19.85,19.25,19.25,0,0
20010215,18.86,18.86,18.00,18.35,1558400,0
20010216,18.50,18.98,18.50,18.63,728600,0
20010219,18.63,18.63,18.63,18.63,0,0
20010220,18.64,18.75,18.20,18.57,4277200,0
20010221,18.63,18.87,18.25,18.27,575600,0
20010222,18.33,18.55,17.80,17.98,1049200,0
20010223,17.80,18.27,17.08,17.85,773800,0
20010226,17.73,17.85,17.50,17.85,8111200,0
20010227,17.73,17.84,17.40,17.76,718400,0
20010228,17.77,17.77,17.05,17.51,6666000,0
20010301,17.63,17.75,17.42,17.58,345400,0
20010302,16.95,17.80,16.95,17.65,1062400,0
20010305,17.70,18.79,17.70,18.23,678600,0
20010306,18.30,18.50,18.02,18.20,6313200,0
20010307,18.73,20.10,18.65,19.58,1559200,0
20010308,20.30,20.88,20.10,20.15,1050800,0
20010309,20.15,20.25,19.50,19.59,550600,0
20010312,19.50,19.55,18.75,19.15,394800,0
20010313,19.13,19.13,18.49,18.52,239400,0
20010314,17.92,18.51,17.92,18.20,62000000,0
20010315,18.15,18.40,17.50,17.85,14804600,0
20010316,17.81,18.25,17.77,18.02,556600,0
20010319,17.80,18.55,17.77,18.53,640600,0
20010320,18.55,19.25,18.52,18.68,333200,0
20010321,18.65,18.65,17.65,18.10,2297000,0
20010322,18.10,18.10,16.60,17.57,694200,0
20010323,17.65,17.75,17.35,17.50,265000,0
20010326,17.52,17.80,17.50,17.75,540600,0
20010327,17.76,17.86,17.64,17.75,432800,0
20010328,17.67,18.00,17.62,17.70,2493200,0
20010329,17.70,17.79,17.10,17.25,6767400,0
20010330,17.25,18.00,17.16,17.45,22598600,0
20010402,17.55,17.55,16.82,16.82,647800,0
20010403,16.92,17.02,16.39,16.75,837600,0
20010404,16.75,17.20,16.51,16.82,484200,0
20010405,17.00,17.44,16.83,17.20,766000,0
20010406,17.15,17.44,16.67,17.44,492200,0
20010409,17.56,17.98,17.47,17.97,663800,0
20010410,18.30,18.61,18.05,18.56,510400,0
20010411,18.45,18.52,18.09,18.14,180000,0
20010412,18.14,18.57,18.05,18.28,125000,0
20010416,18.35,18.63,18.35,18.60,204400,0
20010417,18.56,18.90,18.56,18.82,224400,0
20010418,18.70,18.75,17.90,17.97,408600,0
20010419,17.96,17.96,16.98,16.99,8863000,0
20010420,17.08,17.19,16.70,17.05,4769600,0
20010423,17.22,17.58,17.09,17.25,1447800,0
20010424,17.41,17.48,16.65,17.23,971200,0
20010425,17.30,17.90,17.16,17.80,2539800,0
20010426,18.00,18.50,17.90,18.31,6631400,0
20010427,18.14,18.50,18.01,18.11,8605200,0
20010430,17.92,18.30,17.83,18.00,958600,0
20010501,18.07,18.13,17.36,17.58,718200,0
20010502,17.44,17.44,16.50,16.58,1219600,0
20010503,16.63,16.88,16.17,16.25,7016000,0
