DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,11.84,11.87,11.53,11.67,0,0
20010103,11.67,11.79,11.26,11.36,49428,0
20010104,11.24,11.24,10.41,10.56,0,0
20010105,10.51,10.95,10.51,10.82,7992,0
20010108,10.95,11.12,10.92,11.09,0,0
20010109,10.99,10.99,10.73,10.82,0,0
20010110,10.82,10.87,10.66,10.82,4938,0
20010111,10.85,10.85,10.49,10.61,10138,0
20010112,10.51,10.63,10.39,10.63,0,0
20010115,10.63,10.63,10.63,10.63,0,0
20010116,10.63,10.66,10.29,10.46,0,0
20010117,10.46,10.75,10.46,10.61,0,0
20010118,10.61,10.63,10.49,10.56,4780,0
20010119,10.61,10.66,10.36,10.53,10706,0
20010122,10.53,10.53,10.53,10.53,0,0
20010123,10.63,10.92,10.63,10.82,7399,0
20010124,10.85,10.90,10.80,10.85,0,0
20010125,10.80,10.85,10.58,10.61,17324,0
20010126,10.73,10.73,10.36,10.51,36131,0
20010129,10.78,10.89,10.59,10.69,666700,0
20010130,10.58,11.27,10.46,11.20,785100,0
20010131,10.35,10.46,10.25,10.42,12878900,0
20010201,10.42,10.48,10.21,10.26,0,0
20010202,10.21,10.27,10.03,10.03,654800,0
20010205,10.27,10.46,10.18,10.32,1483900,0
20010206,10.35,10.66,10.23,10.44,1140400,0
20010207,10.45,10.54,10.31,10.34,803700,0
20010208,10.34,10.62,10.34,10.58,656400,0
20010209,10.62,10.85,10.58,10.74,550200,0
20010212,10.81,11.03,10.69,10.76,613400,0
20010213,10.81,10.95,10.74,10.91,1526500,0
20010214,10.91,10.97,10.84,10.90,10474600,0
20010215,10.89,10.95,10.88,10.90,1140300,0
20010216,10.91,11.24,10.91,11.09,669100,0
20010219,11.09,11.09,11.09,11.09,0,0
20010220,11.25,11.25,10.76,10.81,3116800,0
20010221,10.85,11.19,10.81,10.82,999600,0
20010222,10.87,11.06,10.78,10.83,3434900,0
20010223,10.83,10.91,10.47,10.68,548900,0
20010226,10.78,11.02,10.69,10.83,1583800,0
20010227,10.81,10.96,10.81,10.94,279400,0
20010228,11.14,11.20,11.04,11.09,922200,0
20010301,11.06,11.20,10.98,11.15,3293300,0
20010302,11.20,11.33,11.18,11.27,1042000,0
20010305,11.26,11.48,11.24,11.39,795300,0
20010306,11.39,11.43,11.32,11.40,64632100,0
20010307,11.40,11.43,11.00,11.12,993600,0
20010308,11.16,11.32,11.16,11.32,1033700,0
20010309,11.32,11.38,11.14,11.22,607500,0
20010312,11.28,11.43,11.27,11.36,4771200,0
20010313,11.28,11.43,11.26,11.38,8704700,0
20010314,11.38,11.39,11.28,11.34,955800,0
20010315,11.33,11.48,11.32,11.44,437400,0
20010316,11.33,11.60,11.33,11.43,1500900,0
20010319,11.43,11.60,11.43,11.49,672100,0
20010320,11.51,11.66,11.45,11.56,1671300,0
20010321,11.46,11.60,11.38,11.44,19538200,0
20010322,11.43,11.45,10.93,11.14,981900,0
20010323,11.14,11.28,10.90,11.23,986900,0
20010326,11.33,11.62,11.26,11.55,696000,0
20010327,11.60,11.71,11.49,11.51,737200,0
20010328,11.44,11.60,11.36,11.60,4709100,0
20010329,11.57,11.69,11.41,11.61,421100,0
20010330,11.62,12.09,11.62,12.05,2362800,0
20010402,12.16,12.20,12.04,12.15,769100,0
20010403,12.13,12.21,11.93,12.10,681200,0
20010404,12.07,12.14,11.94,12.04,679800,0
20010405,12.08,12.21,11.96,12.18,689400,0
20010406,12.17,12.32,11.66,11.84,1080400,0
20010409,11.93,12.36,11.91,12.30,730200,0
20010410,12.33,12.61,12.31,12.47,1083500,0
20010411,12.40,12.40,12.07,12.12,851000,0
20010412,12.13,12.22,11.99,12.03,1022600,0
20010416,11.66,11.91,11.66,11.82,1392000,0
20010417,11.82,12.15,11.67,12.12,1111300,0
20010418,12.40,12.43,12.03,12.21,1370700,0
20010419,12.21,12.28,11.75,11.85,1395900,0
20010420,11.75,11.91,11.46,11.62,563900,0
20010423,11.60,11.72,11.60,11.64,15871200,0
20010424,11.73,11.80,11.59,11.62,808500,0
20010425,11.63,11.70,11.57,11.62,588300,0
20010426,11.52,11.66,11.39,11.39,803500,0
20010427,11.40,11.62,11.24,11.27,754300,0
20010430,11.32,11.60,11.28,11.53,857400,0
20010501,11.55,11.66,11.47,11.65,11511800,0
20010502,11.65,11.68,11.40,11.43,982000,0
20010503,11.41,11.44,11.30,11.38,683200,0
20010504,11.35,11.57,11.31,11.49,412000,0
20010507,11.56,11.62,11.35,11.41,2552500,0
20010508,11.41,11.52,11.33,11.47,537600,0
20010509,11.44,11.93,11.43,11.81,824100,0
20010510,11.85,12.06,11.67,11.72,642700,0
20010511,11.72,11.78,11.60,11.71,1108000,0
20010514,11.99,11.99,11.64,11.69,634400,0
20010515,11.71,11.80,11.47,11.62,414500,0
20010516,11.64,11.72,11.57,11.62,468400,0
20010517,11.53,11.78,11.47,11.60,710500,0
20010518,11.68,11.82,11.63,11.76,3776100,0
20010521,11.88,11.97,11.76,11.91,496800,0
20010522,11.97,12.01,11.90,11.92,261800,0
20010523,11.97,12.07,11.94,11.98,817500,0
20010524,11.95,12.05,11.93,12.00,3368400,0
20010525,11.93,11.96,11.64,11.76,94069800,0
20010528,11.76,11.76,11.76,11.76,0,0
20010529,11.76,11.87,11.70,11.80,3168500,0
20010530,11.76,12.02,11.76,11.95,744900,0
20010531,11.95,12.15,11.93,12.13,565000,0
20010601,12.05,12.07,11.95,12.01,3509100,0
20010604,12.02,12.09,11.90,12.05,41000000,0
20010605,12.01,12.07,11.91,12.02,26427400,0
20010606,11.82,11.88,11.29,11.51,1809500,0
20010607,11.51,11.51,11.12,11.22,3005400,0
20010608,11.22,11.31,11.04,11.28,15745700,0
20010611,11.23,11.37,11.21,11.24,2103500,0
20010612,11.31,11.51,11.20,11.41,5472400,0
20010613,11.35,11.47,11.28,11.30,340600,0
20010614,11.16,11.18,10.85,11.02,813800,0
20010615,11.08,11.23,11.00,11.12,7587400,0
20010618,11.20,11.31,10.98,11.02,1654800,0
20010619,11.08,11.08,10.71,10.89,20442500,0
20010620,10.97,11.12,10.69,10.89,1300700,0
20010621,10.83,10.87,10.37,10.59,793100,0
20010622,10.67,10.69,10.44,10.50,510500,0
20010625,10.62,10.62,10.27,10.41,4535800,0
