DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,41.63,42.38,40.69,41.63,28954,0
20010103,41.75,41.94,40.31,40.31,85228,0
20010104,40.22,41.00,39.56,40.00,19924,0
20010105,40.66,40.94,40.25,40.25,351936,0
20010108,40.88,41.16,40.23,41.06,225948,0
20010109,41.06,41.75,41.06,41.38,0,0
20010110,41.19,43.25,41.19,43.06,25428,0
20010111,42.91,44.69,42.72,44.06,19228,0
20010112,43.81,43.91,43.00,43.44,0,0
20010115,43.44,43.44,43.44,43.44,0,0
20010116,43.44,43.84,42.94,43.66,481496,0
20010117,43.78,43.97,43.19,43.50,12132,0
20010118,43.25,43.25,42.34,42.59,24844,0
20010119,42.44,42.50,41.44,41.63,0,0
20010122,41.63,41.63,41.63,41.63,0,0
20010123,42.84,44.97,42.81,44.75,0,0
20010124,44.38,45.25,43.03,43.25,1740000,0
20010125,42.88,44.88,42.06,44.34,0,0
20010126,44.50,45.25,44.31,44.63,12568,0
20010129,44.39,45.52,44.00,44.64,0,0
20010130,45.25,45.25,43.50,43.98,6608400,0
20010131,43.56,43.92,43.33,43.34,0,0
20010201,43.22,43.47,42.90,43.26,0,0
20010202,43.17,43.95,43.17,43.45,0,0
20010205,43.15,43.58,42.95,43.49,1255200,0
20010206,43.37,43.45,42.85,43.27,523000,0
20010207,43.10,43.35,42.75,43.35,0,0
20010208,43.35,43.96,43.35,43.60,20516000,0
20010209,43.30,43.75,43.15,43.22,0,0
20010212,43.22,43.22,42.50,43.00,746600,0
20010213,43.00,44.63,42.95,44.33,2371200,0
20010214,44.08,44.20,43.40,43.65,648600,0
20010215,44.83,45.25,44.72,44.81,993200,0
20010216,44.67,45.17,44.40,45.00,1404200,0
20010219,45.00,45.00,45.00,45.00,0,0
20010220,45.00,45.85,44.76,45.85,11029400,0
20010221,45.75,48.17,45.70,47.40,1998800,0
20010222,47.50,48.30,46.90,46.99,1201800,0
20010223,46.83,47.13,45.63,47.13,1290600,0
20010226,47.13,48.22,46.78,48.22,882200,0
20010227,48.33,48.33,47.31,47.65,1745600,0
20010228,47.53,47.80,46.67,46.97,9193800,0
20010301,46.78,47.25,46.53,47.10,2051400,0
20010302,47.10,48.50,46.74,48.50,1526800,0
20010305,48.38,49.17,48.24,48.40,3716800,0
20010306,48.55,48.58,48.06,48.44,883200,0
20010307,48.45,48.74,48.06,48.16,1524400,0
20010308,48.25,48.80,47.75,48.75,1465200,0
20010309,48.65,49.19,48.51,48.74,578000,0
20010312,48.63,49.55,48.15,48.15,1535000,0
20010313,48.50,48.55,46.40,46.58,1153000,0
20010314,46.30,46.55,44.90,45.40,1375200,0
20010315,45.40,45.40,43.75,44.38,739000,0
20010316,44.25,44.47,43.42,43.51,1351200,0
20010319,43.63,45.08,43.63,44.88,1367200,0
20010320,45.38,45.70,44.28,44.28,1377600,0
20010321,44.03,44.35,42.92,42.92,799800,0
20010322,42.95,43.14,41.35,43.14,1324800,0
20010323,43.95,43.99,42.60,42.85,393200,0
20010326,43.60,44.49,43.13,43.28,952600,0
20010327,43.45,43.80,43.18,43.43,4805600,0
20010328,43.28,43.28,42.63,43.10,929600,0
20010329,43.28,43.80,43.07,43.50,2648800,0
20010330,43.25,44.50,43.10,43.75,22586200,0
20010402,43.49,43.53,43.09,43.15,4336400,0
20010403,43.25,43.40,42.60,43.22,2284600,0
20010404,43.31,45.70,43.31,44.75,39230800,0
20010405,45.63,47.01,45.53,46.55,2199000,0
20010406,46.55,46.55,45.83,45.99,9160400,0
20010409,45.15,45.70,44.85,44.97,3473600,0
20010410,45.03,46.23,44.90,46.15,1913200,0
20010411,46.50,46.75,46.04,46.74,1893200,0
20010412,46.72,47.30,46.60,47.22,1039000,0
20010416,46.97,47.13,46.63,46.92,619200,0
20010417,47.05,47.44,46.88,47.00,1212600,0
20010418,47.40,48.53,47.22,47.69,1278800,0
20010419,47.56,47.65,47.35,47.50,1287000,0
20010420,47.38,47.38,46.13,46.60,982200,0
20010423,46.05,46.05,44.35,44.45,3117200,0
20010424,44.44,45.13,43.80,44.74,1588200,0
20010425,44.70,45.26,44.35,45.14,893000,0
20010426,45.08,46.13,45.08,45.96,680400,0
20010427,45.96,45.96,45.35,45.63,4772600,0
20010430,45.50,45.70,45.06,45.13,643400,0
20010501,45.50,46.62,45.50,46.54,3143200,0
20010502,46.53,47.00,46.35,46.92,1068000,0
20010503,46.82,46.82,45.67,45.80,652400,0
20010504,45.27,46.15,45.27,46.12,243800,0
20010507,46.00,46.33,45.98,46.03,354200,0
20010508,45.95,46.15,45.37,45.75,571200,0
20010509,44.50,44.51,43.60,44.00,6021400,0
20010510,44.01,45.00,43.92,44.98,10743600,0
20010511,44.93,45.10,44.67,45.05,781600,0
20010514,44.13,44.50,43.67,44.33,4900000,0
20010515,44.20,44.40,43.85,44.40,2681400,0
20010516,44.25,44.81,43.95,44.77,1347800,0
20010517,44.65,45.47,44.57,45.24,15136000,0
20010518,45.47,45.47,44.78,44.96,959400,0
20010521,45.10,45.10,44.46,44.75,565200,0
20010522,45.00,45.60,44.79,45.10,32545800,0
20010523,45.20,45.20,44.65,44.74,21058400,0
20010524,44.41,44.80,42.71,43.30,2457400,0
20010525,43.30,43.95,43.30,43.51,10943400,0
20010528,43.51,43.51,43.51,43.51,0,0
20010529,43.88,44.15,43.37,43.79,585600,0
20010530,43.70,44.38,43.70,44.01,874000,0
20010531,44.10,44.40,43.50,44.38,657400,0
20010601,44.38,44.50,43.90,44.33,732600,0
20010604,44.40,45.15,44.40,45.12,4814400,0
20010605,45.26,45.42,44.90,45.12,4449800,0
20010606,45.13,45.13,44.70,44.88,43266000,0
20010607,44.83,44.85,44.66,44.78,2452800,0
20010608,44.78,44.78,44.31,44.34,2501800,0
20010611,44.60,44.78,43.63,43.97,832200,0
20010612,44.08,44.22,43.40,44.01,471000,0
20010613,44.06,44.10,43.40,43.49,2615800,0
20010614,43.48,43.48,41.30,41.74,2041400,0
20010615,42.13,42.92,42.13,42.68,1260200,0
20010618,42.75,42.94,41.83,41.90,437200,0
20010619,41.95,42.48,41.95,42.14,4624800,0
20010620,42.20,42.35,41.60,41.61,917800,0
20010621,41.61,41.61,40.40,40.63,1583400,0
20010622,40.70,41.01,38.63,39.17,14095200,0
20010625,39.90,39.90,38.70,38.74,1838200,0
20010626,38.75,39.13,38.21,39.06,2116000,0
20010627,38.95,40.37,38.95,40.19,1385200,0
20010628,40.30,41.25,40.11,40.86,465200,0
20010629,40.98,40.98,39.95,40.05,952800,0
20010702,39.90,40.19,39.78,39.90,662600,0
20010703,40.00,40.25,39.99,40.08,387000,0
20010704,40.08,40.08,40.08,40.08,0,0
20010705,39.96,40.15,39.83,40.05,4689000,0
20010706,39.95,40.50,39.95,40.36,34798400,0
20010709,40.40,40.65,40.22,40.55,9024000,0
20010710,40.50,40.65,40.35,40.41,13157200,0
20010711,40.41,40.62,39.40,39.40,783400,0
20010712,39.28,39.57,39.20,39.45,1467600,0
20010713,39.50,40.01,39.33,39.97,372000,0
20010716,40.00,40.33,39.88,39.95,4410800,0
20010717,39.90,40.25,39.83,39.92,353800,0
20010718,39.90,40.06,39.50,39.92,684600,0
20010719,40.08,40.46,39.45,39.70,766000,0
