DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20040325,10.97,11.07,10.50,10.65,2015600,0
20040326,10.68,10.72,10.65,10.65,902400,0
20040329,10.68,11.10,10.68,10.93,1548800,0
20040330,10.95,11.00,10.84,10.99,492800,0
20040331,10.93,11.10,10.90,11.10,1969800,0
20040401,11.13,11.18,11.07,11.12,852600,0
20040402,11.18,11.25,11.18,11.25,1118400,0
20040405,11.28,11.33,11.15,11.33,847600,0
20040406,11.33,11.40,11.28,11.33,683600,0
20040407,11.33,11.33,11.18,11.20,629200,0
20040408,11.25,11.25,11.07,11.09,387400,0
20040412,11.13,11.16,10.99,11.07,500000,0
20040413,11.01,11.10,10.93,10.99,921800,0
20040414,11.00,11.00,10.75,10.85,331000,0
20040415,10.85,10.85,10.50,10.62,383000,0
20040416,10.67,10.70,10.63,10.68,406400,0
20040419,10.68,10.80,10.67,10.76,225400,0
20040420,10.77,10.77,10.51,10.63,146200,0
20040421,10.63,10.63,10.38,10.42,521000,0
20040422,10.42,10.45,10.34,10.45,553600,0
20040423,10.47,10.55,10.47,10.50,816200,0
20040426,10.50,10.60,10.49,10.60,468000,0
20040427,10.63,10.63,10.59,10.61,412800,0
20040428,10.61,10.97,10.60,10.88,809600,0
20040429,10.80,10.85,10.75,10.85,187000,0
20040430,10.82,10.92,10.80,10.85,177600,0
20040503,10.85,10.85,10.30,10.55,1691000,0
20040504,10.55,10.55,10.11,10.13,891400,0
20040505,10.15,10.15,9.95,9.99,697200,0
20040506,10.01,10.01,9.85,9.90,112000,0
20040507,9.85,9.98,9.75,9.84,937200,0
20040510,9.77,9.82,9.59,9.81,549600,0
20040511,9.81,10.37,9.81,10.30,1532800,0
20040512,10.35,10.35,10.03,10.24,132200,0
20040513,10.25,10.25,9.93,9.99,198400,0
20040514,10.10,10.60,10.07,10.47,794200,0
20040517,10.57,10.57,10.13,10.16,133400,0
20040518,10.16,10.38,10.16,10.25,210600,0
20040519,10.25,10.35,10.25,10.30,131000,0
20040520,10.30,10.34,10.22,10.23,157600,0
20040521,10.20,10.25,10.13,10.21,137800,0
20040524,10.21,10.35,10.14,10.35,174600,0
20040525,10.35,10.60,10.30,10.38,331200,0
20040526,10.40,10.57,10.40,10.55,429600,0
20040527,10.60,10.68,10.56,10.68,396400,0
20040528,10.68,10.68,10.49,10.57,638600,0
20040601,10.59,10.63,10.43,10.52,657000,0
20040602,10.57,10.70,10.57,10.70,787600,0
20040603,10.70,10.70,10.55,10.65,652200,0
20040604,10.75,10.81,10.70,10.80,550000,0
20040607,10.85,10.93,10.81,10.88,452600,0
20040608,10.93,10.99,10.88,10.99,200800,0
20040609,11.00,11.63,11.00,11.63,2725800,0
20040610,11.63,11.74,11.38,11.53,2685000,0
20040614,11.59,11.74,11.57,11.60,895200,0
20040615,11.64,11.64,11.55,11.55,1659800,0
20040616,11.60,11.60,11.47,11.50,1015600,0
