DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,57.6875,58.0625,48.5625,51.4375,15046800,0
20010103,48.8125,67.6250,47.0625,64.0000,21668600,0
20010104,60.6250,67.0625,60.6250,66.3750,12942300,0
20010105,64.8750,65.6250,54.3125,54.6250,10532700,0
20010108,53.0625,55.9375,48.1875,55.9375,11625000,0
20010109,55.9375,57.6562,50.0000,51.2500,14496300,0
20010110,49.3125,57.2500,47.7500,56.4375,16000500,0
20010111,55.0000,62.8125,54.6250,60.4375,13192200,0
20010112,59.5000,61.1250,56.2500,58.1250,11281000,0
20010115,58.1250,58.1250,58.1250,58.1250,0,0
20010116,58.1250,60.1875,56.1250,58.1250,6671900,0
20010117,63.6250,66.1875,62.1250,63.1250,11543100,0
20010118,64.3125,68.6875,60.8750,67.3125,10879200,0
20010119,70.8750,70.9375,67.0000,67.5000,8902600,0
20010122,65.8125,68.3125,64.1250,66.8750,7263800,0
20010123,67.4375,74.9375,66.6563,73.5625,12180600,0
20010124,66.0000,66.0000,58.6250,61.3750,26234600,0
20010125,59.0625,60.6875,55.1250,56.4375,12035700,0
20010126,55.6250,59.5000,55.0625,56.5000,11001600,0
20010129,55.9375,60.2500,55.7500,59.9375,7446800,0
20010130,59.8750,60.7813,56.6250,58.1250,7043000,0
20010131,58.7500,59.7500,53.0000,53.6250,9766100,0
20010201,47.5000,47.8125,43.3750,46.5625,32931400,0
20010202,47.0000,48.2500,46.0625,46.7500,13525000,0
20010205,45.5625,47.3438,41.3750,43.3125,11637900,0
20010206,43.3750,46.5000,43.3125,44.8750,9018400,0
20010207,43.3750,43.5625,37.0000,38.6250,20109800,0
20010208,39.0000,40.2500,34.5000,35.2500,22703800,0
20010209,38.1250,39.3750,35.3125,38.0000,37683300,0
20010212,37.1250,39.7500,33.5000,39.1250,16260600,0
20010213,39.7500,43.0000,38.5625,39.6875,12225700,0
20010214,38.0000,42.8750,37.9375,42.1250,9956900,0
20010215,43.9063,48.1250,43.8750,45.0000,14589000,0
20010216,41.4063,42.1250,39.2500,40.3750,11852200,0
20010219,40.3750,40.3750,40.3750,40.3750,0,0
20010220,40.2500,41.7500,33.5000,33.6250,12966500,0
20010221,32.5000,37.3750,32.5000,34.3125,15225600,0
20010222,32.1250,35.2500,29.5000,33.8125,18774300,0
20010223,34.2500,35.6250,30.7500,33.9375,22534800,0
20010226,34.1250,35.2500,31.6875,33.0000,12509000,0
20010227,32.4063,33.6250,32.0000,32.0000,9307100,0
20010228,31.8125,33.0000,28.0000,29.7500,13173100,0
20010301,28.5625,32.5000,28.2500,30.8750,11852500,0
20010302,28.9375,30.1250,27.2500,27.2500,11720500,0
20010305,27.6250,28.6875,26.6875,28.5000,7250400,0
20010306,29.9375,30.4375,28.8750,29.3125,10177100,0
20010307,29.7500,30.1875,27.8125,28.1250,5107500,0
20010308,27.2500,27.8750,24.6250,25.0000,9498400,0
20010309,23.6250,23.7500,21.0000,21.1250,13330200,0
20010312,20.1250,21.1250,19.5625,20.1875,15309700,0
20010313,20.2500,23.0000,20.1875,22.8125,11311300,0
20010314,21.0000,22.8750,20.5000,21.1875,13968700,0
20010315,22.8750,23.1875,18.3125,18.6875,15368700,0
20010316,18.0625,19.6250,17.6875,18.9375,10505400,0
20010319,19.2500,20.7500,18.5313,20.4375,7503900,0
20010320,20.4375,22.4375,18.1250,18.6250,14572900,0
20010321,18.8750,20.2500,18.7500,19.2500,6589100,0
20010322,20.0000,22.5000,19.5625,22.4375,11498800,0
20010323,23.3125,23.8750,20.2500,21.1250,13405900,0
20010326,21.7500,21.7500,19.0000,19.8750,7085200,0
20010327,19.6300,21.6300,19.6300,20.8100,6532900,0
20010328,20.3800,20.3800,18.0600,18.5600,6634800,0
20010329,17.7200,17.9400,15.5600,16.3100,11827800,0
20010330,16.4400,17.1300,15.9400,16.8100,10018100,0
20010402,15.9400,16.0600,14.5600,15.2500,13404300,0
20010403,14.1300,14.6300,12.4400,12.5600,13672200,0
20010404,12.8800,12.9400,11.4400,11.8100,14980900,0
20010405,13.2500,14.0000,12.5600,13.3800,14034200,0
20010406,13.0600,13.6900,12.5000,13.4400,17982100,0
20010409,14.0900,14.0900,12.4000,13.3500,14416200,0
20010410,13.8800,15.8300,13.6600,15.6800,18305800,0
20010411,17.5900,17.7700,15.9800,16.5600,12196300,0
20010412,13.3100,16.8200,13.2500,16.6800,20981600,0
20010416,16.2900,17.3800,15.0500,15.2800,9464000,0
20010417,15.0600,16.2000,15.0100,15.8200,9308200,0
20010418,16.9800,20.2400,16.7600,19.4400,16691600,0
20010419,20.8200,23.4200,19.6000,22.3200,13693000,0
20010420,21.6000,24.6200,21.2200,23.5500,16724400,0
20010423,23.5500,23.5500,21.2900,21.9500,9258400,0
20010424,21.6700,22.6400,19.7800,19.9300,10618600,0
20010425,19.9300,21.7000,19.6100,21.5000,9046300,0
20010426,22.3100,22.4300,20.1500,20.1600,6020500,0
20010427,20.9100,22.0700,20.4200,21.8600,5661200,0
20010430,22.9500,24.0400,20.5600,22.7500,7444200,0
20010501,22.6800,25.7000,21.2500,24.5500,10975500,0
20010502,26.2000,29.5000,25.5100,28.2100,23158800,0
20010503,26.7000,27.4000,24.5500,25.8500,17686000,0
20010504,24.1600,26.4200,23.7500,25.1700,13282100,0
20010507,26.4400,27.2300,25.7500,26.2800,10553800,0
20010508,27.5400,27.5500,25.3500,26.9000,6771600,0
20010509,25.8000,27.4300,25.2600,25.5200,9189200,0
20010510,26.9200,26.9700,24.0000,24.0100,9412100,0
20010511,23.9600,25.1500,23.5900,24.2500,5464500,0
20010514,24.0500,24.0500,21.7500,22.3300,7310200,0
20010515,22.2400,24.7000,21.6800,22.5300,11099200,0
20010516,22.1000,24.8000,20.8500,24.6800,15134900,0
20010517,24.7000,25.2500,22.7500,23.1000,11175100,0
20010518,22.8000,23.8900,22.4600,22.9400,6521900,0
