DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,80.8750,81.0000,79.0625,80.0625,956200,0
20010103,80.0000,81.3750,73.6250,81.2812,2728400,0
20010104,81.1250,82.2500,79.1250,79.2500,2285000,0
20010105,79.0000,79.0625,75.0625,76.3125,1619900,0
20010108,76.2500,76.2500,73.8125,74.4375,900300,0
20010109,74.8125,75.1250,70.8125,71.5625,1572500,0
20010110,71.0938,74.0000,70.3750,73.6250,1427900,0
20010111,73.5625,75.7500,72.2500,72.2500,692800,0
20010112,72.2500,73.0625,69.4375,69.5000,1337600,0
20010115,69.5000,69.5000,69.5000,69.5000,0,0
20010116,70.4375,72.5000,69.6250,70.3750,2182200,0
20010117,70.8750,73.3125,70.0625,70.1250,1636200,0
20010118,70.6250,70.6250,65.8750,66.0625,2090800,0
20010119,67.1250,67.3750,64.3125,64.5625,3332700,0
20010122,66.3125,70.0000,66.1250,69.1875,2555800,0
20010123,70.5000,74.1250,69.8750,73.7500,1796800,0
20010124,74.0313,74.1875,73.0000,74.0000,1559700,0
20010125,73.6250,74.6250,72.9375,73.8750,1714000,0
20010126,74.2500,75.5625,73.7500,75.3125,1381100,0
20010129,75.3750,77.1250,74.6250,75.1875,86000000,0
20010130,74.9687,78.0625,74.8125,78.0625,1325900,0
20010131,78.0000,78.0625,75.6875,77.0000,1759700,0
20010201,76.1250,76.7500,74.9375,75.4375,1383900,0
20010202,75.6250,76.3750,75.2500,76.0625,706700,0
20010205,76.1250,77.8750,76.1250,77.8125,751300,0
20010206,77.7500,77.7500,75.5625,76.2500,692100,0
20010207,76.4375,77.0000,75.1875,75.5000,624900,0
20010208,75.6875,77.0000,75.5000,76.3750,524300,0
20010209,76.3750,76.8750,75.8750,76.0000,528400,0
20010212,76.0000,77.6875,75.8750,76.0000,776100,0
20010213,76.0625,76.5625,75.0000,76.0000,903500,0
20010214,75.9375,76.9375,75.7500,75.8750,1029200,0
20010215,76.1250,76.1875,74.8750,76.1875,795700,0
20010216,75.6250,77.3750,75.1250,76.5625,739900,0
20010219,76.5625,76.5625,76.5625,76.5625,0,0
20010220,76.5000,76.5625,71.5000,73.9687,1574800,0
20010221,73.9375,74.6875,72.9375,73.8750,1543200,0
20010222,74.1250,74.6250,69.4375,71.3750,1280900,0
20010223,71.1250,71.9375,69.1875,71.7500,1087500,0
20010226,72.1250,72.3750,69.6250,72.3125,1083900,0
20010227,72.3438,73.6875,71.5000,72.6250,1066600,0
20010228,72.8750,73.6250,70.2500,71.1250,908300,0
20010301,70.8125,71.1875,67.0000,70.6875,1205200,0
20010302,70.3750,72.8125,69.8125,71.5000,1039800,0
20010305,71.3125,71.7500,68.5000,69.0000,1200800,0
20010306,69.4375,70.0000,68.5625,69.0000,1032900,0
20010307,69.5000,69.5000,67.9375,68.5625,999500,0
20010308,68.8125,69.0000,67.1250,68.0000,1034800,0
20010309,67.1250,67.6250,66.4375,66.6875,825400,0
20010312,66.0000,66.0000,62.5000,62.6875,1344300,0
20010313,62.8750,63.8125,61.6250,63.3125,1712300,0
20010314,60.0625,62.1250,59.5000,60.1875,2366800,0
20010315,61.0625,62.6250,60.4375,61.8750,1353200,0
20010316,60.8750,62.2500,58.8125,59.4375,1421200,0
20010319,59.7500,60.1875,56.7500,57.2500,1727500,0
20010320,58.1250,58.2500,56.5000,56.8125,1930900,0
20010321,56.6250,58.6875,53.8125,54.4375,2509300,0
20010322,54.3750,55.6250,52.0625,54.6250,2388400,0
20010323,55.5625,60.3750,55.5000,59.3750,3616200,0
20010326,60.4375,61.6250,60.0000,60.8125,1124900,0
20010327,60.9700,64.0600,60.0000,64.0000,2006900,0
20010328,62.0600,63.7500,61.8800,62.6300,1244700,0
20010329,62.2500,62.7500,60.8100,61.2500,999600,0
20010330,61.6900,62.7500,61.1900,62.5000,898000,0
20010402,62.3800,64.4400,60.6900,61.6300,1098300,0
20010403,61.5000,61.5000,59.0600,59.5600,1171700,0
20010404,59.3100,59.5000,57.1900,58.0600,1441400,0
20010405,60.1900,62.0000,59.1300,61.9400,1160700,0
20010406,61.0600,61.4400,57.5600,58.6300,1380300,0
20010409,58.9400,59.9700,58.2500,59.0200,528900,0
20010410,59.2300,61.2700,59.2200,60.9800,1421400,0
20010411,61.3200,63.7600,61.3100,62.3400,1597800,0
20010412,62.1600,64.1700,61.8400,62.9300,801000,0
20010416,62.2000,63.1000,60.4700,60.7200,1071800,0
20010417,60.6100,61.9500,59.9200,61.8000,100000000,0
20010418,62.1800,67.8200,62.0200,65.5400,2447100,0
20010419,65.7000,66.3000,64.2300,65.8200,1305200,0
20010420,65.0100,65.5000,64.0000,65.1500,1050200,0
20010423,64.9400,64.9400,61.0000,63.3400,712900,0
20010424,63.7900,64.5500,62.8100,64.1100,944200,0
20010425,64.1000,65.0700,62.9400,64.7600,471300,0
20010426,64.7900,65.4800,63.5200,63.5200,882900,0
20010427,63.9900,65.4000,62.3100,65.3500,914500,0
20010430,65.3200,66.1900,64.7000,65.0300,971800,0
20010501,64.7800,65.1000,63.8000,65.0900,586600,0
20010502,65.2500,66.9200,64.3800,66.3900,900600,0
20010503,65.7100,66.0100,64.7000,65.6700,684500,0
20010504,65.1500,66.6900,64.7600,66.4000,499800,0
20010507,66.4500,66.6300,65.2400,66.2000,381400,0
20010508,66.0900,66.2300,64.6000,64.7100,720900,0
20010509,64.5200,65.5600,64.0400,64.6500,509300,0
20010510,65.0400,65.9900,64.9000,65.9300,699200,0
20010511,66.0000,66.2000,64.3900,64.3900,586500,0
20010514,64.4000,65.8900,64.0700,65.4800,625100,0
20010515,65.4900,66.3300,65.2700,66.0500,649500,0
20010516,65.9000,69.3600,65.6500,69.1100,1160900,0
20010517,69.0100,70.0500,68.7500,68.8600,1080900,0
20010518,68.3000,69.0000,67.3700,67.8500,648800,0
20010521,67.7400,68.9300,67.2900,68.8200,953500,0
20010522,68.6900,70.0400,68.4200,69.6800,716200,0
20010523,69.5500,69.5800,68.0400,68.1300,670600,0
20010524,68.1200,68.6700,67.6500,67.6900,700800,0
20010525,67.6300,67.6600,66.8500,66.9600,552900,0
20010528,66.9600,66.9600,66.9600,66.9600,0,0
20010529,67.1400,67.1400,66.0100,66.4900,917600,0
20010530,66.3400,67.3900,65.7700,65.8400,956700,0
20010531,65.8600,66.3700,65.3000,66.1500,737200,0
20010601,66.0500,66.0700,65.3000,65.7600,691400,0
20010604,65.7100,66.4400,65.4600,66.4200,505200,0
20010605,66.3900,66.6600,65.4200,66.4300,671900,0
20010606,66.3500,66.4500,64.2900,65.2000,872800,0
20010607,65.2200,66.0300,64.9400,65.9800,1069500,0
20010608,65.8300,65.9400,65.1600,65.5300,538600,0
20010611,65.1900,65.7200,64.9000,65.1800,788900,0
20010612,65.1400,65.6000,64.5400,65.0900,1481300,0
20010613,65.2000,66.1000,64.8900,64.9000,461400,0
20010614,65.0000,65.0000,63.4100,63.7400,660300,0
20010615,63.3100,63.5800,62.9100,63.2200,974000,0
20010618,63.4500,63.5400,62.4400,63.4200,624800,0
20010619,63.6700,64.3900,63.1100,63.2500,790300,0
20010620,63.2000,64.2000,63.0100,63.5200,797000,0
20010621,63.6500,66.0800,63.4000,65.5100,882700,0
20010622,65.2800,66.1000,64.9800,65.6600,726700,0
20010625,65.6500,65.8000,63.9900,64.2900,541600,0
20010626,64.0100,64.5000,63.3300,64.2300,897100,0
20010627,64.2300,65.2000,63.7800,64.5200,843700,0
20010628,64.6000,65.9300,64.5000,65.3600,772100,0
20010629,65.2700,65.2700,64.5000,64.5000,778900,0
20010702,63.2300,64.7000,63.0400,64.6800,662700,0
20010703,64.7200,65.0800,64.6200,64.7800,543200,0
20010704,64.7800,64.7800,64.7800,64.7800,0,0
20010705,64.7700,65.3500,63.9900,64.1400,1131200,0
20010706,64.1800,64.1900,63.2000,63.4900,1209900,0
20010709,63.3100,64.4400,63.1100,63.6500,589500,0
20010710,63.4900,63.4900,62.3500,62.3700,917000,0
20010711,62.5000,63.4000,61.9900,62.5500,1139100,0
20010712,62.8100,64.1000,62.5600,64.0600,780500,0
20010713,63.5400,64.9200,63.5000,64.5600,562200,0
20010716,64.7100,64.8800,60.9600,61.0100,1715400,0
20010717,61.1900,62.0100,60.6400,61.8500,1391900,0
20010718,61.7800,62.8000,61.4000,62.7400,1292400,0
20010719,63.0500,63.2200,61.4300,61.9700,842600,0
20010720,61.1800,62.0000,61.1700,61.5900,876000,0
20010723,61.3900,62.2000,61.3300,61.6900,800400,0
20010724,61.5500,62.0900,61.2300,61.5100,806000,0
20010725,61.6100,62.0000,61.1500,61.9300,620100,0
20010726,61.9500,62.7300,61.6000,62.5100,811700,0
20010727,62.3100,63.9500,62.3000,63.2400,606300,0
20010730,62.5900,63.3000,62.0200,62.4600,547100,0
20010731,62.8600,64.0700,62.3000,63.8000,755900,0
20010801,63.6100,64.6900,63.3800,63.8100,683900,0
20010802,64.1200,64.7600,64.0800,64.7000,591900,0
20010803,64.7300,64.9500,64.1100,64.6300,740900,0
20010806,64.6800,64.9800,63.6900,64.7300,460300,0
20010807,64.8400,65.0900,64.2300,64.3400,533100,0
20010808,64.2100,64.9900,63.5300,63.6700,539600,0
20010809,63.4100,63.6400,62.8800,63.4900,520100,0
20010810,63.3700,63.6000,62.8200,63.0400,781900,0
20010813,62.8800,63.0800,62.5800,62.7500,737100,0
20010814,62.7500,63.2700,62.3600,62.4900,614400,0
20010815,62.5400,62.9400,62.1100,62.2500,422900,0
20010816,62.1000,64.4000,61.2400,62.0000,1082500,0
20010817,61.3500,63.0900,61.0100,61.2000,1150600,0
20010820,61.0300,61.8300,61.0300,61.8200,336900,0
20010821,61.7900,62.5300,60.6200,60.6700,697300,0
20010822,60.6100,61.9100,60.5300,61.7200,943900,0
20010823,61.9000,61.9900,60.9600,61.0200,562300,0
20010824,61.0100,61.1400,60.1700,60.7300,1857600,0
20010827,60.7800,61.0700,59.8700,59.9600,614400,0
20010828,60.1200,60.1900,58.6500,58.7500,949600,0
20010829,58.8600,59.3900,57.6500,57.8400,910400,0
20010830,57.6000,58.2500,56.8300,57.5800,1578600,0
20010831,57.4700,58.0600,56.6000,56.7000,1455000,0
20010903,56.7000,56.7000,56.7000,56.7000,0,0
20010904,56.7300,56.7400,55.3600,56.0000,1346400,0
20010905,55.7000,55.8600,54.1500,54.8000,1688300,0
20010906,54.0500,54.5700,52.9500,53.8000,1794700,0
20010907,53.3000,53.3000,52.2600,52.9600,1367900,0
