DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,9.95,9.95,9.55,9.61,0,0
20010103,9.67,10.00,9.38,9.84,49724,0
20010104,9.91,10.11,9.83,9.95,8584,0
20010105,9.97,9.98,9.73,9.94,10896,0
20010108,9.88,10.20,9.88,10.13,0,0
20010109,10.09,10.19,9.94,10.02,15852,0
20010110,9.88,9.97,9.73,9.95,129172,0
20010111,9.95,9.95,9.50,9.73,88100,0
20010112,9.88,9.91,9.75,9.86,8448,0
20010115,9.86,9.86,9.86,9.86,0,0
20010116,9.78,10.20,9.77,10.20,12936,0
20010117,10.23,10.36,10.05,10.17,15404,0
20010118,10.19,10.41,10.17,10.38,52880,0
20010119,10.34,10.36,10.02,10.03,48092,0
20010122,10.03,10.03,10.03,10.03,0,0
20010123,9.66,9.98,9.64,9.75,19504,0
20010124,9.75,9.89,9.69,9.69,0,0
20010125,9.66,9.81,9.59,9.77,18272,0
20010126,9.72,9.84,9.64,9.80,3224,0
20010129,9.95,10.09,9.75,10.05,0,0
20010130,9.86,10.52,9.75,10.26,0,0
20010131,10.19,10.60,10.16,10.35,0,0
20010201,10.48,10.90,10.17,10.73,5147600,0
20010202,10.90,11.00,10.73,10.81,2677600,0
20010205,10.69,10.74,10.55,10.73,1239600,0
20010206,10.75,10.87,10.68,10.82,1350800,0
20010207,10.88,10.88,10.70,10.72,528400,0
20010208,10.74,10.75,10.65,10.75,598000,0
20010209,10.75,10.79,10.69,10.72,5074800,0
20010212,10.83,10.86,10.62,10.84,0,0
20010213,10.88,11.05,10.84,11.01,977200,0
20010214,11.00,11.05,10.73,10.74,838800,0
20010215,10.91,11.24,10.91,11.21,2056400,0
20010216,11.15,11.20,10.69,10.84,1373600,0
20010219,10.84,10.84,10.84,10.84,0,0
20010220,10.80,10.99,10.68,10.81,987200,0
20010221,10.99,10.99,10.58,10.64,4517600,0
20010222,10.61,10.84,10.52,10.80,1561200,0
20010223,10.80,10.94,10.56,10.56,4941600,0
20010226,10.66,11.13,10.62,11.11,1534000,0
20010227,11.06,11.23,11.01,11.06,16938800,0
20010228,11.00,11.19,10.98,11.05,1191200,0
20010301,11.00,11.24,10.96,11.08,1040800,0
20010302,11.07,11.49,11.07,11.40,1352000,0
20010305,11.40,11.76,11.39,11.63,773600,0
20010306,11.69,11.77,10.90,11.68,774000,0
20010307,11.79,11.80,11.51,11.69,1425200,0
20010308,11.71,11.81,11.50,11.77,1018400,0
20010309,11.73,11.88,11.65,11.73,1357600,0
20010312,11.73,11.73,11.30,11.34,1496000,0
20010313,11.25,11.29,10.79,11.23,2185200,0
20010314,11.10,11.10,10.89,10.95,4641200,0
20010315,11.00,11.13,10.75,10.82,904000,0
20010316,10.82,10.93,10.35,10.44,2029200,0
20010319,10.45,10.87,10.45,10.79,1186400,0
20010320,10.79,11.20,10.64,10.86,1319600,0
20010321,10.88,10.88,10.57,10.64,1514000,0
20010322,10.68,10.70,10.13,10.32,1956000,0
20010323,10.13,10.25,9.90,10.11,1749200,0
20010326,10.07,10.24,10.02,10.19,718800,0
20010327,10.34,10.38,10.05,10.36,1243600,0
20010328,10.31,10.45,10.07,10.41,749600,0
20010329,10.41,10.47,10.15,10.21,835200,0
20010330,10.21,10.21,9.97,10.02,1718400,0
20010402,10.17,10.36,9.97,9.99,9317200,0
20010403,10.00,10.01,9.62,9.68,1211600,0
20010404,9.77,10.10,9.77,9.95,1280000,0
20010405,10.00,10.16,9.97,10.10,1834800,0
20010406,10.15,10.15,9.96,10.09,2106400,0
20010409,10.32,10.82,10.32,10.64,3055600,0
20010410,10.64,11.18,10.64,11.03,2818000,0
20010411,11.25,11.50,11.13,11.48,2741200,0
20010412,11.63,11.75,11.38,11.44,2228400,0
20010416,11.31,11.62,11.29,11.49,9212000,0
20010417,11.49,11.58,11.27,11.54,1987600,0
20010418,11.50,12.12,11.43,12.03,2388000,0
20010419,11.88,11.98,11.73,11.91,2594800,0
20010420,11.86,12.05,11.82,11.95,72303600,0
20010423,11.93,12.10,11.71,12.06,9296000,0
20010424,12.05,12.50,12.02,12.39,3316400,0
20010425,12.40,12.40,12.26,12.34,2194400,0
20010426,12.34,12.98,12.32,12.95,14176000,0
20010427,13.00,13.00,12.66,12.73,45948000,0
20010430,12.75,12.95,12.56,12.68,18358800,0
20010501,12.48,12.93,12.42,12.90,2361200,0
20010502,12.89,13.18,12.81,12.90,2194400,0
20010503,12.90,12.90,12.48,12.53,2017200,0
20010504,12.45,12.75,12.43,12.74,847200,0
20010507,12.74,12.75,12.57,12.67,1318000,0
20010508,12.50,12.52,12.35,12.40,1728400,0
20010509,12.39,12.58,12.30,12.45,2787200,0
20010510,12.38,12.52,12.32,12.41,1524800,0
20010511,12.46,12.61,12.22,12.38,1663600,0
20010514,12.27,12.44,12.26,12.44,672000,0
20010515,12.44,12.56,12.32,12.47,2030400,0
20010516,12.43,13.21,12.33,13.13,4308800,0
20010517,13.13,13.55,13.09,13.43,3275600,0
20010518,13.40,13.43,13.18,13.33,4730000,0
20010521,13.33,13.49,13.33,13.46,1826000,0
20010522,13.40,13.46,13.29,13.36,8850000,0
20010523,12.93,12.99,12.46,12.54,3546800,0
20010524,12.53,12.53,12.08,12.32,1629600,0
20010525,12.32,12.88,12.32,12.88,13397600,0
20010528,12.88,12.88,12.88,12.88,0,0
20010529,12.88,13.32,12.85,13.22,2740800,0
20010530,13.18,13.18,12.63,12.66,3314800,0
20010531,12.69,12.89,12.63,12.81,897600,0
20010601,12.77,12.90,12.66,12.87,5022400,0
20010604,12.88,12.96,12.82,12.96,8833600,0
20010605,12.94,14.05,12.84,14.02,6361200,0
20010606,14.03,14.03,13.39,13.50,130195200,0
20010607,13.46,13.50,13.24,13.33,10132800,0
20010608,13.33,13.33,13.04,13.14,25051200,0
20010611,13.21,13.21,12.75,13.00,1900800,0
20010612,12.88,12.94,12.76,12.86,13189600,0
20010613,12.86,12.99,12.70,12.76,5270400,0
20010614,12.73,12.73,12.45,12.48,812000,0
20010615,12.56,12.99,12.52,12.61,1434000,0
20010618,12.59,12.91,12.59,12.85,8722800,0
20010619,12.85,13.05,12.75,12.93,1168400,0
20010620,12.88,13.13,12.85,12.99,9384000,0
20010621,12.99,13.06,12.92,13.00,1526400,0
20010622,13.00,13.06,12.55,12.75,838800,0
20010625,12.64,12.87,12.21,12.33,9466400,0
20010626,12.15,12.16,11.50,12.05,4011600,0
20010627,11.98,12.32,11.90,11.92,2021600,0
20010628,11.94,12.15,11.80,12.03,455200,0
20010629,11.98,12.31,11.94,12.22,1918400,0
20010702,12.22,12.42,12.11,12.23,1063200,0
20010703,12.23,12.25,12.14,12.19,912000,0
20010704,12.19,12.19,12.19,12.19,0,0
20010705,12.20,12.20,12.05,12.19,1047600,0
20010706,12.15,12.19,11.82,11.90,706400,0
20010709,11.84,12.19,11.84,12.11,1494000,0
20010710,12.13,12.19,12.05,12.06,824400,0
20010711,12.01,12.12,11.88,12.00,1738000,0
20010712,12.07,12.52,11.98,12.51,5543600,0
20010713,12.56,12.82,12.51,12.80,5890000,0
20010716,12.80,12.81,12.53,12.59,943200,0
20010717,12.54,12.88,12.45,12.61,5076800,0
20010718,12.67,13.17,12.60,13.17,1718800,0
20010719,12.84,13.29,12.75,12.84,1470800,0
20010720,12.86,12.86,12.50,12.52,2043200,0
20010723,12.52,12.55,11.75,11.75,2760000,0
20010724,11.75,11.85,11.38,11.56,5139200,0
20010725,11.50,11.91,11.50,11.84,45362000,0
20010726,11.69,12.01,11.68,11.95,8809600,0
20010727,11.95,12.12,11.95,12.05,962400,0
20010730,12.00,12.09,12.00,12.07,975200,0
20010731,11.82,12.11,11.82,11.97,2290400,0
20010801,12.20,12.25,12.12,12.13,1053600,0
20010802,12.15,12.20,11.87,11.98,4869600,0
20010803,11.98,12.18,11.95,12.15,427600,0
20010806,12.09,12.19,11.88,12.02,916400,0
20010807,12.00,12.11,11.97,12.03,4607200,0
20010808,11.97,12.27,11.93,11.93,551600,0
20010809,11.93,12.01,11.74,11.76,767200,0
20010810,11.80,12.00,11.70,11.85,720000,0
20010813,11.85,12.12,11.83,12.04,784400,0
20010814,12.05,12.25,11.94,12.22,604400,0
20010815,12.20,12.23,11.94,11.98,732400,0
20010816,11.94,12.10,11.88,11.99,891600,0
20010817,11.98,12.13,11.95,12.07,4588000,0
