DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.5000,5.5729,4.9688,4.9896,7267804,0
20010103,4.8385,6.5625,4.7083,6.5208,22651200,0
20010104,6.3958,7.4375,6.0833,7.2708,20220596,0
20010105,7.2187,7.2187,6.0417,6.1823,10771200,0
20010108,6.0104,7.0365,6.0104,6.7708,14308804,0
20010109,6.8646,7.0417,6.5313,6.9063,7566004,0
20010110,6.5521,7.4167,6.3958,7.3854,9822604,0
20010111,7.2708,8.3125,7.0833,8.0000,11165400,0
20010112,8.1302,8.6250,7.7500,7.8333,16726800,0
20010115,7.8333,7.8333,7.8333,7.8333,0,0
20010116,7.8750,7.8750,7.1146,7.2187,10256404,0
20010117,7.7708,8.0000,7.4479,7.4792,14803804,0
20010118,7.4740,9.1250,7.3125,8.9167,23567400,0
20010119,9.1771,9.5000,8.5521,8.6771,25408800,0
20010122,8.4792,8.6667,8.0938,8.3333,9403200,0
20010123,8.2292,9.3333,8.1875,9.1615,10831200,0
20010124,9.1667,9.2500,8.6042,9.1250,11287800,0
20010125,8.7917,8.8333,8.0313,8.2083,10993200,0
20010126,7.7500,8.5677,7.6979,8.4687,6464404,0
20010129,8.2083,8.5208,7.9167,8.5104,8845200,0
20010130,8.6562,8.8750,8.4792,8.6979,6082200,0
20010131,8.7083,9.0417,8.4167,8.6042,8918400,0
20010201,8.6042,8.7083,8.2292,8.6458,9288004,0
20010202,8.6562,8.8542,7.7500,7.8125,8008800,0
20010205,7.7917,7.8542,7.3333,7.8021,10138804,0
20010206,7.6458,8.0000,7.6458,7.8438,6229804,0
20010207,7.7917,7.8438,7.0625,7.4792,17922604,0
20010208,7.5208,7.9479,7.4063,7.4375,9594604,0
20010209,7.3750,7.4271,7.1146,7.3854,6452400,0
20010212,7.2917,7.3854,6.8333,7.1875,8821200,0
20010213,7.3438,7.7396,7.2396,7.4063,11678400,0
20010214,7.0729,8.1354,7.0000,7.9479,16961400,0
20010215,9.0208,9.5625,9.0208,9.4063,27625204,0
20010216,9.1042,10.1667,9.0208,9.9167,26986804,0
20010219,9.9167,9.9167,9.9167,9.9167,0,0
20010220,9.6667,9.8750,8.9167,8.9271,17527200,0
20010221,8.5938,9.7083,8.5208,9.3333,15668396,0
20010222,9.2813,10.0000,9.0833,9.7292,20196600,0
20010223,9.6771,9.7969,8.7500,9.0573,25664400,0
20010226,8.7917,9.0365,8.4687,8.8542,18571200,0
20010227,8.6771,8.9531,8.2708,8.3229,13278004,0
20010228,8.2604,8.7500,7.2917,7.4479,19369800,0
20010301,7.3438,8.1667,6.6667,8.0365,22758604,0
20010302,7.4583,7.9896,7.1667,7.2604,34362004,0
20010305,6.9844,7.5208,6.9583,7.3333,18526200,0
20010306,7.6667,8.3021,7.5781,8.0417,20220596,0
20010307,8.2187,8.7083,8.0729,8.6875,23440796,0
20010308,8.4375,9.0729,8.4375,8.9792,20664600,0
20010309,8.5104,8.5521,7.5625,8.3438,28128000,0
20010312,8.0729,8.4323,7.6979,8.0417,19023004,0
20010313,8.1458,9.1250,8.1042,9.0000,27021600,0
20010314,8.6094,9.5417,8.6094,9.5104,33741000,0
20010315,10.1250,10.5833,9.7292,9.9792,46864800,0
20010316,9.8021,10.1979,9.5313,9.9375,30220800,0
20010319,9.8854,10.5833,9.3438,10.5104,23579400,0
20010320,10.4167,11.0417,9.4375,9.5313,497400000,0
20010321,9.5521,10.5000,9.5104,10.2396,46875604,0
20010322,10.3542,11.3125,10.2500,11.2708,42246000,0
20010323,11.4792,11.6458,10.6042,11.1667,37735800,0
20010326,11.1771,11.8333,11.1667,11.7708,38380796,0
20010327,11.5417,11.9383,11.0000,11.3433,42266404,0
20010328,11.0317,11.6350,11.0100,11.3483,35677200,0
20010329,11.2917,11.8750,11.0217,11.5217,40735200,0
20010330,11.4383,11.6567,10.7500,10.8183,35211000,0
20010402,10.9017,10.9483,10.2300,10.3650,31502400,0
20010403,10.1983,10.9900,10.1983,10.7083,49630804,0
20010404,10.1667,10.2083,8.9683,9.6050,83088000,0
20010405,10.2500,10.6567,9.9683,10.4733,42906000,0
20010406,10.3550,11.0000,10.1983,10.4483,38423404,0
20010409,10.6500,10.9067,9.7750,9.9400,27257404,0
20010410,10.1783,11.2000,10.1017,10.8783,28674604,0
20010411,11.5600,11.9550,11.2167,11.5350,35616000,0
20010412,11.3200,12.2083,11.1217,11.7083,35444996,0
20010416,11.5000,11.7417,11.2133,11.4233,19008600,0
20010417,11.2500,12.0500,11.2500,11.9933,27297604,0
20010418,12.4883,14.0333,12.4883,12.8767,57384604,0
20010419,12.9583,14.2833,12.9183,13.9833,40642804,0
20010420,13.8167,14.8350,13.4917,14.4517,44047800,0
20010423,14.1317,14.1800,13.5833,13.7283,30879600,0
20010424,13.7083,14.6733,12.5417,12.7567,45442200,0
20010425,12.8050,13.7983,12.7500,13.3433,354600000,0
20010426,13.6267,13.6267,12.1750,12.2917,36862800,0
20010427,12.7683,13.2217,12.5183,13.1667,22799400,0
20010430,13.5000,14.6583,13.2400,13.8833,39564000,0
20010501,13.9333,15.2000,13.7067,15.1800,46469400,0
20010502,15.5750,15.5750,14.6333,14.8317,38677800,0
20010503,14.3833,14.8333,14.2933,14.7667,23959196,0
20010504,14.2933,15.1933,14.2667,14.9700,23735996,0
20010507,14.9017,15.7500,14.7583,15.6417,24246600,0
20010508,15.8667,15.8667,14.3767,14.5100,40386600,0
20010509,14.0750,14.2817,13.7500,13.8300,32950800,0
20010510,14.2433,14.3917,13.2017,13.3650,24939000,0
20010511,13.3317,13.3750,12.7567,13.0233,23011800,0
20010514,13.0617,13.2883,12.5917,13.1350,17509204,0
20010515,13.2483,14.1667,13.1000,13.6067,30985200,0
20010516,13.2950,14.3333,13.2300,14.3183,23779204,0
20010517,14.2950,14.9167,14.0933,14.5000,22923000,0
20010518,14.4500,14.8250,14.1000,14.3833,14308200,0
20010521,14.3333,15.7667,14.1050,15.0333,26521204,0
20010522,15.2533,15.6333,14.6683,15.4833,25376400,0
20010523,16.1183,16.6167,15.1667,15.3517,55505404,0
20010524,15.2500,15.9733,14.8083,15.5783,41970000,0
20010525,15.2567,15.5000,15.0000,15.2833,23679000,0
20010528,15.2833,15.2833,15.2833,15.2833,0,0
20010529,15.1967,15.1983,14.4500,14.6567,22737000,0
20010530,14.3100,15.0333,14.2467,14.3833,61494000,0
20010531,14.5000,14.5833,13.9600,14.2683,31532400,0
20010601,14.3700,15.1800,14.2883,15.0583,25480800,0
20010604,15.0683,15.1483,14.6350,14.8250,15518400,0
20010605,14.8083,15.7567,14.8000,15.6033,24581400,0
20010606,15.6617,15.8750,15.4433,15.6700,17427000,0
20010607,15.5333,16.5883,15.4767,16.5550,28262400,0
20010608,16.5050,16.5167,15.8750,16.1250,17775604,0
20010611,16.1450,16.1650,15.4133,15.6533,14506800,0
20010612,15.3250,16.4083,15.3000,16.1750,27277200,0
20010613,16.3067,16.5383,15.4917,15.6317,23347196,0
20010614,15.4300,15.8567,15.2250,15.5983,23514600,0
20010615,15.3817,16.1167,15.1650,15.8417,27242404,0
20010618,15.8017,16.0200,15.0500,15.2217,21390000,0
20010619,15.5017,15.8333,14.0750,14.3833,37728600,0
20010620,14.1217,15.1667,13.8333,15.0017,43953000,0
20010621,14.9433,15.5433,14.5717,15.2867,36952200,0
20010622,15.2083,15.6067,15.0167,15.2167,19003800,0
20010625,15.3767,15.4467,14.7500,15.1867,15964800,0
20010626,14.8500,15.7000,14.7967,15.6250,18898800,0
20010627,15.5517,15.5517,14.8767,15.1417,22378804,0
20010628,15.3333,15.5300,15.1833,15.3200,22700404,0
20010629,15.3733,15.7000,15.2017,15.2817,17490600,0
20010702,14.8467,14.9917,14.5667,14.7733,25672800,0
20010703,14.6717,15.1167,14.5983,14.9617,10157400,0
20010704,14.9617,14.9617,14.9617,14.9617,0,0
20010705,14.7833,14.8500,13.8583,13.8767,25270200,0
20010706,13.6683,13.7550,13.2000,13.4500,19948804,0
20010709,13.2750,13.5917,12.8833,13.0100,25290600,0
20010710,13.1833,13.3583,12.9617,13.1167,30433200,0
20010711,13.0867,13.2500,12.6883,13.0917,22539000,0
20010712,13.7083,13.8750,13.4000,13.7783,24474000,0
20010713,13.6667,14.2583,13.2133,13.4933,17231400,0
20010716,13.3333,13.4667,12.3500,12.4083,29620800,0
20010717,12.2000,13.2233,12.0917,13.1017,29038800,0
20010718,12.7900,13.1417,12.3867,12.6483,20953800,0
20010719,12.8333,13.3800,12.6350,12.8517,20896200,0
20010720,12.5000,12.8083,12.0833,12.4817,18541804,0
20010723,12.4850,12.5167,11.2850,11.3000,38572804,0
20010724,11.4517,12.0750,11.2317,12.0650,34097400,0
20010725,12.0433,12.0667,11.5683,11.9467,31111200,0
20010726,11.8333,13.2500,11.7917,13.1333,42660600,0
20010727,13.1433,13.6450,12.7717,13.5000,27336004,0
20010730,13.1533,13.4733,13.0850,13.1783,14517600,0
20010731,13.2050,13.5283,12.7333,13.4833,29107800,0
20010801,13.7483,14.3767,13.6667,14.3067,29866200,0
20010802,14.4833,14.6983,14.0000,14.6467,27342000,0
20010803,14.5000,14.7567,14.2333,14.5500,20383200,0
20010806,14.4283,15.1200,14.2733,14.9717,32248800,0
20010807,14.9683,15.0400,14.5750,14.7500,27136804,0
20010808,14.6233,15.0000,14.3100,14.3983,28107000,0
20010809,14.3300,14.5850,13.8683,14.1233,41059200,0
20010810,14.1017,14.2983,13.6900,14.1067,25898400,0
20010813,14.3633,14.8583,14.1433,14.6983,37847404,0
