DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.81,23.50,22.69,23.38,48423,0
20010103,23.44,23.94,23.38,23.75,13229,0
20010104,23.88,24.25,23.63,24.06,0,0
20010105,24.00,24.25,23.75,23.88,12065,0
20010108,24.75,25.13,24.38,25.00,101611,0
20010109,25.06,25.69,25.00,25.69,281984,0
20010110,25.63,25.94,25.25,25.81,14297,0
20010111,25.81,26.75,25.75,26.06,120590,0
20010112,26.13,26.50,25.94,26.38,6743,0
20010115,26.38,26.38,26.38,26.38,0,0
20010116,26.25,26.50,26.19,26.38,234634,0
20010117,26.44,26.81,26.44,26.50,112000,0
20010118,26.56,27.25,26.50,27.00,11757,0
20010119,27.13,27.25,26.94,27.13,11215,0
20010122,27.13,27.13,27.13,27.13,0,0
20010123,26.44,26.94,26.00,26.75,0,0
20010124,26.50,26.69,26.19,26.50,201405,0
20010125,26.69,27.31,26.44,27.06,15441,0
20010126,27.31,27.31,26.88,27.06,0,0
20010129,28.06,28.69,28.00,28.22,0,0
20010130,28.50,29.09,27.00,27.31,750400,0
20010131,27.10,27.30,26.90,27.20,0,0
20010201,27.30,28.56,27.20,28.50,1940200,0
20010202,28.40,28.41,27.75,27.96,778100,0
20010205,28.00,28.35,26.93,27.83,656800,0
20010206,27.63,28.09,27.61,27.88,1332600,0
20010207,27.95,27.95,27.42,27.73,1096400,0
20010208,27.90,28.22,27.75,28.07,4463100,0
20010209,27.75,27.92,27.05,27.36,548100,0
20010212,26.05,27.00,25.88,26.90,1611400,0
20010213,26.90,26.90,26.37,26.45,1371800,0
20010214,26.50,27.46,26.50,26.79,1363700,0
20010215,26.58,26.80,26.00,26.50,1704200,0
20010216,26.74,26.80,25.80,26.12,1209100,0
20010219,26.12,26.12,26.12,26.12,0,0
20010220,25.88,26.50,25.87,26.38,661200,0
20010221,26.40,26.73,25.75,25.76,881500,0
20010222,25.80,25.85,25.27,25.48,799800,0
20010223,25.55,25.75,25.13,25.22,858200,0
20010226,25.45,25.66,25.30,25.64,2298200,0
20010227,25.43,27.00,25.43,25.81,1144700,0
20010228,26.10,26.65,25.90,26.31,424400,0
20010301,26.25,26.54,25.88,26.41,12093400,0
20010302,26.25,27.09,26.25,26.52,884400,0
20010305,26.60,27.50,26.55,27.35,1645100,0
20010306,27.90,27.90,27.56,27.70,930200,0
20010307,27.90,28.94,27.84,28.68,8744100,0
20010308,28.70,29.50,28.50,29.21,724700,0
20010309,29.00,29.40,28.96,29.16,750700,0
20010312,29.16,29.25,28.40,28.60,1119800,0
20010313,28.50,28.65,28.09,28.56,1930900,0
20010314,27.75,28.30,27.54,27.98,604100,0
20010315,27.85,27.92,27.46,27.92,525400,0
20010316,27.40,27.75,27.33,27.43,1030600,0
20010319,27.70,28.00,27.09,27.71,623800,0
20010320,28.00,28.56,27.81,28.33,754800,0
20010321,28.33,28.45,27.16,27.36,37649800,0
20010322,27.15,27.15,26.01,26.73,1143400,0
20010323,26.50,27.50,25.90,26.99,1123700,0
20010326,26.90,27.25,26.70,27.06,3392000,0
20010327,26.25,26.80,25.60,26.30,2289200,0
20010328,26.01,26.40,25.49,25.87,24851100,0
20010329,26.05,26.43,25.48,26.17,1447600,0
20010330,26.17,26.80,25.79,26.51,536400,0
20010402,26.82,27.60,26.82,27.11,4649600,0
20010403,27.11,27.11,26.11,26.25,2646600,0
20010404,26.25,26.32,25.80,26.04,748500,0
20010405,26.40,26.40,25.07,26.03,1863300,0
20010406,26.27,26.27,25.40,25.51,11717100,0
20010409,26.00,26.05,25.55,25.80,587300,0
20010410,26.15,26.23,25.45,25.82,1004300,0
20010411,25.75,26.05,25.25,25.31,5275000,0
20010412,25.45,25.85,25.10,25.28,1506700,0
20010416,25.75,26.21,25.56,25.76,572900,0
20010417,25.76,26.23,25.60,25.94,554300,0
20010418,25.94,27.09,25.55,26.75,764300,0
20010419,27.00,27.00,26.31,26.70,488900,0
20010420,26.65,26.85,25.90,25.99,559800,0
20010423,26.20,26.22,25.70,25.93,1335100,0
20010424,26.00,26.20,25.29,25.79,682600,0
20010425,25.79,26.48,25.60,26.33,238300,0
20010426,26.33,26.85,25.99,26.41,449400,0
20010427,26.47,27.00,26.35,26.91,238400,0
20010430,26.91,27.54,26.76,26.96,431500,0
20010501,27.20,27.43,26.90,27.31,300300,0
20010502,27.15,27.47,26.86,27.34,460700,0
20010503,26.00,26.39,25.56,25.85,2930700,0
20010504,25.17,25.45,24.60,24.79,4637800,0
20010507,24.68,25.08,24.37,24.67,1201800,0
20010508,24.57,24.58,23.50,24.30,1251800,0
20010509,23.85,24.24,23.75,24.00,1385900,0
20010510,23.80,24.49,23.75,24.29,913800,0
20010511,24.30,24.50,24.15,24.34,625500,0
20010514,24.20,24.50,24.06,24.40,381000,0
20010515,24.40,24.70,24.16,24.31,765600,0
20010516,24.31,26.38,24.31,26.30,19500000,0
20010517,25.88,26.08,25.49,25.70,2069300,0
20010518,25.50,25.68,24.90,25.12,2192800,0
20010521,25.12,25.12,24.54,25.01,1363600,0
20010522,25.05,25.59,24.90,25.13,3624900,0
20010523,25.14,25.40,25.06,25.30,1073000,0
20010524,25.25,25.51,25.22,25.26,774500,0
20010525,25.15,25.19,24.35,24.81,835800,0
20010528,24.81,24.81,24.81,24.81,0,0
20010529,24.80,25.90,24.25,25.41,763200,0
20010530,25.45,25.91,25.45,25.50,3338700,0
20010531,25.50,25.72,25.05,25.27,1610600,0
20010601,25.00,25.83,24.90,25.65,4350400,0
20010604,25.65,26.00,25.65,26.00,1074800,0
20010605,25.99,26.24,25.93,26.23,57354600,0
20010606,26.07,26.45,26.00,26.21,1650600,0
20010607,26.28,26.50,26.25,26.49,828400,0
20010608,26.50,26.59,26.30,26.43,5383500,0
20010611,26.50,26.50,26.10,26.18,3377100,0
20010612,26.20,26.47,26.05,26.29,313900,0
20010613,26.30,26.45,26.07,26.23,1451500,0
20010614,26.10,26.23,25.80,25.92,826900,0
20010615,25.75,25.75,25.10,25.10,1404500,0
20010618,25.10,25.10,24.87,24.88,487000,0
20010619,24.95,25.05,24.65,24.86,1648300,0
20010620,24.86,24.94,24.37,24.52,4027100,0
20010621,24.45,24.75,24.05,24.71,1371200,0
20010622,24.65,24.76,24.43,24.66,1373500,0
20010625,24.60,24.65,24.17,24.43,314300,0
20010626,24.00,24.50,23.87,24.47,1092200,0
20010627,24.22,24.38,23.87,24.07,952600,0
20010628,24.20,24.84,24.11,24.76,492300,0
20010629,25.10,25.24,24.60,25.10,25496700,0
20010702,25.10,25.20,24.90,25.10,1066900,0
20010703,25.33,25.49,25.02,25.40,266100,0
20010704,25.40,25.40,25.40,25.40,0,0
20010705,25.40,25.40,24.72,25.06,2339200,0
20010706,25.05,25.05,24.30,24.54,1350200,0
20010709,24.53,24.67,24.15,24.67,1251400,0
20010710,24.67,24.67,24.12,24.37,251900,0
20010711,22.00,23.08,21.63,22.70,3568500,0
20010712,22.73,23.13,22.57,22.89,30965400,0
20010713,22.85,22.95,22.64,22.80,1237900,0
20010716,22.72,22.95,22.14,22.20,11895900,0
20010717,22.40,22.53,22.10,22.40,19845800,0
20010718,22.30,22.55,22.30,22.45,25719600,0
20010719,22.45,22.85,22.00,22.28,3564200,0
20010720,22.34,22.64,22.26,22.58,799000,0
20010723,22.52,22.70,22.16,22.51,411000,0
20010724,22.35,22.55,22.06,22.28,657100,0
20010725,22.08,22.60,22.02,22.24,4811300,0
20010726,22.15,22.56,21.90,22.50,2399400,0
20010727,22.40,22.47,22.00,22.02,1241000,0
20010730,21.76,22.04,21.70,21.90,23470700,0
20010731,22.20,22.20,21.62,21.68,2217700,0
20010801,21.95,22.65,21.70,22.55,15202100,0
20010802,22.45,23.85,22.40,23.70,22400000,0
20010803,23.58,23.60,22.78,23.02,510800,0
20010806,23.25,23.34,22.90,23.07,1469400,0
20010807,23.10,23.33,23.01,23.18,4603600,0
20010808,23.18,23.51,23.18,23.37,6537400,0
20010809,23.37,23.70,23.37,23.50,6412500,0
20010810,23.59,23.75,23.25,23.67,28583800,0
20010813,23.70,23.90,23.51,23.79,2195000,0
20010814,24.00,24.13,23.65,24.00,10568000,0
20010815,24.10,24.34,23.47,23.96,11584300,0
20010816,23.96,24.11,23.46,23.99,631700,0
20010817,23.98,24.07,23.76,23.89,289600,0
20010820,24.10,24.23,23.60,23.99,5536300,0
20010821,23.85,23.85,23.45,23.55,406400,0
