DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20130620,16.3700,16.3700,15.2500,15.3000,9237303,0
20130621,15.7000,15.8000,15.4000,15.6200,8304716,0
20130624,15.6400,15.8400,15.2000,15.5300,4217141,0
20130625,15.5500,15.7400,15.3500,15.7200,2977691,0
20130626,15.6900,15.6900,15.1800,15.4000,14704756,0
20130627,15.3400,15.8700,14.8500,15.5000,12069863,0
20130628,15.5000,15.7700,15.2500,15.2500,12452722,0
20130701,15.5900,15.5900,14.7500,14.7900,22798909,0
20130702,14.6900,15.1200,14.6900,15.0000,24324130,0
20130703,14.9500,15.0900,14.7300,14.8700,8132881,0
20130705,14.9500,15.9500,14.8900,15.6600,12392781,0
20130708,15.6300,16.0400,15.4950,15.9550,15287807,0
20130709,15.7900,15.9700,15.5000,15.7100,9897489,0
20130710,15.5000,15.5700,15.1450,15.3900,16297424,0
20130711,15.6000,15.6000,14.9600,15.1300,16994410,0
20130712,15.0700,15.1200,14.9000,14.9300,10398203,0
20130715,14.9300,15.0300,14.3900,14.6700,20618866,0
20130716,14.5700,15.3400,14.5700,15.2800,9274430,0
20130717,15.3600,15.9600,15.2900,15.8900,13386331,0
20130718,15.9400,16.1000,15.3300,15.4700,10652557,0
20130719,15.3500,16.0800,15.2600,15.9700,11437371,0
20130722,16.0900,16.1250,15.6100,15.7300,6079366,0
20130723,15.6900,15.8650,15.5400,15.6500,9165002,0
20130724,15.6500,15.8850,15.4200,15.7100,6191841,0
20130725,15.6600,15.8700,15.4500,15.5700,7060454,0
20130726,15.5400,15.9700,15.3100,15.8900,5866709,0
20130729,15.8700,15.8700,15.4000,15.5100,8968047,0
20130730,15.6000,15.9550,15.4600,15.9500,12768042,0
20130731,16.0000,16.2100,15.8300,15.9300,7645682,0
20130801,15.9400,16.2800,15.9400,16.2150,10264910,0
20130802,16.1500,16.4700,16.1200,16.3400,8153349,0
20130805,16.3300,16.3300,15.8900,16.0000,8750651,0
20130806,15.9900,16.2500,15.8200,16.1800,6192664,0
20130807,16.1500,16.1500,15.8500,15.9500,4675761,0
20130808,16.0700,16.3100,15.9100,16.1300,7092925,0
20130809,16.0900,16.1600,15.9600,15.9800,4272882,0
20130812,15.8800,16.0600,15.7400,15.9200,4876161,0
20130813,15.9100,15.9500,15.8000,15.8300,3599044,0
20130814,15.8300,16.0100,15.6600,15.9000,3921860,0
20130815,15.7900,16.1900,15.7000,16.1000,5154624,0
20130816,16.0400,16.2500,15.9600,15.9800,6353936,0
20130819,16.0500,16.0600,15.6900,15.7000,6098889,0
20130820,15.8300,15.8300,15.5200,15.7000,4260209,0
20130821,15.6100,15.7800,15.4900,15.7600,4975780,0
20130822,15.7600,15.8250,15.6300,15.7100,3715805,0
20130823,15.7100,15.7900,15.5700,15.7300,3975975,0
20130826,15.7900,15.9000,15.7100,15.8600,4122139,0
20130827,15.7500,16.0000,15.6900,15.7290,9051261,0
20130828,15.7600,15.8100,15.6800,15.7600,11074416,0
20130829,15.7300,15.8900,15.6400,15.7700,2755220,0
20130830,15.7500,15.7800,15.5900,15.7000,5108610,0
20130903,15.8900,16.0300,15.6900,15.7800,3731996,0
20130904,15.7900,16.0800,15.7600,16.0300,4984986,0
20130905,15.9700,16.2750,15.8800,16.2400,3508117,0
20130906,16.3100,16.3400,16.0800,16.1900,3058179,0
20130909,16.1600,16.3400,16.1600,16.3350,3639690,0
20130910,16.3800,16.5700,16.2500,16.5550,4227071,0
20130911,16.6500,17.0600,16.5000,17.0500,7477481,0
20130912,17.1200,17.2600,16.9400,17.1050,4832667,0
20130913,17.0600,17.0800,16.7700,16.8900,2701075,0
20130916,17.1200,17.1999,16.7800,16.9600,5686483,0
20130917,17.0300,17.1700,16.8900,16.9950,2526256,0
20130918,16.9900,17.1800,16.8400,17.0450,3856041,0
20130919,17.1000,17.1000,16.6600,16.8710,3279532,0
20130920,16.9200,17.0000,16.4700,16.6350,4337868,0
20130923,16.6200,16.6400,16.3700,16.5300,2349577,0
20130924,16.5300,17.2000,16.5050,17.0400,5524919,0
20130925,17.0300,17.0400,16.6800,16.8000,4354720,0
20130926,16.7700,16.8700,16.1000,16.2900,12727539,0
20130927,16.1000,16.2500,15.9900,16.1700,7055790,0
20130930,16.2000,16.2600,15.9100,16.0600,6050760,0
20131001,16.0500,16.1400,15.8000,15.9100,8775843,0
20131002,15.8500,16.2700,15.7000,16.1400,17491833,0
20131003,16.1400,16.2499,15.7900,15.8700,17091869,0
20131004,15.8400,16.0100,15.7900,15.8400,13162880,0
20131007,15.7000,15.9800,15.6900,15.9100,8613925,0
20131008,15.5107,15.9750,15.5107,15.8000,4812966,0
20131009,15.8000,15.9500,15.7500,15.8800,4184832,0
