DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,41.44,41.94,39.28,39.38,8978,0
20010103,38.34,43.41,38.34,43.13,342032,0
20010104,43.13,44.72,43.13,44.53,231872,0
20010105,44.97,44.97,42.88,43.63,20146,0
20010108,43.44,43.47,42.38,43.47,0,0
20010109,43.00,44.09,43.00,43.88,50516,0
20010110,43.44,43.56,42.63,43.50,32232,0
20010111,43.38,45.91,43.03,45.91,18928,0
20010112,45.50,46.22,44.69,46.06,242000,0
20010115,46.06,46.06,46.06,46.06,0,0
20010116,46.06,46.06,44.13,44.69,19142,0
20010117,44.94,45.59,44.72,45.03,16924,0
20010118,45.13,45.59,44.69,45.38,15504,0
20010119,45.38,45.41,44.81,45.03,0,0
20010122,45.03,45.03,45.03,45.03,0,0
20010123,44.44,45.06,42.78,44.84,20232,0
20010124,44.81,45.88,44.22,44.88,0,0
20010125,44.78,45.97,43.72,45.50,15340,0
20010126,45.50,45.50,44.13,44.66,10612,0
20010129,46.39,46.55,45.50,45.73,100000000,0
20010130,46.13,46.55,44.50,46.55,2726200,0
20010131,45.49,45.95,44.55,45.55,1551400,0
20010201,45.65,45.65,43.75,44.01,7186600,0
20010202,44.01,44.01,43.15,43.44,3198800,0
20010205,43.80,44.99,43.40,44.63,0,0
20010206,44.97,45.10,43.95,44.28,2346200,0
20010207,44.28,44.35,43.76,43.95,1246600,0
20010208,44.00,44.90,44.00,44.83,0,0
20010209,44.83,44.90,44.40,44.56,1427400,0
20010212,44.50,44.90,44.20,44.85,3085600,0
20010213,44.65,44.92,44.53,44.66,1670400,0
20010214,44.65,44.70,43.83,44.42,5360400,0
20010215,44.30,44.75,44.13,44.75,2171600,0
20010216,44.40,44.99,44.13,44.38,0,0
20010219,44.38,44.38,44.38,44.38,0,0
20010220,44.80,47.46,44.80,47.26,3873600,0
20010221,47.15,47.63,46.50,47.15,2821600,0
20010222,47.15,47.63,46.25,46.35,2806400,0
20010223,45.85,46.05,44.42,45.10,3262200,0
20010226,45.17,45.50,44.76,45.08,2649800,0
20010227,45.00,46.38,44.96,46.00,3762000,0
20010228,46.00,46.00,44.83,45.35,1996000,0
20010301,45.35,45.47,44.61,45.35,2789000,0
20010302,45.00,45.97,44.90,45.76,1703800,0
20010305,45.50,45.50,44.64,44.87,1906600,0
20010306,45.00,45.72,45.00,45.56,2215000,0
20010307,44.95,46.72,44.95,46.20,2286000,0
20010308,45.70,46.00,45.25,45.94,5849000,0
20010309,45.00,45.25,44.02,44.17,2397800,0
20010312,44.01,44.01,41.56,41.75,3023200,0
20010313,41.75,42.05,40.65,41.50,3595800,0
20010314,41.00,41.58,40.33,40.60,3436200,0
20010315,41.00,42.10,41.00,41.99,741200,0
20010316,41.90,42.05,40.83,41.55,2579600,0
20010319,41.56,41.60,40.38,41.15,2265400,0
20010320,41.42,42.08,41.10,41.30,1229400,0
20010321,41.28,41.65,40.83,40.97,7339600,0
20010322,40.78,40.78,38.55,39.80,3687200,0
20010323,40.00,40.88,39.80,40.88,1835200,0
20010326,40.83,41.33,39.90,40.45,9205600,0
20010327,40.33,42.37,40.25,42.24,94724800,0
20010328,42.24,42.47,41.83,42.25,8065000,0
20010329,42.38,42.44,40.75,41.37,2012400,0
20010330,41.37,41.92,40.78,41.38,3496800,0
20010402,41.60,42.20,41.13,41.56,1378600,0
20010403,41.43,41.47,40.08,40.35,2082600,0
20010404,40.30,40.33,39.00,39.75,3203200,0
20010405,40.10,41.35,40.03,41.35,2442400,0
20010406,41.35,41.35,40.01,40.58,946400,0
20010409,40.75,41.70,40.65,41.63,1531200,0
20010410,41.55,42.08,41.47,41.66,1353200,0
20010411,42.13,42.33,41.40,42.02,2379800,0
20010412,41.70,43.47,41.65,43.25,3047000,0
20010416,43.25,43.70,42.85,43.50,1539800,0
20010417,43.03,44.15,43.00,44.15,1302000,0
20010418,44.54,46.35,44.47,45.58,5454200,0
20010419,45.50,46.25,45.25,46.25,1472800,0
20010420,46.00,46.00,44.74,45.35,1748200,0
20010423,45.25,45.25,43.97,44.03,2174800,0
20010424,44.10,44.92,44.10,44.60,1879800,0
20010425,44.60,45.19,44.30,45.06,2081000,0
20010426,44.75,46.05,44.63,46.01,55091600,0
20010427,45.38,45.40,43.88,44.22,3783200,0
20010430,44.80,44.80,43.71,43.92,1773200,0
20010501,43.92,43.92,43.08,43.22,2553000,0
20010502,43.27,43.92,43.22,43.76,2044200,0
20010503,43.76,43.90,42.56,43.41,1355600,0
20010504,43.15,44.55,43.12,44.47,1175000,0
20010507,44.38,44.49,43.56,44.44,703400,0
20010508,44.63,45.38,44.35,45.19,1646800,0
20010509,44.72,45.69,44.63,45.20,1584600,0
20010510,45.20,45.63,44.85,44.94,1726600,0
20010511,44.97,45.25,44.76,44.88,1255600,0
20010514,44.87,44.99,44.65,44.90,737400,0
20010515,44.97,46.25,44.88,45.50,1966600,0
20010516,45.55,46.29,44.87,46.20,1647200,0
20010517,46.20,47.32,46.20,47.13,1751800,0
