DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.5625,13.5938,11.8750,12.1875,1717600,0
20010103,11.8281,13.0625,11.8125,12.9375,1883600,0
20010104,12.9375,13.1875,12.7813,12.8750,928600,0
20010105,12.8125,13.0313,12.2500,12.9063,580600,0
20010108,12.8125,13.0625,12.4375,12.5313,521000,0
20010109,12.7188,12.7188,12.1875,12.4688,415600,0
20010110,12.5313,12.6250,12.2188,12.6250,1181000,0
20010111,12.5469,12.9375,12.4688,12.5625,338000,0
20010112,12.3750,12.9063,12.3438,12.4375,371400,0
20010115,12.4375,12.4375,12.4375,12.4375,0,0
20010116,12.5469,12.8125,12.1875,12.8125,536600,0
20010117,12.8750,13.2500,12.6875,12.7188,1352200,0
20010118,12.6563,12.8750,12.4375,12.7500,674600,0
20010119,12.4375,12.8750,11.6250,11.6250,988800,0
20010122,11.6563,12.5000,11.6250,11.9688,365000,0
20010123,12.1250,12.2500,11.2500,11.4063,2121400,0
20010124,11.2813,11.3750,10.2500,10.5938,1431800,0
20010125,10.5313,10.7500,10.0000,10.6563,1082600,0
20010126,10.4375,10.7500,10.3750,10.7188,235000,0
20010129,10.5000,11.1250,10.5000,11.0000,660200,0
20010130,10.9375,11.2813,10.8750,11.0000,630200,0
20010131,10.9688,11.5625,10.9375,11.2500,596600,0
20010201,11.2500,11.4375,10.5625,11.3750,443000,0
20010202,11.2500,11.5000,10.6875,10.6875,276600,0
20010205,10.7500,10.9375,10.2500,10.5000,544400,0
20010206,10.6563,11.0000,10.4688,10.8438,363000,0
20010207,10.8125,11.1250,10.5000,11.0000,582200,0
20010208,10.6875,11.0000,10.3750,10.5313,522400,0
20010209,10.5469,10.5938,9.1250,9.9688,1008600,0
20010212,7.9375,10.2813,7.8750,10.0000,2382200,0
20010213,10.0625,10.0938,9.5000,9.6250,373200,0
20010214,9.5313,10.1250,9.5313,10.0625,235200,0
20010215,10.0625,10.6563,9.8750,10.0313,208800,0
20010216,9.8750,10.0000,9.6563,9.7500,186000,0
20010219,9.7500,9.7500,9.7500,9.7500,0,0
20010220,9.9688,10.5000,9.6875,9.9688,476000,0
20010221,10.0000,10.0625,9.3750,9.5313,471600,0
20010222,9.3125,10.2188,9.0000,9.5000,419000,0
20010223,9.4375,9.7500,9.1875,9.7188,291200,0
20010226,9.6250,10.0000,9.5000,9.7188,284000,0
20010227,9.5625,9.7500,9.5000,9.5938,95200,0
20010228,9.4375,9.7500,9.3750,9.4688,441800,0
20010301,9.3438,9.4375,8.9375,9.1563,184200,0
20010302,8.9375,9.4375,8.9375,9.2188,160200,0
20010305,9.1563,9.7188,9.0625,9.2500,156600,0
20010306,9.2813,9.3281,8.9375,9.0625,333800,0
20010307,9.0625,9.5625,9.0625,9.2500,177600,0
20010308,9.2500,9.9063,9.2500,9.3750,276600,0
20010309,9.3125,9.5000,9.1563,9.2500,364800,0
20010312,9.2500,9.5000,9.1250,9.2188,226800,0
20010313,9.2500,9.5000,9.2500,9.4688,414600,0
20010314,9.2031,9.6875,9.1875,9.5000,456800,0
20010315,9.3750,9.5625,9.3750,9.3750,437600,0
20010316,9.6563,9.7500,9.3125,9.3125,520800,0
20010319,9.3750,9.5938,9.3125,9.5313,10000000,0
20010320,9.5313,9.6563,9.2500,9.2813,253200,0
20010321,9.3594,9.4688,9.2500,9.4688,324400,0
20010322,9.3125,9.3750,8.9063,8.9063,429800,0
20010323,9.2813,9.3750,9.1250,9.3125,232000,0
20010326,9.3438,9.4063,8.8438,9.1250,363600,0
20010327,9.0650,9.4400,9.0000,9.3450,523200,0
20010328,9.1900,9.4700,9.0650,9.1550,393800,0
20010329,9.0650,9.4700,9.0000,9.2500,181000,0
20010330,9.0950,10.0000,9.0950,9.9700,404800,0
20010402,9.8750,9.9700,9.6900,9.8450,256600,0
20010403,9.8450,9.8450,9.5650,9.8150,305600,0
20010404,9.6550,10.0000,9.3750,9.9700,258200,0
20010405,10.0000,10.5000,9.8450,10.5000,264200,0
20010406,10.2500,10.5000,9.9400,10.2800,433400,0
20010409,10.3750,10.3750,10.1450,10.1750,137000,0
20010410,10.1750,10.3750,10.0950,10.3000,219400,0
20010411,10.3100,10.6250,10.2500,10.4550,238200,0
20010412,10.4150,10.5450,10.0500,10.5450,123000,0
20010416,10.4600,10.5800,9.9900,10.4050,218800,0
20010417,10.4600,10.5800,10.1600,10.5000,18000000,0
20010418,10.6100,10.9000,10.4950,10.5300,340400,0
20010419,10.5500,11.0000,10.5500,10.9500,320800,0
20010420,10.8500,10.9500,10.6250,10.6900,175000,0
20010423,10.5950,10.7500,10.2900,10.3250,125800,0
20010424,10.2850,10.9750,10.2850,10.8950,150400,0
