DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,49.8750,50.3750,44.9375,45.6875,2430800,0
20010103,46.0000,51.0000,45.9375,48.6250,3850100,0
20010104,48.3750,48.3750,45.0625,45.3125,4714000,0
20010105,45.5000,48.5000,43.8750,44.6875,3087800,0
20010108,44.9375,47.7500,44.8125,46.4375,2338100,0
20010109,47.0000,50.1250,46.6250,48.5625,2567800,0
20010110,47.2188,48.0000,45.0000,47.3750,2908900,0
20010111,47.8750,48.9375,47.2500,47.9375,1381300,0
20010112,48.2500,48.9375,46.6875,48.5000,2014400,0
20010115,48.5000,48.5000,48.5000,48.5000,0,0
20010116,48.3750,48.8750,46.7188,47.3750,1613900,0
20010117,48.5000,49.5000,47.5000,47.7500,1760900,0
20010118,47.9688,49.3750,47.5000,48.6250,1985900,0
20010119,48.3438,48.5000,46.0625,46.5000,2228500,0
20010122,46.1875,46.5000,44.9375,45.7500,2534700,0
20010123,46.0000,46.7500,45.1250,46.5000,1899400,0
20010124,46.6875,46.8750,44.9375,45.5625,2871100,0
20010125,45.4375,46.0000,44.1875,44.5000,2791600,0
20010126,44.8125,46.5000,44.2500,45.6875,1771700,0
20010129,45.7500,46.3750,45.2500,45.8750,1326000,0
20010130,46.0937,46.1250,44.4375,45.2500,1486000,0
20010131,45.3750,45.5937,44.1250,45.1250,1789900,0
20010201,45.1250,45.1250,41.3125,41.4375,5358300,0
20010202,42.0625,42.2500,39.3750,39.6250,5987300,0
20010205,40.0625,40.6250,39.3750,39.8750,4801300,0
20010206,39.8750,42.7500,39.5625,40.8125,2847400,0
20010207,40.8750,42.5000,40.8125,42.1250,2309400,0
20010208,42.7500,43.2500,40.8125,41.6250,1557100,0
20010209,41.2500,43.3750,41.0000,42.2500,2334700,0
20010212,42.6250,43.5000,41.3750,43.0625,1585000,0
20010213,43.7500,43.8125,41.1250,41.2500,1411700,0
20010214,40.5625,43.3750,40.5625,43.3125,1803000,0
20010215,43.3125,43.3750,42.0000,42.7500,1881100,0
20010216,41.2500,42.2500,40.4375,41.6250,2071100,0
20010219,41.6250,41.6250,41.6250,41.6250,0,0
20010220,41.5625,42.7500,41.0625,41.7500,2726900,0
20010221,41.5312,44.2500,41.5312,42.1875,2366300,0
20010222,42.3750,44.4375,42.2500,44.0625,3430100,0
20010223,43.7500,44.9375,42.1250,43.6250,3276000,0
20010226,43.7500,44.0625,41.0625,42.8750,2233300,0
20010227,42.8125,42.8750,40.7500,41.2500,2323700,0
20010228,41.3750,42.7500,39.8125,39.9375,4150200,0
20010301,40.1250,40.1250,37.0625,39.4375,5528900,0
20010302,38.5625,40.6875,38.5000,39.0000,3052100,0
20010305,38.7500,40.7500,38.3750,39.8125,1459900,0
20010306,40.5000,41.7500,40.0625,40.8125,2026300,0
20010307,41.1875,41.5000,40.0000,40.6875,1310600,0
20010308,41.0000,41.0000,39.6250,40.0625,1383600,0
20010309,40.0625,40.0625,38.1875,38.8750,1557500,0
20010312,38.5000,38.5000,34.5000,35.1250,3990300,0
20010313,36.0000,38.3750,34.8125,36.6250,4094100,0
20010314,35.0000,36.5000,33.7500,35.6875,3007000,0
20010315,36.6250,37.3125,35.0000,35.0625,2598000,0
20010316,33.4375,35.1250,33.0000,33.7500,4875200,0
20010319,34.9375,36.9375,33.9375,36.3750,5537400,0
20010320,36.9375,37.1875,34.1250,34.3125,3558600,0
20010321,33.8750,36.8125,33.3750,36.3750,5300600,0
20010322,36.7188,38.5000,36.5625,38.2500,6935400,0
20010323,39.0625,39.2500,37.6250,38.3750,4636300,0
20010326,38.6875,39.0937,37.7500,37.9375,2088200,0
20010327,38.5000,38.6300,38.3100,38.3100,2481900,0
20010328,38.2500,40.0000,38.1300,38.4400,2733400,0
20010329,38.1900,38.8800,37.1300,37.6300,2803800,0
20010330,38.2800,38.3100,36.4400,37.0600,2847900,0
20010402,37.6900,37.8800,36.2500,37.1300,2742000,0
20010403,36.2500,37.2500,35.4400,35.5000,3293200,0
