DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.4365,5.4497,5.1587,5.2646,429975,0
20010103,5.2116,5.3968,5.2116,5.3968,498015,0
20010104,5.3770,5.4365,5.2646,5.2910,453128,0
20010105,5.3704,5.3704,5.0265,5.2249,382725,0
20010108,5.1521,5.2381,5.1058,5.1323,244283,0
20010109,5.1323,5.1852,5.0926,5.1190,417218,0
20010110,5.1058,5.2910,5.1058,5.2910,824985,0
20010111,5.2910,5.3968,5.1984,5.2381,554243,0
20010112,5.2646,5.2646,5.1455,5.1984,242865,0
20010115,5.1984,5.1984,5.1984,5.1984,0,0
20010116,5.1786,5.2116,5.1323,5.1455,158760,0
20010117,5.1720,5.2381,5.1323,5.1455,717728,0
20010118,5.1587,5.2778,5.1190,5.2778,331695,0
20010119,5.2910,5.2910,5.1190,5.1323,567473,0
20010122,5.2249,5.3439,5.1587,5.3439,317993,0
20010123,5.2381,5.3836,5.2249,5.3175,165848,0
20010124,5.3307,5.5027,5.2513,5.4762,358155,0
20010125,5.4100,5.4762,5.3836,5.4630,265545,0
20010126,5.4233,5.6349,5.4100,5.5556,428085,0
20010129,5.5754,5.6085,5.5027,5.6085,530618,0
20010130,5.5952,5.6217,5.5556,5.6085,275940,0
20010131,5.6217,5.6481,5.4497,5.4564,407768,0
20010201,5.5423,5.5820,5.4894,5.5820,131355,0
20010202,5.5886,5.7937,5.5886,5.6746,307598,0
20010205,5.6680,5.7408,5.5820,5.7408,490928,0
20010206,5.7341,5.7341,5.6085,5.6085,252315,0
20010207,5.6481,5.6878,5.5556,5.6878,237195,0
20010208,5.6746,5.7408,5.5952,5.5952,202230,0
20010209,5.6085,5.7804,5.5952,5.7143,275940,0
20010212,5.6878,5.8796,5.6878,5.8333,308543,0
20010213,5.7275,5.8862,5.7275,5.8862,273105,0
20010214,5.8730,5.8995,5.8333,5.8995,210735,0
20010215,5.9259,5.9920,5.8598,5.9789,1220940,0
20010216,5.9127,5.9656,5.8201,5.8333,279720,0
20010219,5.8333,5.8333,5.8333,5.8333,0,0
20010220,5.8069,5.8730,5.7937,5.7937,103950,0
20010221,5.7937,5.8201,5.5556,5.6481,251370,0
20010222,5.7143,5.7143,5.4762,5.5291,166793,0
20010223,5.5291,5.5688,5.3175,5.4762,476753,0
20010226,5.4762,5.6217,5.4762,5.6217,179078,0
20010227,5.5556,5.6878,5.5556,5.6481,114818,0
20010228,5.7143,5.7143,5.4762,5.6217,227273,0
20010301,5.6878,5.6878,5.5291,5.6614,134190,0
20010302,5.6481,5.7408,5.5820,5.7143,162068,0
20010305,5.6746,5.7143,5.5820,5.7143,114345,0
20010306,5.7408,5.8201,5.6614,5.7937,203175,0
20010307,5.7408,5.8995,5.7408,5.8995,107258,0
20010308,5.9127,5.9259,5.7937,5.7937,182858,0
20010309,5.7672,5.8333,5.7010,5.7143,86940,0
20010312,5.7143,5.7408,5.4630,5.4894,259403,0
20010313,5.4630,5.5820,5.4233,5.5423,273578,0
20010314,5.5027,5.6085,5.3439,5.3704,324608,0
20010315,5.3638,5.5027,5.3307,5.3439,206010,0
20010316,5.5027,5.5027,5.3704,5.4894,446513,0
20010319,5.5027,5.5159,5.2249,5.5027,367605,0
20010320,5.4894,5.6085,5.4497,5.4497,175770,0
20010321,5.4233,5.4233,5.2513,5.2778,237668,0
20010322,5.2778,5.3439,4.9471,5.1587,274995,0
20010323,5.1720,5.3042,5.1720,5.3042,405405,0
20010326,5.3307,5.5952,5.3307,5.5820,198450,0
20010327,5.5429,5.6741,5.5027,5.5958,308543,0
20010328,5.5027,5.5027,5.3566,5.3841,736155,0
20010329,5.3841,5.5027,5.3714,5.3714,376110,0
20010330,5.3841,5.5429,5.3566,5.4497,449348,0
20010402,5.5027,5.5153,5.3714,5.3968,318465,0
20010403,5.3968,5.3968,5.2381,5.2783,245228,0
20010404,5.2783,5.3185,5.1196,5.1725,409658,0
20010405,5.1598,5.3185,5.1598,5.3037,244283,0
20010406,5.0265,5.2381,4.8275,5.0265,952088,0
20010409,4.9206,4.9735,4.8889,4.9609,849555,0
20010410,4.8889,5.0794,4.8889,4.9735,228690,0
20010411,4.9524,4.9947,4.8677,4.8762,424305,0
20010412,4.8254,4.8444,4.6772,4.7153,573615,0
20010416,4.6942,4.7492,4.5185,4.5185,606218,0
20010417,4.5418,4.6391,4.5037,4.5884,282555,0
20010418,4.5926,4.6878,4.5926,4.6561,435645,0
20010419,4.6561,4.7386,4.6561,4.6730,777735,0
20010420,4.6667,4.9905,4.6667,4.7450,869873,0
20010423,4.7598,4.8635,4.7048,4.7450,267908,0
20010424,4.7767,4.9164,4.6815,4.7090,269325,0
20010425,4.7238,4.9735,4.7005,4.9228,264600,0
20010426,4.9630,5.0709,4.8381,4.9354,461633,0
20010427,4.9545,5.0074,4.8550,4.8825,192308,0
20010430,4.8783,4.9164,4.7471,4.7704,421943,0
20010501,4.8106,4.8127,4.4444,4.6561,694103,0
20010502,4.6561,4.7069,4.6391,4.6751,203648,0
20010503,4.6772,4.6772,4.6476,4.6624,201758,0
20010504,4.5503,4.7979,4.5481,4.7979,316575,0
20010507,4.7979,4.9333,4.7196,4.8889,438953,0
20010508,4.9228,4.9228,4.8318,4.8466,880268,0
20010509,4.8741,4.8783,4.5926,4.6857,1193063,0
20010510,4.7323,4.8211,4.7301,4.7619,401153,0
20010511,4.7830,5.0243,4.7830,4.8699,350123,0
20010514,4.8699,4.9228,4.7556,4.7598,252315,0
20010515,4.8275,4.9630,4.7450,4.8931,589208,0
20010516,4.8825,4.9080,4.7830,4.8699,333585,0
20010517,4.8677,4.9312,4.8677,4.8889,152145,0
20010518,4.9312,5.0053,4.8720,4.9841,126630,0
20010521,5.0074,5.0074,4.9100,4.9947,215933,0
20010522,4.9651,5.1090,4.9376,5.0815,533925,0
20010523,5.0582,5.0624,4.9947,5.0519,391703,0
20010524,5.0582,5.1217,5.0582,5.0942,188055,0
20010525,5.0963,5.1196,5.0476,5.0476,355793,0
20010528,5.0476,5.0476,5.0476,5.0476,0,0
20010529,5.0434,5.0434,4.9862,4.9968,142695,0
20010530,4.9926,4.9926,4.8699,4.9312,166320,0
20010531,4.9100,5.0265,4.9100,4.9735,101588,0
