DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,33.19,33.69,32.31,32.63,6267,0
20010103,32.88,34.81,32.44,34.63,26546,0
20010104,34.13,35.00,34.13,34.69,0,0
20010105,34.69,34.69,32.81,33.50,0,0
20010108,33.75,33.88,33.00,33.75,4744,0
20010109,34.13,34.25,33.25,33.50,6035,0
20010110,33.50,34.00,33.38,33.50,8243,0
20010111,33.06,33.19,32.56,32.56,8039,0
20010112,32.50,32.75,32.00,32.63,0,0
20010115,32.63,32.63,32.63,32.63,0,0
20010116,32.88,33.06,32.50,32.94,13427,0
20010117,33.19,34.00,33.13,33.94,155743,0
20010118,34.00,34.25,33.25,33.75,7441,0
20010119,33.44,34.25,33.44,34.06,6234,0
20010122,34.06,34.06,34.06,34.06,0,0
20010123,34.44,36.13,34.44,36.06,8245,0
20010124,36.06,36.06,35.25,35.63,0,0
20010125,35.38,35.44,34.75,35.00,5925,0
20010126,35.13,35.13,34.31,34.94,0,0
20010129,35.47,36.19,35.19,35.69,18370500,0
20010130,35.56,36.09,33.63,34.00,1106500,0
20010131,33.76,35.20,33.60,34.97,0,0
20010201,34.97,34.97,33.94,34.50,4422000,0
20010202,34.27,35.04,34.20,34.60,654800,0
20010205,34.50,35.12,34.20,34.91,1473700,0
20010206,34.50,35.15,34.30,34.94,0,0
20010207,35.15,35.50,34.76,34.98,777000,0
20010208,35.00,35.00,34.70,34.90,14257500,0
20010209,34.55,35.02,34.01,34.86,0,0
20010212,34.62,35.30,34.60,34.90,6406600,0
20010213,34.90,36.00,34.84,35.95,701100,0
20010214,35.75,36.45,35.05,36.04,2591400,0
20010215,37.00,38.40,36.92,37.24,965700,0
20010216,37.40,37.45,36.50,36.98,660700,0
20010219,36.98,36.98,36.98,36.98,0,0
20010220,36.73,36.98,36.13,36.19,338700,0
20010221,36.19,36.19,34.60,34.75,1057500,0
20010222,34.47,34.54,33.57,33.95,1086700,0
20010223,33.95,34.85,33.80,34.55,5574000,0
20010226,35.50,35.72,34.70,35.28,5520000,0
20010227,35.25,35.39,34.28,34.33,449100,0
20010228,34.33,34.75,33.95,34.10,400400,0
20010301,34.06,34.65,34.01,34.63,4340100,0
