DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,8.2500,9.1875,7.8750,8.4375,396550,0
20010103,8.4375,11.2500,8.4375,10.8750,457033,0
20010104,11.0625,12.3750,10.5000,11.6250,530633,0
20010105,11.8125,12.0000,9.9375,10.3125,342600,0
20010108,10.1250,10.5000,9.0000,9.3750,304300,0
20010109,9.7500,10.8750,9.5625,10.8750,259567,0
20010110,12.1875,13.3125,11.4375,12.3750,745250,0
20010111,12.5625,16.3125,12.3750,15.5625,1223583,0
20010112,16.5000,18.3750,15.1875,17.8125,923817,0
20010115,17.8125,17.8125,17.8125,17.8125,0,0
20010116,19.1250,21.5625,18.5625,21.0000,915267,0
20010117,24.7500,24.9375,18.7500,18.7500,1321400,0
20010118,19.8750,19.8750,14.6250,17.6250,852400,0
20010119,18.0000,18.3750,16.5000,16.6875,433300,0
20010122,16.8750,17.0625,15.0000,16.3125,303950,0
20010123,16.3125,16.5000,15.1875,15.7500,329867,0
20010124,15.9375,17.2500,15.1875,16.1250,464000,0
20010125,16.3125,16.3125,15.3750,15.5625,587400,0
20010126,15.7500,15.7500,15.3750,15.7500,305800,0
20010129,15.7500,16.3125,15.1875,15.7500,450183,0
20010130,16.5000,18.3750,16.3125,17.8125,542550,0
20010131,18.3750,18.7500,15.7500,16.1250,658650,0
20010201,16.6875,17.4375,15.7500,17.0625,202083,0
20010202,17.2500,17.6250,15.7500,15.7500,228867,0
20010205,16.3125,16.5000,15.5625,16.5000,200017,0
20010206,16.5000,17.8125,16.5000,17.8125,275767,0
20010207,17.6250,17.6250,15.9375,16.1250,137717,0
20010208,17.0625,19.3125,16.8750,18.3750,626150,0
20010209,18.3750,18.9375,15.5625,16.5000,329117,0
20010212,16.1250,16.8750,16.1250,16.6875,109950,0
20010213,17.0625,17.2500,15.9375,15.9375,135600,0
20010214,15.3750,15.7500,15.0000,15.3750,146983,0
20010215,15.1875,18.0000,15.1875,18.0000,384250,0
20010216,16.5000,17.2500,10.3125,15.7500,383917,0
20010219,15.7500,15.7500,15.7500,15.7500,0,0
20010220,17.0625,17.0625,15.5625,16.3125,303383,0
20010221,15.7500,15.9375,13.8750,14.4375,263800,0
20010222,14.2500,14.4375,11.8125,12.1875,398733,0
20010223,13.5000,17.4375,12.9375,15.3750,1102533,0
20010226,16.6875,17.6250,15.1875,17.2500,495983,0
20010227,17.0625,17.2500,15.9375,16.5000,174133,0
20010228,16.3125,16.6875,15.1875,16.1250,201483,0
20010301,15.5625,15.9375,14.8125,15.3750,342883,0
20010302,15.1875,15.7500,15.0000,15.3750,178183,0
20010305,15.5625,15.9375,15.3750,15.5625,122150,0
20010306,15.7500,16.6875,15.5625,16.5000,188083,0
20010307,16.5000,16.8750,15.3750,15.7500,119917,0
20010308,15.9375,16.3125,15.1875,15.5625,115667,0
20010309,15.0000,15.5625,13.3125,14.4375,241450,0
20010312,14.2500,14.2500,13.1250,13.3125,153833,0
20010313,13.3125,14.2500,12.7500,14.2500,170700,0
20010314,13.5000,13.5000,13.1250,13.1250,94000,0
20010315,14.6250,14.6250,13.3125,13.8750,110550,0
20010316,14.0625,14.4375,12.7500,12.7500,168050,0
20010319,12.3750,13.1250,12.1875,12.9375,221567,0
20010320,12.7500,13.5000,12.5625,12.7500,174733,0
20010321,12.7500,13.3125,12.3750,13.1250,142883,0
20010322,13.3125,13.3125,12.1875,12.7500,303667,0
20010323,12.9375,13.8750,12.7500,13.8750,154467,0
20010326,13.5000,14.0625,13.1250,13.3125,67967,0
20010327,13.3200,13.3200,12.3600,12.9600,194750,0
20010328,12.9600,12.9600,12.3600,12.7800,104517,0
20010329,12.3600,13.3200,12.3600,13.3200,192367,0
20010330,13.3200,15.3600,13.1400,15.1800,311700,0
20010402,18.3600,20.0400,17.2800,18.3600,985983,0
20010403,17.4600,17.4600,15.0000,15.1800,257117,0
20010404,15.3600,16.5000,15.3600,15.7800,129900,0
20010405,16.1400,18.0000,15.9600,17.0400,199733,0
20010406,16.5000,17.2800,16.1400,16.1400,11500000,0
20010409,16.4400,18.0000,16.4400,17.5200,214083,0
20010410,17.3400,18.7200,17.3400,18.0000,241683,0
20010411,18.1800,19.5000,18.1200,18.4200,339317,0
20010412,18.1800,18.6600,18.0000,18.6000,118650,0
20010416,19.0200,19.0200,18.1200,18.3600,160750,0
20010417,17.9400,19.2000,17.8200,18.7800,245567,0
20010418,18.9600,20.1000,18.9000,19.8000,355733,0
20010419,19.8000,24.3000,19.6800,22.0200,687700,0
20010420,21.6600,24.1800,21.6000,22.9200,506350,0
20010423,22.3800,22.4400,19.2600,19.9200,283100,0
20010424,19.7400,21.3000,19.6200,20.6400,144333,0
20010425,20.8200,23.1000,16.2000,21.6000,299633,0
20010426,22.5000,23.8800,22.4400,23.2200,240050,0
20010427,23.6400,25.2000,23.6400,25.2000,462683,0
20010430,26.2200,29.2200,18.0000,29.1000,617467,0
20010501,36.3000,40.3200,33.0000,39.5400,2896783,0
20010502,44.6400,46.6800,41.4000,41.7600,4110983,0
20010503,36.5400,37.7400,34.2000,34.8600,1827683,0
20010504,33.2400,37.4400,33.0000,36.4800,1086783,0
20010507,36.3600,36.3600,30.6000,31.8000,895967,0
20010508,35.8800,39.6000,30.6600,31.1400,1310467,0
20010509,30.0000,35.4000,27.9000,28.7400,889067,0
20010510,30.0000,30.0000,28.2000,29.0400,525867,0
20010511,29.0400,29.6400,28.6200,28.8600,298383,0
20010514,28.6800,29.2200,24.0000,25.8000,1199833,0
20010515,26.1600,29.9400,24.7200,26.4000,1096483,0
20010516,25.5000,30.1800,24.9000,29.8200,1187800,0
20010517,29.9400,32.5200,28.0800,29.9400,879867,0
20010518,29.6400,31.1400,28.6800,29.6400,256433,0
20010521,29.9400,34.9200,29.9400,34.8600,1478350,0
20010522,35.4000,35.5200,33.1200,33.2400,861217,0
20010523,33.4200,33.4200,26.8200,31.5000,594367,0
20010524,30.0600,31.0200,30.0000,30.6600,636367,0
20010525,31.5600,32.0400,30.6000,31.2000,398183,0
20010528,31.2000,31.2000,31.2000,31.2000,0,0
20010529,31.1400,33.6000,30.0000,30.1200,237033,0
20010530,29.8800,29.9400,27.9000,29.2200,343083,0
20010531,28.9200,33.5400,28.5000,32.4000,652983,0
20010601,33.1800,34.4400,31.5000,31.7400,505167,0
20010604,30.8400,33.6000,30.8400,31.8600,353233,0
20010605,32.3400,33.5400,32.3400,32.7000,309833,0
20010606,37.1400,43.7400,36.6000,42.3600,5211917,0
20010607,40.8000,48.8400,39.7800,46.2000,4323250,0
20010608,47.1000,48.4800,45.1200,46.2600,2099483,0
20010611,44.2200,46.2000,34.2600,45.0000,1100833,0
20010612,42.5400,44.5800,42.2400,43.3800,804700,0
20010613,43.1400,48.6000,42.8400,46.6800,1439650,0
20010614,46.2000,48.3000,43.8600,47.4600,964050,0
20010615,46.3200,50.8200,45.0000,48.4800,1434967,0
20010618,49.4400,50.7000,47.1600,47.6400,825683,0
20010619,49.0800,49.8600,44.0400,45.8400,911567,0
20010620,43.5000,45.0000,42.6000,44.1600,1008183,0
20010621,44.1000,44.7000,42.8400,44.6400,523833,0
20010622,44.6400,48.8400,43.4400,46.0800,947133,0
20010625,46.6200,46.9800,44.4000,46.2000,674817,0
20010626,44.8800,46.5000,44.4000,45.3600,619300,0
20010627,45.0600,47.1000,45.0600,46.8600,429883,0
20010628,47.1600,49.6800,46.8000,48.4800,556900,0
20010629,48.9600,54.0000,48.4800,53.7000,1132917,0
20010702,53.9400,61.6200,52.5000,59.4600,2055533,0
20010703,58.8000,58.8000,55.0200,56.7000,578650,0
20010704,56.7000,56.7000,56.7000,56.7000,0,0
20010705,54.4200,54.4200,48.5400,50.2800,1524850,0
20010706,47.8200,48.3000,42.0000,46.9800,1535567,0
20010709,51.7800,52.3800,44.9400,46.8000,2057967,0
20010710,47.8200,47.8800,46.5000,47.0400,977633,0
20010711,46.7400,47.4000,44.8200,46.8600,444417,0
20010712,49.1400,49.3200,47.1000,48.0000,649450,0
20010713,48.1800,52.8000,47.0400,52.2000,824650,0
20010716,54.9000,55.2000,48.6600,52.4400,1525283,0
20010717,49.9800,55.2000,49.9200,54.0600,832467,0
20010718,52.2600,54.9000,51.1200,52.9800,612367,0
20010719,54.1800,54.5400,49.4400,50.5200,790700,0
20010720,49.5600,51.0000,48.2400,50.2800,492900,0
20010723,50.1600,51.5400,49.9800,50.7000,329900,0
20010724,49.8000,50.3400,47.4000,47.5800,473900,0
20010725,48.0600,50.0400,44.5800,49.6200,483183,0
20010726,49.8000,51.0000,48.4200,50.2200,297467,0
20010727,49.9800,50.7600,47.5800,48.3000,252300,0
20010730,48.8400,51.0000,48.6600,50.9400,821283,0
20010731,52.2000,54.0600,50.2200,53.2200,1726517,0
20010801,61.5000,61.9200,54.0000,57.1200,5622467,0
20010802,56.0400,58.9800,53.4000,53.5800,2009350,0
20010803,52.8000,52.9200,51.3600,51.9600,765833,0
20010806,51.5400,52.6200,50.8200,52.0800,395933,0
20010807,51.5400,54.0600,51.3600,54.0000,393617,0
20010808,53.8200,54.0000,50.7000,50.7600,3950000,0
20010809,50.4600,50.7000,47.2800,48.6000,527183,0
20010810,47.6400,48.6000,45.6000,46.2000,445100,0
20010813,48.1200,50.1000,46.2000,49.7400,467067,0
20010814,50.0400,50.4000,48.1800,48.3600,439683,0
20010815,48.6600,48.6600,44.7600,45.1800,471833,0
20010816,44.2200,44.2800,33.5400,42.0600,2264417,0
20010817,39.9600,40.8000,38.5200,39.1800,611867,0
20010820,39.7200,41.0400,39.0000,39.6000,327917,0
20010821,40.3200,41.2200,37.8000,38.1000,340250,0
20010822,38.8800,39.1800,33.6600,34.8000,728933,0
20010823,34.2600,35.0400,30.9600,31.5000,516750,0
20010824,32.7600,35.8200,31.9200,34.7400,689833,0
20010827,35.0400,36.4800,34.4400,34.5600,396333,0
20010828,34.7400,34.8000,32.4600,34.3800,354417,0
20010829,34.2000,34.5000,32.3400,33.8340,452017,0
20010830,32.4000,33.3600,32.0400,32.7600,307033,0
20010831,32.9400,33.9000,32.4000,33.1200,231350,0
20010903,33.1200,33.1200,33.1200,33.1200,0,0
20010904,33.6000,35.4000,32.7600,33.0000,404233,0
20010905,33.6000,33.6300,29.8200,32.4000,662333,0
20010906,31.0200,31.2000,29.2200,29.7000,678600,0
20010907,29.1000,30.6000,28.2000,30.0000,357233,0
20010910,29.8200,31.1400,29.2800,30.0000,555567,0
20010911,30.0000,30.0000,30.0000,30.0000,0,0
20010917,18.1200,19.8000,15.0600,18.0600,3440183,0
20010918,18.0000,18.3000,12.1800,14.1000,3494900,0
20010919,13.6200,13.7400,10.8000,12.1800,2788917,0
20010920,12.1200,15.0000,12.1200,13.7400,1959967,0
20010921,13.7400,14.6400,12.4200,13.8600,924417,0
20010924,15.0000,15.3000,14.6400,15.1200,1449583,0
20010925,15.1800,16.7400,15.0000,15.7800,1133867,0
20010926,16.1400,19.2000,12.0000,18.3600,1375433,0
20010927,18.4800,20.7000,17.1000,20.2800,982167,0
20010928,21.3600,24.5400,20.7000,22.7400,914533,0
20011001,21.3000,21.9000,18.9600,21.4800,667017,0
20011002,20.9400,22.5000,19.3200,22.0200,666217,0
20011003,26.4000,26.4000,23.6400,24.0600,1602100,0
20011004,25.3200,26.1600,23.8200,23.9400,784117,0
20011005,23.4000,23.8800,21.4200,22.8600,462283,0
20011008,20.8800,21.5400,19.5000,21.0600,412433,0
20011009,21.0600,21.1200,20.2800,20.5200,143317,0
20011010,20.7000,24.0000,20.7000,22.7400,554567,0
20011011,24.9600,25.5000,23.4600,23.7000,672400,0
20011012,23.4000,24.0000,21.8400,23.2200,356517,0
20011015,21.7200,24.0000,21.7200,23.5200,170250,0
20011016,23.6400,26.1600,23.6400,25.5000,469817,0
20011017,26.2800,26.9820,22.8000,23.4000,509183,0
20011018,23.8800,23.9400,21.9600,22.3800,324150,0
20011019,21.8400,22.8600,21.8400,22.8000,236150,0
20011022,23.1000,23.7000,22.2600,23.7000,150583,0
20011023,23.7000,25.6800,23.1000,23.9400,473433,0
20011024,24.1800,25.5000,22.9800,23.8200,528683,0
20011025,23.4000,24.1200,22.8000,23.5800,385283,0
20011026,22.8000,26.1600,22.8000,26.0400,1016533,0
20011029,25.6200,29.1000,25.2000,28.8600,646633,0
20011030,27.6000,27.9000,25.2600,27.1800,421600,0
20011031,27.2400,29.7000,27.0000,28.8600,485067,0
20011101,29.4600,29.8200,25.8000,26.4000,650833,0
20011102,29.3400,29.7000,27.0000,27.0000,723033,0
20011105,27.1200,27.3000,20.0400,25.9800,515800,0
20011106,25.8000,27.3600,25.5600,26.5800,391717,0
20011107,26.2200,27.5400,26.2200,27.0000,320417,0
20011108,27.3000,27.9000,26.5200,26.6400,449550,0
20011109,26.7000,27.1200,26.7000,27.0000,258033,0
