DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.5625,16.8125,16.2500,16.5000,536000,0
20010103,16.0313,16.5625,16.0156,16.1875,285600,0
20010104,16.4688,16.5000,15.3750,15.5000,557600,0
20010105,16.1563,16.1875,15.0000,15.4688,546000,0
20010108,14.5938,15.5000,14.1875,15.4688,274800,0
20010109,15.4844,15.5000,14.9688,14.9688,344200,0
20010110,14.8125,15.5000,14.8125,15.2500,266000,0
20010111,15.5000,15.7656,14.6250,14.9375,193200,0
20010112,14.6250,14.6250,13.7500,14.4063,452600,0
20010115,14.4063,14.4063,14.4063,14.4063,0,0
20010116,14.3750,14.4375,14.0625,14.0938,784600,0
20010117,14.5625,14.8750,14.1250,14.3750,726400,0
20010118,14.5000,14.9375,14.4375,14.8438,1037000,0
20010119,15.2188,15.4063,14.4063,14.7500,233200,0
20010122,14.5000,15.2500,14.2500,14.4375,346800,0
20010123,14.4375,14.8750,14.4063,14.5625,274600,0
20010124,14.8750,15.0000,14.0938,14.9688,321800,0
20010125,15.0000,15.2813,14.6563,15.2188,184000,0
20010126,15.2500,15.4688,14.8125,15.3125,69600,0
20010129,15.4688,16.0000,15.1875,15.7813,217200,0
20010130,15.7500,15.7500,15.5000,15.7500,176000,0
20010131,15.7500,15.8438,15.0938,15.1250,420400,0
20010201,15.4219,15.4375,14.6250,14.7188,473400,0
20010202,14.7500,14.8750,14.5625,14.7813,678400,0
20010205,14.9063,16.2500,14.8438,15.8125,396200,0
20010206,15.7813,16.5625,15.3750,16.2500,404600,0
20010207,16.1875,16.8438,16.0000,16.8125,382000,0
20010208,16.6250,16.9375,15.6250,15.7188,295600,0
20010209,15.7188,15.8750,14.7813,14.7813,377200,0
20010212,15.1875,16.3438,14.7188,15.3125,559600,0
20010213,15.2188,16.1250,14.9375,15.0313,629600,0
20010214,15.3125,15.5625,15.0313,15.5625,263800,0
20010215,15.2813,16.0000,15.2813,15.7188,500800,0
20010216,15.6250,16.5938,15.6250,16.2500,193600,0
20010219,16.2500,16.2500,16.2500,16.2500,0,0
20010220,15.6875,16.3438,15.6563,16.2188,294000,0
20010221,15.8125,16.6563,15.8125,16.5000,289200,0
20010222,16.6719,16.8750,15.8750,16.0000,623200,0
20010223,16.5781,16.5938,16.0000,16.2500,178000,0
20010226,16.0313,16.3750,15.9688,16.1250,461400,0
20010227,15.8750,16.8125,15.8438,16.4688,68000000,0
20010228,16.5625,16.7813,15.7500,15.8125,214400,0
20010301,15.8125,16.4375,15.8125,16.1250,263000,0
20010302,16.3750,16.8750,16.1250,16.4375,623400,0
20010305,16.6875,16.6875,16.3438,16.4063,268600,0
20010306,16.5625,16.5625,16.2500,16.2813,376400,0
20010307,16.4844,16.6563,16.0000,16.1563,593400,0
20010308,16.1719,16.2500,15.5000,15.7813,296600,0
20010309,15.7500,15.9844,15.6563,15.8750,192400,0
20010312,16.0000,16.1250,14.9375,14.9688,284000,0
20010313,15.0000,15.9375,14.9688,15.8125,242800,0
20010314,15.7500,16.0000,15.0938,15.3125,174600,0
20010315,15.2500,15.8750,15.1875,15.4063,359000,0
20010316,15.7969,15.9375,15.0000,15.4063,469800,0
20010319,15.2500,15.3438,15.1250,15.1563,337600,0
20010320,15.4375,15.6563,15.0000,15.0000,206400,0
20010321,15.4375,15.5000,14.9375,15.0625,219000,0
20010322,14.9375,14.9688,13.9688,14.5625,480600,0
20010323,14.8750,15.1875,14.8750,14.9375,576000,0
20010326,15.0000,15.3750,14.9375,15.1250,616400,0
20010327,15.1250,15.4050,15.0950,15.3750,190400,0
20010328,15.3750,16.0300,15.0650,15.4400,260400,0
20010329,15.5650,15.6900,14.9400,15.3450,589800,0
20010330,15.4700,15.7500,15.0000,15.3750,870600,0
20010402,15.4700,15.5000,14.6250,14.6900,346200,0
20010403,14.9400,15.1250,14.8150,14.9050,399600,0
20010404,14.8750,15.5000,14.8750,15.2800,470000,0
20010405,15.3150,15.8450,15.1900,15.2500,414800,0
20010406,15.2200,15.4700,15.0000,15.3150,235600,0
20010409,15.0000,15.6650,15.0000,15.6000,293800,0
20010410,15.1500,15.6500,15.1000,15.5550,221000,0
20010411,15.6000,15.6450,15.4500,15.6250,271600,0
20010412,15.2800,16.0000,15.2750,15.5750,130400,0
20010416,15.3750,15.5500,15.0250,15.3350,252200,0
20010417,15.1250,15.5050,15.1200,15.2450,401600,0
20010418,15.2350,15.3750,14.9550,15.2500,457200,0
20010419,15.2400,15.2450,14.8550,15.0000,401000,0
20010420,14.9750,15.0750,14.9500,15.0000,561600,0
20010423,14.9350,15.0600,14.9350,14.9950,146600,0
20010424,15.0000,15.0600,14.8000,14.8900,152000,0
20010425,14.9250,15.2000,14.8250,15.2000,567400,0
20010426,15.0100,15.4800,15.0100,15.3500,154800,0
20010427,15.3600,15.4250,15.1500,15.2000,278600,0
20010430,15.3500,15.3500,15.1400,15.2800,294800,0
20010501,15.2550,15.3650,15.0450,15.2000,155600,0
20010502,15.0750,15.2900,15.0500,15.2800,356400,0
20010503,15.1550,15.3300,15.1500,15.3150,541000,0
20010504,15.1250,15.7500,15.0250,15.5800,315000,0
20010507,15.7250,15.7250,15.5400,15.6050,292800,0
20010508,15.3000,15.5050,15.3000,15.4500,356000,0
20010509,15.4250,15.4500,15.3500,15.3950,374600,0
20010510,15.3500,15.7350,15.3500,15.5250,420600,0
20010511,15.5000,15.5750,15.2500,15.2500,130400,0
20010514,15.3000,15.5300,15.1550,15.1550,171000,0
20010515,15.2450,15.6250,15.1800,15.4500,348000,0
20010516,15.4250,15.6250,15.4250,15.5450,172800,0
20010517,15.5300,16.2750,15.4750,16.2250,863600,0
20010518,16.3250,17.0350,16.3250,16.8550,953800,0
20010521,16.9900,17.5000,16.8750,17.2650,1525000,0
20010522,17.4750,18.0000,17.3200,17.5800,1038200,0
20010523,17.4100,17.4100,16.8450,17.0150,697600,0
20010524,16.8100,16.8250,15.1900,15.5250,2019800,0
20010525,15.4500,16.5000,15.4400,16.1500,1206000,0
20010528,16.1500,16.1500,16.1500,16.1500,0,0
