DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,24.25,24.25,23.31,23.34,110722,0
20010103,23.34,23.75,21.47,21.56,81668,0
20010104,21.56,21.56,19.78,19.84,23250,0
20010105,19.97,20.81,19.97,20.22,25328,0
20010108,20.25,20.88,20.25,20.75,14918,0
20010109,20.69,20.91,20.38,20.91,17598,0
20010110,20.78,21.16,20.47,20.75,71610,0
20010111,20.84,20.84,19.03,19.09,34880,0
20010112,19.13,19.69,18.81,19.56,23784,0
20010115,19.56,19.56,19.56,19.56,0,0
20010116,19.50,19.69,18.44,19.53,28240,0
20010117,19.44,19.69,19.22,19.50,25424,0
20010118,19.47,19.88,19.44,19.81,52040,0
20010119,19.69,20.03,19.31,20.00,0,0
20010122,20.00,20.00,20.00,20.00,0,0
20010123,20.13,21.00,20.06,20.50,13042,0
20010124,20.63,21.19,20.63,20.97,11316,0
20010125,21.19,21.47,20.91,21.16,0,0
20010126,21.28,21.47,20.50,21.19,5640,0
20010129,22.27,22.41,21.78,22.00,749200,0
20010130,21.78,22.05,21.00,21.97,731800,0
20010131,20.88,20.88,20.10,20.45,0,0
20010201,20.50,20.60,20.17,20.50,1237600,0
20010202,20.50,20.75,20.24,20.40,3231200,0
20010205,20.42,20.80,20.42,20.52,1352800,0
20010206,20.52,20.90,20.36,20.63,2557200,0
20010207,20.75,21.19,20.75,20.89,860400,0
20010208,20.92,21.58,20.92,21.55,0,0
20010209,21.52,22.14,21.51,22.02,20921000,0
20010212,22.00,22.32,21.52,21.89,568600,0
20010213,21.81,22.19,21.50,21.85,361800,0
20010214,21.80,22.00,21.58,21.77,903000,0
20010215,21.58,21.73,21.38,21.59,635600,0
20010216,21.92,22.20,21.88,22.02,953800,0
20010219,22.02,22.02,22.02,22.02,0,0
20010220,22.02,22.50,21.95,22.33,1121400,0
20010221,22.34,22.88,22.34,22.36,714600,0
20010222,22.47,22.84,22.00,22.04,15800000,0
20010223,22.10,22.41,21.56,21.92,10866600,0
20010226,22.02,22.36,21.93,22.00,548000,0
20010227,22.00,22.45,22.00,22.42,20913400,0
20010228,22.50,22.60,22.11,22.41,1056400,0
20010301,22.30,22.58,22.10,22.41,9150600,0
20010302,22.63,22.73,22.15,22.48,1259000,0
20010305,22.41,22.65,22.38,22.42,728200,0
20010306,22.48,22.63,22.31,22.44,1399800,0
20010307,22.18,22.43,21.90,21.92,88697600,0
20010308,21.98,21.98,21.23,21.23,2987400,0
20010309,20.75,21.00,20.60,20.81,13825200,0
20010312,21.05,21.32,21.03,21.17,3064000,0
20010313,21.13,21.14,20.91,20.91,930800,0
20010314,20.85,20.85,20.49,20.52,1732200,0
20010315,20.60,21.05,20.55,20.98,2968200,0
20010316,20.75,20.99,20.69,20.80,1523000,0
20010319,20.67,20.80,20.56,20.66,954800,0
20010320,20.67,20.90,20.38,20.65,907600,0
20010321,20.50,21.05,20.50,20.67,1910000,0
20010322,20.54,20.75,19.53,19.90,1516000,0
20010323,19.65,19.99,19.41,19.86,1110800,0
20010326,20.15,20.66,20.15,20.38,2695400,0
20010327,20.65,21.05,20.65,20.92,28152000,0
20010328,20.75,21.08,20.60,20.98,1989200,0
20010329,20.99,21.50,20.71,21.45,3175200,0
20010330,21.45,21.84,21.45,21.58,788400,0
20010402,21.97,22.09,21.53,22.01,1029800,0
20010403,21.92,22.25,21.45,22.08,909200,0
20010404,21.98,22.36,21.74,22.03,3168000,0
20010405,21.90,22.02,21.58,21.96,1097400,0
20010406,22.10,22.20,20.90,21.34,1819000,0
20010409,21.27,22.14,21.27,21.80,1112400,0
20010410,22.75,22.75,22.20,22.48,2116200,0
20010411,22.35,22.43,22.00,22.25,578600,0
20010412,21.98,22.35,21.96,22.22,2029600,0
20010416,22.30,22.70,22.24,22.59,1017200,0
20010417,22.59,23.20,22.59,23.04,4980200,0
20010418,23.08,23.23,22.40,22.59,1563000,0
20010419,22.65,22.76,22.15,22.38,1993000,0
20010420,22.40,22.70,22.14,22.44,4971600,0
20010423,22.63,22.92,22.58,22.92,10563000,0
20010424,23.02,23.32,22.74,23.11,1148000,0
20010425,23.20,23.36,22.88,23.21,807000,0
20010426,23.24,23.60,23.24,23.43,758600,0
