DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,8.61,8.61,8.17,8.30,63216,0
20010103,8.18,8.32,7.89,8.12,76236,0
20010104,8.11,8.11,7.51,7.81,109224,0
20010105,7.67,7.67,7.46,7.49,68868,0
20010108,7.49,7.77,7.43,7.63,64056,0
20010109,7.67,7.67,7.54,7.56,0,0
20010110,7.44,7.48,7.28,7.36,60516,0
20010111,7.42,7.58,7.28,7.32,0,0
20010112,7.21,7.21,6.90,7.00,201336,0
20010115,7.00,7.00,7.00,7.00,0,0
20010116,7.01,7.39,7.01,7.29,0,0
20010117,7.33,7.36,7.12,7.15,147048,0
20010118,7.08,7.23,6.84,7.19,170568,0
20010119,7.19,7.22,7.01,7.22,36804,0
20010122,7.22,7.22,7.22,7.22,0,0
20010123,7.60,7.80,7.37,7.78,343356,0
20010124,7.78,8.06,7.78,7.92,70764,0
20010125,8.33,8.42,7.95,8.05,161268,0
20010126,8.08,8.08,7.84,8.04,0,0
20010129,8.41,8.41,7.83,7.83,5292000,0
20010130,7.90,8.28,7.83,8.10,7423200,0
20010131,8.07,8.08,7.82,7.83,0,0
20010201,7.83,7.83,7.60,7.80,261525600,0
20010202,7.82,7.91,7.74,7.89,6594000,0
20010205,7.90,8.06,7.87,8.05,3606000,0
20010206,8.05,8.09,7.89,8.04,648028000,0
20010207,8.08,8.49,8.08,8.46,8250000,0
20010208,8.44,8.50,8.22,8.28,5798400,0
20010209,8.20,8.42,8.12,8.42,3934800,0
20010212,8.42,8.55,8.38,8.47,3541200,0
20010213,8.48,8.54,8.42,8.53,3968400,0
20010214,8.52,8.62,8.42,8.42,2161200,0
20010215,8.29,8.34,8.21,8.31,3085200,0
20010216,8.31,8.47,8.31,8.38,2006400,0
20010219,8.38,8.38,8.38,8.38,0,0
20010220,8.35,8.40,8.14,8.26,2451600,0
20010221,8.18,8.18,7.87,7.98,4513200,0
20010222,8.00,8.03,7.77,8.03,4627200,0
20010223,8.00,8.00,7.85,7.94,2576400,0
20010226,8.04,8.15,7.99,8.13,2564400,0
20010227,8.16,8.41,8.15,8.38,4286400,0
20010228,8.40,8.43,8.20,8.25,5527200,0
20010301,8.19,8.36,8.16,8.28,5581200,0
20010302,8.30,8.33,8.22,8.22,8136000,0
20010305,8.27,8.27,8.05,8.17,3378000,0
20010306,8.22,8.22,8.08,8.15,1736400,0
20010307,8.15,8.25,8.11,8.17,5762400,0
20010308,8.19,8.38,8.18,8.34,3127200,0
20010309,8.33,8.33,8.13,8.17,2904000,0
20010312,8.15,8.23,7.93,7.94,4536000,0
20010313,7.96,7.96,7.78,7.87,38994000,0
20010314,7.63,7.72,7.51,7.67,5875200,0
20010315,7.71,7.89,7.71,7.86,2430000,0
