DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,29.50,29.63,28.92,29.29,6168,0
20010103,29.17,30.00,28.33,30.00,12447,0
20010104,29.67,30.58,29.67,30.58,14142,0
20010105,30.46,31.17,29.75,29.92,83033,0
20010108,30.00,30.08,29.42,29.58,9788,0
20010109,30.00,30.00,29.25,29.33,0,0
20010110,29.58,29.58,28.42,29.42,6648,0
20010111,29.25,29.58,28.58,29.50,21375,0
20010112,29.29,29.33,28.56,29.00,0,0
20010115,29.00,29.00,29.00,29.00,0,0
20010116,27.83,29.50,27.71,29.21,0,0
20010117,29.33,29.63,29.21,29.33,6098,0
20010118,29.17,29.17,28.21,28.96,7667,0
20010119,29.13,29.13,27.83,28.63,11442,0
20010122,28.63,28.63,28.63,28.63,0,0
20010123,27.96,29.00,27.92,28.71,4808,0
20010124,28.71,29.17,28.50,29.04,0,0
20010125,29.04,30.00,29.00,29.75,38726,0
20010126,29.75,29.75,28.50,28.63,33744,0
20010129,28.83,30.06,28.38,28.67,573150,0
20010130,28.67,30.73,28.00,29.38,525300,0
20010131,29.41,30.07,29.13,29.23,10948650,0
20010201,29.33,29.73,29.10,29.18,288900,0
20010202,29.43,29.60,28.81,28.85,0,0
20010205,28.85,28.93,28.43,28.47,833550,0
20010206,28.44,28.85,28.44,28.71,720300,0
20010207,28.67,28.80,28.20,28.66,464550,0
20010208,28.73,28.73,28.20,28.42,474900,0
20010209,28.42,28.47,28.00,28.29,290250,0
20010212,28.20,28.87,28.20,28.41,474300,0
20010213,28.82,28.82,28.33,28.54,625500,0
20010214,28.55,28.57,28.09,28.16,0,0
20010215,28.46,28.73,28.43,28.67,559350,0
20010216,28.68,28.85,28.01,28.24,373500,0
20010219,28.24,28.24,28.24,28.24,0,0
20010220,28.25,29.08,27.80,28.49,1803000,0
20010221,28.47,28.53,27.83,27.89,362400,0
20010222,27.87,27.87,27.40,27.78,325050,0
20010223,27.80,27.80,27.07,27.67,486900,0
20010226,27.74,28.92,27.67,28.79,241200,0
20010227,29.02,29.23,28.42,28.87,697800,0
20010228,28.67,28.90,27.83,28.69,814650,0
20010301,28.83,28.83,28.23,28.55,964800,0
20010302,28.31,29.15,28.31,28.75,10104300,0
20010305,28.87,30.07,28.80,29.80,743700,0
20010306,28.94,29.69,28.67,29.44,804900,0
20010307,29.45,30.13,29.17,30.02,980400,0
20010308,30.00,30.70,29.81,30.70,727650,0
20010309,30.40,30.40,29.80,30.00,696600,0
20010312,29.87,30.27,29.30,29.84,723450,0
20010313,29.77,29.77,28.67,29.40,1102050,0
20010314,29.27,29.27,28.53,28.74,871800,0
20010315,28.75,29.71,28.61,29.40,2068500,0
20010316,28.73,29.17,28.37,28.45,1006050,0
20010319,28.45,29.17,28.32,28.87,570450,0
20010320,28.00,28.93,27.85,27.86,739800,0
20010321,27.70,27.71,26.73,26.87,638550,0
20010322,26.73,27.00,25.05,26.28,844650,0
20010323,26.77,27.13,25.73,26.91,676800,0
20010326,26.77,27.49,26.73,27.04,287700,0
20010327,27.16,27.16,26.20,26.78,17554350,0
20010328,26.78,26.84,26.01,26.50,732600,0
20010329,26.37,27.13,26.19,26.53,1957950,0
20010330,26.50,26.75,25.85,26.48,396450,0
20010402,26.76,27.57,26.27,26.79,499500,0
20010403,26.19,26.33,25.90,26.00,525300,0
20010404,25.97,26.66,25.73,26.55,219150,0
20010405,26.47,27.43,26.43,27.33,297000,0
20010406,26.33,27.19,26.33,27.13,1950900,0
20010409,27.30,28.68,27.30,27.73,869100,0
20010410,27.56,28.27,27.53,28.11,517350,0
20010411,27.77,27.99,27.10,27.43,1778550,0
20010412,27.57,28.01,27.27,28.01,6409200,0
20010416,27.83,28.20,27.57,27.87,392550,0
20010417,27.87,28.83,27.80,28.67,562350,0
20010418,28.84,31.01,28.81,30.87,1460550,0
20010419,30.77,30.77,29.80,30.20,1002300,0
20010420,30.00,30.17,29.60,30.07,377550,0
20010423,30.07,30.47,29.77,30.04,401100,0
20010424,30.01,30.67,30.01,30.34,415050,0
20010425,30.34,30.63,29.75,30.57,162000,0
20010426,30.43,31.03,30.26,30.89,393000,0
20010427,30.83,31.33,30.53,31.10,452550,0
20010430,31.10,31.33,30.73,31.08,306150,0
20010501,31.30,31.30,30.53,31.24,378900,0
20010502,31.43,31.49,30.40,31.05,340650,0
20010503,31.20,31.20,30.34,30.92,323550,0
20010504,30.56,31.42,30.27,31.33,262950,0
20010507,31.30,31.39,30.95,31.03,448800,0
20010508,31.03,31.13,30.07,31.00,399750,0
20010509,30.87,30.90,30.43,30.88,206100,0
20010510,30.88,31.63,30.67,31.53,352800,0
20010511,31.57,31.93,31.10,31.41,168300,0
20010514,31.41,31.51,30.82,31.43,198900,0
20010515,31.13,31.25,30.81,31.22,428550,0
20010516,31.13,32.60,30.89,32.47,644400,0
20010517,32.40,33.08,32.27,32.71,441300,0
20010518,32.71,33.33,32.59,33.21,3629400,0
20010521,33.13,33.40,32.73,33.35,412500,0
20010522,33.20,33.35,32.97,33.35,1723050,0
20010523,33.20,33.23,32.67,32.70,702150,0
20010524,32.70,32.74,32.37,32.62,1672800,0
20010525,32.33,32.53,32.13,32.49,204600,0
20010528,32.49,32.49,32.49,32.49,0,0
20010529,32.43,32.59,32.17,32.22,200850,0
20010530,32.22,32.30,31.25,31.33,436650,0
20010531,31.50,32.23,31.49,32.16,379800,0
20010601,32.30,32.30,31.53,31.99,2009400,0
20010604,31.99,32.48,31.37,31.95,181650,0
20010605,32.00,32.53,31.41,32.47,271350,0
20010606,32.47,32.80,31.57,31.73,326550,0
20010607,31.80,32.27,31.61,31.95,7694700,0
20010608,31.87,31.87,31.42,31.52,192000,0
20010611,31.50,31.59,30.95,31.10,153450,0
20010612,31.11,31.28,30.63,31.12,127650,0
20010613,31.13,31.37,30.70,30.95,438600,0
20010614,30.95,30.95,29.91,30.00,497850,0
20010615,29.67,30.13,29.67,29.79,397800,0
20010618,29.77,30.20,29.59,29.81,274950,0
20010619,29.81,30.00,29.51,29.63,22699200,0
20010620,29.50,29.73,29.28,29.29,2151450,0
20010621,29.33,29.53,29.17,29.40,457950,0
20010622,29.43,29.70,28.71,29.00,334500,0
20010625,29.33,29.45,28.81,28.93,3281100,0
20010626,28.53,29.03,28.33,28.87,488400,0
20010627,28.87,28.99,28.37,28.58,426300,0
20010628,28.57,28.99,28.52,28.66,413850,0
20010629,28.43,28.47,27.97,28.29,577800,0
20010702,27.33,28.51,27.17,28.49,1240050,0
20010703,28.49,29.47,28.49,29.33,500250,0
20010704,29.33,29.33,29.33,29.33,0,0
20010705,29.33,29.95,29.01,29.75,945750,0
20010706,29.73,29.73,28.82,29.07,8183700,0
20010709,29.00,29.47,28.99,29.31,431400,0
20010710,29.46,29.59,28.91,29.18,540600,0
20010711,29.18,29.20,28.73,29.17,6484200,0
20010712,29.17,30.28,29.01,30.22,828000,0
20010713,30.50,30.50,30.01,30.37,803400,0
20010716,30.37,30.37,29.11,29.13,17231850,0
20010717,29.33,30.07,29.33,30.03,9546900,0
20010718,30.00,30.03,29.67,29.87,527700,0
20010719,29.99,30.19,29.83,29.91,7873350,0
20010720,30.40,30.43,29.83,29.92,389850,0
20010723,30.04,30.09,29.30,29.47,448050,0
20010724,29.70,29.70,28.80,28.83,5065350,0
20010725,28.89,29.40,28.83,29.10,4851450,0
20010726,29.17,29.33,28.90,29.03,16927200,0
20010727,29.10,29.17,28.85,28.95,602850,0
20010730,29.74,29.75,29.01,29.66,1169550,0
20010731,29.63,30.13,29.50,29.80,612300,0
20010801,29.93,29.97,29.59,29.70,529650,0
20010802,29.80,29.99,29.73,29.74,261000,0
20010803,29.91,30.19,29.61,30.13,424800,0
20010806,30.13,30.13,29.69,29.73,4970700,0
20010807,29.87,30.07,29.73,29.91,292200,0
20010808,29.91,29.97,29.60,29.61,280050,0
20010809,29.61,29.83,29.61,29.70,369450,0
20010810,29.73,30.47,29.37,30.23,368550,0
20010813,30.47,30.47,30.15,30.35,9554700,0
20010814,30.43,30.60,30.37,30.55,347700,0
20010815,30.55,30.87,30.55,30.70,625500,0
20010816,30.63,30.71,30.15,30.58,581100,0
20010817,30.55,30.90,30.18,30.57,1915350,0
20010820,30.63,30.67,30.20,30.54,226950,0
20010821,30.53,30.62,30.07,30.09,138300,0
20010822,30.01,30.10,28.80,29.63,910950,0
20010823,29.63,29.77,29.40,29.53,384150,0
20010824,29.53,30.05,29.47,29.85,3916050,0
20010827,29.90,29.93,29.73,29.74,274950,0
20010828,29.77,29.78,29.47,29.73,349350,0
20010829,29.83,29.83,29.23,29.37,507000,0
20010830,29.30,29.57,28.65,28.79,387750,0
20010831,28.79,29.34,28.67,29.33,332700,0
20010903,29.33,29.33,29.33,29.33,0,0
20010904,29.33,29.97,29.33,29.69,784050,0
20010905,29.64,29.90,29.48,29.81,336450,0
20010906,29.80,29.80,28.93,28.95,460200,0
20010907,28.47,28.60,27.60,27.60,2225400,0
20010910,27.60,27.81,27.33,27.51,761700,0
20010911,27.51,27.51,27.51,27.51,0,0
20010917,25.67,25.67,24.13,24.43,1037250,0
20010918,25.17,25.55,24.67,24.67,1280850,0
20010919,24.73,24.92,22.96,23.70,1160250,0
20010920,23.70,23.72,22.01,22.13,729750,0
20010921,20.34,21.22,20.27,21.10,1817700,0
20010924,22.27,22.93,22.17,22.67,1465350,0
20010925,23.00,23.47,22.53,23.42,1246050,0
20010926,23.77,23.77,22.00,22.25,1841700,0
20010927,22.25,22.34,21.84,22.27,35254500,0
20010928,22.33,23.26,22.17,22.87,1447650,0
20011001,22.93,23.01,22.40,22.70,588750,0
20011002,22.93,24.10,22.89,24.01,1079700,0
20011003,24.01,25.13,23.95,24.95,609750,0
20011004,25.07,25.35,24.77,24.77,1988400,0
20011005,24.68,25.23,24.54,25.10,656550,0
20011008,24.76,24.76,24.50,24.63,359850,0
20011009,24.77,24.77,24.11,24.17,1787550,0
20011010,24.20,25.00,24.15,24.93,694200,0
20011011,25.10,25.94,25.10,25.59,399750,0
20011012,25.47,25.68,24.90,25.09,679350,0
20011015,24.93,25.74,24.93,25.69,240450,0
20011016,25.69,26.50,25.33,25.98,1075650,0
20011017,26.40,26.43,25.60,25.62,1035900,0
20011018,25.67,25.75,25.10,25.24,483750,0
20011019,25.13,25.17,24.59,24.59,466650,0
20011022,24.60,25.20,24.60,25.13,532650,0
20011023,25.17,25.50,24.99,25.27,382500,0
20011024,25.40,25.47,25.07,25.33,5217300,0
20011025,25.20,25.40,24.00,25.12,1245150,0
20011026,25.33,26.14,25.17,25.99,488550,0
20011029,26.20,26.20,24.98,24.99,494850,0
20011030,24.83,24.85,24.05,24.11,422100,0
20011031,24.67,24.67,24.13,24.22,413250,0
20011101,24.17,24.84,23.73,24.74,569100,0
20011102,24.63,25.63,24.51,25.49,1752000,0
20011105,25.49,26.13,25.49,26.05,684600,0
20011106,26.00,26.07,25.56,26.05,582300,0
20011107,26.17,26.30,25.65,25.95,517650,0
20011108,26.00,26.47,25.90,26.12,532950,0
20011109,26.23,26.40,25.87,26.08,291000,0
20011112,26.10,26.10,25.00,25.24,1090950,0
