DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,10.61,10.63,10.00,10.08,0,0
20010103,10.14,10.63,10.02,10.61,21420,0
20010104,10.61,10.98,10.55,10.66,12376,0
20010105,10.69,10.69,10.03,10.16,19308,0
20010108,10.11,10.20,9.33,9.52,22656,0
20010109,9.52,10.09,9.52,9.92,0,0
20010110,9.88,10.09,9.59,10.05,9444,0
20010111,10.09,10.22,9.97,9.97,17852,0
20010112,9.98,9.98,9.67,9.91,11616,0
20010115,9.91,9.91,9.91,9.91,0,0
20010116,9.63,10.09,9.63,9.83,15384,0
20010117,9.94,10.16,9.81,9.92,11732,0
20010118,9.75,9.80,9.28,9.39,0,0
20010119,9.20,9.28,8.50,8.75,54692,0
20010122,8.75,8.75,8.75,8.75,0,0
20010123,8.63,9.05,8.34,8.88,21220,0
20010124,8.94,9.28,8.75,9.09,12792,0
20010125,9.19,9.33,8.88,9.06,175216,0
20010126,9.09,9.09,8.77,8.77,0,0
20010129,9.37,9.45,8.80,8.80,1002400,0
20010130,8.99,9.20,8.50,8.88,21079600,0
20010131,8.62,8.82,8.54,8.63,1647600,0
20010201,8.75,9.00,8.66,8.87,0,0
20010202,8.90,8.99,8.59,8.66,5115600,0
20010205,8.72,9.11,8.70,8.98,1154800,0
20010206,9.25,9.48,9.11,9.36,1880400,0
20010207,9.25,9.30,9.09,9.21,1066000,0
20010208,9.19,9.21,8.77,8.88,1004000,0
20010209,8.94,8.97,8.65,8.73,983200,0
20010212,8.73,8.98,8.71,8.94,1082400,0
20010213,9.00,9.38,9.00,9.23,1673200,0
20010214,9.27,9.27,9.01,9.07,746400,0
20010215,9.21,9.27,9.07,9.08,890400,0
20010216,9.14,9.14,8.89,9.02,525200,0
20010219,9.02,9.02,9.02,9.02,0,0
20010220,8.96,9.05,8.56,8.56,858800,0
20010221,8.61,8.65,8.40,8.42,743200,0
20010222,8.43,8.44,8.10,8.20,2588000,0
20010223,8.26,8.27,7.96,8.21,1394800,0
20010226,8.21,8.69,8.21,8.60,462800,0
20010227,8.65,8.65,8.35,8.49,673200,0
20010228,8.52,8.68,8.46,8.59,939600,0
20010301,8.64,8.64,8.19,8.28,1161200,0
20010302,8.23,8.94,8.23,8.78,9372800,0
20010305,8.80,9.04,8.66,8.66,1441600,0
20010306,8.99,9.18,8.98,9.11,1253200,0
20010307,9.01,9.17,8.90,9.05,1110000,0
20010308,9.05,9.37,9.00,9.27,850000,0
20010309,9.25,9.25,8.91,8.91,584000,0
20010312,8.93,8.96,8.56,8.58,1047200,0
20010313,8.56,8.64,8.36,8.51,711200,0
20010314,8.45,8.47,8.20,8.20,964400,0
20010315,8.21,8.55,8.21,8.52,648400,0
20010316,8.39,8.52,8.10,8.15,1066000,0
20010319,8.31,8.60,8.27,8.55,793200,0
20010320,8.71,9.07,8.71,8.98,2501600,0
20010321,9.00,9.50,8.98,9.38,4040800,0
20010322,9.40,9.60,9.08,9.27,3529600,0
20010323,9.27,9.57,9.27,9.46,1768800,0
20010326,9.52,9.88,9.50,9.83,9198400,0
20010327,9.93,9.93,9.67,9.72,5253600,0
20010328,9.72,9.87,9.51,9.73,1028400,0
20010329,9.73,10.38,9.73,10.34,2158400,0
20010330,10.30,10.45,9.95,10.10,1656800,0
20010402,10.18,10.30,9.88,9.99,770800,0
20010403,9.93,9.97,9.50,9.65,1382400,0
20010404,9.65,9.93,9.65,9.81,564400,0
20010405,9.81,10.01,9.54,9.95,863200,0
20010406,9.93,9.93,9.32,9.39,1072800,0
20010409,9.45,9.82,9.45,9.75,952000,0
20010410,9.90,10.27,9.90,10.19,761200,0
20010411,10.19,10.27,9.82,9.82,1058000,0
20010412,9.85,10.02,9.73,10.00,604000,0
20010416,10.03,10.05,9.91,9.93,543600,0
20010417,9.90,10.02,9.69,9.90,714800,0
20010418,9.86,10.69,9.54,10.62,2234000,0
20010419,10.63,10.87,10.63,10.66,1819600,0
20010420,10.66,10.76,10.64,10.72,1469200,0
20010423,10.70,10.71,10.43,10.60,569600,0
20010424,10.86,11.57,10.85,11.15,2194400,0
20010425,11.31,12.23,11.18,11.75,3252800,0
20010426,11.75,12.55,11.75,12.38,3435200,0
20010427,12.40,12.48,12.18,12.39,2057200,0
20010430,12.18,12.18,11.60,11.69,4305600,0
20010501,11.50,11.50,10.20,10.63,14275200,0
20010502,10.80,10.81,10.46,10.73,17861200,0
20010503,10.79,10.79,10.50,10.63,4890400,0
20010504,10.51,10.94,10.43,10.91,2351200,0
20010507,10.91,11.57,10.91,11.25,3251600,0
20010508,11.38,11.44,10.99,11.34,5512800,0
20010509,11.31,11.31,11.20,11.23,1182800,0
20010510,11.43,11.72,11.35,11.62,1593600,0
20010511,11.65,11.68,11.13,11.15,5267600,0
20010514,10.97,11.11,10.94,10.99,1982800,0
20010515,11.19,11.31,11.07,11.27,1416000,0
20010516,11.06,11.23,10.95,11.20,2472800,0
20010517,11.15,11.42,11.01,11.39,964000,0
20010518,11.39,11.39,11.15,11.18,761200,0
20010521,11.15,11.18,10.60,10.63,1776800,0
20010522,10.62,10.75,10.41,10.69,12932800,0
20010523,10.63,10.63,10.45,10.58,2378400,0
20010524,10.52,10.63,10.40,10.56,852000,0
