DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,51.75,52.31,48.25,48.50,10850,0
20010103,48.50,50.25,45.50,50.03,14890,0
20010104,50.00,50.00,46.50,46.84,9978,0
20010105,46.84,46.91,41.75,43.13,17712,0
20010108,42.88,45.19,42.34,44.47,10194,0
20010109,45.50,45.50,42.69,43.66,12206,0
20010110,43.22,46.19,43.22,45.56,11420,0
20010111,45.97,47.97,44.94,47.78,0,0
20010112,48.09,48.09,45.75,45.84,65232,0
20010115,45.84,45.84,45.84,45.84,0,0
20010116,45.75,46.22,42.81,45.47,9574,0
20010117,45.47,47.97,45.47,46.28,11696,0
20010118,46.31,47.06,45.56,47.00,25760,0
20010119,46.97,46.97,43.38,43.75,0,0
20010122,43.75,43.75,43.75,43.75,0,0
20010123,44.22,45.66,44.09,45.28,9406,0
20010124,45.13,45.88,43.03,43.25,13252,0
20010125,45.00,45.13,42.75,43.97,117676,0
20010126,44.00,46.47,43.22,45.63,0,0
20010129,46.67,46.67,45.50,45.81,725800,0
20010130,46.50,48.05,45.59,46.47,810400,0
20010131,46.45,48.95,46.26,48.74,1102800,0
20010201,48.65,49.10,47.60,47.67,1315600,0
20010202,47.50,47.53,45.50,45.68,0,0
20010205,46.40,46.45,44.88,45.56,1294200,0
20010206,45.96,48.75,45.96,47.65,1063000,0
20010207,47.00,47.01,45.13,45.74,372800,0
20010208,45.74,46.74,45.02,45.18,629000,0
20010209,45.18,45.38,43.81,44.26,553200,0
20010212,44.35,45.58,44.31,45.10,463200,0
20010213,45.00,46.35,44.01,44.01,461400,0
20010214,43.93,45.50,43.06,45.40,817800,0
20010215,46.38,46.38,45.25,45.70,786400,0
20010216,44.58,44.58,42.20,43.94,1017200,0
20010219,43.94,43.94,43.94,43.94,0,0
20010220,43.00,43.22,40.00,40.24,1222400,0
20010221,39.65,41.42,38.50,38.90,1172200,0
20010222,38.28,38.75,36.45,37.05,2947200,0
20010223,36.75,38.00,35.80,37.69,1248800,0
20010226,37.81,39.35,37.76,39.35,1817600,0
20010227,39.35,39.80,38.01,38.09,1201800,0
20010228,38.50,38.62,35.52,36.61,1450200,0
20010301,35.88,36.24,34.26,35.99,1307800,0
20010302,35.31,36.99,35.31,36.22,769800,0
20010305,36.33,36.77,35.65,36.12,330000,0
20010306,37.50,37.87,37.30,37.57,895200,0
20010307,37.00,37.12,35.63,35.97,2882800,0
20010308,36.24,36.47,34.68,35.04,911800,0
20010309,34.75,34.75,32.78,33.26,1296400,0
20010312,32.75,32.92,30.42,30.60,1451800,0
20010313,31.02,31.78,30.90,31.70,1290800,0
20010314,31.17,31.83,30.95,31.13,1487000,0
20010315,31.00,31.35,30.30,30.70,3476000,0
20010316,30.83,31.10,29.52,29.83,1554000,0
20010319,29.83,30.23,28.80,29.58,1123400,0
20010320,29.58,29.58,27.00,27.27,1716600,0
20010321,27.88,27.92,24.90,25.67,2001200,0
20010322,23.01,23.75,21.50,22.30,4645800,0
