DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,25.69,25.88,25.50,25.56,0,0
20010103,25.44,25.75,25.31,25.50,2282,0
20010104,25.38,25.50,24.75,25.13,1244,0
20010105,25.00,25.06,24.50,24.81,0,0
20010108,24.94,25.06,24.38,24.69,0,0
20010109,24.50,24.75,24.38,24.69,0,0
20010110,24.63,24.75,24.19,24.56,865,0
20010111,24.63,24.81,24.56,24.75,0,0
20010112,24.75,24.88,24.56,24.63,0,0
20010115,24.63,24.63,24.63,24.63,0,0
20010116,24.56,24.75,24.56,24.75,0,0
20010117,24.88,24.88,24.31,24.56,51710,0
20010118,24.63,24.75,24.25,24.69,0,0
20010119,24.63,24.63,24.13,24.25,0,0
20010122,24.25,24.25,24.25,24.25,0,0
20010123,24.13,24.38,24.13,24.25,2429,0
20010124,24.25,24.25,23.94,24.13,5827,0
20010125,24.13,24.13,23.75,24.13,0,0
20010126,24.00,24.19,23.88,24.06,0,0
20010129,24.13,24.75,24.03,24.75,99300,0
20010130,24.00,25.59,24.00,25.41,0,0
20010131,24.45,24.60,24.35,24.58,0,0
20010201,24.60,24.65,24.40,24.55,0,0
20010202,24.40,24.55,24.30,24.45,0,0
20010205,24.35,24.50,24.35,24.50,0,0
20010206,24.35,24.60,24.35,24.41,0,0
20010207,24.40,24.50,24.35,24.40,0,0
20010208,24.50,24.60,24.32,24.37,0,0
20010209,24.35,24.43,23.90,24.01,0,0
20010212,24.01,24.08,23.95,24.08,0,0
20010213,24.08,24.08,23.75,23.86,0,0
20010214,23.90,23.95,23.75,23.82,0,0
20010215,24.00,24.05,23.95,24.05,260600,0
20010216,23.90,24.05,23.80,23.87,0,0
20010219,23.87,23.87,23.87,23.87,0,0
20010220,24.00,24.20,23.65,23.98,38400,0
20010221,23.93,24.10,23.90,23.95,6161500,0
20010222,23.95,24.05,23.70,23.71,77000,0
20010223,23.55,24.05,23.55,23.95,45800,0
20010226,23.99,24.22,23.65,24.15,81600,0
