DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,73.00,73.00,70.81,71.00,9818,0
20010103,70.75,72.69,68.56,72.63,87554,0
20010104,73.75,75.81,73.44,74.50,33866,0
20010105,74.00,74.25,71.25,73.25,121366,0
20010108,73.31,73.31,70.88,72.00,6727,0
20010109,72.00,72.25,70.19,70.19,246970,0
20010110,69.63,72.38,69.63,71.13,11459,0
20010111,71.38,72.25,70.88,71.13,0,0
20010112,71.13,71.13,68.94,70.00,11145,0
20010115,70.00,70.00,70.00,70.00,0,0
20010116,70.00,72.50,69.56,72.31,14648,0
20010117,74.00,74.94,72.94,73.94,23753,0
20010118,73.75,73.75,71.50,72.06,127110,0
20010119,72.13,72.13,70.50,71.50,12253,0
20010122,71.50,71.50,71.50,71.50,0,0
20010123,71.81,73.13,71.44,72.81,0,0
20010124,72.81,73.31,72.19,73.25,10833,0
20010125,73.00,73.81,72.50,73.81,46530,0
20010126,73.56,74.56,73.38,74.31,46959,0
20010129,74.97,76.09,73.00,74.34,3978300,0
20010130,74.34,76.09,73.00,75.41,0,0
20010131,74.45,74.55,73.59,74.02,970300,0
20010201,74.00,74.18,73.51,73.90,1056600,0
20010202,73.81,74.90,73.81,74.31,756900,0
20010205,74.20,74.60,73.88,74.60,690500,0
20010206,74.00,74.05,73.20,74.00,594700,0
20010207,73.80,74.65,73.40,73.84,3583800,0
20010208,73.84,74.25,72.44,72.92,2901900,0
20010209,72.92,73.60,72.90,73.44,708100,0
20010212,73.45,75.00,73.45,74.88,947800,0
20010213,74.90,75.45,73.95,74.12,682500,0
20010214,74.20,74.47,73.00,73.25,2511200,0
20010215,72.69,72.83,71.98,72.42,808600,0
20010216,72.10,74.45,72.10,73.88,1277800,0
20010219,73.88,73.88,73.88,73.88,0,0
20010220,73.88,73.92,70.50,71.19,1510800,0
20010221,70.70,71.20,70.00,70.20,919600,0
20010222,70.00,70.00,67.62,68.60,2017900,0
20010223,68.84,69.05,67.87,68.75,1393000,0
20010226,69.50,69.76,68.20,69.75,851300,0
20010227,69.82,72.26,69.82,71.26,1752200,0
20010228,71.30,71.40,69.14,70.11,862400,0
20010301,69.45,70.12,68.70,69.91,905500,0
20010302,70.00,71.29,69.50,69.83,759100,0
20010305,69.92,70.40,68.35,68.71,20867600,0
20010306,69.25,69.65,68.25,68.48,1753700,0
20010307,68.70,69.99,68.11,69.20,944400,0
20010308,69.00,69.52,68.45,68.90,1038700,0
20010309,68.89,68.89,67.25,67.89,943800,0
20010312,67.64,67.88,63.82,63.95,1148000,0
20010313,64.10,66.00,63.60,65.75,1306100,0
20010314,64.04,64.46,62.75,63.39,1505500,0
20010315,64.02,65.19,63.41,65.10,3826800,0
20010316,63.80,64.69,63.63,63.80,1557400,0
20010319,63.80,65.04,62.93,64.75,1098500,0
20010320,64.65,65.20,63.18,63.32,1043800,0
20010321,63.00,63.20,60.26,60.35,1652400,0
20010322,60.10,60.10,56.00,57.85,2749200,0
20010323,58.75,62.64,58.30,61.77,2618000,0
20010326,62.06,64.19,62.06,63.08,915100,0
20010327,63.20,64.70,61.84,64.45,1246500,0
20010328,64.00,65.40,63.20,64.62,4064600,0
20010329,64.85,65.94,64.20,65.49,1727600,0
20010330,65.70,67.75,65.55,67.75,1185000,0
20010402,66.88,70.19,66.88,68.25,2406300,0
20010403,68.00,68.62,66.80,67.05,7642400,0
20010404,66.80,67.12,64.20,64.98,1040000,0
20010405,65.70,66.73,65.17,66.60,945800,0
20010406,67.25,68.34,64.71,66.15,1165400,0
20010409,66.50,67.40,65.97,66.50,552600,0
20010410,66.55,67.81,66.35,66.80,5684200,0
20010411,67.10,67.90,66.69,66.86,925400,0
20010412,66.67,67.50,66.66,67.12,437600,0
20010416,67.37,68.65,66.15,67.25,1520400,0
20010417,66.25,66.31,65.20,65.75,1775200,0
20010418,66.65,69.01,65.84,67.99,1455700,0
20010419,66.25,68.75,66.10,68.68,1364100,0
20010420,68.75,69.01,67.30,67.85,694200,0
20010423,67.60,68.00,65.93,66.66,684300,0
20010424,66.85,67.26,65.75,65.82,562200,0
20010425,65.83,66.01,64.90,65.70,3476500,0
20010426,65.50,65.75,63.01,63.70,1962000,0
20010427,64.25,66.18,64.25,66.18,4914100,0
20010430,65.70,66.10,64.78,65.07,810700,0
20010501,64.77,65.79,64.59,65.75,722600,0
20010502,65.50,66.19,64.80,64.85,1275500,0
20010503,63.50,64.04,62.75,63.80,1618700,0
20010504,62.70,65.10,62.65,64.90,2495400,0
20010507,64.55,64.76,63.55,63.85,1912700,0
20010508,63.85,64.05,62.90,64.02,698400,0
