DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.16,12.22,11.19,11.38,3604,0
20010103,11.44,11.97,11.25,11.75,3788,0
20010104,11.69,12.00,11.56,11.81,0,0
20010105,11.69,11.72,11.34,11.38,0,0
20010108,11.38,11.50,10.94,11.25,3154,0
20010109,11.25,11.53,11.19,11.28,0,0
20010110,11.34,11.72,11.09,11.56,21806,0
20010111,11.63,11.84,11.53,11.81,3818,0
20010112,11.94,11.94,11.75,11.88,2328,0
20010115,11.88,11.88,11.88,11.88,0,0
20010116,12.00,12.06,11.25,11.41,0,0
20010117,11.50,11.72,11.50,11.66,0,0
20010118,11.69,12.00,11.44,11.47,7248,0
20010119,11.59,12.31,11.59,12.16,8414,0
20010122,12.16,12.16,12.16,12.16,0,0
20010123,12.97,12.97,12.44,12.69,0,0
20010124,12.75,13.88,12.75,13.47,14358,0
20010125,13.47,13.50,13.22,13.41,0,0
20010126,13.31,13.44,13.16,13.28,0,0
20010129,14.84,14.84,13.61,13.88,543200,0
20010130,13.97,15.05,13.63,13.88,0,0
20010131,13.78,14.35,13.78,13.87,0,0
20010201,14.10,15.05,14.02,14.51,0,0
20010202,14.52,14.52,13.75,13.95,388000,0
20010205,13.95,14.24,13.81,13.81,0,0
20010206,13.94,14.40,13.93,14.27,0,0
20010207,14.27,14.45,14.26,14.29,373000,0
20010208,14.25,14.60,14.25,14.55,153800,0
20010209,14.55,14.55,14.10,14.25,502400,0
20010212,14.13,14.35,13.99,14.23,545400,0
20010213,14.44,14.74,14.44,14.55,487000,0
20010214,14.60,14.60,14.15,14.23,0,0
20010215,14.25,14.40,14.13,14.24,0,0
20010216,14.24,14.25,14.10,14.25,0,0
20010219,14.25,14.25,14.25,14.25,0,0
20010220,14.25,14.60,14.16,14.45,2260400,0
20010221,14.43,14.48,14.00,14.08,253200,0
20010222,13.95,14.07,13.50,13.70,339600,0
20010223,13.75,13.77,13.23,13.51,200200,0
20010226,13.52,13.68,13.32,13.64,2238600,0
20010227,13.70,13.70,13.50,13.63,515600,0
20010228,14.13,14.13,13.52,13.85,473200,0
20010301,13.98,13.98,13.63,13.77,390200,0
20010302,13.85,14.77,13.85,14.15,549200,0
20010305,14.15,14.85,14.15,14.52,2063400,0
20010306,14.57,14.83,14.57,14.75,30429400,0
20010307,14.77,15.07,14.75,14.93,462800,0
20010308,15.10,15.41,15.02,15.28,288600,0
20010309,15.30,15.30,15.00,15.13,397600,0
20010312,15.00,15.00,14.12,14.18,329800,0
20010313,14.02,14.38,13.77,14.32,576200,0
20010314,14.05,14.15,13.80,13.98,354800,0
20010315,13.98,14.15,13.60,13.68,6373600,0
20010316,13.73,13.74,13.45,13.49,344200,0
20010319,13.49,13.49,13.20,13.37,429600,0
20010320,13.52,14.10,13.49,13.66,356000,0
20010321,13.57,13.57,12.32,12.38,565800,0
20010322,12.43,12.48,11.40,11.93,675800,0
20010323,12.18,12.36,12.07,12.35,388600,0
20010326,12.65,12.73,12.45,12.57,14203400,0
20010327,12.76,13.11,12.52,13.11,365600,0
20010328,13.15,13.15,12.70,12.75,418400,0
20010329,12.75,13.13,12.57,12.98,508200,0
20010330,12.98,13.00,12.60,12.66,16461000,0
20010402,12.70,12.86,12.55,12.70,579800,0
20010403,12.79,12.79,12.25,12.43,190600,0
20010404,12.43,12.50,12.13,12.27,97800,0
20010405,12.34,12.79,12.23,12.79,263800,0
20010406,12.80,12.80,12.20,12.25,204400,0
20010409,12.52,12.77,12.52,12.61,554000,0
20010410,12.73,12.90,12.68,12.77,8362600,0
20010411,12.77,12.80,12.52,12.52,138800,0
20010412,12.55,12.85,12.23,12.85,289800,0
20010416,12.90,12.95,12.44,12.61,168400,0
20010417,12.70,12.95,12.60,12.85,63400,0
20010418,12.80,13.57,12.75,13.35,277000,0
20010419,13.45,13.45,13.10,13.34,159800,0
20010420,13.34,13.34,12.41,12.63,420400,0
20010423,13.05,14.13,12.95,13.75,642800,0
20010424,13.85,14.70,13.52,14.31,2429400,0
20010425,14.15,14.75,14.09,14.52,377600,0
20010426,14.52,15.90,14.52,15.46,4816200,0
20010427,15.40,15.40,14.93,15.10,2385000,0
20010430,15.14,15.44,15.05,15.39,664600,0
20010501,15.39,15.39,15.19,15.35,283800,0
20010502,15.35,15.69,15.32,15.52,176200,0
20010503,15.60,15.82,15.38,15.43,259400,0
20010504,15.43,15.43,15.13,15.31,262000,0
20010507,15.50,15.73,15.34,15.49,6519200,0
20010508,15.55,15.70,15.52,15.60,224000,0
20010509,15.60,15.81,15.51,15.68,194800,0
20010510,15.75,15.88,15.71,15.85,6095000,0
20010511,15.90,15.99,15.74,15.90,153000,0
20010514,16.00,16.00,15.22,15.38,371200,0
20010515,15.50,15.55,15.24,15.37,976600,0
20010516,15.43,16.69,15.43,16.38,655400,0
20010517,16.30,17.40,16.30,17.40,884000,0
20010518,17.30,18.33,17.16,18.20,1449000,0
20010521,18.25,18.25,17.44,17.58,845000,0
20010522,17.57,17.88,17.42,17.67,312000,0
20010523,17.75,17.83,17.55,17.77,403800,0
20010524,17.77,18.10,17.30,17.85,548200,0
20010525,17.83,18.17,17.73,17.95,8361200,0
20010528,17.95,17.95,17.95,17.95,0,0
20010529,17.99,18.23,17.99,18.16,2226800,0
20010530,18.15,18.15,17.61,17.67,4462600,0
20010531,17.63,18.01,17.63,17.90,220200,0
20010601,18.02,18.05,17.83,18.00,197800,0
20010604,18.00,18.23,17.93,18.17,2178600,0
20010605,18.17,18.17,17.98,18.11,229200,0
20010606,18.02,18.15,17.85,17.94,147800,0
20010607,18.00,18.05,17.81,17.99,115800,0
20010608,17.97,18.45,17.97,18.10,197600,0
20010611,18.05,18.13,17.68,17.69,224200,0
