DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,47.38,47.50,46.31,46.38,1551,0
20010103,46.50,47.81,43.50,43.56,13049,0
20010104,43.00,43.00,39.38,40.25,4847,0
20010105,40.25,41.50,40.25,41.13,43112,0
20010108,41.00,42.31,41.00,42.06,0,0
20010109,41.88,42.00,41.06,41.63,0,0
20010110,41.75,42.44,40.94,41.38,2781,0
20010111,41.31,41.31,39.69,40.50,5431,0
20010112,40.81,41.38,40.00,40.56,5346,0
20010115,40.56,40.56,40.56,40.56,0,0
20010116,40.50,40.50,39.06,39.56,4886,0
20010117,39.44,40.25,39.31,39.88,0,0
20010118,39.75,41.19,39.75,41.00,2728,0
20010119,40.88,41.69,39.75,40.94,1810,0
20010122,40.94,40.94,40.94,40.94,0,0
20010123,42.13,43.31,42.06,43.06,1904,0
20010124,43.13,43.94,43.00,43.13,21371,0
20010125,43.25,44.38,43.25,43.94,0,0
20010126,44.13,44.44,42.63,44.06,0,0
20010129,44.19,44.44,44.05,44.28,0,0
20010130,44.88,45.25,43.47,44.09,204800,0
20010131,43.25,43.25,42.51,43.17,196600,0
20010201,42.00,42.30,41.75,42.00,0,0
20010202,42.10,42.76,41.97,42.02,0,0
20010205,42.20,43.74,42.20,43.05,244000,0
20010206,42.60,43.88,42.28,43.56,0,0
20010207,43.56,45.07,43.56,44.79,424800,0
20010208,44.75,44.90,44.23,44.30,0,0
20010209,44.22,45.36,44.22,45.32,244400,0
20010212,45.45,46.00,44.10,44.55,283800,0
20010213,44.70,45.30,44.00,44.60,703200,0
20010214,44.60,44.87,43.92,44.30,0,0
20010215,43.95,44.34,43.88,44.19,0,0
20010216,44.40,45.58,44.40,45.51,0,0
20010219,45.51,45.51,45.51,45.51,0,0
20010220,45.52,46.65,45.22,46.00,209300,0
20010221,46.00,47.47,46.00,47.02,515200,0
20010222,47.00,47.75,46.74,47.23,3202500,0
20010223,47.45,47.96,46.35,47.41,505800,0
20010226,47.35,47.75,45.90,46.20,647000,0
20010227,46.35,46.75,46.00,46.45,137700,0
20010228,46.47,46.50,45.59,46.45,216100,0
20010301,46.42,46.42,45.60,45.99,2223900,0
20010302,46.10,46.40,45.48,46.28,263900,0
20010305,46.40,46.64,45.55,45.90,169700,0
20010306,46.15,46.40,45.85,46.05,5143600,0
20010307,46.00,46.80,45.62,46.16,208600,0
20010308,46.15,46.80,46.10,46.54,316100,0
20010309,46.70,46.80,45.98,46.47,117900,0
20010312,46.55,46.77,46.27,46.27,2119400,0
20010313,46.30,46.35,45.00,45.11,261200,0
20010314,45.10,45.10,43.90,44.06,210200,0
20010315,44.00,44.76,43.70,44.52,286900,0
20010316,43.80,44.69,43.75,43.90,324700,0
20010319,44.00,44.18,43.48,43.56,232800,0
20010320,43.35,44.10,42.90,43.60,277000,0
20010321,43.45,44.80,43.20,43.30,198500,0
20010322,43.30,43.31,40.50,41.43,373500,0
20010323,41.25,41.36,40.53,41.08,5257700,0
20010326,41.30,42.70,41.30,42.49,190900,0
20010327,42.65,43.52,42.35,42.63,183800,0
20010328,43.40,44.55,43.20,44.31,254000,0
20010329,44.10,45.25,43.70,45.23,225300,0
20010330,45.24,46.50,45.24,45.88,157300,0
20010402,46.60,46.76,45.32,46.72,406700,0
20010403,46.71,47.69,45.80,47.52,3194400,0
20010404,47.52,48.00,46.56,47.23,163800,0
20010405,47.25,47.25,45.92,46.90,400200,0
20010406,46.70,47.65,45.20,45.60,1380000,0
20010409,45.75,47.57,45.75,47.18,445900,0
20010410,47.30,48.49,47.24,48.14,665000,0
20010411,47.92,47.92,46.65,47.26,1303600,0
20010412,47.15,48.03,47.00,47.85,314400,0
20010416,48.00,50.00,48.00,49.25,546100,0
20010417,49.90,50.40,49.42,49.75,6566600,0
20010418,49.89,50.05,48.82,48.98,441800,0
20010419,49.00,49.55,47.80,48.03,363100,0
20010420,48.03,49.25,47.25,47.71,261600,0
20010423,47.95,48.80,47.95,48.80,240700,0
20010424,49.25,49.70,48.82,49.18,205700,0
20010425,49.40,50.30,49.22,50.14,171900,0
20010426,50.00,50.65,50.00,50.37,404800,0
20010427,50.20,50.35,49.50,50.22,528800,0
20010430,50.30,50.47,49.60,50.19,304000,0
20010501,50.20,50.70,49.48,49.54,325100,0
20010502,49.90,49.92,48.55,48.82,216900,0
20010503,48.85,49.05,48.29,48.50,168400,0
20010504,48.38,49.35,48.30,48.98,127700,0
20010507,49.35,49.37,48.60,48.74,143000,0
