DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.38,23.44,22.63,22.72,22486,0
20010103,22.72,22.91,22.13,22.75,30080,0
20010104,23.69,24.44,23.32,24.38,84964,0
20010105,24.50,24.57,23.41,24.00,69122,0
20010108,23.88,24.50,23.88,24.28,0,0
20010109,23.82,23.85,23.10,23.41,0,0
20010110,22.88,23.22,22.22,23.13,34284,0
20010111,23.32,23.32,22.10,22.44,17606,0
20010112,22.44,22.47,21.91,22.44,0,0
20010115,22.44,22.44,22.44,22.44,0,0
20010116,22.22,23.03,21.88,23.03,0,0
20010117,22.94,23.07,22.28,22.47,12884,0
20010118,22.60,22.66,22.00,22.50,10476,0
20010119,22.35,22.35,21.69,21.97,11270,0
20010122,21.97,21.97,21.97,21.97,0,0
20010123,22.03,22.75,22.00,22.28,0,0
20010124,22.13,22.63,22.13,22.57,9854,0
20010125,22.50,23.10,22.41,22.97,32888,0
20010126,23.13,23.16,22.41,22.60,46128,0
20010129,23.55,23.67,23.07,23.21,415136,0
20010130,23.60,23.94,22.50,23.75,25875400,0
20010131,23.15,23.28,22.80,23.09,2594800,0
20010201,23.43,23.57,23.10,23.31,0,0
20010202,23.40,23.99,23.38,23.84,0,0
20010205,23.75,24.66,23.63,24.63,5786000,0
20010206,24.62,24.87,24.33,24.87,2138400,0
20010207,24.76,24.88,24.35,24.48,1275400,0
20010208,24.70,24.93,24.25,24.85,2912600,0
20010209,25.00,25.24,24.80,24.83,1870200,0
20010212,24.83,25.23,24.58,25.05,1688200,0
20010213,25.08,25.55,25.04,25.10,1076200,0
20010214,25.20,25.49,25.00,25.17,0,0
20010215,25.35,25.50,25.26,25.50,2222000,0
20010216,25.43,25.43,24.55,24.80,0,0
20010219,24.80,24.80,24.80,24.80,0,0
20010220,24.80,25.29,24.80,25.00,1148800,0
20010221,24.88,25.03,24.60,24.72,1683200,0
20010222,24.83,25.24,24.60,24.97,1298200,0
20010223,25.39,25.39,24.30,24.75,1206000,0
20010226,25.13,25.63,25.11,25.59,854800,0
20010227,25.60,25.66,25.18,25.42,12503200,0
20010228,25.48,25.80,25.45,25.55,24923000,0
20010301,25.63,25.80,25.22,25.59,1444200,0
20010302,25.53,26.25,25.53,26.19,1056200,0
20010305,26.35,26.83,26.33,26.70,840400,0
20010306,26.71,26.85,26.56,26.70,8743200,0
20010307,26.73,27.46,26.73,27.46,2048800,0
20010308,27.49,27.75,26.68,27.73,3197600,0
20010309,27.67,27.75,27.12,27.75,2918800,0
20010312,27.45,27.50,27.13,27.33,5242000,0
20010313,27.35,27.35,25.88,26.33,1841400,0
20010314,26.13,26.24,25.25,25.57,2072400,0
20010315,25.50,25.60,25.20,25.37,10747800,0
20010316,24.95,25.60,24.95,24.95,1904000,0
20010319,24.83,25.84,24.83,25.57,2385600,0
20010320,25.30,26.25,24.75,25.26,1717600,0
20010321,25.05,25.05,24.30,24.48,1366000,0
20010322,24.38,24.38,22.81,23.56,1766600,0
20010323,23.18,23.37,22.78,22.98,3302200,0
20010326,23.00,23.60,22.90,23.35,1963000,0
20010327,23.75,23.75,23.01,23.48,3737000,0
20010328,23.35,23.52,22.65,23.49,1353800,0
20010329,23.40,23.70,22.96,23.16,3549400,0
20010330,23.31,23.31,22.79,23.05,1463200,0
20010402,23.83,24.14,23.36,23.70,2558000,0
20010403,23.68,23.68,22.78,22.90,1672000,0
20010404,23.20,24.53,23.20,23.94,2754600,0
20010405,24.05,24.68,24.05,24.58,1129800,0
20010406,24.53,24.53,23.65,24.00,583000,0
20010409,24.23,25.03,24.15,24.22,1645400,0
20010410,24.63,25.43,24.43,25.16,2390200,0
20010411,25.15,25.25,24.68,24.97,1670000,0
20010412,25.00,25.35,24.30,25.10,1151800,0
20010416,24.98,25.75,24.80,25.08,1420800,0
20010417,25.00,25.25,24.57,25.10,967800,0
20010418,25.00,26.30,24.75,26.02,1504000,0
