DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.47,22.66,21.59,21.69,6774,0
20010103,21.81,22.19,20.31,20.47,52738,0
20010104,20.25,20.25,17.69,17.97,33168,0
20010105,18.38,19.06,18.19,18.59,0,0
20010108,18.56,19.22,18.56,19.19,0,0
20010109,19.31,19.31,18.84,18.97,10692,0
20010110,19.06,19.22,18.50,18.88,6208,0
20010111,18.84,18.88,17.63,17.63,0,0
20010112,17.38,18.09,17.22,17.97,5650,0
20010115,17.97,17.97,17.97,17.97,0,0
20010116,17.88,17.88,16.94,17.41,17292,0
20010117,17.53,17.72,16.97,17.63,0,0
20010118,17.78,18.19,17.66,18.00,5776,0
20010119,17.63,18.25,17.53,18.03,9682,0
20010122,18.03,18.03,18.03,18.03,0,0
20010123,18.09,19.50,18.09,19.25,0,0
20010124,20.25,21.03,20.16,20.88,65004,0
20010125,21.25,22.00,21.16,21.50,0,0
20010126,21.41,21.81,21.25,21.56,14364,0
20010129,22.08,22.09,21.08,21.63,972600,0
20010130,21.63,22.05,21.00,21.61,713200,0
20010131,20.81,21.00,20.36,20.98,690200,0
20010201,20.73,20.83,20.40,20.65,0,0
20010202,20.65,21.25,20.65,21.24,3507200,0
20010205,21.24,21.60,21.15,21.20,463400,0
20010206,21.00,21.50,20.79,21.50,0,0
20010207,21.65,22.27,21.65,22.05,971600,0
20010208,22.05,22.51,22.00,22.16,704400,0
20010209,22.20,22.81,22.16,22.60,1487400,0
20010212,22.50,22.60,21.91,22.16,1318800,0
20010213,22.20,22.50,21.90,22.30,672200,0
20010214,22.30,22.61,22.00,22.23,0,0
20010215,22.15,22.24,21.78,22.02,1055000,0
20010216,22.15,22.48,21.95,22.05,1550200,0
20010219,22.05,22.05,22.05,22.05,0,0
20010220,22.00,22.58,21.95,22.56,575800,0
20010221,22.61,23.17,22.61,22.92,2271600,0
20010222,22.90,23.30,22.63,22.86,696600,0
20010223,22.83,22.95,22.09,22.45,483400,0
20010226,22.50,23.08,22.50,22.79,485800,0
20010227,22.78,23.22,22.63,22.85,314600,0
20010228,22.90,23.10,22.50,22.84,542800,0
20010301,22.84,23.02,22.70,22.95,629400,0
20010302,22.85,23.10,22.61,22.95,2376200,0
20010305,22.85,23.17,22.83,22.94,309800,0
20010306,22.99,23.04,22.67,22.90,2694400,0
20010307,22.72,23.35,22.55,23.14,3401000,0
20010308,23.14,23.38,23.00,23.30,608000,0
20010309,23.27,23.27,22.86,23.07,452400,0
20010312,23.15,23.36,22.97,22.98,560800,0
20010313,23.00,23.00,22.40,22.67,1082600,0
20010314,22.50,22.50,21.73,21.99,916600,0
20010315,21.25,21.50,20.94,21.36,3295200,0
20010316,21.55,22.10,21.50,21.84,1496800,0
20010319,21.80,21.91,21.66,21.71,679400,0
20010320,21.71,21.88,21.35,21.70,885200,0
20010321,21.58,21.97,21.50,21.55,1050600,0
20010322,21.55,21.60,20.63,21.19,2037400,0
20010323,21.11,21.33,20.75,21.25,548000,0
20010326,21.13,22.00,21.10,21.84,1003400,0
20010327,21.50,22.05,21.38,21.50,10934800,0
20010328,21.25,21.65,21.19,21.55,1195400,0
20010329,21.50,21.63,21.15,21.56,20890800,0
20010330,21.58,22.00,21.58,21.98,726200,0
20010402,22.32,22.76,22.03,22.76,1088000,0
20010403,22.76,23.13,22.33,23.13,2029400,0
20010404,23.20,23.25,22.75,23.00,2574400,0
20010405,23.05,23.17,22.70,23.17,1625000,0
20010406,23.17,23.42,22.25,23.13,14208400,0
20010409,23.44,24.55,23.42,24.15,2355800,0
20010410,24.50,25.41,24.50,25.10,2268400,0
20010411,25.10,25.50,24.63,25.31,1796200,0
20010412,25.28,25.63,24.91,25.16,1377800,0
20010416,25.14,25.57,25.03,25.27,4761800,0
20010417,25.35,26.10,25.25,26.08,1620200,0
20010418,26.20,26.38,25.73,25.98,2211600,0
20010419,25.80,26.09,25.29,25.63,1307800,0
20010420,25.63,26.15,25.45,25.76,9128600,0
20010423,26.00,26.78,26.00,26.73,1565400,0
20010424,27.23,27.90,26.98,27.20,2577800,0
20010425,27.50,27.65,26.90,27.38,5054200,0
20010426,27.40,28.07,27.39,27.98,24736000,0
20010427,28.09,28.20,27.70,27.82,3385800,0
20010430,27.82,27.98,27.50,27.50,1718600,0
20010501,27.53,27.60,27.02,27.20,2193800,0
20010502,27.30,27.32,26.50,26.50,28942600,0
20010503,26.35,26.66,25.85,26.65,4409200,0
20010504,26.45,26.87,26.42,26.85,14328600,0
20010507,26.88,27.00,26.67,26.82,9216000,0
20010508,26.80,26.81,26.42,26.70,516800,0
20010509,26.70,26.95,26.67,26.92,1114000,0
20010510,27.00,27.10,26.88,27.07,1378400,0
20010511,27.05,27.27,27.02,27.22,1575200,0
20010514,27.10,28.03,27.10,28.00,1598800,0
20010515,28.10,28.43,28.01,28.30,2122000,0
20010516,28.18,29.34,28.09,29.28,2408800,0
20010517,29.20,29.35,29.05,29.24,1433000,0
20010518,29.23,30.08,29.23,29.95,10971800,0
20010521,30.02,30.55,29.95,30.42,2667400,0
20010522,30.42,31.10,30.41,30.99,1762600,0
20010523,30.97,31.18,30.95,31.11,2219400,0
20010524,30.91,30.97,30.25,30.49,1592600,0
20010525,30.49,30.50,29.84,29.87,1718800,0
20010528,29.87,29.87,29.87,29.87,0,0
20010529,29.82,29.88,29.00,29.35,8964000,0
20010530,29.42,29.80,29.42,29.55,1154600,0
20010531,29.45,29.90,29.40,29.85,2208600,0
20010601,30.05,30.23,29.42,29.95,8590800,0
20010604,30.00,30.25,29.48,29.78,4680400,0
20010605,29.63,29.65,28.68,28.75,2633200,0
20010606,28.70,28.70,28.00,28.40,4449600,0
20010607,28.63,28.92,28.25,28.30,1070400,0
20010608,28.28,28.65,28.00,28.55,565400,0
20010611,28.56,29.27,28.56,29.02,2836600,0
20010612,28.90,29.81,28.90,29.58,1699400,0
20010613,29.58,29.70,28.60,28.87,16352600,0
20010614,28.73,28.73,27.48,27.52,601600,0
20010615,27.55,28.44,27.55,28.12,1326200,0
20010618,28.77,28.88,28.26,28.40,6917600,0
20010619,28.40,29.25,28.33,29.25,15111400,0
20010620,29.38,29.97,29.02,29.48,172090000,0
20010621,29.49,29.49,26.26,26.50,30447800,0
20010622,26.48,27.06,26.34,27.00,5174600,0
20010625,26.88,27.17,26.42,26.45,13152800,0
20010626,26.38,26.60,26.19,26.57,9681600,0
20010627,26.38,26.40,26.00,26.27,1820800,0
20010628,26.28,26.65,26.28,26.64,1432600,0
20010629,26.63,27.50,26.48,27.50,11759000,0
20010702,27.50,27.63,27.21,27.63,1369200,0
20010703,27.67,27.88,27.40,27.55,789000,0
20010704,27.55,27.55,27.55,27.55,0,0
20010705,27.55,28.00,27.45,27.98,4779800,0
20010706,28.02,28.25,27.75,27.94,772200,0
20010709,28.13,28.19,27.65,27.90,995400,0
20010710,27.85,28.00,27.60,27.85,1056400,0
20010711,27.85,28.05,26.82,26.97,1343800,0
20010712,26.92,26.92,26.02,26.34,3611200,0
20010713,26.35,26.45,25.92,26.25,601000,0
20010716,26.25,26.70,26.00,26.02,1086000,0
20010717,26.03,26.33,25.75,26.20,18968800,0
20010718,26.16,26.48,25.95,26.48,674000,0
20010719,26.48,26.73,26.05,26.45,4568000,0
20010720,26.45,26.65,24.35,24.63,1862400,0
20010723,24.67,24.90,22.83,23.06,2494400,0
20010724,23.17,23.42,21.68,22.00,18932400,0
20010725,21.98,22.60,21.00,22.32,5244400,0
20010726,22.50,22.76,22.10,22.65,1925400,0
20010727,22.65,22.74,22.00,22.55,1546200,0
20010730,21.88,23.00,21.83,22.75,1421400,0
20010731,22.50,22.63,22.10,22.49,356600,0
20010801,22.49,22.90,22.19,22.83,1882600,0
20010802,22.83,23.17,22.50,22.93,1521400,0
20010803,22.93,23.09,22.50,22.70,915400,0
20010806,22.38,22.49,21.67,21.75,1662200,0
20010807,21.82,22.40,21.82,22.06,7778200,0
20010808,21.95,22.02,21.50,21.55,6882000,0
20010809,21.51,21.77,21.25,21.50,3088800,0
20010810,21.46,21.67,21.25,21.50,1036000,0
20010813,21.50,21.75,21.32,21.39,6754000,0
20010814,21.35,21.58,21.25,21.38,560600,0
20010815,21.37,21.58,21.11,21.18,6572800,0
20010816,21.10,21.42,21.08,21.38,429000,0
20010817,21.30,21.41,21.11,21.22,20353200,0
20010820,21.20,21.36,21.06,21.33,635400,0
20010821,21.45,21.56,21.25,21.25,453000,0
20010822,21.25,21.56,21.18,21.40,37069000,0
20010823,21.42,21.76,21.38,21.64,963400,0
20010824,21.60,21.98,21.58,21.95,4613000,0
20010827,21.88,22.23,21.88,21.96,704200,0
20010828,21.90,22.21,21.90,22.06,4754400,0
20010829,22.02,22.10,21.80,21.84,670800,0
20010830,21.91,22.18,21.63,21.68,2694600,0
20010831,21.69,21.90,21.52,21.67,745600,0
20010903,21.67,21.67,21.67,21.67,0,0
20010904,21.75,21.85,21.50,21.50,602000,0
20010905,21.58,21.92,21.40,21.55,1337000,0
20010906,21.49,21.70,21.20,21.20,1803200,0
20010907,21.20,21.50,21.18,21.37,24960400,0
20010910,21.30,21.32,20.89,21.05,1459800,0
20010911,21.05,21.05,21.05,21.05,0,0
20010917,20.73,20.73,19.93,20.05,1066000,0
20010918,20.00,20.08,19.34,19.35,3149200,0
20010919,19.28,19.31,18.50,18.88,1878600,0
20010920,18.75,18.93,18.58,18.85,5202200,0
20010921,18.25,18.65,18.24,18.50,1676400,0
20010924,18.63,18.80,18.09,18.10,25296000,0
20010925,18.23,18.35,17.30,17.49,2543200,0
20010926,17.20,17.30,16.65,16.65,3267800,0
20010927,16.58,16.60,15.49,15.60,3612800,0
20010928,15.85,16.30,15.80,16.30,48448600,0
20011001,16.35,16.42,16.00,16.22,2079400,0
20011002,16.38,16.61,16.32,16.57,1000800,0
20011003,16.64,17.50,16.52,17.47,2645200,0
20011004,17.47,18.00,17.47,17.70,5994400,0
20011005,17.70,17.94,17.44,17.45,1594600,0
20011008,17.33,17.75,17.16,17.68,1729200,0
20011009,17.75,17.75,17.33,17.57,1218400,0
