DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,8.53,8.63,7.75,8.25,137100,0
20010103,8.13,8.63,8.13,8.56,247600,0
20010104,8.25,8.56,8.06,8.19,265100,0
20010105,8.13,8.44,7.38,8.34,209500,0
20010108,8.19,8.56,7.88,8.50,154300,0
20010109,8.53,8.56,8.25,8.56,243700,0
20010110,8.53,9.25,8.41,9.22,273200,0
20010111,9.28,10.38,9.28,9.81,930500,0
20010112,9.63,10.00,9.44,9.59,445000,0
20010115,9.59,9.59,9.59,9.59,0,0
20010116,9.75,9.97,9.31,9.97,513400,0
20010117,9.88,9.94,9.13,9.16,161700,0
20010118,9.00,9.19,8.88,9.06,134000,0
20010119,8.75,9.00,8.50,8.50,264800,0
20010122,8.63,9.13,8.56,8.94,244500,0
20010123,8.88,8.88,8.06,8.56,513100,0
20010124,8.56,8.81,8.44,8.44,198000,0
20010125,8.56,8.56,8.38,8.38,280600,0
20010126,8.38,9.06,8.38,9.00,518900,0
20010129,9.00,9.31,8.94,9.09,598300,0
20010130,9.03,9.53,9.00,9.50,289100,0
20010131,9.31,10.00,9.31,10.00,552300,0
20010201,9.63,9.75,9.50,9.53,140400,0
20010202,9.50,9.88,9.31,9.31,149400,0
20010205,9.25,9.88,9.25,9.75,217000,0
20010206,9.63,10.06,9.63,9.94,216400,0
20010207,9.75,10.13,9.72,9.94,421900,0
20010208,9.88,10.13,9.75,9.75,330600,0
20010209,9.78,9.84,9.75,9.81,921300,0
20010212,9.78,10.03,9.75,9.88,360300,0
20010213,9.91,10.00,9.63,9.63,195400,0
20010214,9.56,10.00,9.47,10.00,219200,0
20010215,9.88,10.31,9.84,10.31,406100,0
20010216,10.19,10.25,9.94,9.97,120300,0
20010219,9.97,9.97,9.97,9.97,0,0
20010220,10.06,10.19,9.94,9.94,79700,0
20010221,9.91,10.19,9.88,10.19,142000,0
20010222,10.00,10.19,9.88,10.19,252500,0
20010223,10.06,10.06,9.81,10.00,392200,0
20010226,10.13,10.13,9.94,10.06,222000,0
20010227,10.03,10.19,10.00,10.06,101700,0
20010228,10.09,10.13,10.00,10.13,200400,0
20010301,10.06,10.13,9.94,10.00,254000,0
20010302,10.06,10.13,9.94,10.00,181000,0
20010305,10.00,10.25,9.94,9.94,620800,0
20010306,10.09,10.19,9.78,9.97,177800,0
20010307,9.91,10.00,9.50,9.66,138000,0
20010308,9.69,9.72,9.50,9.56,236100,0
20010309,9.47,9.75,9.44,9.59,12000000,0
20010312,9.47,9.75,9.44,9.44,199200,0
20010313,9.44,10.19,9.44,10.19,227900,0
20010314,9.81,10.38,9.81,10.13,420600,0
20010315,10.00,10.13,9.88,9.97,76700,0
20010316,10.00,10.06,9.88,9.94,295200,0
20010319,10.06,10.13,9.94,10.06,293800,0
20010320,10.03,10.06,9.38,9.38,169200,0
20010321,9.72,9.88,9.44,9.44,121800,0
20010322,9.44,10.06,9.44,10.00,131000,0
20010323,10.00,10.06,9.75,9.97,82400,0
20010326,9.78,10.06,9.78,9.81,104000,0
20010327,9.81,10.06,9.81,10.06,103900,0
20010328,9.81,10.06,9.59,9.63,112700,0
20010329,9.59,10.00,9.56,9.72,146100,0
20010330,9.84,10.31,9.69,9.88,232700,0
20010402,10.31,10.75,9.69,9.97,562100,0
20010403,9.91,10.13,9.69,10.13,147400,0
20010404,9.88,10.50,9.88,10.19,154900,0
20010405,10.44,10.69,10.19,10.50,453900,0
20010406,10.06,10.44,10.06,10.06,503100,0
20010409,10.10,10.25,10.03,10.23,239900,0
20010410,10.27,10.41,10.19,10.40,537000,0
20010411,10.44,10.45,10.19,10.26,477500,0
20010412,10.20,10.38,10.20,10.33,813800,0
20010416,10.37,10.39,10.27,10.33,510500,0
20010417,10.28,10.41,10.22,10.41,484400,0
20010418,10.44,11.94,10.44,10.79,599800,0
20010419,10.73,11.34,10.73,11.20,156000,0
20010420,11.04,11.50,11.04,11.36,202200,0
20010423,11.11,11.33,10.90,11.28,195100,0
20010424,11.16,11.40,11.05,11.40,205400,0
20010425,11.20,12.10,11.20,11.99,854900,0
20010426,12.00,12.00,11.85,11.97,483100,0
20010427,11.96,12.00,11.34,11.46,505900,0
20010430,11.52,11.95,11.49,11.94,872000,0
20010501,11.96,12.41,11.70,12.11,326800,0
20010502,12.10,12.12,11.70,12.00,765700,0
20010503,11.99,12.00,11.66,11.90,485000,0
20010504,11.64,11.98,11.63,11.95,373800,0
20010507,11.99,12.21,11.98,12.16,581800,0
20010508,12.08,12.73,12.00,12.61,492300,0
20010509,12.53,12.76,12.43,12.75,549100,0
20010510,12.72,12.78,12.33,12.33,152900,0
20010511,12.48,12.75,12.44,12.53,348700,0
20010514,12.40,12.54,12.33,12.35,293500,0
20010515,12.36,12.45,12.13,12.30,730800,0
20010516,12.20,12.50,12.20,12.47,722900,0
20010517,12.43,13.14,12.37,12.97,723000,0
20010518,12.95,12.97,12.65,12.95,447500,0
20010521,12.99,13.00,12.75,12.83,521100,0
20010522,12.84,12.94,12.71,12.87,197200,0
20010523,12.86,13.00,12.78,12.87,497500,0
20010524,12.85,13.45,12.85,13.22,882000,0
20010525,13.22,13.36,13.17,13.18,478200,0
20010528,13.18,13.18,13.18,13.18,0,0
20010529,13.15,13.71,13.12,13.64,347800,0
20010530,13.65,13.86,13.44,13.71,292200,0
20010531,13.79,14.00,13.71,13.93,934900,0
20010601,13.98,14.06,13.28,13.71,738400,0
