DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20020108,31.43,31.85,31.32,31.78,1753000,0
20020109,31.95,31.95,31.25,31.30,1639100,0
20020110,31.12,31.68,31.01,31.01,1679400,0
20020111,31.01,31.15,30.75,30.90,1958200,0
20020114,30.75,30.75,29.53,30.05,31600000,0
20020115,30.40,31.12,29.92,30.78,1962400,0
20020116,30.58,31.15,30.45,30.68,1871100,0
20020117,30.88,31.00,30.30,30.52,1739700,0
20020118,30.40,30.45,29.75,30.25,16779100,0
20020121,30.25,30.25,30.25,30.25,0,0
20020122,30.49,31.25,30.40,31.25,2320500,0
20020123,31.65,31.68,30.52,30.52,2460800,0
20020124,30.60,30.65,30.00,30.25,3049100,0
20020125,30.00,30.50,29.90,30.43,2373600,0
20020128,30.65,31.04,30.61,30.93,2399600,0
20020129,30.00,30.89,30.00,30.39,2512800,0
20020130,30.50,30.57,29.80,30.05,4392500,0
20020131,30.48,31.18,30.33,31.05,21497000,0
20020201,30.95,30.95,30.40,30.60,3208700,0
20020204,30.60,30.98,30.50,30.88,3085800,0
20020205,30.85,31.60,30.76,31.05,2391400,0
20020206,31.20,31.20,30.89,31.15,21736300,0
20020207,30.95,31.05,30.52,30.62,1665800,0
20020208,30.57,31.03,30.55,31.03,1399300,0
20020211,30.70,31.89,30.67,31.76,1905300,0
20020212,31.41,31.85,31.25,31.50,2038600,0
20020213,31.20,32.22,30.86,32.09,3779900,0
20020214,32.05,32.28,31.91,32.00,2204100,0
20020215,31.83,31.90,31.03,31.50,1614600,0
20020218,31.50,31.50,31.50,31.50,0,0
20020219,31.00,31.10,30.00,30.26,2901400,0
20020220,30.50,30.70,30.10,30.65,2179100,0
20020221,30.45,30.87,30.45,30.84,11805100,0
20020222,30.55,30.65,30.00,30.24,1655900,0
20020225,30.25,30.32,30.07,30.28,2355800,0
20020226,30.38,30.69,30.33,30.50,2309100,0
20020227,30.60,30.61,30.30,30.33,2937000,0
20020228,30.35,30.75,30.35,30.57,2012200,0
20020301,30.69,30.89,30.40,30.85,2187100,0
20020304,30.88,31.48,30.70,30.70,2925800,0
20020305,30.70,31.49,30.41,31.44,3246400,0
20020306,31.00,31.40,31.00,31.40,1592400,0
20020307,31.20,31.67,31.10,31.57,2306100,0
20020308,31.85,32.05,31.45,31.75,2561600,0
20020311,31.85,31.94,31.20,31.36,2133300,0
20020312,31.00,31.35,30.69,30.90,5720500,0
20020313,30.63,30.90,30.60,30.63,1751800,0
20020314,30.70,31.00,30.70,30.97,20300000,0
