DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,24.19,24.50,24.13,24.19,957,0
20010103,24.25,25.06,24.25,24.63,1290,0
20010104,24.50,25.19,24.50,25.19,0,0
20010105,25.19,25.25,24.88,24.94,0,0
20010108,24.88,25.25,24.56,24.94,2475,0
20010109,24.88,25.00,24.81,25.00,0,0
20010110,24.94,25.19,24.94,25.06,1583,0
20010111,25.13,25.31,25.06,25.19,0,0
20010112,25.13,25.19,25.06,25.19,1791,0
20010115,25.19,25.19,25.19,25.19,0,0
20010116,25.19,25.50,25.13,25.50,1225,0
20010117,25.50,25.63,25.44,25.63,0,0
20010118,25.56,25.81,25.56,25.75,0,0
20010119,25.75,26.13,25.75,26.06,2845,0
20010122,26.06,26.06,26.06,26.06,0,0
20010123,26.00,26.13,26.00,26.06,237,0
20010124,26.00,26.31,26.00,26.00,0,0
20010125,26.19,26.50,26.06,26.13,1542,0
20010126,26.13,26.25,26.00,26.25,0,0
20010129,26.03,26.25,26.00,26.06,118100,0
20010130,26.06,28.34,26.06,26.47,88800,0
20010131,26.12,26.34,26.12,26.25,0,0
20010201,26.20,26.21,25.96,26.00,514900,0
20010202,25.95,25.99,25.85,25.91,0,0
20010205,25.91,25.91,25.57,25.81,0,0
20010206,25.82,25.90,25.51,25.87,162700,0
20010207,25.80,25.99,25.67,25.90,31400,0
20010208,25.85,25.95,25.73,25.73,0,0
20010209,25.74,25.93,25.55,25.55,186800,0
20010212,25.55,26.20,25.55,25.80,6000000,0
20010213,25.85,25.94,25.57,25.57,170400,0
20010214,25.55,25.78,25.55,25.63,0,0
20010215,25.77,26.00,25.74,25.90,116000,0
20010216,25.80,25.82,25.70,25.77,192500,0
20010219,25.77,25.77,25.77,25.77,0,0
20010220,25.77,25.77,25.30,25.56,310600,0
20010221,25.50,25.65,25.30,25.30,80200,0
20010222,25.25,25.45,25.00,25.00,116600,0
20010223,25.00,25.15,24.76,25.12,253100,0
20010226,25.17,25.47,25.17,25.30,96900,0
20010227,25.28,26.00,25.28,25.40,116400,0
20010228,25.40,25.75,25.40,25.73,9150100,0
20010301,25.73,25.94,25.65,25.81,255800,0
20010302,25.96,26.05,25.85,26.05,73100,0
20010305,26.08,26.25,26.00,26.00,93700,0
20010306,26.00,26.07,25.95,26.02,120100,0
20010307,26.00,26.24,26.00,26.10,195800,0
20010308,26.00,26.25,26.00,26.10,99400,0
20010309,26.10,26.24,26.10,26.15,149600,0
20010312,26.10,26.25,25.99,26.02,166600,0
20010313,25.75,26.14,25.75,26.06,199100,0
20010314,26.00,26.11,25.85,25.85,394600,0
20010315,25.85,26.00,25.74,25.74,133100,0
20010316,25.74,25.88,25.53,25.53,260800,0
20010319,25.50,25.75,25.50,25.65,116300,0
20010320,25.73,25.99,25.60,25.69,123600,0
20010321,25.67,25.75,25.65,25.74,3140400,0
20010322,25.76,26.25,25.40,25.69,591400,0
20010323,25.70,26.25,25.50,25.50,106800,0
20010326,25.50,26.05,25.50,26.03,1130100,0
20010327,26.05,26.26,26.00,26.26,109600,0
20010328,26.10,26.11,25.89,25.93,112000,0
20010329,25.94,26.11,25.84,25.95,235800,0
20010330,25.96,26.75,25.96,26.25,10376600,0
20010402,26.31,26.50,26.26,26.50,124900,0
20010403,26.42,26.48,26.34,26.35,309900,0
20010404,26.36,26.75,26.36,26.62,156900,0
20010405,26.62,26.70,26.50,26.65,121400,0
20010406,26.64,26.68,26.60,26.60,2102300,0
20010409,26.70,26.75,26.40,26.62,78000,0
20010410,26.60,26.86,26.60,26.76,109000,0
20010411,26.60,26.60,26.25,26.30,23112500,0
20010412,26.30,26.30,26.11,26.22,30114200,0
20010416,26.21,26.40,26.06,26.14,105000,0
20010417,26.31,26.58,26.31,26.52,107500,0
20010418,26.52,27.10,26.50,27.05,251500,0
20010419,27.05,27.05,26.75,26.95,293600,0
20010420,27.00,27.05,26.50,26.65,390300,0
20010423,26.65,26.80,26.65,26.73,295600,0
20010424,26.70,26.75,26.57,26.57,2078000,0
20010425,26.57,26.75,26.55,26.75,385600,0
20010426,26.90,27.14,26.80,26.80,2127500,0
20010427,27.01,27.57,27.01,27.44,143200,0
20010430,27.40,27.45,27.05,27.23,129400,0
20010501,27.23,27.45,27.23,27.27,2149800,0
20010502,27.17,27.44,27.17,27.31,122300,0
20010503,27.20,27.40,27.20,27.40,279600,0
20010504,27.36,27.48,27.35,27.42,164900,0
20010507,27.45,27.45,27.31,27.34,54100,0
20010508,27.20,27.22,27.00,27.01,190700,0
20010509,27.00,27.30,26.98,27.25,165300,0
20010510,27.13,27.30,26.75,26.81,433000,0
20010511,26.75,26.97,26.50,26.85,73800,0
20010514,26.85,27.06,26.79,27.00,59800,0
20010515,27.08,27.13,26.79,26.95,451300,0
20010516,26.97,27.09,26.97,27.09,1109900,0
20010517,27.02,27.24,26.96,27.24,1365500,0
20010518,27.30,27.34,27.01,27.20,54200,0
20010521,26.80,27.02,26.80,27.00,108100,0
20010522,27.00,27.45,27.00,27.32,109500,0
20010523,27.32,27.50,27.25,27.48,160400,0
20010524,27.49,27.70,27.40,27.69,221400,0
20010525,27.57,27.68,27.52,27.61,10134200,0
20010528,27.61,27.61,27.61,27.61,0,0
20010529,27.70,27.70,27.40,27.53,218200,0
20010530,27.60,27.68,27.50,27.63,64000,0
20010531,27.60,27.74,27.51,27.62,10114400,0
20010601,27.52,27.63,27.51,27.63,81100,0
20010604,27.60,27.70,27.52,27.70,129500,0
20010605,27.68,28.09,27.68,28.04,18130300,0
20010606,28.03,28.15,28.03,28.12,2061800,0
20010607,28.11,28.25,28.11,28.20,104900,0
20010608,28.20,28.27,28.15,28.21,123500,0
20010611,28.22,28.49,28.22,28.30,71700,0
20010612,28.35,29.05,28.35,28.92,7224100,0
20010613,28.80,28.84,28.59,28.80,153700,0
20010614,28.75,29.10,28.70,28.86,2155800,0
20010615,28.80,29.15,28.76,28.88,1092000,0
20010618,28.80,29.23,28.80,29.09,117300,0
20010619,29.15,29.50,29.15,29.45,235800,0
20010620,29.46,29.65,29.41,29.60,277900,0
20010621,29.60,29.79,29.50,29.74,159500,0
20010622,29.73,29.84,29.62,29.70,65100,0
20010625,29.71,29.72,29.46,29.57,119600,0
20010626,29.64,29.68,29.30,29.67,5140300,0
20010627,29.45,29.95,29.25,29.90,201000,0
20010628,29.91,30.20,29.90,30.03,110200,0
20010629,29.99,30.08,29.65,29.65,258500,0
20010702,29.66,30.06,29.64,30.00,129400,0
20010703,29.90,30.20,29.90,30.15,118300,0
20010704,30.15,30.15,30.15,30.15,0,0
20010705,29.99,30.32,29.92,30.17,85000,0
20010706,30.16,30.50,30.13,30.39,108700,0
20010709,30.27,30.44,29.75,29.85,1170700,0
20010710,29.75,29.90,29.66,29.70,1042300,0
20010711,29.68,29.68,29.41,29.43,89800,0
20010712,29.40,29.45,29.32,29.35,5082200,0
20010713,29.42,29.45,29.32,29.39,57400,0
20010716,29.39,29.40,29.22,29.22,2133100,0
20010717,29.22,29.34,29.20,29.26,1095500,0
20010718,29.20,29.68,29.20,29.63,64400,0
20010719,29.62,29.84,29.50,29.67,80200,0
20010720,29.75,29.99,29.50,29.75,47700,0
20010723,29.75,29.85,29.60,29.85,145900,0
20010724,29.75,29.99,29.59,29.59,142300,0
20010725,29.59,29.69,29.40,29.60,5237800,0
20010726,29.45,29.69,29.45,29.60,4483400,0
20010727,29.65,29.66,29.23,29.45,133000,0
20010730,29.35,29.85,29.15,29.40,151200,0
20010731,29.30,29.75,29.30,29.52,52200,0
20010801,29.55,29.74,29.52,29.70,29100,0
20010802,29.82,30.29,29.71,30.25,3155700,0
20010803,30.30,30.30,30.19,30.27,76500,0
20010806,30.17,30.58,30.17,30.57,4125300,0
20010807,30.56,30.75,30.50,30.75,176300,0
20010808,30.85,31.02,30.80,31.02,281500,0
20010809,31.14,32.00,31.00,32.00,5287600,0
20010810,32.90,33.70,32.30,33.49,422100,0
20010813,33.51,33.62,33.00,33.34,7278900,0
20010814,33.30,33.85,33.30,33.60,1255700,0
20010815,33.60,34.40,33.60,34.25,4267300,0
20010816,34.05,34.25,33.92,33.99,4132200,0
20010817,33.93,34.05,33.93,34.02,209500,0
20010820,34.03,34.54,34.00,34.40,165300,0
20010821,34.25,34.61,34.25,34.60,4192300,0
20010822,34.60,34.79,34.54,34.69,331500,0
20010823,34.57,34.85,34.54,34.70,108800,0
20010824,34.65,34.70,34.29,34.45,4118000,0
20010827,34.25,34.75,34.22,34.40,142600,0
20010828,34.15,34.39,34.00,34.18,113100,0
20010829,34.11,34.30,33.25,33.67,10218400,0
20010830,33.60,33.92,33.23,33.24,152600,0
20010831,33.25,33.27,32.87,33.16,166800,0
20010903,33.16,33.16,33.16,33.16,0,0
20010904,33.00,33.30,32.83,32.95,142500,0
20010905,32.86,33.14,32.51,32.77,81200,0
20010906,32.87,32.87,32.25,32.34,126400,0
20010907,32.35,32.80,31.90,32.30,104400,0
20010910,32.56,32.62,32.25,32.60,156300,0
20010911,32.60,32.60,32.60,32.60,0,0
20010917,32.05,32.24,31.64,32.00,1124400,0
20010918,32.00,32.90,32.00,32.70,219100,0
20010919,32.80,33.50,32.80,33.41,654300,0
20010920,33.37,33.57,33.12,33.25,328400,0
20010921,33.00,33.01,32.70,32.85,305600,0
20010924,33.15,33.75,32.45,32.50,1327100,0
20010925,32.70,32.98,32.45,32.73,727800,0
20010926,32.53,33.25,32.40,32.50,331500,0
20010927,32.90,33.00,32.82,32.99,196300,0
20010928,33.20,33.52,32.98,33.40,211200,0
20011001,33.45,33.85,33.41,33.60,228900,0
20011002,33.85,33.85,33.00,33.40,141700,0
20011003,33.30,33.40,32.51,32.69,192400,0
20011004,33.00,33.90,33.00,33.01,124400,0
20011005,33.50,33.50,32.86,33.39,97400,0
20011008,33.39,33.50,33.25,33.40,94800,0
20011009,33.45,33.78,33.32,33.78,166900,0
20011010,33.60,34.24,33.60,34.02,169800,0
20011011,34.02,34.80,34.02,34.68,89300,0
20011012,34.50,34.50,33.99,34.02,1145200,0
20011015,34.14,34.49,34.14,34.30,112900,0
20011016,34.30,34.74,34.25,34.60,173400,0
20011017,34.60,34.80,34.34,34.41,224700,0
20011018,34.25,34.63,33.75,33.95,74100,0
20011019,34.00,34.60,33.60,33.80,85200,0
20011022,33.80,33.85,33.10,33.24,127200,0
20011023,33.19,33.84,33.00,33.29,105400,0
20011024,33.39,33.44,32.60,32.88,147300,0
20011025,32.68,33.10,32.48,32.60,139900,0
20011026,32.60,33.24,32.60,33.00,5253000,0
20011029,32.78,33.10,32.75,33.00,192100,0
20011030,32.90,32.96,32.55,32.77,1105100,0
20011031,32.88,32.91,32.50,32.89,254400,0
20011101,32.93,33.45,32.78,33.35,159400,0
20011102,33.60,33.93,33.35,33.54,147800,0
20011105,33.62,33.74,33.29,33.30,1134500,0
20011106,33.39,33.85,33.30,33.83,155000,0
20011107,33.70,34.48,33.70,33.95,116500,0
20011108,33.85,34.60,33.79,34.47,183000,0
20011109,34.47,34.65,33.76,34.04,108500,0
20011112,34.19,34.24,34.00,34.20,113300,0
20011113,34.30,34.60,34.30,34.55,1135700,0
20011114,34.65,34.74,34.41,34.68,120600,0
20011115,34.72,35.15,34.64,35.15,109000,0
20011116,34.90,34.97,34.54,34.77,1204800,0
20011119,34.57,34.80,34.50,34.52,131300,0
20011120,34.75,34.75,34.41,34.42,161500,0
20011121,34.48,34.69,34.35,34.68,121400,0
20011122,34.68,34.68,34.68,34.68,0,0
20011123,34.68,34.85,34.58,34.85,63900,0
20011126,34.85,34.90,34.40,34.45,102200,0
20011127,34.43,34.78,33.99,34.00,435200,0
20011128,33.90,34.35,33.90,34.20,2271100,0
20011129,34.20,34.23,34.09,34.15,121500,0
20011130,34.15,34.15,33.88,34.00,192000,0
20011203,34.10,34.13,33.75,33.75,124300,0
20011204,33.90,34.06,33.83,33.91,371400,0
20011205,33.91,34.14,33.78,34.03,134900,0
20011206,34.09,34.77,34.09,34.47,307800,0
20011207,34.62,34.98,34.51,34.90,242600,0
20011210,34.90,34.93,34.68,34.78,146400,0
20011211,34.78,34.89,34.70,34.84,180500,0
20011212,34.65,34.72,33.96,34.28,134300,0
20011213,33.90,34.00,33.70,33.98,126500,0
20011214,34.00,34.38,34.00,34.26,342000,0
20011217,34.40,34.58,34.40,34.42,353400,0
20011218,34.47,34.49,33.74,34.00,202100,0
20011219,34.15,34.31,33.74,33.79,204500,0
20011220,33.75,33.87,33.31,33.32,247500,0
20011221,33.33,33.46,33.13,33.28,336500,0
20011224,33.27,33.75,33.27,33.61,122300,0
20011226,33.96,33.96,33.52,33.63,165700,0
20011227,33.62,33.98,33.29,33.40,228800,0
20011228,33.42,33.68,33.26,33.44,229800,0
20011231,33.55,33.74,33.20,33.49,114000,0
20020102,33.85,33.91,33.19,33.83,241500,0
20020103,33.88,34.39,33.88,34.31,159800,0
20020104,34.45,34.60,34.10,34.50,131300,0
20020107,34.60,34.75,34.30,34.37,101200,0
20020108,34.38,34.50,34.27,34.40,143200,0
20020109,34.40,34.73,34.40,34.45,339100,0
20020110,34.46,34.63,34.11,34.42,116200,0
20020111,34.54,34.65,34.36,34.60,138400,0
20020114,34.55,35.09,34.55,35.09,274400,0
20020115,35.15,35.48,35.10,35.40,311300,0
20020116,35.40,35.70,35.31,35.60,172200,0
20020117,35.55,36.00,35.40,36.00,192200,0
20020118,36.00,36.01,35.60,35.87,159800,0
20020121,35.87,35.87,35.87,35.87,0,0
20020122,35.97,36.00,35.65,35.84,225700,0
20020123,35.83,35.88,35.60,35.80,155500,0
20020124,35.90,36.19,35.72,36.11,540600,0
20020125,36.11,36.90,36.11,36.30,378800,0
20020128,36.31,36.68,36.28,36.40,283400,0
20020129,36.50,36.64,36.31,36.51,354500,0
20020130,36.52,36.87,36.52,36.85,210800,0
20020131,36.88,36.88,36.60,36.61,1262500,0
20020201,36.71,37.09,36.71,36.98,127200,0
20020204,36.90,37.19,36.78,37.08,235400,0
20020205,37.15,37.20,36.90,37.00,421800,0
20020206,37.00,37.24,36.74,37.19,371400,0
20020207,37.19,37.25,36.97,36.98,110700,0
20020208,37.00,37.23,36.85,37.03,1183600,0
20020211,37.01,37.55,37.01,37.44,172700,0
20020212,37.20,37.40,37.10,37.19,116100,0
20020213,37.30,37.50,37.15,37.34,2143600,0
20020214,37.34,37.34,37.16,37.22,228000,0
20020215,37.10,37.43,37.10,37.34,120500,0
20020218,37.34,37.34,37.34,37.34,0,0
20020219,37.33,37.45,37.05,37.10,169100,0
20020220,37.10,37.52,37.05,37.41,194400,0
20020221,37.60,37.64,36.86,36.88,108600,0
20020222,36.78,37.25,36.75,37.12,190200,0
20020225,37.32,37.32,37.07,37.23,174800,0
20020226,37.23,37.23,36.90,37.04,137500,0
20020227,36.94,37.09,36.75,36.86,110300,0
20020228,37.03,37.03,36.55,36.76,154000,0
20020301,36.96,37.10,36.70,37.08,62800,0
20020304,37.15,37.19,36.87,37.12,252700,0
20020305,37.12,37.93,36.93,37.85,213500,0
20020306,37.85,38.40,37.47,38.27,261600,0
20020307,38.25,38.30,37.96,38.10,99100,0
20020308,38.12,38.12,37.50,37.61,91800,0
20020311,37.60,37.68,36.98,37.04,215800,0
20020312,36.65,37.16,36.63,37.00,212300,0
20020313,36.50,36.80,36.46,36.75,119300,0
20020314,36.80,37.39,36.75,37.36,385900,0
20020315,37.48,37.48,37.13,37.14,465000,0
20020318,37.39,37.45,37.03,37.06,290100,0
20020319,37.00,37.24,36.96,37.00,172100,0
20020320,36.85,37.00,36.63,36.93,117200,0
20020321,36.97,37.19,36.93,37.09,285500,0
20020322,37.09,37.49,37.00,37.40,295100,0
20020325,37.35,37.39,37.20,37.33,139400,0
20020326,37.33,37.51,37.30,37.35,445000,0
20020327,37.40,37.45,37.05,37.30,179300,0
20020328,37.55,37.55,36.86,37.01,271100,0
20020401,37.11,37.40,37.00,37.40,63200,0
20020402,37.90,37.90,37.50,37.71,162700,0
20020403,37.71,37.75,37.49,37.68,104800,0
20020404,37.60,37.60,37.45,37.55,128200,0
20020405,37.53,37.79,37.52,37.73,167500,0
20020408,37.53,37.74,37.52,37.68,143900,0
20020409,37.70,38.15,37.55,37.90,223900,0
20020410,37.95,38.90,37.95,38.61,117500,0
20020411,38.50,38.85,38.50,38.58,94700,0
20020412,38.70,38.99,38.57,38.94,77100,0
20020415,38.84,39.29,38.75,39.05,137900,0
