DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.94,12.94,11.50,11.56,0,0
20010103,11.44,12.38,11.25,12.19,0,0
20010104,12.13,12.13,11.44,11.63,0,0
20010105,11.63,11.81,11.56,11.56,0,0
20010108,11.69,11.81,11.19,11.31,0,0
20010109,11.31,12.00,11.31,12.00,0,0
20010110,12.00,12.00,11.50,11.63,1074,0
20010111,11.63,11.63,11.25,11.38,0,0
20010112,11.44,11.94,11.00,11.94,0,0
20010115,11.94,11.94,11.94,11.94,0,0
20010116,11.94,12.19,11.81,12.06,0,0
20010117,12.06,12.06,11.69,12.00,0,0
20010118,11.94,11.94,11.88,11.94,0,0
20010119,11.88,11.94,11.69,11.81,0,0
20010122,11.81,11.81,11.81,11.81,0,0
20010123,12.88,13.06,12.69,12.88,0,0
20010124,12.88,13.44,12.88,13.00,0,0
20010125,13.06,13.13,12.81,13.00,0,0
20010126,13.00,13.19,13.00,13.06,0,0
20010129,14.50,14.69,12.31,12.56,0,0
20010130,13.72,14.81,13.00,13.81,0,0
20010131,13.36,13.47,12.82,12.91,71600,0
20010201,13.30,14.00,13.30,13.83,0,0
20010202,14.05,14.07,13.80,14.05,0,0
20010205,14.01,15.00,14.00,15.00,0,0
20010206,15.00,15.48,14.91,15.25,0,0
20010207,15.26,15.75,14.90,15.26,0,0
20010208,15.25,15.32,15.25,15.25,32600,0
20010209,15.25,15.70,15.25,15.70,177000,0
20010212,15.83,15.84,14.88,15.06,0,0
20010213,15.08,15.10,14.99,15.05,98600,0
20010214,15.09,15.10,14.75,14.99,0,0
20010215,14.81,15.03,14.74,14.86,82300,0
20010216,14.76,15.10,14.70,14.78,66800,0
20010219,14.78,14.78,14.78,14.78,0,0
20010220,14.88,15.25,14.88,15.07,1083600,0
20010221,15.07,15.35,15.00,15.01,84800,0
20010222,15.01,15.32,14.90,15.12,52400,0
20010223,15.02,15.25,14.90,15.25,64900,0
20010226,15.29,15.29,14.93,15.25,36800,0
20010227,15.05,15.10,14.75,14.95,69900,0
20010228,14.95,15.05,14.45,14.99,80800,0
20010301,14.99,14.99,14.00,14.80,55800,0
20010302,14.90,15.20,14.71,15.00,129000,0
20010305,15.00,15.30,14.70,15.25,98300,0
20010306,15.25,16.45,15.15,15.96,196700,0
20010307,16.05,16.40,16.05,16.21,2231100,0
20010308,16.21,16.21,15.80,16.17,94600,0
20010309,16.17,16.39,16.01,16.24,47800,0
20010312,16.38,16.38,15.00,15.25,92400,0
20010313,15.25,15.97,15.25,15.51,75200,0
20010314,15.45,15.60,14.70,14.75,84700,0
20010315,14.61,15.14,14.47,14.48,80100,0
20010316,14.47,14.47,14.00,14.15,73900,0
20010319,14.05,15.35,14.05,14.95,162400,0
20010320,14.50,15.10,14.50,14.74,71200,0
20010321,14.91,14.91,14.55,14.60,27600,0
20010322,14.60,14.67,13.50,13.80,58500,0
20010323,13.90,14.45,12.70,13.50,108800,0
20010326,13.30,14.09,13.30,13.72,58100,0
20010327,13.93,15.10,13.91,15.10,62400,0
20010328,15.05,15.05,14.28,14.30,93800,0
20010329,14.40,14.76,14.05,14.05,78000,0
20010330,14.15,15.24,14.15,15.02,92900,0
20010402,15.15,15.45,14.85,15.35,104100,0
20010403,15.45,15.45,15.08,15.24,128300,0
20010404,15.24,15.45,14.80,15.35,97200,0
20010405,15.47,15.75,15.45,15.50,65200,0
20010406,15.50,15.50,15.25,15.31,52500,0
20010409,15.30,15.90,15.30,15.80,76400,0
