DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,21.81,22.44,21.44,21.53,32178,0
20010103,21.56,22.47,21.03,22.31,19046,0
20010104,22.44,23.22,22.44,22.72,0,0
20010105,22.72,22.72,21.94,22.66,20088,0
20010108,22.63,23.16,22.06,22.25,24124,0
20010109,21.91,22.00,21.44,21.78,0,0
20010110,21.38,21.88,21.13,21.84,18832,0
20010111,21.88,22.25,21.13,21.59,0,0
20010112,21.34,21.44,20.72,21.19,0,0
20010115,21.19,21.19,21.19,21.19,0,0
20010116,21.19,21.81,20.88,21.53,0,0
20010117,21.50,21.78,21.00,21.38,54044,0
20010118,21.25,21.28,20.94,21.16,8650,0
20010119,20.63,20.66,19.84,20.13,0,0
20010122,20.13,20.13,20.13,20.13,0,0
20010123,20.00,21.13,19.97,20.63,20692,0
20010124,20.59,20.94,20.25,20.34,0,0
20010125,19.75,20.72,19.75,20.63,23128,0
20010126,20.75,20.81,20.00,20.22,9302,0
20010129,21.66,22.16,21.23,21.66,1860800,0
20010130,22.02,23.55,21.50,23.25,3373000,0
20010131,22.10,22.35,22.05,22.18,1199800,0
20010201,22.14,22.62,22.14,22.62,1867200,0
20010202,22.50,22.69,22.30,22.64,4727000,0
20010205,22.52,23.07,22.52,22.77,5222600,0
20010206,22.77,22.84,22.42,22.75,1457600,0
20010207,22.75,22.86,22.45,22.68,0,0
20010208,22.64,22.99,22.25,22.73,0,0
20010209,22.40,22.61,22.16,22.36,1642000,0
20010212,22.52,22.55,22.13,22.39,1054600,0
20010213,22.39,22.73,22.25,22.50,2006400,0
20010214,22.51,22.62,22.08,22.33,778200,0
20010215,22.79,23.23,22.65,22.75,3111600,0
20010216,22.70,23.00,22.27,22.46,949600,0
20010219,22.46,22.46,22.46,22.46,0,0
20010220,22.02,22.68,22.02,22.55,1723400,0
20010221,22.58,22.58,21.98,22.01,1484400,0
20010222,22.08,22.18,21.45,21.61,2270400,0
20010223,21.67,21.67,20.88,21.13,2848600,0
20010226,21.25,21.78,21.25,21.75,2189400,0
20010227,21.92,21.92,21.38,21.78,22776600,0
20010228,21.85,22.30,21.81,22.30,2629600,0
20010301,22.30,22.43,21.82,21.95,2080200,0
20010302,22.06,22.34,21.85,22.03,1174800,0
20010305,22.38,22.98,22.32,22.67,2492800,0
20010306,23.63,23.68,23.34,23.63,14611800,0
20010307,23.68,24.74,23.66,24.69,61786400,0
20010308,24.63,24.78,24.49,24.58,2168400,0
20010309,24.50,24.73,23.95,24.45,5989800,0
20010312,24.25,24.48,23.55,23.59,1269000,0
20010313,23.63,23.63,22.58,23.13,1608200,0
20010314,23.07,23.23,22.50,22.67,1038400,0
20010315,23.10,23.10,22.00,22.35,896800,0
20010316,22.05,22.69,22.05,22.32,2149200,0
20010319,22.48,23.30,22.45,23.06,1519600,0
20010320,22.50,23.50,22.17,22.81,3121800,0
20010321,22.75,22.75,21.52,22.30,2973000,0
20010322,21.75,22.10,21.30,21.81,2852400,0
20010323,21.88,22.40,21.34,22.09,1635600,0
20010326,22.30,22.57,22.06,22.27,26833800,0
20010327,22.23,22.52,21.94,22.47,1793600,0
20010328,22.48,22.55,22.08,22.50,1774400,0
20010329,22.42,22.55,22.08,22.13,1516000,0
20010330,22.15,22.35,22.00,22.33,1067800,0
20010402,22.87,23.00,22.39,22.59,1723000,0
20010403,22.63,22.63,22.05,22.13,2068600,0
20010404,22.13,22.73,22.13,22.51,1732600,0
20010405,22.80,23.34,22.61,23.31,1448800,0
20010406,23.27,23.30,22.25,23.00,1302200,0
20010409,23.00,23.90,23.00,23.22,1523800,0
20010410,23.50,24.05,23.31,23.92,1127800,0
20010411,23.95,23.95,22.96,23.02,1086800,0
20010412,23.08,23.50,22.89,23.45,1799400,0
20010416,23.48,23.98,23.20,23.66,2995000,0
20010417,23.60,23.75,23.11,23.75,1283800,0
20010418,23.80,24.80,23.38,24.57,1712400,0
20010419,24.38,24.38,23.76,23.89,1080400,0
20010420,23.92,24.05,23.00,23.10,2030200,0
20010423,23.50,23.52,22.77,23.10,1525400,0
20010424,23.17,23.98,23.15,23.74,3608200,0
20010425,23.74,24.23,23.20,23.96,1265800,0
20010426,24.00,24.51,23.91,24.50,1846400,0
20010427,24.50,24.51,24.00,24.25,758000,0
20010430,24.36,24.36,23.64,23.67,1183600,0
20010501,23.79,24.25,23.70,23.99,1003600,0
20010502,24.02,24.38,23.82,24.12,717600,0
20010503,24.00,24.00,23.50,23.83,2007400,0
20010504,23.67,24.50,23.58,24.45,2811400,0
20010507,24.45,24.70,23.55,23.64,1092000,0
20010508,23.65,24.14,23.63,24.00,53427200,0
20010509,23.92,24.20,23.82,24.08,1611600,0
20010510,24.13,25.00,24.11,24.98,3677000,0
20010511,24.90,24.92,24.39,24.68,2045400,0
20010514,24.68,24.85,24.45,24.85,2759200,0
20010515,24.85,25.05,24.68,24.85,2034000,0
20010516,24.88,26.00,24.85,25.99,29598400,0
20010517,26.00,27.00,25.90,27.00,5303000,0
20010518,26.38,26.50,25.76,26.03,13747400,0
20010521,25.85,25.99,25.58,25.90,2946600,0
20010522,25.88,25.92,25.40,25.68,2711800,0
20010523,25.40,25.50,25.16,25.34,1296800,0
20010524,24.90,25.05,24.70,24.85,3468600,0
20010525,24.85,25.13,24.60,24.85,4619600,0
20010528,24.85,24.85,24.85,24.85,0,0
20010529,24.92,25.24,24.76,25.02,8638600,0
20010530,24.95,24.95,24.38,24.70,1344400,0
20010531,25.10,25.38,25.01,25.14,10006200,0
20010601,25.10,25.10,24.51,24.76,4005600,0
20010604,24.85,25.38,24.85,25.27,1465000,0
