DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,22.85,24.20,22.85,23.92,2381400,0
20030501,24.00,24.35,23.60,24.02,735200,0
20030502,24.05,24.77,24.05,24.30,856900,0
20030505,24.46,24.52,23.90,24.00,852600,0
20030506,24.05,24.07,23.40,23.64,1025700,0
20030507,23.58,23.85,23.38,23.60,818500,0
20030508,23.55,23.92,23.44,23.79,560100,0
20030509,23.85,23.85,23.44,23.60,951400,0
20030512,23.50,23.80,23.20,23.68,1120200,0
20030513,23.83,24.63,23.62,24.45,1081100,0
20030514,24.60,25.02,24.57,24.85,1027200,0
20030515,25.08,25.20,24.66,24.96,684900,0
20030516,24.96,25.30,24.90,25.05,647400,0
20030519,24.85,24.98,24.48,24.49,690200,0
20030520,24.59,24.60,23.98,24.19,582500,0
20030521,24.25,25.63,24.20,25.59,739100,0
20030522,25.74,26.05,25.34,25.58,1040500,0
20030523,25.75,26.32,25.64,26.17,647600,0
20030527,25.85,26.68,25.81,26.59,536300,0
20030528,26.30,26.46,25.64,25.70,496000,0
20030529,25.85,25.86,25.31,25.43,549600,0
20030530,25.83,26.75,25.76,26.74,1596200,0
20030602,26.72,26.88,26.49,26.60,635300,0
20030603,26.75,26.85,26.06,26.69,412600,0
20030604,26.83,27.14,26.50,26.91,470500,0
20030605,26.76,26.89,26.35,26.66,600000,0
20030606,26.65,27.13,26.45,26.56,514400,0
20030609,26.56,26.79,26.40,26.40,299900,0
20030610,26.55,27.14,26.55,27.00,404100,0
20030611,26.87,28.20,26.70,28.14,862300,0
20030612,28.13,28.44,27.55,27.80,1067100,0
20030613,27.21,27.90,26.61,27.05,641800,0
20030616,27.05,27.09,26.46,26.82,358000,0
20030617,26.83,26.83,26.14,26.30,484200,0
20030618,26.30,26.37,25.79,25.81,510300,0
20030619,25.81,26.77,25.19,26.66,1057800,0
20030620,27.00,27.13,26.50,26.68,466200,0
20030623,26.63,26.85,26.31,26.64,395000,0
20030624,26.47,26.70,26.15,26.15,571800,0
20030625,26.40,26.76,26.30,26.53,493200,0
20030626,26.64,26.88,26.24,26.26,569300,0
20030627,26.15,26.57,26.12,26.30,279400,0
20030630,26.43,26.63,26.10,26.10,587000,0
20030701,26.00,26.38,25.61,26.22,333000,0
20030702,26.22,26.30,25.90,25.95,505700,0
20030703,25.95,26.52,25.79,26.31,323200,0
20030707,26.50,26.52,25.58,25.95,682000,0
20030708,25.95,25.95,25.38,25.63,677400,0
20030709,25.75,26.30,25.73,25.84,785000,0
20030710,25.85,25.87,25.06,25.06,718600,0
20030711,25.10,25.26,24.87,25.00,969300,0
