DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20100616,37.00,37.00,34.60,34.75,62700,0
20100617,34.25,34.55,33.80,34.00,19900,0
20100618,34.25,34.50,34.25,34.50,300,0
20100621,34.31,34.75,33.50,33.75,12000,0
20100622,33.85,33.85,32.30,32.30,81870,0
20100623,32.17,32.27,31.74,32.27,7260,0
20100624,32.47,34.24,31.98,32.00,420240,0
20100625,32.25,32.95,32.08,32.51,562333,0
20100628,32.71,32.71,32.10,32.25,361700,0
20100629,32.00,32.00,30.07,30.31,818809,0
20100630,30.25,31.15,30.15,30.83,7171103,0
20100701,30.83,30.83,30.83,30.83,0,0
20100702,30.83,30.83,30.83,30.83,0,0
20100706,30.83,30.83,30.83,30.83,0,0
20100707,28.51,29.63,27.90,29.54,2222356,0
20100708,29.95,31.09,29.91,30.30,2271411,0
20100709,30.32,31.21,30.09,30.44,1732721,0
20100712,30.44,30.44,30.00,30.19,1356308,0
20100713,30.39,30.67,30.33,30.47,1379902,0
20100714,30.25,30.57,30.02,30.47,896484,0
20100715,30.42,30.61,29.69,30.53,1659982,0
20100716,30.22,30.54,29.25,29.72,1342544,0
20100719,29.86,30.32,29.55,29.80,1046405,0
20100720,29.51,30.51,29.11,30.43,1201607,0
20100721,30.56,30.56,29.39,29.72,861512,0
20100722,30.01,30.37,29.81,30.02,852835,0
20100723,29.99,29.99,29.05,29.27,662492,0
20100726,29.18,29.60,28.95,29.58,888827,0
20100727,30.20,31.00,29.51,30.16,1705730,0
20100728,30.42,31.01,30.35,30.91,1706632,0
20100729,31.49,33.16,31.34,32.50,3203176,0
20100730,32.41,35.15,31.68,34.42,2745767,0
20100802,34.31,34.32,33.62,33.90,1547370,0
20100803,33.97,34.79,33.40,34.56,805883,0
20100804,34.61,34.99,34.24,34.90,833481,0
20100805,34.71,35.06,34.30,34.89,605487,0
20100806,34.83,34.83,33.01,33.97,1409697,0
20100809,34.08,34.46,33.14,34.30,554221,0
20100810,34.21,34.28,33.39,33.61,852991,0
20100811,32.92,32.92,31.57,31.78,860216,0
20100812,31.50,31.50,30.06,30.89,1094844,0
20100813,30.75,31.25,29.92,30.14,1841342,0
20100816,30.07,30.63,29.63,30.32,935629,0
20100817,30.64,31.93,30.29,31.60,1117356,0
20100818,31.42,31.90,30.79,31.50,980416,0
20100819,31.29,31.46,30.76,31.34,442005,0
20100820,30.93,31.37,30.77,31.01,724259,0
20100823,31.09,31.48,30.58,31.17,497884,0
20100824,30.66,30.93,30.33,30.65,893521,0
20100825,30.55,30.90,30.16,30.54,758713,0
20100826,30.71,31.04,30.16,30.41,1206199,0
20100827,30.62,30.68,29.76,30.38,730669,0
20100830,30.34,30.61,29.44,29.45,736597,0
20100831,29.21,29.72,28.57,29.03,1402267,0
20100901,29.50,30.80,29.30,30.76,929198,0
20100902,30.84,31.55,30.33,31.31,546176,0
20100903,31.68,31.85,31.11,31.75,617129,0
20100907,31.47,31.74,31.25,31.31,378754,0
20100908,30.85,31.30,30.26,30.55,874344,0
20100909,30.76,31.03,30.00,30.08,383748,0
20100910,30.08,30.22,29.83,30.07,986777,0
20100913,30.49,30.49,29.01,29.76,1569612,0
20100914,29.78,29.85,29.27,29.76,937873,0
20100915,29.62,29.89,29.40,29.87,463364,0
20100916,29.61,30.07,29.51,29.70,872759,0
20100917,29.86,30.16,29.06,29.19,2999853,0
20100920,29.31,30.00,28.85,29.77,834512,0
20100921,29.70,29.71,28.65,29.24,1686989,0
20100922,29.36,29.58,28.99,29.30,1443446,0
20100923,29.17,29.48,29.07,29.30,1345495,0
20100924,29.54,29.73,29.24,29.34,1139463,0
20100927,29.30,29.50,29.13,29.17,616764,0
20100928,29.15,29.88,28.74,29.84,569886,0
20100929,29.81,30.05,29.61,29.88,887035,0
20100930,29.94,30.75,29.81,30.14,951226,0
20101001,30.29,30.89,30.21,30.35,1063105,0
20101004,30.32,30.48,29.94,30.04,560073,0
20101005,30.23,30.57,30.19,30.39,898056,0
20101006,30.39,30.83,30.15,30.79,1242135,0
20101007,30.82,30.98,30.23,30.45,778705,0
20101008,30.46,30.72,30.29,30.35,967050,0
20101011,30.28,30.43,30.10,30.20,508218,0
20101012,30.08,30.18,29.54,29.68,1136509,0
20101013,29.86,30.60,29.69,30.49,1629003,0
20101014,30.38,30.80,30.15,30.53,1097935,0
20101015,30.65,31.19,30.45,31.15,1338027,0
20101018,31.09,32.00,30.97,31.87,1076488,0
20101019,31.25,31.67,30.71,31.48,1201600,0
20101020,31.60,32.00,31.34,31.62,798339,0
20101021,31.62,32.24,31.05,31.78,584668,0
20101022,31.92,31.92,31.42,31.80,469079,0
20101025,31.98,32.04,31.38,31.45,439185,0
20101026,32.09,32.70,31.73,32.39,1620737,0
20101027,30.11,32.20,30.11,31.75,1151356,0
20101028,31.89,32.50,31.69,32.41,910411,0
20101029,32.35,33.49,32.28,33.03,926112,0
20101101,33.39,33.82,32.35,32.89,794343,0
20101102,33.17,33.61,32.67,33.41,741609,0
20101103,33.76,34.01,33.07,34.01,683088,0
20101104,34.45,34.73,33.77,34.18,860364,0
20101105,34.18,34.29,33.03,33.46,1057946,0
20101108,33.35,33.53,32.56,33.31,1025059,0
20101109,33.64,34.80,33.03,33.51,1833053,0
20101110,33.39,33.82,32.93,33.66,514731,0
20101111,33.37,34.00,33.34,33.85,512895,0
20101112,33.54,33.76,32.55,32.99,530428,0
20101115,33.20,34.24,33.20,33.26,1207540,0
20101116,33.12,33.28,32.25,32.88,584441,0
20101117,32.99,34.01,32.91,33.62,1073813,0
20101118,34.01,34.70,33.82,34.26,1023730,0
20101119,34.34,34.81,33.78,34.77,947663,0
20101122,34.69,35.93,34.34,35.54,1358764,0
20101123,35.21,35.28,33.94,34.32,799315,0
20101124,34.52,35.70,34.08,35.55,1082806,0
20101126,35.27,35.49,34.62,34.91,217235,0
20101129,34.77,35.41,34.12,35.23,357883,0
20101130,34.84,35.57,34.42,35.13,1094211,0
20101201,35.68,36.81,35.68,36.45,1537476,0
20101202,36.43,37.00,36.35,36.91,1181336,0
20101203,36.91,37.12,36.71,37.01,1264319,0
20101206,36.92,37.44,36.92,37.36,1040386,0
20101207,37.74,38.31,37.73,38.12,1523131,0
20101208,38.10,38.33,37.06,37.21,740010,0
20101209,37.47,37.60,37.01,37.29,701570,0
20101210,37.25,37.55,36.85,37.07,861844,0
20101213,37.48,38.06,37.19,37.91,1261394,0
20101214,37.81,38.11,37.24,37.49,583821,0
20101215,37.31,37.77,36.41,36.51,1168957,0
