DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,36.4375,37.5000,35.1250,35.5625,263500,0
20010103,35.9063,35.9063,32.0000,34.0625,439900,0
20010104,34.2500,34.4375,32.0000,32.4375,363300,0
20010105,32.1250,32.1875,30.4375,31.1250,281400,0
20010108,31.0313,31.0625,30.0000,30.2500,173600,0
20010109,30.2500,31.3750,30.2500,31.0000,160400,0
20010110,31.0000,34.3750,30.6875,32.2500,205200,0
20010111,32.5000,33.6875,32.5000,33.6250,125000,0
20010112,33.6875,36.8125,33.0000,34.8750,272500,0
20010115,34.8750,34.8750,34.8750,34.8750,0,0
20010116,35.0000,39.1250,35.0000,39.0000,258800,0
20010117,39.0000,40.2500,36.5000,36.7500,329300,0
20010118,36.7188,37.2813,34.2500,35.0625,130900,0
20010119,35.4375,36.0000,33.3750,33.8750,140300,0
20010122,34.2500,35.0000,33.8125,34.5625,112800,0
20010123,34.5000,36.8750,34.3750,36.7500,135600,0
20010124,36.3750,38.7500,36.1250,37.1250,316700,0
20010125,36.9375,38.0000,36.1250,36.6875,100400,0
20010126,35.6250,35.6250,32.0000,33.1250,461500,0
20010129,32.8750,33.3750,31.0000,31.7500,266900,0
20010130,31.7500,32.2500,29.8750,30.7500,310400,0
20010131,30.7500,34.8750,30.3125,32.7500,190300,0
20010201,33.0000,33.0000,31.8750,32.8750,87000,0
20010202,32.4375,33.1250,32.1250,32.3125,104500,0
20010205,32.1250,32.2500,31.7500,32.1875,115800,0
20010206,32.3125,34.8125,32.1250,34.8125,130100,0
20010207,34.3125,34.3125,32.9375,33.8125,79100,0
20010208,33.5625,34.6250,33.3125,33.3750,66800,0
20010209,33.3125,33.3125,31.9375,32.1250,123400,0
20010212,32.0625,35.9375,32.0625,34.9375,125600,0
20010213,34.8750,36.9375,33.3125,33.5000,117700,0
20010214,32.4375,35.0000,32.3750,34.6875,86500,0
20010215,34.6250,35.0625,33.0625,34.0000,53300,0
20010216,33.6875,34.0000,32.3750,33.8125,66500,0
20010219,33.8125,33.8125,33.8125,33.8125,0,0
20010220,33.8750,33.8750,31.4375,31.9375,41700,0
20010221,31.0313,32.5000,31.0000,32.1875,85400,0
20010222,31.8750,32.0000,30.6875,30.9375,104300,0
20010223,30.6250,32.3125,30.0000,32.0000,116600,0
20010226,32.3750,32.9375,31.5000,32.9375,80500,0
