DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,26.00,26.44,23.81,23.94,10577,0
20010103,24.50,27.38,23.69,27.06,525947,0
20010104,27.06,27.63,25.13,26.19,6517,0
20010105,25.63,25.63,21.25,23.06,152385,0
20010108,22.63,23.13,22.50,22.81,12607,0
20010109,22.88,23.00,21.00,21.13,12721,0
20010110,21.31,22.94,20.94,22.75,74533,0
20010111,22.25,23.75,22.25,23.13,8936,0
20010112,23.00,23.44,22.75,23.00,156000,0
20010115,23.00,23.00,23.00,23.00,0,0
20010116,22.50,23.38,22.50,22.94,7175,0
20010117,22.94,23.50,22.94,23.19,4297,0
20010118,23.06,23.56,22.75,23.13,6020,0
20010119,22.88,23.00,22.19,22.25,9066,0
20010122,22.25,22.25,22.25,22.25,0,0
20010123,22.56,23.06,22.56,22.56,15142,0
20010124,22.38,25.50,22.38,24.75,0,0
20010125,24.75,25.25,24.06,25.06,171838,0
20010126,25.06,25.88,24.94,25.63,0,0
20010129,27.19,28.09,26.00,26.13,1232000,0
20010130,29.34,29.34,27.00,27.69,1523300,0
20010131,27.22,27.40,26.80,26.95,0,0
20010201,26.60,26.84,26.25,26.56,0,0
20010202,26.50,26.80,26.06,26.33,1063600,0
20010205,26.00,26.50,26.00,26.36,565600,0
20010206,26.55,27.15,26.50,26.50,0,0
20010207,26.50,26.96,26.50,26.50,583100,0
20010208,26.65,26.93,26.50,26.50,0,0
20010209,26.40,26.57,26.40,26.50,896000,0
20010212,26.50,26.88,26.40,26.52,697700,0
20010213,26.51,26.70,26.50,26.50,3256100,0
20010214,26.50,26.75,26.30,26.52,0,0
20010215,26.68,26.80,26.48,26.58,387600,0
20010216,26.50,26.51,25.40,26.01,833500,0
20010219,26.01,26.01,26.01,26.01,0,0
20010220,25.80,26.05,25.20,25.26,635800,0
20010221,25.46,26.16,25.12,25.25,3531300,0
20010222,25.10,25.67,24.75,25.07,675100,0
20010223,25.05,25.05,22.55,23.65,817800,0
20010226,24.00,24.70,23.94,24.55,615300,0
20010227,24.37,24.90,24.10,24.25,3383300,0
20010228,24.30,24.47,24.00,24.06,442100,0
20010301,24.31,24.31,23.87,24.05,11384600,0
