DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,6.31,6.56,5.91,6.00,2329800,0
20010103,5.81,7.38,5.75,7.13,3503300,0
20010104,7.44,7.63,6.50,6.59,2148100,0
20010105,6.75,6.75,6.13,6.19,2021500,0
20010108,6.72,6.75,6.19,6.59,2263800,0
20010109,6.63,7.19,6.47,7.00,2922600,0
20010110,7.13,8.00,6.84,7.84,4760400,0
20010111,7.69,8.47,7.44,7.94,3511900,0
20010112,8.13,8.75,7.81,8.69,3966300,0
20010115,8.69,8.69,8.69,8.69,0,0
20010116,9.03,9.13,8.44,8.78,2109100,0
20010117,9.03,9.13,8.19,8.31,30100000,0
20010118,8.22,8.63,7.94,8.56,1612700,0
20010119,8.94,9.19,8.88,8.94,4092100,0
20010122,9.00,9.03,8.75,8.94,1064300,0
20010123,8.81,8.94,8.38,8.56,2051300,0
20010124,8.56,8.97,8.44,8.66,1731000,0
20010125,8.63,8.66,8.19,8.38,924300,0
20010126,7.97,8.13,7.50,7.88,1770100,0
20010129,7.97,8.75,7.84,8.69,2435400,0
20010130,8.81,9.09,8.75,9.03,3130600,0
20010131,9.19,10.13,9.03,9.34,8250900,0
20010201,9.38,9.50,8.91,8.94,2107300,0
20010202,8.97,9.03,7.75,7.88,3171700,0
20010205,8.19,8.56,7.69,8.44,3226200,0
20010206,8.41,9.00,8.38,8.50,1677100,0
20010207,8.25,8.50,8.00,8.06,1273000,0
20010208,8.19,8.44,7.94,8.13,1065600,0
20010209,8.03,8.16,7.44,7.50,1823400,0
20010212,7.44,7.75,7.19,7.28,1811100,0
20010213,7.16,7.44,6.63,6.69,2438500,0
20010214,6.53,6.72,6.38,6.66,2173100,0
20010215,7.13,7.31,6.97,7.06,2161300,0
20010216,6.78,7.06,6.72,6.78,1054200,0
20010219,6.78,6.78,6.78,6.78,0,0
20010220,6.78,7.00,6.56,6.63,1318900,0
20010221,6.44,6.75,6.31,6.72,1837400,0
20010222,6.69,6.81,6.38,6.66,1030200,0
20010223,6.44,6.63,6.38,6.50,940300,0
20010226,6.66,6.88,6.63,6.78,731000,0
20010227,6.75,6.91,6.63,6.66,770700,0
20010228,6.72,6.75,6.38,6.44,978000,0
20010301,6.31,6.44,6.03,6.25,1403300,0
20010302,6.19,6.88,6.03,6.75,1563700,0
20010305,6.94,7.00,6.56,6.56,716000,0
20010306,6.81,7.00,6.75,6.75,705300,0
20010307,6.81,7.00,6.78,6.78,566000,0
20010308,6.88,6.88,6.03,6.50,754100,0
20010309,6.53,6.56,6.25,6.31,1661600,0
20010312,6.34,6.34,5.75,5.81,1595100,0
20010313,5.78,6.13,5.78,6.09,1067600,0
20010314,5.69,6.00,5.69,5.75,1164400,0
20010315,5.94,6.03,5.50,5.56,1181500,0
20010316,5.69,5.75,5.50,5.56,1115900,0
20010319,5.56,5.75,5.53,5.75,906700,0
20010320,5.56,5.75,5.50,5.53,1228500,0
20010321,5.50,5.53,5.19,5.22,905800,0
20010322,5.31,5.38,5.06,5.22,947600,0
20010323,7.00,7.06,5.84,5.88,9778500,0
20010326,6.14,6.20,6.05,6.09,1747600,0
20010327,6.17,6.20,6.00,6.08,1238700,0
20010328,5.96,5.96,5.55,5.67,866800,0
20010329,5.65,5.81,5.49,5.69,909300,0
20010330,5.73,6.20,5.70,6.20,1278900,0
20010402,5.93,5.93,5.40,5.47,878200,0
20010403,5.42,5.76,4.68,4.74,1448500,0
20010404,4.75,4.76,4.05,4.28,1823800,0
20010405,4.60,4.75,4.29,4.75,92000000,0
20010406,4.66,4.68,4.20,4.30,825200,0
20010409,4.52,4.95,4.48,4.89,1393400,0
20010410,5.19,5.75,5.03,5.50,1483200,0
20010411,5.75,5.90,5.25,5.26,1422000,0
20010412,5.36,5.88,5.31,5.75,1163700,0
20010416,5.74,5.75,5.51,5.58,448000,0
20010417,5.46,5.71,5.45,5.53,666100,0
20010418,5.91,6.00,5.69,5.84,2049600,0
20010419,5.97,6.03,5.80,5.93,1465000,0
20010420,5.93,6.15,5.77,5.92,1887400,0
20010423,5.71,5.76,5.30,5.50,1056700,0
20010424,5.50,5.64,5.27,5.27,728500,0
20010425,5.28,5.35,5.20,5.21,623100,0
20010426,5.29,5.50,5.20,5.26,788600,0
20010427,5.30,5.47,5.25,5.26,922500,0
20010430,5.35,5.50,5.05,5.15,1751700,0
20010501,5.25,5.75,5.10,5.75,1974000,0
20010502,5.81,6.37,5.77,6.19,3556300,0
20010503,5.99,6.05,5.65,5.73,2039900,0
20010504,5.64,6.75,5.50,6.41,7273900,0
20010507,6.42,6.77,6.20,6.25,2755800,0
20010508,6.50,6.50,6.11,6.18,1145200,0
20010509,6.02,6.06,5.85,5.86,1304000,0
20010510,6.02,6.14,5.73,5.73,850700,0
20010511,5.74,5.80,5.52,5.80,1098100,0
20010514,5.78,5.88,5.63,5.87,777000,0
20010515,5.84,5.98,5.75,5.84,1343700,0
20010516,5.55,6.08,5.51,6.00,1257900,0
20010517,6.00,6.20,5.86,5.90,1028700,0
20010518,5.95,5.95,5.73,5.82,678900,0
20010521,5.85,6.03,5.78,5.89,1195900,0
20010522,6.01,6.30,5.10,6.08,3435400,0
20010523,6.15,6.20,6.00,6.00,1047500,0
20010524,6.08,6.10,5.82,6.04,1056200,0
20010525,6.00,6.05,5.88,5.95,1142100,0
20010528,5.95,5.95,5.95,5.95,0,0
20010529,5.86,5.87,5.45,5.54,1406900,0
20010530,5.51,5.56,5.22,5.31,1390500,0
20010531,5.30,5.53,5.28,5.45,1357600,0
20010601,5.45,5.50,5.29,5.34,520900,0
20010604,5.48,5.50,5.21,5.26,671500,0
20010605,5.30,5.45,5.27,5.39,1080500,0
20010606,5.41,5.75,5.39,5.55,1832900,0
20010607,5.57,5.60,5.37,5.42,991800,0
20010608,5.40,5.54,5.34,5.37,532600,0
20010611,5.38,5.40,5.25,5.35,660900,0
20010612,5.28,5.35,5.08,5.24,729900,0
20010613,5.32,5.32,5.00,5.10,544300,0
20010614,5.01,5.01,4.61,4.73,968200,0
20010615,4.58,4.65,4.43,4.51,1506500,0
20010618,4.72,4.73,4.26,4.36,1151100,0
20010619,4.56,4.78,4.40,4.75,1999900,0
20010620,4.87,5.25,4.55,5.09,3671700,0
20010621,5.05,5.10,4.50,4.84,1448500,0
20010622,4.84,4.89,4.60,4.62,947600,0
20010625,4.70,4.74,4.42,4.48,1237900,0
20010626,4.49,4.49,4.26,4.30,1682800,0
20010627,4.35,4.44,4.26,4.36,1671700,0
20010628,4.42,4.43,4.13,4.21,1496100,0
20010629,4.24,4.34,4.12,4.16,2980000,0
20010702,4.21,4.33,4.01,4.19,1665900,0
20010703,4.20,4.24,4.10,4.23,689400,0
20010704,4.23,4.23,4.23,4.23,0,0
20010705,4.21,4.25,4.11,4.19,938100,0
20010706,4.16,4.16,3.98,4.03,1203200,0
20010709,4.04,4.07,3.95,4.03,730100,0
20010710,4.08,4.09,3.95,4.01,668400,0
20010711,3.90,3.96,3.65,3.84,1181900,0
20010712,3.93,4.01,3.79,3.92,1646400,0
20010713,3.91,4.02,3.81,3.92,1119400,0
20010716,3.90,3.94,3.74,3.78,932600,0
20010717,3.77,3.78,3.55,3.60,1188800,0
20010718,3.73,3.80,3.53,3.63,1543300,0
20010719,3.61,3.70,3.48,3.48,949800,0
20010720,3.37,3.42,3.25,3.40,1116900,0
20010723,3.60,3.78,2.51,3.75,1179300,0
20010724,3.72,4.06,3.60,4.00,1596400,0
20010725,4.03,4.13,3.95,4.04,1463000,0
20010726,4.01,4.12,3.97,4.08,681300,0
20010727,4.14,4.14,3.97,4.01,767200,0
20010730,3.99,4.04,3.90,3.99,672400,0
20010731,4.00,4.07,3.90,3.96,1139900,0
20010801,4.00,4.02,3.80,3.95,866200,0
20010802,3.95,4.05,3.90,4.02,578000,0
20010803,4.00,4.04,3.90,4.04,556500,0
20010806,3.94,4.00,3.93,3.96,452000,0
20010807,3.97,4.00,3.90,3.95,498000,0
20010808,3.93,3.94,3.82,3.87,595000,0
20010809,3.81,3.84,3.70,3.73,577700,0
20010810,3.79,3.96,3.75,3.81,679600,0
20010813,3.81,3.83,3.69,3.74,533200,0
20010814,3.74,3.83,3.70,3.71,54000000,0
20010815,3.76,3.91,3.70,3.89,785300,0
20010816,3.85,4.06,3.75,4.05,962700,0
20010817,3.85,3.97,3.80,3.86,493000,0
20010820,3.93,3.93,3.75,3.86,516300,0
20010821,3.85,3.88,3.72,3.75,473000,0
20010822,3.76,3.80,3.50,3.73,1273800,0
20010823,3.80,3.81,3.66,3.69,376200,0
20010824,3.69,3.80,3.64,3.70,514300,0
20010827,3.70,3.75,3.53,3.58,443300,0
20010828,3.51,3.59,3.38,3.42,863400,0
20010829,3.43,3.52,3.35,3.49,1188100,0
