DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,19.35,19.59,18.94,19.05,4375700,0
20030501,19.20,19.20,18.40,18.84,5179700,0
20030502,18.65,19.14,18.60,18.96,4271200,0
20030505,19.05,19.31,19.04,19.10,4271200,0
20030506,19.10,19.22,18.80,18.99,4080000,0
20030507,18.98,19.92,18.77,19.73,6590200,0
20030508,19.52,20.29,19.48,19.86,6020800,0
20030509,19.95,20.34,19.64,20.22,3183800,0
20030512,20.35,20.55,20.00,20.13,2940100,0
20030513,20.13,21.60,20.03,21.50,7514100,0
20030514,21.28,22.47,21.28,22.21,5896900,0
20030515,22.20,22.43,21.91,22.10,4589100,0
20030516,22.11,22.81,21.95,22.75,4891400,0
20030519,22.56,22.66,22.13,22.20,4137400,0
20030520,22.05,22.14,21.59,21.88,4140000,0
20030521,21.89,23.35,21.82,23.19,5215800,0
20030522,23.61,23.89,23.25,23.43,5373400,0
20030523,23.43,23.85,22.80,23.65,3393800,0
20030527,23.35,24.10,23.35,23.73,3006100,0
20030528,23.55,23.75,22.95,23.00,4908800,0
20030529,23.16,23.20,22.46,22.83,5473200,0
20030530,22.84,23.80,22.80,23.37,4975500,0
20030602,23.38,23.93,23.28,23.51,3075000,0
20030603,23.51,23.79,22.92,23.60,2678600,0
20030604,23.62,24.20,23.25,23.95,3659700,0
20030605,23.90,24.00,23.60,23.97,2403500,0
20030606,24.20,24.46,23.70,23.73,3770300,0
20030609,23.55,23.96,23.30,23.81,2123700,0
20030610,23.81,24.13,23.64,23.98,2373500,0
20030611,23.92,25.57,23.78,25.50,4372000,0
20030612,25.50,25.90,24.52,24.75,4643400,0
20030613,24.34,24.76,23.56,23.87,3778800,0
20030616,23.50,23.69,22.85,23.11,5291300,0
20030617,23.06,23.45,21.70,22.45,3923600,0
20030618,21.93,22.88,21.93,22.64,4357800,0
20030619,22.61,23.20,22.49,22.83,3412300,0
20030620,22.90,23.15,22.43,22.51,2822400,0
20030623,22.51,22.73,22.10,22.56,2779500,0
20030624,22.40,22.90,22.26,22.26,2276100,0
20030625,22.13,22.98,22.13,22.20,3167500,0
20030626,22.30,22.58,21.65,21.83,3907800,0
20030627,21.90,22.20,21.75,21.92,2373100,0
20030630,22.03,22.42,21.80,21.97,3081300,0
20030701,21.97,21.97,21.32,21.55,2497200,0
20030702,21.55,21.86,21.43,21.48,2854300,0
20030703,21.43,22.10,21.25,21.78,2078400,0
20030707,21.50,21.68,21.18,21.40,3109000,0
20030708,21.40,21.87,21.25,21.70,2958300,0
20030709,21.55,22.43,21.55,22.02,2791900,0
20030710,22.05,22.08,21.20,21.20,3886500,0
20030711,21.23,21.39,20.83,21.00,3423100,0
20030714,21.15,21.15,20.60,20.65,2383100,0
20030715,20.55,20.69,20.11,20.35,5663500,0
20030716,20.40,20.45,19.85,20.00,4962600,0
20030717,18.59,20.04,18.59,19.61,9170800,0
20030718,19.81,20.30,18.50,20.20,4468900,0
20030721,20.20,20.40,19.67,19.69,3522500,0
20030722,19.69,19.95,19.25,19.50,3443300,0
20030723,19.50,19.75,18.80,19.15,3515200,0
20030724,19.08,19.39,18.75,18.77,5070500,0
20030725,18.82,19.88,18.75,19.00,4059100,0
20030728,18.90,19.33,18.70,19.33,4399500,0
20030729,19.35,19.75,18.76,18.87,4145200,0
20030730,18.55,19.19,18.55,19.11,6245400,0
20030731,19.20,20.10,18.92,19.57,5013600,0
20030801,19.40,19.63,19.08,19.51,3390100,0
20030804,19.32,19.48,18.76,19.10,2948200,0
20030805,19.09,19.22,18.70,18.71,2875600,0
20030806,18.80,19.25,18.52,19.21,3830500,0
20030807,19.21,20.00,18.98,19.97,4482200,0
20030808,20.00,20.04,19.53,19.85,2555500,0
20030811,19.75,20.27,19.62,20.13,2541200,0
20030812,20.12,20.28,19.66,20.03,1952000,0
