DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.56,22.75,22.38,22.44,965,0
20010103,22.31,23.00,21.94,23.00,2632,0
20010104,23.00,24.75,22.94,24.75,6502,0
20010105,25.00,25.00,23.94,24.56,22264,0
20010108,25.00,25.88,23.88,24.44,2274,0
20010109,24.00,24.94,24.00,24.88,1144,0
20010110,24.63,24.81,24.44,24.69,1318,0
20010111,24.19,24.81,24.00,24.81,1181,0
20010112,24.56,26.88,24.56,25.25,2356,0
20010115,25.25,25.25,25.25,25.25,0,0
20010116,25.13,25.13,24.50,24.94,1576,0
20010117,25.19,25.75,25.19,25.44,0,0
20010118,25.38,25.94,25.31,25.75,0,0
20010119,25.75,25.75,23.88,23.94,1073,0
20010122,23.94,23.94,23.94,23.94,0,0
20010123,25.13,26.63,25.06,26.00,1653,0
20010124,26.00,27.50,26.00,26.50,3838,0
20010125,26.25,27.06,26.25,26.56,0,0
20010126,26.81,26.88,25.81,25.81,0,0
20010129,26.72,27.34,26.56,27.28,228400,0
20010130,26.97,27.28,26.47,27.03,0,0
20010131,25.50,25.74,25.24,25.39,0,0
20010201,25.60,25.60,25.20,25.55,59000,0
20010202,25.63,25.65,24.20,24.30,0,0
20010205,24.85,24.95,24.60,24.86,36000,0
20010206,25.00,25.00,24.48,24.48,137200,0
20010207,24.73,25.30,24.35,25.22,133200,0
20010208,25.75,27.15,25.75,26.61,649600,0
20010209,26.59,27.00,25.74,26.98,246400,0
20010212,26.30,28.22,26.30,28.02,0,0
20010213,28.02,29.08,27.85,29.05,4202100,0
20010214,28.95,29.60,28.65,29.30,5332600,0
20010215,29.08,29.95,29.00,29.82,185200,0
20010216,29.60,30.00,28.93,29.67,258300,0
20010219,29.67,29.67,29.67,29.67,0,0
20010220,30.20,30.25,29.35,29.50,157600,0
20010221,26.90,28.90,26.90,27.87,279700,0
20010222,28.00,30.00,28.00,30.00,443700,0
20010223,29.95,29.95,28.77,29.18,192000,0
20010226,29.30,30.45,29.20,30.45,167700,0
20010227,29.75,29.75,28.80,29.25,1107300,0
20010228,29.20,29.30,28.05,29.30,269500,0
20010301,29.05,29.35,28.96,29.21,373900,0
20010302,29.30,29.30,28.62,28.70,135800,0
20010305,28.70,29.16,28.35,28.36,57600,0
20010306,29.10,29.95,28.98,29.62,4339200,0
20010307,29.50,29.90,29.20,29.62,113700,0
20010308,29.38,29.65,29.35,29.61,1126300,0
20010309,29.59,29.62,28.95,28.96,68400,0
20010312,28.96,28.96,27.75,28.20,107400,0
20010313,27.94,27.94,25.95,27.14,263800,0
20010314,26.14,26.50,25.35,25.92,175700,0
20010315,26.05,26.70,25.91,26.00,1144500,0
20010316,26.65,27.15,26.13,26.53,62500,0
20010319,26.53,27.74,26.13,27.74,100300,0
20010320,27.74,28.00,27.01,27.01,214500,0
20010321,26.80,27.10,25.70,26.36,170600,0
20010322,26.50,26.50,25.03,25.26,250400,0
20010323,25.16,26.05,25.01,25.88,63900,0
20010326,25.50,25.61,25.07,25.28,66200,0
20010327,25.25,26.70,24.88,26.65,120200,0
20010328,26.50,26.50,25.50,26.21,125000,0
20010329,25.90,26.70,25.85,26.20,45700,0
20010330,26.10,27.50,25.75,27.50,129200,0
20010402,27.30,27.50,26.50,26.75,173300,0
20010403,26.80,27.05,25.87,26.25,63900,0
20010404,26.00,26.51,25.85,26.30,42900,0
20010405,26.45,26.70,25.75,26.45,113000,0
20010406,26.45,26.45,25.00,26.00,2174200,0
20010409,25.90,26.80,25.87,26.80,72200,0
20010410,26.55,27.15,26.48,26.90,96100,0
20010411,26.91,27.07,25.91,25.97,49600,0
20010412,26.00,26.10,23.25,24.49,411800,0
20010416,24.49,24.49,21.50,22.95,882300,0
20010417,23.15,24.22,23.15,24.21,371900,0
20010418,25.00,26.40,24.75,26.25,330800,0
20010419,26.20,26.60,25.75,26.00,2126900,0
20010420,26.25,26.60,25.16,25.16,162800,0
20010423,25.17,25.66,25.17,25.45,43200,0
20010424,25.20,25.30,24.54,24.75,271100,0
20010425,25.05,25.80,25.00,25.80,68800,0
20010426,25.80,26.85,25.80,26.10,100500,0
20010427,26.14,26.65,26.14,26.42,2139600,0
20010430,26.75,26.90,26.00,26.00,1151900,0
20010501,26.20,26.65,26.05,26.49,208300,0
20010502,26.74,27.40,26.30,27.35,136500,0
20010503,27.55,27.55,26.71,27.14,68500,0
20010504,26.91,27.50,26.60,27.49,25800,0
20010507,27.35,27.60,27.25,27.50,35500,0
20010508,27.44,27.50,27.17,27.40,39900,0
20010509,27.65,27.65,26.87,26.95,29500,0
20010510,27.25,28.40,27.20,27.37,119600,0
20010511,27.30,27.33,26.75,27.32,108300,0
20010514,27.34,27.34,26.75,27.04,49700,0
20010515,27.40,27.40,26.91,27.20,46800,0
20010516,26.80,27.98,26.69,27.98,38700,0
20010517,27.95,29.50,27.95,28.36,64400,0
20010518,28.36,28.50,28.05,28.40,67600,0
20010521,28.41,29.20,28.30,29.20,155500,0
20010522,29.20,29.26,28.25,28.66,63200,0
20010523,30.00,30.00,28.65,29.40,485700,0
20010524,29.90,29.90,29.40,29.75,399400,0
20010525,29.35,29.96,29.35,29.79,143300,0
20010528,29.79,29.79,29.79,29.79,0,0
20010529,30.00,31.34,30.00,30.98,768900,0
20010530,30.89,30.95,30.10,30.35,201900,0
20010531,30.35,30.90,29.00,29.65,331900,0
20010601,28.00,29.25,27.80,27.89,512400,0
20010604,25.50,29.20,25.50,28.85,11279500,0
20010605,28.85,29.40,28.30,28.65,185100,0
20010606,28.65,28.65,28.00,28.07,87100,0
20010607,27.80,28.90,27.70,28.66,106100,0
20010608,28.75,28.75,27.70,27.70,67900,0
20010611,27.50,27.65,26.60,26.94,331000,0
20010612,26.40,26.77,25.45,26.26,7213700,0
20010613,26.50,26.60,25.60,25.60,181100,0
20010614,25.85,26.50,25.70,26.20,5129500,0
20010615,25.97,26.55,25.40,26.14,5145400,0
20010618,25.89,26.90,25.89,26.45,148900,0
20010619,26.96,27.02,26.40,26.41,46300,0
20010620,26.16,26.65,26.01,26.40,2099300,0
20010621,26.39,28.05,26.39,27.64,176100,0
20010622,27.25,27.25,25.98,26.39,59600,0
20010625,26.55,26.83,26.00,26.30,131500,0
20010626,26.05,26.15,25.50,25.90,163300,0
20010627,25.90,26.59,25.60,25.90,64200,0
20010628,26.15,26.69,25.87,26.68,74600,0
20010629,26.43,26.49,25.26,25.80,1793700,0
20010702,26.00,26.20,25.79,26.16,105800,0
20010703,26.10,26.60,25.70,26.42,127300,0
20010704,26.42,26.42,26.42,26.42,0,0
20010705,26.60,26.69,25.41,25.98,108000,0
20010706,25.95,25.95,24.45,25.00,2285800,0
20010709,25.50,25.50,24.85,25.07,61900,0
20010710,25.10,25.59,24.90,24.91,82700,0
20010711,24.91,25.00,24.29,25.00,181000,0
20010712,25.50,26.30,25.25,25.91,5076400,0
20010713,25.80,26.17,25.34,25.60,52100,0
20010716,25.75,26.29,25.75,25.90,1306600,0
20010717,25.65,25.95,25.20,25.85,149100,0
20010718,25.70,25.95,25.30,25.75,123100,0
20010719,25.85,25.85,24.65,24.97,254500,0
20010720,24.97,25.95,24.55,25.93,3137900,0
20010723,25.93,26.80,25.92,26.34,30131400,0
20010724,26.55,26.95,25.02,25.70,129200,0
20010725,26.25,26.25,25.50,25.93,76100,0
20010726,25.81,25.81,25.10,25.63,51800,0
20010727,25.62,25.62,23.41,23.75,9565100,0
20010730,24.00,24.00,22.75,23.00,1366300,0
20010731,23.13,24.55,23.07,24.42,2086400,0
20010801,23.50,24.23,22.88,23.50,1165000,0
20010802,23.51,24.57,23.09,24.56,2467200,0
20010803,24.56,25.10,23.95,25.00,5199000,0
20010806,25.10,25.10,24.01,24.50,105500,0
20010807,23.25,23.90,22.50,23.15,2058900,0
20010808,24.25,25.90,24.25,25.10,8262300,0
20010809,25.10,25.10,24.36,24.56,367800,0
20010810,24.40,24.57,23.99,24.50,1274500,0
20010813,24.50,24.50,24.05,24.20,102600,0
20010814,23.90,24.74,23.90,24.64,133300,0
20010815,24.75,24.75,24.09,24.64,113900,0
20010816,24.64,24.93,24.12,24.13,68300,0
20010817,24.23,24.90,23.82,24.90,2105200,0
20010820,25.25,25.25,24.35,24.93,75900,0
20010821,24.50,24.75,24.13,24.13,146800,0
20010822,24.65,24.66,23.10,23.72,2402100,0
20010823,23.70,23.70,23.25,23.42,146000,0
20010824,23.45,23.98,23.30,23.80,956100,0
20010827,23.55,24.05,23.55,24.01,3046000,0
20010828,23.90,24.44,23.67,24.03,60400,0
20010829,24.15,24.23,23.70,24.00,44900,0
20010830,24.00,24.00,23.12,23.13,1161200,0
20010831,23.15,23.99,23.00,23.72,20198500,0
20010903,23.72,23.72,23.72,23.72,0,0
20010904,23.68,24.25,23.25,23.50,74100,0
20010905,23.51,23.57,22.75,23.40,6225700,0
20010906,23.40,24.00,23.03,23.16,93000,0
20010907,23.16,23.16,22.26,22.90,11260900,0
20010910,22.90,22.90,22.26,22.69,201700,0
20010911,22.69,22.69,22.69,22.69,0,0
20010917,20.50,21.11,20.25,20.60,5226800,0
20010918,20.56,20.57,19.81,20.00,234100,0
20010919,20.00,20.00,19.30,20.00,15221300,0
20010920,20.01,20.40,19.50,19.75,198500,0
20010921,19.20,19.20,18.51,18.75,6135900,0
20010924,19.50,19.65,19.00,19.50,325700,0
20010925,19.74,19.75,19.45,19.75,3216000,0
20010926,19.75,20.00,18.87,19.40,387400,0
20010927,19.40,19.55,17.80,18.41,2437500,0
20010928,18.46,18.95,17.99,18.75,333800,0
20011001,18.67,19.80,18.08,18.56,1220000,0
20011002,18.55,19.00,18.55,19.00,3081000,0
20011003,18.75,21.40,18.70,21.30,853200,0
20011004,21.30,22.10,21.20,21.71,363900,0
20011005,21.71,22.00,20.28,21.10,227900,0
20011008,21.35,21.35,20.05,20.47,302600,0
20011009,20.70,20.70,20.05,20.50,78500,0
20011010,20.60,22.50,20.56,22.00,450400,0
