DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.69,23.72,22.56,23.03,13572,0
20010103,22.94,23.50,22.72,23.47,15558,0
20010104,23.44,23.97,23.44,23.59,27694,0
20010105,23.63,23.97,23.44,23.47,34408,0
20010108,23.50,23.50,23.03,23.06,9780,0
20010109,23.09,23.31,22.53,23.28,17308,0
20010110,23.41,23.44,22.59,23.22,3994,0
20010111,23.16,23.16,22.81,23.00,12278,0
20010112,22.88,22.88,22.13,22.16,12914,0
20010115,22.16,22.16,22.16,22.16,0,0
20010116,22.88,23.66,22.28,23.47,172372,0
20010117,23.44,23.47,22.50,22.91,16646,0
20010118,22.97,23.00,22.56,22.91,128370,0
20010119,22.56,23.03,22.34,23.00,18216,0
20010122,23.00,23.00,23.00,23.00,0,0
20010123,22.69,22.94,22.53,22.84,12328,0
20010124,22.84,22.88,22.47,22.69,10234,0
20010125,22.72,23.88,22.72,23.66,18790,0
20010126,23.81,23.81,22.91,23.41,57678,0
20010129,23.31,23.55,23.00,23.00,718400,0
20010130,23.39,24.55,22.89,24.55,14976800,0
20010131,23.43,23.66,23.40,23.59,0,0
20010201,23.63,24.00,23.31,24.00,1600800,0
20010202,23.88,24.00,23.38,23.50,889800,0
20010205,23.64,23.70,22.94,23.65,879800,0
20010206,23.77,23.95,23.50,23.77,1311000,0
20010207,23.75,23.75,23.13,23.44,658400,0
20010208,23.28,23.72,23.21,23.50,0,0
20010209,23.44,23.50,22.47,22.62,703000,0
20010212,22.52,23.33,22.52,23.24,10866800,0
20010213,23.25,23.63,23.18,23.56,770200,0
20010214,23.50,23.73,23.22,23.36,0,0
20010215,23.78,24.06,23.68,23.74,1235400,0
20010216,23.74,23.77,22.70,22.84,2810400,0
20010219,22.84,22.84,22.84,22.84,0,0
20010220,22.97,23.20,22.58,22.72,994400,0
20010221,22.83,23.67,22.75,22.98,1084400,0
20010222,22.85,22.86,22.25,22.70,2822000,0
20010223,22.75,22.84,22.37,22.79,1200200,0
20010226,22.83,23.33,22.76,23.03,495800,0
20010227,23.28,23.30,22.75,22.88,2633400,0
20010228,22.91,23.00,22.56,22.98,6588200,0
20010301,22.85,23.00,22.63,22.98,1464000,0
20010302,22.93,23.60,22.75,23.46,1033200,0
20010305,23.23,24.22,23.21,24.15,5186000,0
20010306,24.17,24.27,23.58,24.08,1602800,0
20010307,24.03,24.73,23.83,23.90,1389800,0
20010308,23.90,24.51,23.90,24.31,806000,0
20010309,24.41,24.41,23.68,23.81,645200,0
20010312,23.81,23.99,23.17,23.25,966400,0
20010313,23.33,23.59,23.00,23.51,791800,0
20010314,23.39,23.39,23.00,23.05,753800,0
20010315,23.00,23.00,22.72,22.75,215000,0
20010316,22.00,22.60,20.75,21.10,2116000,0
20010319,21.50,21.99,21.25,21.90,811200,0
20010320,21.98,21.98,20.95,21.00,1041000,0
20010321,20.88,20.92,20.13,20.25,1276000,0
20010322,20.30,20.33,19.20,19.50,1858200,0
20010323,19.75,19.75,19.30,19.42,1955200,0
20010326,19.54,20.13,19.54,19.84,2629600,0
20010327,19.74,19.74,18.00,18.42,4808800,0
20010328,18.42,18.52,17.73,18.00,21290800,0
20010329,17.85,18.35,17.83,18.09,1571800,0
20010330,18.22,18.26,17.65,18.16,4755000,0
20010402,18.64,19.00,18.63,18.90,2086600,0
20010403,19.10,19.10,18.00,18.28,1880800,0
20010404,18.88,19.15,18.45,18.92,1827400,0
20010405,18.92,20.50,18.92,20.12,2078000,0
20010406,20.00,20.06,19.34,19.63,1191000,0
20010409,19.75,20.39,19.73,20.39,1161200,0
20010410,20.39,21.10,20.39,20.83,792400,0
20010411,21.45,21.45,20.23,20.68,778000,0
20010412,20.38,21.00,20.38,20.96,714800,0
20010416,21.00,21.00,20.55,21.00,655800,0
20010417,21.00,21.50,20.75,21.50,714000,0
20010418,21.50,22.75,21.50,22.45,1778200,0
20010419,22.42,22.60,22.11,22.35,10554000,0
20010420,21.85,22.45,21.85,22.00,907000,0
20010423,22.00,22.00,21.30,21.50,2610000,0
20010424,21.75,22.16,21.75,22.00,895600,0
20010425,21.99,22.40,21.88,22.13,1018800,0
20010426,22.40,23.38,22.38,22.68,1592000,0
20010427,22.81,23.00,22.75,22.90,813400,0
20010430,22.98,23.10,22.51,22.51,2656000,0
20010501,22.40,22.49,21.45,21.85,1136400,0
20010502,21.86,22.13,21.50,21.60,1390800,0
20010503,21.58,21.63,21.30,21.40,714000,0
20010504,21.04,21.73,21.04,21.53,4765800,0
20010507,21.66,22.05,21.55,21.81,567200,0
20010508,21.80,22.02,21.75,21.86,8602400,0
20010509,21.88,21.88,21.75,21.80,1050800,0
20010510,21.80,21.93,21.74,21.80,1347200,0
20010511,21.85,22.06,21.67,21.88,658200,0
20010514,21.80,21.83,21.67,21.70,906000,0
20010515,21.70,21.83,21.60,21.75,241200,0
20010516,21.73,22.58,21.54,22.52,508200,0
20010517,23.00,23.10,22.50,22.74,781000,0
20010518,22.85,22.93,22.25,22.63,534000,0
20010521,22.63,23.50,22.63,23.48,538000,0
20010522,23.25,23.48,23.13,23.43,449600,0
20010523,23.31,23.49,23.09,23.38,1099400,0
20010524,23.35,23.40,23.20,23.34,1005600,0
20010525,23.25,23.34,23.01,23.06,6382200,0
20010528,23.06,23.06,23.06,23.06,0,0
20010529,22.92,23.30,22.92,23.25,18513800,0
20010530,23.25,23.49,23.00,23.00,666400,0
20010531,23.00,23.50,23.00,23.50,1394600,0
20010601,23.50,23.50,23.07,23.07,17432800,0
20010604,23.05,23.15,22.88,22.94,13086400,0
20010605,22.95,23.27,22.80,23.20,1864200,0
20010606,23.20,23.60,23.06,23.07,13194000,0
20010607,22.94,23.25,22.56,22.63,2384200,0
20010608,20.80,20.99,20.50,20.76,4648800,0
20010611,20.85,20.85,19.85,20.08,21405600,0
20010612,20.13,20.13,19.20,19.50,2304800,0
20010613,19.55,19.75,19.32,19.53,27210200,0
20010614,19.53,19.53,18.74,18.76,2093600,0
20010615,18.33,18.95,18.33,18.85,6773000,0
20010618,19.02,19.25,18.70,18.70,22921200,0
20010619,19.00,19.02,18.52,18.67,948400,0
20010620,18.58,18.66,18.38,18.48,1424400,0
20010621,18.45,18.62,18.00,18.50,2291600,0
20010622,18.42,18.50,18.09,18.16,6724200,0
20010625,18.28,18.42,17.98,17.98,3253200,0
20010626,17.95,18.50,17.95,18.37,1936600,0
20010627,18.25,18.80,18.22,18.35,1240000,0
20010628,18.42,19.12,18.42,18.84,1334600,0
20010629,18.83,19.30,18.73,19.06,2041000,0
20010702,16.95,16.95,14.40,14.70,3293600,0
20010703,15.65,15.75,15.00,15.10,1720900,0
20010704,15.10,15.10,15.10,15.10,0,0
20010705,15.30,15.38,15.12,15.24,3135800,0
20010706,15.30,15.40,13.19,15.07,11855300,0
20010709,15.04,16.00,15.03,15.57,1311800,0
20010710,15.50,15.61,15.42,15.51,7572200,0
20010711,15.40,15.80,15.27,15.50,701900,0
20010712,15.50,15.86,15.50,15.65,594800,0
20010713,15.65,16.49,15.51,15.99,25542100,0
20010716,16.00,16.14,15.88,16.05,1486500,0
20010717,16.20,16.20,15.80,15.98,22828700,0
20010718,16.20,16.20,15.89,16.00,2517600,0
20010719,16.00,16.24,15.81,15.96,600000,0
20010720,16.05,16.20,15.92,15.99,331400,0
20010723,15.95,16.03,15.50,15.81,1271000,0
20010724,16.05,16.05,15.21,15.36,6417900,0
20010725,15.36,15.79,15.30,15.70,8402700,0
20010726,15.94,15.99,15.58,15.95,291900,0
20010727,15.97,16.10,15.91,16.06,447200,0
20010730,16.07,16.30,16.00,16.08,201200,0
20010731,16.10,16.50,16.00,16.05,1123700,0
20010801,16.20,17.30,16.20,16.28,8447600,0
20010802,16.30,16.50,16.26,16.50,933300,0
20010803,16.75,17.09,16.51,16.96,11676200,0
20010806,16.72,16.72,16.41,16.45,5372500,0
20010807,16.35,16.70,16.15,16.25,7435700,0
20010808,16.25,16.49,16.25,16.35,1595200,0
20010809,15.98,16.45,15.68,16.10,2299300,0
20010810,16.35,16.70,16.30,16.70,439900,0
20010813,16.70,17.00,16.50,16.77,15671600,0
20010814,17.00,17.06,16.40,16.55,492300,0
20010815,16.35,16.75,16.35,16.52,172100,0
20010816,16.60,16.60,16.10,16.11,492500,0
20010817,16.12,16.85,16.11,16.78,8480500,0
20010820,16.70,16.94,16.47,16.61,2188500,0
