DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.56,16.97,16.53,16.72,0,0
20010103,16.75,17.38,16.75,17.34,2582,0
20010104,17.25,17.31,16.91,16.94,1554,0
20010105,16.81,16.94,16.50,16.63,2012,0
20010108,16.66,16.94,16.56,16.69,0,0
20010109,16.75,17.06,16.50,16.56,0,0
20010110,16.69,17.19,16.56,17.09,2172,0
20010111,16.81,17.50,16.81,17.50,1408,0
20010112,17.56,17.56,16.63,16.84,2292,0
20010115,16.84,16.84,16.84,16.84,0,0
20010116,16.91,16.91,16.59,16.72,0,0
20010117,16.75,17.47,16.75,17.16,0,0
20010118,17.19,18.50,17.19,18.19,0,0
20010119,18.19,18.38,18.00,18.28,1632,0
20010122,18.28,18.28,18.28,18.28,0,0
20010123,18.19,18.94,18.16,18.94,2784,0
20010124,18.88,18.94,18.81,18.88,3290,0
20010125,18.91,19.25,18.69,18.69,0,0
20010126,18.56,18.56,18.00,18.13,0,0
20010129,19.14,19.17,18.78,19.16,0,0
20010130,19.16,19.16,18.23,18.63,0,0
20010131,18.30,19.24,18.30,19.15,0,0
20010201,19.17,19.17,18.59,18.71,61200,0
20010202,18.75,18.75,18.40,18.40,4076800,0
20010205,18.39,18.67,18.37,18.59,93800,0
20010206,18.50,18.86,18.50,18.67,85800,0
20010207,18.38,19.02,18.33,18.69,631600,0
20010208,18.69,18.73,18.42,18.42,0,0
20010209,18.50,18.52,18.25,18.46,0,0
20010212,18.48,18.95,18.42,18.73,0,0
20010213,18.75,19.00,18.73,18.95,77800,0
20010214,18.95,19.00,18.65,18.99,0,0
20010215,18.97,18.97,18.90,18.95,94200,0
20010216,18.94,18.94,18.20,18.33,0,0
20010219,18.33,18.33,18.33,18.33,0,0
20010220,18.40,19.00,18.40,18.96,182800,0
20010221,18.92,18.98,18.40,18.50,121400,0
20010222,18.50,18.70,18.38,18.50,88600,0
20010223,18.41,18.70,18.38,18.60,521000,0
20010226,18.67,19.00,18.63,18.99,110000,0
20010227,19.00,19.93,19.00,19.00,50488400,0
20010228,19.30,19.50,19.15,19.39,4196200,0
20010301,19.00,19.00,17.50,18.15,437400,0
20010302,18.15,18.20,17.95,18.00,198200,0
20010305,17.84,18.50,17.81,18.48,224600,0
20010306,18.50,18.75,18.40,18.70,4250800,0
20010307,18.71,19.30,18.60,18.72,403800,0
20010308,18.73,18.95,18.67,18.94,59600,0
20010309,18.88,18.92,18.39,18.75,162600,0
20010312,18.63,18.63,18.25,18.28,74600,0
20010313,18.25,18.49,17.90,18.47,102200,0
20010314,18.13,18.38,18.02,18.23,96000,0
20010315,18.20,18.37,18.20,18.20,60800,0
20010316,18.33,18.33,17.32,17.32,171200,0
20010319,17.23,18.28,17.17,18.28,163800,0
20010320,18.28,18.83,18.10,18.38,226400,0
20010321,18.35,18.35,17.50,17.55,92200,0
20010322,17.55,17.60,17.00,17.34,90000,0
20010323,17.48,17.95,17.48,17.70,201000,0
20010326,17.73,17.75,17.47,17.50,82000,0
20010327,17.48,17.94,17.10,17.94,197200,0
20010328,17.98,18.02,17.42,18.00,148000,0
20010329,18.00,18.25,17.75,17.77,135200,0
20010330,17.90,18.10,17.75,17.90,170800,0
20010402,17.92,18.30,17.69,17.76,132800,0
20010403,17.76,17.76,16.96,17.00,105000,0
20010404,17.00,17.24,16.83,17.20,134200,0
20010405,17.33,17.96,17.27,17.96,104800,0
20010406,17.96,17.96,17.25,17.33,81200,0
20010409,17.45,17.85,17.38,17.77,4047400,0
20010410,17.74,18.50,17.50,18.42,106200,0
20010411,18.50,18.70,18.40,18.45,87800,0
20010412,18.70,18.98,18.23,18.78,245800,0
20010416,18.85,19.10,18.42,19.08,329800,0
20010417,19.20,19.63,19.20,19.60,434800,0
20010418,19.85,20.25,19.75,20.13,8357800,0
20010419,20.30,20.83,19.98,20.60,209200,0
20010420,20.52,20.75,20.00,20.03,160000,0
20010423,20.05,20.13,19.92,19.97,314200,0
20010424,19.95,20.45,19.92,20.25,259600,0
20010425,20.25,20.88,20.20,20.53,119400,0
20010426,20.66,21.40,20.66,21.00,4215400,0
20010427,21.00,21.42,20.95,21.42,4120000,0
20010430,21.42,21.50,21.03,21.11,102000,0
20010501,20.95,20.95,20.55,20.75,4169400,0
20010502,20.77,20.80,20.17,20.17,167600,0
20010503,20.25,20.95,20.20,20.88,144600,0
20010504,20.85,21.70,20.63,21.68,119400,0
20010507,21.70,22.38,21.70,22.00,188800,0
20010508,22.13,22.35,21.98,22.01,226400,0
20010509,21.50,22.73,21.50,22.01,408600,0
20010510,22.08,22.23,21.95,22.09,182800,0
20010511,22.12,22.12,21.77,21.93,133400,0
20010514,21.50,21.79,21.50,21.74,122400,0
20010515,21.75,21.95,21.70,21.88,113200,0
20010516,21.90,22.20,21.88,22.20,269600,0
20010517,22.23,22.90,22.23,22.75,267800,0
20010518,22.50,22.50,20.58,20.83,8636600,0
20010521,20.85,22.14,20.13,22.05,635200,0
20010522,22.17,22.17,21.50,21.50,69600,0
20010523,21.50,21.67,21.17,21.32,111800,0
20010524,21.44,21.50,21.12,21.30,145800,0
20010525,21.40,21.47,21.00,21.05,38800,0
20010528,21.05,21.05,21.05,21.05,0,0
20010529,21.10,21.17,20.70,20.70,65000,0
20010530,20.70,20.70,20.23,20.23,59000,0
20010531,20.35,20.73,20.35,20.54,124200,0
20010601,20.75,20.90,20.55,20.65,57200,0
20010604,20.87,21.50,20.83,21.14,85200,0
20010605,21.14,22.16,21.14,21.60,141400,0
20010606,21.70,21.95,21.56,21.63,99800,0
20010607,21.64,21.75,21.45,21.52,97200,0
20010608,21.55,21.89,21.35,21.35,42000,0
20010611,21.48,21.75,21.48,21.69,4080600,0
20010612,21.65,21.73,21.36,21.59,94000,0
20010613,21.58,21.97,21.50,21.50,39600,0
20010614,21.40,21.40,20.70,20.87,65000,0
20010615,20.83,20.84,20.20,20.45,173600,0
20010618,20.48,20.67,20.30,20.35,194800,0
20010619,20.40,20.40,20.03,20.10,71000,0
20010620,20.13,20.60,19.98,20.53,104800,0
20010621,20.66,20.92,20.66,20.75,57400,0
20010622,21.00,21.03,20.75,20.75,78000,0
20010625,20.75,20.88,19.80,19.80,84600,0
20010626,19.74,20.42,19.63,19.84,130000,0
20010627,19.97,20.89,19.83,20.56,109800,0
20010628,20.56,21.20,20.56,21.10,33800,0
20010629,21.10,21.58,20.88,20.88,257000,0
20010702,21.00,21.20,20.62,20.62,129800,0
20010703,20.75,20.78,20.42,20.42,80400,0
20010704,20.42,20.42,20.42,20.42,0,0
20010705,20.50,20.50,20.26,20.26,58200,0
20010706,20.30,20.30,19.50,19.65,115000,0
20010709,19.13,19.25,18.83,18.97,2280000,0
20010710,18.97,18.97,18.14,18.14,325400,0
20010711,18.14,18.24,17.50,17.65,288600,0
20010712,17.69,17.95,17.50,17.93,189200,0
20010713,17.95,19.00,17.75,18.50,459400,0
20010716,18.75,19.19,18.75,18.95,66800,0
