DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,2.1230,2.1250,2.0938,2.1016,5162400,0
20010103,2.1173,2.2110,2.0704,2.1895,11529600,0
20010104,2.1993,2.4454,2.1954,2.3985,12230400,0
20010105,2.3457,2.4610,2.3438,2.3907,6899200,0
20010108,2.4844,2.5000,2.3594,2.4298,9528800,0
20010109,2.4063,2.4375,2.3125,2.3282,6115200,0
20010110,2.3282,2.4473,2.3282,2.4473,7704800,0
20010111,2.4160,2.5313,2.4141,2.5000,7984000,0
20010112,2.5000,2.5000,2.4610,2.4923,6508000,0
20010115,2.4923,2.4923,2.4923,2.4923,0,0
20010116,2.4766,2.6094,2.4610,2.5743,8478400,0
20010117,2.6016,2.7032,2.5625,2.6954,24997600,0
20010118,2.7032,2.7032,2.6016,2.6094,17093600,0
20010119,2.6094,2.6173,2.4141,2.4375,11890400,0
20010122,2.4414,2.6407,2.4375,2.5645,14238400,0
20010123,2.5625,2.6329,2.5548,2.6250,4140000,0
20010124,2.5723,2.7188,2.5704,2.6094,8365600,0
20010125,2.6114,2.6954,2.5313,2.6407,7951200,0
20010126,2.6407,2.6485,2.5548,2.5586,3617600,0
20010129,2.5548,2.7266,2.5548,2.7188,4295200,0
20010130,2.7188,2.8125,2.6875,2.7188,6505600,0
20010131,2.7188,2.8750,2.7032,2.8594,5500800,0
20010201,2.8673,2.9063,2.7891,2.8438,5302400,0
20010202,2.8282,2.8516,2.6875,2.7110,4168800,0
20010205,2.7813,2.8204,2.7188,2.7500,6280800,0
20010206,2.7207,2.8204,2.7188,2.7969,7381600,0
20010207,2.7891,2.9923,2.7813,2.9844,10656000,0
20010208,2.9375,2.9375,2.6875,2.7969,5124800,0
20010209,2.7735,2.7735,2.5860,2.5860,10036000,0
20010212,2.5840,2.6329,2.5625,2.5860,9321600,0
20010213,2.5860,2.6563,2.5860,2.5938,11311200,0
20010214,2.6016,2.6250,2.5391,2.5860,10253600,0
20010215,2.5782,2.6094,2.5625,2.5860,8743200,0
20010216,2.5879,2.7032,2.5625,2.6485,6169600,0
20010219,2.6485,2.6485,2.6485,2.6485,0,0
20010220,2.6485,2.8829,2.6485,2.8438,11029600,0
20010221,2.7851,2.8028,2.6954,2.6954,4879200,0
20010222,2.6954,2.7344,2.6485,2.6798,3912000,0
20010223,2.6798,2.6875,2.5391,2.6798,3955200,0
20010226,2.6875,2.8438,2.6875,2.8360,2679200,0
20010227,2.8282,2.8360,2.7188,2.7579,4641600,0
20010228,2.7539,2.7579,2.5860,2.6250,4613600,0
20010301,2.6329,2.6407,2.4688,2.5938,5334400,0
20010302,2.5938,2.7110,2.5313,2.6016,5252800,0
20010305,2.6250,2.6563,2.5704,2.6094,1705600,0
20010306,2.6094,2.6875,2.5761,2.6563,2240800,0
20010307,2.6582,2.7032,2.6407,2.6954,7244800,0
20010308,2.6855,2.7813,2.6173,2.7188,5062400,0
20010309,2.7090,2.7813,2.5938,2.7188,2593600,0
20010312,2.6798,2.7110,2.6173,2.6329,1672800,0
20010313,2.6270,2.6329,2.5469,2.6016,1425600,0
20010314,2.5000,2.5938,2.4219,2.5157,7504000,0
20010315,2.4923,2.5625,2.4923,2.5079,5481600,0
20010316,2.5235,2.5704,2.4532,2.4532,6456000,0
20010319,2.4454,2.5860,2.4454,2.5704,3627200,0
20010320,2.5508,2.6875,2.5469,2.5938,7774400,0
20010321,2.5938,2.6329,2.5313,2.5548,8320800,0
20010322,2.5351,2.5469,2.4532,2.4688,5672000,0
20010323,2.4844,2.5079,2.4532,2.4844,4486400,0
20010326,2.5020,2.5157,2.4454,2.4766,5375200,0
20010327,2.4844,2.4844,2.3673,2.4610,6878400,0
20010328,2.4493,2.4493,2.3360,2.3594,6237600,0
20010329,2.3438,2.4454,2.2969,2.4063,6761600,0
20010330,2.4063,2.4844,2.3125,2.3438,10081600,0
20010402,2.3673,2.4923,2.3594,2.3829,7726400,0
20010403,2.3750,2.4063,2.2969,2.3204,7101600,0
20010404,2.3145,2.4375,2.2969,2.4063,6032800,0
20010405,2.4004,2.5235,2.3907,2.5157,3035200,0
20010406,2.4454,2.4844,2.4141,2.4298,4707200,0
20010409,2.4675,2.6250,2.4550,2.4888,3403200,0
20010410,2.4906,2.5313,2.3900,2.4250,4842400,0
20010411,2.4188,2.4300,2.2500,2.2600,13699200,0
20010412,2.2912,2.3763,2.2813,2.3375,15067200,0
20010416,2.3900,2.4538,2.3313,2.4000,5736800,0
20010417,2.3313,2.5000,2.3250,2.4813,4143200,0
20010418,2.4975,2.6975,2.4813,2.6525,6122400,0
20010419,2.6825,2.7663,2.6500,2.7225,3438400,0
20010420,2.7250,2.7413,2.6375,2.7100,1594400,0
20010423,2.6813,2.7525,2.6375,2.6513,3219200,0
20010424,2.6363,2.6438,2.5738,2.6138,3447200,0
20010425,2.6188,2.6313,2.6125,2.6225,3663200,0
20010426,2.6288,2.7838,2.6250,2.7700,6957600,0
20010427,2.7513,2.8275,2.7300,2.8125,5650400,0
20010430,2.8175,2.8250,2.7375,2.7475,2972000,0
20010501,2.7500,2.8438,2.6875,2.8075,7771200,0
20010502,2.8063,2.8438,2.7250,2.7300,5366400,0
20010503,2.6988,2.7375,2.6988,2.7300,7611200,0
20010504,2.7338,2.7338,2.6438,2.7188,12788000,0
20010507,2.6875,2.7338,2.6862,2.7225,5860000,0
20010508,2.7125,2.7313,2.6875,2.6938,4768000,0
20010509,2.6463,2.6463,2.6175,2.6388,7989600,0
20010510,2.6388,2.8188,2.6388,2.8150,11257600,0
20010511,2.8125,2.8375,2.7850,2.8200,4334400,0
20010514,2.7763,2.8727,2.7750,2.8225,5715200,0
20010515,2.8275,2.9350,2.8050,2.9162,7257600,0
20010516,2.8788,3.1050,2.8500,3.0688,11799200,0
20010517,3.0625,3.0688,2.9875,3.0225,10095200,0
20010518,3.0238,3.0675,2.9475,3.0563,6612000,0
20010521,3.0238,3.0975,2.9838,3.0863,4200000,0
20010522,3.1000,3.1088,3.0000,3.0400,4633600,0
20010523,3.0500,3.0513,2.9250,3.0000,8515200,0
20010524,2.9938,3.0125,2.9563,2.9875,6632800,0
20010525,3.0025,3.0188,2.9375,2.9700,3728000,0
20010528,2.9700,2.9700,2.9700,2.9700,0,0
20010529,2.9638,2.9688,2.9188,2.9250,8440800,0
20010530,2.9250,3.0063,2.8825,2.8938,12160800,0
20010531,2.8725,3.0138,2.8675,2.9888,5485600,0
20010601,2.9875,3.1400,2.9750,3.0975,6379200,0
20010604,3.0663,3.1125,3.0250,3.0563,9229600,0
20010605,3.0813,3.0938,3.0600,3.0850,14144000,0
20010606,3.0850,3.1175,3.0300,3.0488,7270400,0
20010607,3.0044,3.0375,2.8750,3.0225,15580000,0
20010608,3.0275,3.0750,3.0113,3.0563,2196800,0
20010611,3.0125,3.0238,2.9938,3.0000,6940000,0
20010612,2.9987,3.0025,2.9250,3.0000,2051200,0
20010613,2.9987,3.0013,2.9200,2.9200,2824800,0
20010614,2.9200,2.9450,2.9038,2.9450,2642400,0
20010615,2.9338,2.9500,2.8625,2.8975,4951200,0
20010618,2.9250,2.9813,2.9075,2.9263,2856000,0
20010619,2.9263,3.0125,2.9263,3.0000,3032800,0
20010620,2.9950,3.0688,2.9800,3.0375,5017600,0
20010621,3.0113,3.1750,3.0113,3.1500,7420800,0
20010622,3.1513,3.1513,3.0388,3.1338,5118400,0
20010625,3.1850,3.1875,2.9787,2.9850,6194400,0
20010626,2.9875,3.0325,2.8750,3.0175,4351200,0
20010627,2.9963,3.0475,2.9888,3.0325,2407200,0
20010628,3.0125,3.0875,3.0125,3.0838,4484800,0
20010629,3.0888,3.0938,2.7850,2.9938,5180000,0
20010702,3.0225,3.0975,2.9313,3.0825,4045600,0
20010703,3.0888,3.1438,3.0375,3.1213,2549600,0
20010704,3.1213,3.1213,3.1213,3.1213,0,0
20010705,3.0750,3.0900,3.0000,3.0000,2187200,0
20010706,2.9925,3.0175,2.9388,2.9475,1540000,0
20010709,2.9425,2.9875,2.9362,2.9838,2364800,0
20010710,2.9813,2.9813,2.7000,2.7200,8515200,0
20010711,2.7188,2.8400,2.7175,2.8238,7836000,0
20010712,2.7750,2.9013,2.6875,2.8737,16272000,0
20010713,2.8713,2.9093,2.8100,2.9038,3547200,0
20010716,2.8600,2.9488,2.8600,2.9313,3001600,0
20010717,2.9138,2.9250,2.8338,2.8875,7738400,0
20010718,2.8737,2.8800,2.8500,2.8575,7832800,0
20010719,2.8750,2.9113,2.8588,2.8975,5088800,0
20010720,2.8863,2.9637,2.8763,2.9313,2799200,0
20010723,2.8963,2.9438,2.8950,2.9362,1422400,0
20010724,2.9313,2.9362,2.8300,2.8813,7455200,0
20010725,2.8813,2.9088,2.8575,2.8788,3484800,0
20010726,2.8800,2.8888,2.8688,2.8800,2207200,0
20010727,2.8813,2.8813,2.8638,2.8713,2092800,0
20010730,2.8719,2.8938,2.8663,2.8875,2697600,0
20010731,2.8725,2.9625,2.8713,2.9400,4343200,0
20010801,2.9550,2.9750,2.9100,2.9200,4145600,0
20010802,2.9138,2.9625,2.9000,2.9538,3258400,0
20010803,2.9588,2.9650,2.9325,2.9413,4752000,0
20010806,2.9425,2.9575,2.9063,2.9263,4307200,0
20010807,2.9100,3.0000,2.9100,2.9638,3196800,0
20010808,2.9588,3.0700,2.9362,3.0125,13141600,0
20010809,3.1200,3.2500,3.0825,3.1475,13557600,0
20010810,3.1263,3.3163,3.1263,3.2863,15924800,0
20010813,3.2875,3.4125,3.2863,3.3638,13757600,0
20010814,3.3750,3.4438,3.3750,3.4138,19936000,0
20010815,3.4188,3.5238,3.3700,3.4600,9492800,0
20010816,3.4438,3.5238,3.3125,3.4975,17272800,0
20010817,3.4700,3.4913,3.3738,3.4450,6582400,0
20010820,3.4313,3.4875,3.4250,3.4725,4028000,0
20010821,3.4613,3.5038,3.3675,3.3713,8724800,0
20010822,3.3400,3.5463,3.2938,3.5175,13621600,0
20010823,3.5338,3.6488,3.5313,3.6238,22540000,0
20010824,3.6488,3.7238,3.5813,3.6875,17980800,0
20010827,3.6988,3.6988,3.6025,3.6563,12656800,0
20010828,3.6675,3.6713,3.6013,3.6475,5932000,0
20010829,3.6325,3.7400,3.6263,3.7225,12268000,0
20010830,3.7125,3.7600,3.6825,3.7513,16848800,0
20010831,3.7500,3.7563,3.6325,3.6625,9588000,0
20010903,3.6625,3.6625,3.6625,3.6625,0,0
20010904,3.6438,3.7625,3.5825,3.7600,23072000,0
20010905,3.7525,3.7613,3.6150,3.7125,4844800,0
20010906,3.7350,3.8750,3.7350,3.7938,31412000,0
20010907,3.7638,3.7963,3.5475,3.5600,12741600,0
20010910,3.5475,3.5500,3.3875,3.5138,9427200,0
20010911,3.5138,3.5138,3.5138,3.5138,0,0
20010917,3.3750,3.4563,3.1662,3.1813,14622400,0
20010918,3.2038,3.2363,3.1250,3.1775,4593600,0
20010919,3.1463,3.3750,3.0988,3.3600,13964000,0
20010920,3.3125,3.3625,3.1388,3.2888,14063200,0
20010921,3.1750,3.2825,3.0838,3.2300,9405600,0
20010924,3.2413,3.3925,3.2113,3.3425,8702400,0
20010925,3.3313,3.6350,3.3125,3.5988,13517600,0
20010926,3.5925,3.6125,3.3825,3.5113,14812800,0
20010927,3.5313,3.6188,3.4750,3.6063,15425600,0
20010928,3.6125,3.7438,3.6063,3.6563,22410400,0
20011001,3.6050,3.7800,3.5625,3.7563,8631200,0
