DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.54,4.67,4.42,4.42,12744,0
20010103,4.50,4.50,3.92,4.13,12489,0
20010104,4.08,4.08,3.67,4.00,10023,0
20010105,3.96,4.42,3.96,4.42,7427,0
20010108,4.50,4.58,4.33,4.38,8345,0
20010109,4.33,4.58,4.04,4.38,202892,0
20010110,4.38,4.71,4.38,4.58,14043,0
20010111,4.63,4.75,4.42,4.54,11942,0
20010112,4.50,4.50,4.21,4.33,0,0
20010115,4.33,4.33,4.33,4.33,0,0
20010116,4.25,4.54,4.25,4.54,12374,0
20010117,4.54,4.63,4.25,4.29,6050,0
20010118,4.29,4.29,4.13,4.25,0,0
20010119,4.25,4.25,4.08,4.13,3320,0
20010122,4.13,4.13,4.13,4.13,0,0
20010123,4.25,4.25,4.08,4.13,3630,0
20010124,4.17,4.25,4.13,4.21,0,0
20010125,4.17,4.38,4.17,4.38,0,0
20010126,4.33,4.46,4.29,4.33,0,0
20010129,4.28,4.81,4.20,4.52,0,0
20010130,4.52,4.73,4.00,4.21,0,0
20010131,3.94,4.07,3.93,3.96,0,0
20010201,3.95,4.00,3.77,4.00,685950,0
20010202,4.00,4.13,3.93,4.13,0,0
20010205,4.10,4.10,3.93,4.01,344850,0
20010206,4.07,4.13,4.00,4.01,0,0
20010207,4.07,4.16,3.94,4.16,547800,0
20010208,4.16,4.33,4.13,4.33,394350,0
20010209,4.33,4.51,4.33,4.51,768750,0
20010212,4.53,4.60,4.41,4.45,185250,0
20010213,4.40,4.50,4.31,4.50,369000,0
20010214,4.50,4.56,4.45,4.45,0,0
20010215,4.34,4.50,4.33,4.50,389250,0
20010216,4.43,4.59,4.43,4.55,261750,0
20010219,4.55,4.55,4.55,4.55,0,0
20010220,4.51,4.59,4.42,4.47,257400,0
20010221,4.43,4.44,4.01,4.23,335400,0
20010222,4.17,4.20,4.10,4.10,217050,0
20010223,4.05,4.10,3.83,3.91,816150,0
20010226,3.93,4.13,3.87,4.00,424650,0
20010227,4.00,4.06,3.93,4.01,3302400,0
20010228,4.01,4.05,3.98,4.00,592800,0
20010301,4.01,4.09,3.92,3.92,458400,0
20010302,3.93,4.00,3.80,3.93,8364750,0
20010305,3.93,4.17,3.90,4.13,1869600,0
20010306,4.17,4.20,4.01,4.05,414600,0
20010307,4.06,4.23,4.06,4.20,633300,0
20010308,4.27,4.40,4.27,4.33,986100,0
20010309,4.31,4.31,4.20,4.25,333300,0
20010312,4.29,4.29,4.00,4.03,342600,0
20010313,4.00,4.00,3.82,3.97,4791900,0
20010314,3.97,3.97,3.75,3.84,219000,0
20010315,3.87,3.90,3.77,3.77,3233850,0
20010316,3.77,3.83,3.74,3.74,215700,0
20010319,3.74,3.81,3.71,3.79,6215250,0
20010320,3.79,3.93,3.79,3.89,292650,0
20010321,3.88,3.88,3.71,3.81,241350,0
20010322,3.73,3.73,3.47,3.51,686550,0
20010323,3.60,3.75,3.51,3.74,3519000,0
20010326,3.73,3.83,3.73,3.83,95400,0
20010327,3.75,3.93,3.74,3.79,1614600,0
20010328,3.70,3.83,3.70,3.75,119850,0
20010329,3.70,3.73,3.47,3.60,473550,0
20010330,3.52,3.68,3.50,3.68,9189900,0
20010402,3.61,3.63,3.40,3.43,330450,0
20010403,3.41,3.43,3.27,3.43,822300,0
20010404,3.40,3.63,3.40,3.50,22500000,0
20010405,3.50,3.67,3.50,3.65,309900,0
20010406,3.57,3.74,3.53,3.68,234600,0
20010409,3.68,3.88,3.68,3.86,228150,0
20010410,3.97,4.07,3.93,4.06,704250,0
20010411,4.03,4.06,3.97,4.01,3134250,0
20010412,4.00,4.07,3.89,4.04,7814400,0
20010416,4.01,4.06,3.87,3.88,376350,0
20010417,3.89,4.04,3.89,4.00,174600,0
20010418,3.93,4.02,3.93,3.97,198900,0
20010419,3.93,3.97,3.88,3.90,113400,0
20010420,3.94,3.94,3.77,3.83,1708650,0
20010423,3.87,3.89,3.77,3.81,168000,0
20010424,3.83,3.83,3.67,3.77,367200,0
20010425,3.77,3.87,3.67,3.83,253200,0
20010426,3.83,4.07,3.75,4.00,35235600,0
20010427,4.00,4.03,3.87,3.89,31935150,0
20010430,3.97,3.97,3.84,3.97,9337200,0
20010501,3.97,3.97,3.85,3.90,22871250,0
20010502,3.87,3.90,3.78,3.80,249750,0
20010503,3.67,3.77,3.67,3.68,290850,0
20010504,3.61,3.85,3.61,3.81,310050,0
20010507,3.81,3.86,3.77,3.80,16825050,0
20010508,3.75,3.87,3.73,3.85,748200,0
20010509,3.87,3.93,3.79,3.89,32817300,0
20010510,3.89,4.00,3.87,4.00,956850,0
20010511,4.00,4.07,3.97,4.00,899100,0
20010514,4.00,4.47,4.00,4.25,2117250,0
20010515,4.33,4.33,4.17,4.26,725850,0
20010516,4.33,4.43,4.07,4.14,998250,0
20010517,4.17,4.20,4.00,4.16,1841550,0
20010518,4.20,4.28,4.20,4.21,942300,0
20010521,4.27,4.37,4.21,4.27,553050,0
20010522,4.32,4.33,4.13,4.15,1779750,0
20010523,4.20,4.25,4.00,4.13,374100,0
20010524,4.08,4.13,3.92,4.01,604800,0
20010525,4.00,4.03,3.84,3.90,273750,0
20010528,3.90,3.90,3.90,3.90,0,0
20010529,3.96,4.03,3.77,3.89,375600,0
20010530,3.90,3.93,3.77,3.90,348900,0
20010531,3.85,4.00,3.85,4.00,277350,0
20010601,4.05,4.05,3.94,4.00,1690800,0
20010604,4.00,4.18,4.00,4.18,22946550,0
20010605,4.25,4.43,4.25,4.34,32107800,0
20010606,4.27,4.27,4.07,4.18,7798950,0
20010607,4.17,4.17,3.92,3.96,6340950,0
20010608,3.93,4.05,3.85,4.03,212100,0
20010611,4.08,4.20,4.05,4.20,3384750,0
20010612,4.20,4.20,4.03,4.10,175200,0
20010613,4.12,4.17,4.03,4.05,238950,0
20010614,4.04,4.05,3.85,3.91,248850,0
20010615,3.87,3.98,3.83,3.95,3157650,0
20010618,3.95,3.95,3.83,3.87,1626900,0
20010619,3.87,3.93,3.67,3.87,226950,0
20010620,3.82,3.91,3.73,3.87,18334500,0
20010621,3.80,3.91,3.73,3.79,6387600,0
20010622,3.79,3.81,3.63,3.80,4971450,0
20010625,3.73,3.87,3.71,3.83,17074200,0
20010626,3.82,3.83,3.73,3.73,237900,0
20010627,3.73,3.73,3.63,3.66,316650,0
20010628,3.75,3.75,3.51,3.67,3454950,0
20010629,3.66,4.00,3.56,4.00,3203550,0
20010702,3.93,3.99,3.74,3.75,300750,0
20010703,3.75,3.77,3.70,3.73,96450,0
20010704,3.73,3.73,3.73,3.73,0,0
20010705,3.67,3.80,3.67,3.70,171900,0
20010706,3.69,3.71,3.59,3.71,94950,0
20010709,3.65,3.71,3.58,3.59,191250,0
20010710,3.56,3.65,3.53,3.54,159450,0
20010711,3.54,3.54,3.35,3.37,473400,0
20010712,3.37,3.37,3.18,3.30,456900,0
20010713,3.27,3.39,3.17,3.37,6211350,0
20010716,3.31,3.43,3.27,3.31,3173250,0
20010717,3.32,3.32,3.20,3.20,104550,0
20010718,3.22,3.22,3.00,3.02,611550,0
20010719,3.00,3.12,2.85,2.93,3488100,0
20010720,2.93,3.23,2.93,3.20,516450,0
20010723,3.23,3.30,3.10,3.27,7610700,0
20010724,3.32,3.33,3.13,3.27,145500,0
20010725,3.30,3.51,3.20,3.51,3218700,0
20010726,3.58,3.58,3.37,3.51,181800,0
20010727,3.51,3.53,3.33,3.45,11772300,0
20010730,3.43,3.43,3.34,3.37,263100,0
20010731,3.33,4.13,3.33,4.00,15498300,0
20010801,3.90,3.99,3.60,3.60,3267000,0
20010802,3.57,3.67,3.47,3.49,141600,0
20010803,3.43,3.49,3.40,3.47,3200550,0
20010806,3.47,3.49,3.40,3.49,93150,0
20010807,3.50,3.53,3.37,3.51,177900,0
20010808,3.51,3.53,3.33,3.37,3208050,0
20010809,3.30,3.40,3.30,3.33,1602450,0
20010810,3.30,3.36,3.25,3.36,71700,0
20010813,3.33,3.49,3.33,3.43,108000,0
20010814,3.40,3.44,3.35,3.39,4639050,0
20010815,3.37,3.72,3.37,3.66,6356250,0
20010816,3.63,3.65,3.44,3.47,304350,0
20010817,3.49,3.50,3.41,3.44,126600,0
20010820,3.41,3.46,3.37,3.39,116850,0
20010821,3.37,3.46,3.35,3.43,6081150,0
20010822,3.44,3.53,3.40,3.41,414000,0
20010823,3.39,3.47,3.33,3.41,265950,0
20010824,3.38,3.45,3.36,3.41,1639950,0
20010827,3.33,3.41,3.23,3.25,30158550,0
20010828,3.30,3.30,3.13,3.15,13863450,0
20010829,3.17,3.19,3.00,3.03,24579600,0
20010830,3.00,3.39,2.97,3.39,56473950,0
20010831,3.33,4.00,3.30,4.00,38827950,0
20010903,4.00,4.00,4.00,4.00,0,0
20010904,3.77,3.77,3.48,3.50,5135550,0
20010905,3.47,3.53,3.47,3.51,555150,0
20010906,3.53,3.53,3.45,3.50,1749900,0
20010907,3.52,3.52,3.40,3.43,107400,0
20010910,3.43,3.49,3.40,3.45,156150,0
20010911,3.45,3.45,3.45,3.45,0,0
20010917,3.50,3.60,3.40,3.40,329400,0
20010918,3.43,3.50,3.32,3.40,645600,0
20010919,3.40,3.40,3.10,3.35,351600,0
20010920,3.27,3.35,3.10,3.34,281250,0
20010921,3.20,3.33,3.13,3.33,463800,0
20010924,3.33,3.33,3.00,3.17,1193400,0
20010925,3.07,3.07,2.93,3.00,4743450,0
20010926,2.99,2.99,2.87,2.93,411150,0
20010927,2.92,3.07,2.83,2.93,1184550,0
20010928,2.90,3.07,2.90,3.07,215550,0
20011001,3.13,3.13,2.84,2.87,202350,0
20011002,2.92,2.93,2.84,2.87,104550,0
20011003,2.85,2.94,2.83,2.90,282900,0
20011004,2.93,2.93,2.69,2.93,6038100,0
20011005,2.93,2.95,2.71,2.73,4991400,0
20011008,2.73,2.76,2.64,2.73,262500,0
20011009,2.79,2.80,2.72,2.73,172500,0
20011010,2.77,2.85,2.70,2.85,19897050,0
20011011,2.83,2.90,2.75,2.80,846300,0
20011012,2.76,2.80,2.73,2.80,776850,0
20011015,2.83,2.93,2.80,2.83,325950,0
20011016,2.80,2.90,2.73,2.90,340350,0
20011017,2.87,2.97,2.80,2.86,1670550,0
20011018,2.77,2.80,2.71,2.75,291000,0
20011019,2.70,2.87,2.70,2.85,1802400,0
20011022,2.81,2.93,2.80,2.89,110700,0
20011023,2.89,2.93,2.84,2.85,122850,0
20011024,2.83,2.87,2.80,2.83,365400,0
20011025,2.85,2.97,2.81,2.92,349350,0
20011026,2.92,3.14,2.92,3.09,777150,0
20011029,3.17,3.17,3.01,3.01,535800,0
20011030,3.03,3.03,2.87,2.95,439500,0
20011031,2.93,3.06,2.87,2.99,200850,0
20011101,3.03,3.03,2.94,3.01,206550,0
20011102,3.00,3.03,2.97,3.01,3199950,0
20011105,2.97,3.05,2.97,3.00,148050,0
20011106,2.93,3.10,2.90,3.02,207450,0
20011107,2.97,3.03,2.91,2.97,187350,0
20011108,2.93,3.01,2.93,3.00,1845450,0
20011109,2.97,3.06,2.97,3.05,175800,0
20011112,3.04,3.04,2.94,2.97,158550,0
20011113,2.98,3.07,2.95,3.03,118350,0
20011114,3.03,3.03,2.87,2.88,211800,0
20011115,2.80,2.85,2.67,2.69,415800,0
20011116,2.67,2.79,2.62,2.78,305400,0
20011119,2.80,2.83,2.71,2.81,243000,0
20011120,2.83,2.87,2.77,2.81,225000,0
20011121,2.79,2.79,2.71,2.78,54900,0
20011122,2.78,2.78,2.78,2.78,0,0
20011123,2.78,2.78,2.71,2.75,91350,0
20011126,2.80,2.80,2.65,2.65,136200,0
20011127,2.65,2.70,2.62,2.66,245700,0
20011128,2.70,2.73,2.65,2.67,230550,0
20011129,2.68,2.79,2.67,2.79,142950,0
20011130,2.80,2.83,2.78,2.79,3171150,0
20011203,2.82,2.82,2.64,2.68,436950,0
20011204,2.73,2.79,2.69,2.79,127950,0
20011205,2.79,2.83,2.70,2.77,298200,0
20011206,2.79,2.90,2.75,2.89,341550,0
