DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,13.47,14.49,13.47,14.31,2130000,0
20030501,14.24,14.26,13.95,14.11,958350,0
20030502,14.11,14.17,14.05,14.14,768600,0
20030505,14.21,14.21,14.07,14.15,600150,0
20030506,14.22,14.39,14.18,14.31,638550,0
20030507,14.23,14.49,14.14,14.42,801750,0
20030508,14.30,14.52,14.27,14.52,550350,0
20030509,14.53,14.59,14.49,14.49,1157250,0
20030512,14.50,14.53,14.47,14.50,767400,0
20030513,14.50,14.51,14.43,14.50,1014000,0
20030514,14.51,14.53,14.45,14.50,1563900,0
20030515,14.52,14.59,14.44,14.57,1809600,0
20030516,14.57,14.89,14.53,14.81,1676100,0
20030519,14.81,14.83,14.57,14.57,564750,0
20030520,14.60,14.73,14.60,14.67,568200,0
20030521,14.63,14.79,14.57,14.75,466500,0
20030522,14.67,14.88,14.67,14.88,729450,0
20030523,14.93,15.13,14.89,15.03,748050,0
20030527,15.00,15.30,14.93,15.30,781050,0
20030528,15.23,15.49,15.15,15.20,1448550,0
20030529,15.27,15.30,15.01,15.23,1022250,0
20030530,15.20,15.99,15.13,15.94,3159300,0
20030602,15.97,16.10,15.83,15.87,1157700,0
20030603,15.90,15.90,15.69,15.82,774750,0
20030604,15.77,16.02,15.61,16.01,980850,0
20030605,15.93,15.93,15.79,15.87,1765500,0
20030606,15.88,15.96,15.70,15.79,767250,0
20030609,15.70,15.87,15.48,15.76,465450,0
20030610,15.76,15.80,15.43,15.51,871650,0
20030611,15.47,15.63,15.33,15.53,990150,0
20030612,15.53,15.72,15.42,15.68,1074300,0
20030613,15.71,15.81,15.66,15.67,449250,0
20030616,15.67,16.13,15.67,16.12,1022850,0
20030617,16.17,16.27,15.99,16.13,620550,0
20030618,16.07,16.09,15.83,16.07,609600,0
20030619,16.03,16.13,15.57,15.70,1003350,0
20030620,15.77,15.77,15.43,15.59,980250,0
20030623,15.47,15.47,14.93,15.13,979950,0
20030624,15.00,15.27,14.89,15.18,640350,0
20030625,15.13,15.41,15.13,15.27,555150,0
20030626,15.27,15.45,15.17,15.30,598050,0
20030627,15.21,15.27,14.93,15.15,1039500,0
20030630,15.15,15.23,14.80,15.11,2044800,0
20030701,15.07,15.27,14.97,15.25,915150,0
20030702,15.38,15.53,15.27,15.53,902100,0
20030703,15.33,15.74,15.33,15.67,365700,0
20030707,15.67,15.87,15.59,15.63,473100,0
20030708,15.67,16.05,15.67,15.98,725550,0
20030709,15.91,16.03,15.81,15.86,614250,0
20030710,15.70,15.97,15.60,15.84,655050,0
20030711,15.95,16.20,15.95,16.06,766050,0
20030714,16.17,16.22,16.04,16.14,556650,0
20030715,16.31,16.31,16.13,16.27,516000,0
20030716,16.33,16.33,16.01,16.05,403800,0
20030717,16.05,16.10,15.46,15.49,904050,0
20030718,15.53,15.85,15.53,15.78,536550,0
20030721,15.78,15.91,15.57,15.75,327600,0
20030722,15.80,16.09,15.63,16.00,464100,0
20030723,15.93,15.97,15.58,15.85,600150,0
20030724,15.90,16.00,15.80,15.82,662400,0
20030725,15.87,16.02,15.80,15.99,315150,0
20030728,15.98,16.10,15.83,15.98,400950,0
20030729,16.03,16.13,15.82,15.96,377550,0
20030730,16.00,16.02,15.91,15.99,493950,0
20030731,16.07,16.15,15.73,16.13,1143600,0
20030801,16.03,16.27,16.00,16.10,954900,0
20030804,16.13,16.26,15.83,15.97,979050,0
20030805,16.00,16.50,15.87,16.27,1259400,0
20030806,16.33,16.33,15.85,16.07,1028400,0
20030807,16.10,16.11,15.95,16.09,614850,0
20030808,16.11,16.27,16.02,16.23,262500,0
20030811,16.27,16.33,15.97,16.19,648600,0
20030812,16.27,16.41,16.25,16.41,363450,0
20030813,16.41,16.41,16.08,16.08,447000,0
20030814,16.00,16.20,16.00,16.16,267300,0
20030815,16.17,16.31,16.04,16.25,418650,0
20030818,16.27,16.35,16.19,16.35,540900,0
20030819,15.93,16.33,15.83,16.13,1301250,0
20030820,16.06,16.23,16.00,16.19,763200,0
20030821,16.16,16.37,16.10,16.29,287850,0
20030822,16.33,16.39,16.00,16.11,429300,0
20030825,16.03,16.09,15.92,15.97,444600,0
20030826,15.87,15.87,15.33,15.72,1019250,0
20030827,15.70,15.90,15.61,15.85,567900,0
20030828,15.90,16.13,15.80,16.09,560550,0
20030829,16.09,16.46,16.03,16.41,1840800,0
20030902,16.42,16.42,14.83,15.10,5273550,0
20030903,15.07,15.20,15.00,15.15,1940550,0
20030904,15.20,15.49,15.17,15.29,1241550,0
20030905,15.30,15.37,15.09,15.29,981450,0
20030908,15.30,15.46,15.29,15.43,636600,0
20030909,15.36,15.42,15.10,15.19,840450,0
20030910,15.13,15.14,14.91,14.91,1030950,0
20030911,15.00,15.00,14.79,14.87,1388400,0
