DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,31.45,31.78,31.19,31.74,235400,0
20030501,31.59,31.62,31.04,31.15,157900,0
20030502,31.15,31.57,31.15,31.56,113700,0
20030505,31.40,31.53,31.30,31.53,169800,0
20030506,31.58,31.70,31.34,31.40,185900,0
20030507,31.40,31.48,30.95,31.05,233300,0
20030508,31.10,31.23,30.90,31.05,230800,0
20030509,31.30,31.38,31.06,31.27,159700,0
20030512,31.27,31.57,31.20,31.40,146300,0
20030513,31.39,31.64,31.15,31.28,161200,0
20030514,31.48,31.55,31.25,31.33,123200,0
20030515,31.50,31.70,31.32,31.69,251500,0
20030516,31.84,32.50,31.78,32.33,288800,0
20030519,32.26,32.31,31.88,31.88,192900,0
20030520,31.88,32.18,31.76,31.89,219100,0
20030521,31.94,31.94,31.61,31.70,236100,0
20030522,31.60,32.20,31.55,32.15,481300,0
20030523,32.27,33.93,32.23,33.80,438800,0
20030527,33.30,34.37,33.01,34.23,598500,0
20030528,34.33,34.34,34.00,34.23,354600,0
20030529,34.33,34.45,33.49,33.69,652100,0
20030530,33.66,33.84,33.44,33.67,472600,0
20030602,33.92,33.98,33.65,33.77,213200,0
20030603,33.97,34.00,33.63,34.00,182100,0
20030604,34.00,34.42,33.77,34.34,286900,0
20030605,34.48,34.50,34.11,34.42,872400,0
20030606,34.15,34.45,34.07,34.30,1696400,0
20030609,34.30,34.41,34.05,34.37,424300,0
20030610,34.40,34.70,34.22,34.53,554400,0
20030611,34.55,34.95,34.31,34.87,538300,0
20030612,34.82,34.90,34.22,34.90,408300,0
20030613,34.97,35.00,34.30,34.30,185800,0
20030616,34.45,35.09,34.45,35.09,578400,0
20030617,35.22,35.24,34.75,34.83,224200,0
20030618,34.98,35.19,34.70,35.14,351500,0
20030619,35.22,35.45,35.08,35.17,745000,0
20030620,35.35,35.40,34.97,35.01,239600,0
20030623,35.10,35.14,34.58,34.69,279200,0
20030624,34.79,34.90,34.44,34.44,256900,0
20030625,34.64,34.71,34.15,34.19,256800,0
20030626,34.24,34.68,34.24,34.47,187200,0
20030627,34.62,34.71,34.39,34.39,168200,0
20030630,34.39,34.47,34.20,34.28,387700,0
20030701,34.58,34.59,34.14,34.42,458700,0
20030702,34.50,34.70,34.35,34.70,288700,0
20030703,34.70,34.70,34.20,34.22,141300,0
20030707,34.40,34.49,34.10,34.20,268700,0
20030708,34.35,34.40,33.92,33.93,183000,0
20030709,33.93,34.05,33.65,33.65,212500,0
20030710,33.64,33.70,32.88,33.10,230100,0
20030711,33.40,33.60,33.18,33.42,171000,0
20030714,33.60,33.80,33.20,33.32,219800,0
20030715,33.20,33.24,32.78,32.95,223800,0
20030716,33.10,33.10,32.26,32.26,222400,0
20030717,32.45,32.45,32.10,32.11,206600,0
20030718,32.28,32.45,32.15,32.30,255300,0
20030721,32.47,32.47,31.89,31.90,242900,0
20030722,32.15,32.95,32.03,32.75,288300,0
20030723,33.00,33.09,32.39,32.80,206800,0
20030724,33.05,33.05,32.51,32.65,232900,0
20030725,32.60,33.10,32.39,32.94,255400,0
20030728,32.85,33.09,32.84,32.85,151200,0
20030729,33.02,33.02,32.51,32.87,559200,0
20030730,33.00,33.20,32.92,33.14,311800,0
20030731,33.15,33.44,32.92,33.20,286600,0
20030801,33.25,33.25,32.79,32.80,444300,0
20030804,32.94,33.00,32.60,32.79,158500,0
20030805,32.79,33.18,32.70,32.86,469700,0
20030806,32.94,33.33,32.73,33.14,236400,0
20030807,33.14,33.19,32.82,33.11,243900,0
20030808,33.28,33.28,33.00,33.08,88300,0
20030811,33.17,33.27,33.01,33.15,123800,0
20030812,33.20,33.91,33.15,33.90,170000,0
20030813,34.00,34.00,33.41,33.42,214700,0
20030814,33.60,33.65,33.41,33.65,124600,0
20030815,33.65,34.10,33.50,33.96,102000,0
20030818,34.10,34.15,33.73,33.80,123000,0
20030819,33.95,34.05,33.71,33.87,205300,0
20030820,33.89,34.05,33.77,34.00,210000,0
20030821,34.00,34.18,33.80,34.00,135700,0
20030822,34.15,34.15,33.55,33.66,174700,0
20030825,33.78,33.80,33.59,33.77,96000,0
20030826,33.77,33.87,33.60,33.84,156700,0
20030827,33.88,33.97,33.74,33.77,101600,0
20030828,33.70,34.00,33.64,33.95,154900,0
20030829,33.96,34.08,33.85,34.00,105200,0
20030902,34.08,34.50,34.02,34.49,465700,0
20030903,34.60,35.07,34.60,35.06,243100,0
20030904,35.10,35.16,34.76,35.14,344300,0
20030905,35.23,35.23,34.90,35.01,350800,0
20030908,34.60,34.85,34.58,34.66,276300,0
20030909,34.63,34.65,34.25,34.32,223900,0
20030910,34.15,34.30,33.78,34.05,310700,0
20030911,34.10,34.30,34.05,34.20,246600,0
20030912,34.15,34.34,34.00,34.19,225700,0
