DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,28.44,28.81,25.75,26.06,116414,0
20010103,26.00,33.00,25.19,32.88,122748,0
20010104,31.69,32.31,29.75,30.00,77910,0
20010105,30.13,30.63,29.19,29.63,536000,0
20010108,29.00,29.75,27.75,28.94,43979,0
20010109,28.19,28.19,27.56,27.56,51762,0
20010110,27.50,27.75,26.56,27.38,58322,0
20010111,27.44,29.94,27.38,29.31,67106,0
20010112,28.88,29.44,28.38,28.50,42617,0
20010115,28.50,28.50,28.50,28.50,0,0
20010116,28.00,29.31,27.69,28.00,33887,0
20010117,28.75,29.31,28.19,28.25,35283,0
20010118,28.25,28.25,27.00,27.50,59337,0
20010119,27.00,28.56,26.88,28.31,80611,0
20010122,28.31,28.31,28.31,28.31,0,0
20010123,28.50,28.50,27.56,27.69,65959,0
20010124,28.00,28.94,27.69,28.19,85389,0
20010125,28.88,29.25,28.44,28.88,37744,0
20010126,27.69,28.38,27.63,27.88,41427,0
20010129,29.16,29.88,28.63,29.56,3408000,0
20010130,29.59,30.03,27.00,27.81,10153700,0
20010131,26.50,26.95,25.91,26.38,17975000,0
20010201,26.65,27.32,26.41,27.24,7045500,0
20010202,27.25,27.44,26.35,26.65,3883600,0
20010205,26.26,26.60,25.00,25.92,5708900,0
20010206,26.15,26.20,25.41,25.64,4455500,0
20010207,25.62,25.73,23.00,23.99,7407700,0
20010208,24.25,25.36,24.10,24.97,8017700,0
20010209,25.50,25.50,24.25,24.50,6139900,0
20010212,24.95,25.40,24.41,25.40,6582900,0
20010213,25.02,26.00,25.02,25.65,4292100,0
20010214,25.35,25.35,24.40,24.80,8600800,0
20010215,23.29,24.70,22.50,24.40,12523500,0
20010216,23.41,23.97,22.85,22.99,6067800,0
20010219,22.99,22.99,22.99,22.99,0,0
20010220,23.00,23.00,21.40,21.74,6611700,0
20010221,21.27,22.15,21.17,21.23,57600000,0
20010222,21.50,22.20,20.88,21.65,6260900,0
