DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20171020,16.25,16.99,14.00,16.26,37534532,0
20171023,16.10,16.40,15.12,15.26,5695244,0
20171024,15.40,15.86,14.77,15.24,3742959,0
20171025,15.10,15.43,13.62,13.73,4403096,0
20171026,13.82,14.16,13.81,14.02,1848353,0
20171027,14.05,14.13,13.80,14.01,2414143,0
20171030,13.98,14.20,13.98,14.10,1230779,0
20171031,14.11,15.11,14.09,15.08,1664407,0
20171101,15.33,15.49,15.19,15.43,1241748,0
20171102,15.27,15.50,14.90,15.24,1189602,0
20171103,15.28,15.39,14.90,14.99,510008,0
20171106,15.01,15.01,14.89,15.01,616093,0
20171107,15.00,15.09,14.91,15.00,999853,0
20171108,15.00,15.00,14.72,14.84,679241,0
20171109,14.86,14.95,14.47,14.50,1092575,0
20171110,14.52,14.84,14.50,14.72,629058,0
20171113,14.57,14.75,14.48,14.73,991733,0
20171114,14.85,15.05,14.82,15.01,1120910,0
20171115,15.00,15.00,14.60,14.71,711247,0
20171116,15.23,15.25,14.96,15.03,727710,0
20171117,15.00,15.62,15.00,15.00,1253294,0
20171120,15.46,15.59,15.15,15.49,774864,0
20171121,15.70,15.73,14.78,14.78,1367464,0
20171122,14.78,14.99,13.72,13.85,3795700,0
20171124,13.88,13.96,12.88,13.33,2265235,0
20171127,13.31,13.56,12.52,12.67,2932724,0
20171128,12.61,12.71,10.82,11.45,4718840,0
20171129,11.50,12.14,10.79,10.97,3714002,0
20171130,11.32,11.94,11.22,11.60,2322042,0
20171201,11.73,12.59,11.65,12.43,1400319,0
20171204,12.32,12.32,11.86,11.98,1470781,0
20171205,11.89,13.02,11.78,12.73,2044772,0
20171206,12.98,13.21,12.03,12.13,1786538,0
20171207,12.20,13.00,12.20,12.92,1779412,0
20171208,12.98,13.32,12.84,13.29,937332,0
20171211,13.33,13.60,12.70,13.41,1208652,0
20171212,13.34,13.45,12.93,13.19,1054248,0
20171213,13.16,13.18,12.70,12.72,477613,0
20171214,12.77,13.00,11.72,11.77,1117153,0
20171215,11.73,12.08,11.58,12.00,1468737,0
20171218,11.95,12.23,11.90,11.92,1683716,0
20171219,11.95,12.05,11.76,11.87,679600,0
20171220,11.90,12.28,11.89,12.22,705970,0
20171221,12.38,13.24,12.36,12.77,554897,0
20171222,12.51,13.64,12.51,13.24,747126,0
20171226,13.17,13.26,12.80,13.00,335971,0
20171227,13.00,13.45,13.00,13.38,406448,0
20171228,13.54,13.94,13.32,13.50,558236,0
20171229,13.52,13.91,13.31,13.33,484595,0
20180102,13.30,13.62,12.97,13.01,685707,0
20180103,13.05,13.61,12.91,13.50,681106,0
20180104,13.50,13.60,13.00,13.00,703404,0
20180105,13.10,13.92,13.03,13.89,680491,0
20180108,13.90,14.20,13.57,13.87,1245904,0
20180109,13.89,14.20,13.50,13.82,829738,0
20180110,13.79,14.06,13.50,13.59,668428,0
20180111,13.71,14.68,13.52,14.23,828099,0
20180112,14.27,14.57,12.96,12.97,1161241,0
20180116,13.22,13.53,12.68,12.78,1618023,0
20180117,13.16,13.32,12.58,12.63,733697,0
20180118,12.63,12.95,12.50,12.58,759462,0
20180119,12.21,12.58,12.01,12.31,633011,0
20180122,12.49,12.61,12.30,12.59,1062715,0
20180123,12.60,13.57,12.48,12.90,2207000,0
20180124,13.00,13.09,12.41,12.76,1406570,0
20180125,12.82,12.95,12.55,12.75,1175328,0
20180126,12.85,13.36,12.55,13.29,1559290,0
20180129,13.28,13.28,12.20,12.22,924736,0
20180130,12.22,12.38,11.97,12.03,694587,0
20180131,12.17,12.59,12.02,12.26,806419,0
20180201,12.26,12.43,11.83,11.92,612635,0
20180202,11.88,12.15,11.76,11.93,947901,0
20180205,11.88,11.88,11.31,11.50,484606,0
20180206,11.00,11.54,11.00,11.18,674080,0
20180207,11.20,11.33,11.03,11.20,393854,0
20180208,11.20,11.35,10.85,10.88,624662,0
