DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.31,15.75,14.97,15.56,22788,0
20010103,16.06,17.00,15.66,16.22,29126,0
20010104,16.31,17.25,16.31,16.88,25412,0
20010105,17.00,17.13,15.50,16.56,66354,0
20010108,16.53,16.63,16.00,16.41,0,0
20010109,16.63,16.66,15.72,16.13,0,0
20010110,16.06,16.72,16.06,16.69,20144,0
20010111,16.44,16.66,16.31,16.59,13636,0
20010112,16.63,16.63,16.25,16.50,0,0
20010115,16.50,16.50,16.50,16.50,0,0
20010116,16.38,17.06,16.28,17.03,10728,0
20010117,17.38,17.38,16.84,17.09,12416,0
20010118,16.97,17.25,16.81,16.88,19154,0
20010119,16.69,16.78,15.75,16.13,16974,0
20010122,16.13,16.13,16.13,16.13,0,0
20010123,16.19,16.25,15.88,15.97,13218,0
20010124,16.00,16.03,15.63,15.97,13468,0
20010125,16.25,16.38,16.03,16.16,21932,0
20010126,16.19,16.19,15.13,15.44,53368,0
20010129,16.72,16.81,15.58,16.11,0,0
20010130,14.50,16.98,14.50,16.06,6967200,0
20010131,15.82,16.73,15.77,15.91,24113000,0
20010201,16.02,16.15,15.70,15.85,2506400,0
20010202,15.98,16.05,15.80,15.87,0,0
20010205,15.70,15.75,15.57,15.63,1489800,0
20010206,15.75,15.98,15.55,15.90,1930600,0
20010207,15.85,16.17,15.70,15.76,1774600,0
20010208,15.75,15.77,15.58,15.64,10677000,0
20010209,15.52,15.63,15.40,15.48,8624200,0
20010212,15.55,15.68,15.25,15.57,34802800,0
20010213,15.63,16.17,15.63,15.94,16726400,0
20010214,16.15,16.15,15.63,15.98,611000,0
20010215,18.00,18.70,17.95,18.51,36753000,0
20010216,18.20,18.27,17.95,18.18,16559200,0
20010219,18.18,18.18,18.18,18.18,0,0
20010220,18.20,18.70,18.20,18.25,5435200,0
20010221,18.30,18.59,17.98,17.99,1803800,0
20010222,17.95,18.45,17.90,18.31,20964400,0
20010223,18.31,18.50,17.88,18.38,122000000,0
20010226,18.50,18.91,18.49,18.77,1265600,0
20010227,18.83,19.63,18.83,19.06,3278200,0
20010228,19.20,19.75,19.15,19.58,1911000,0
20010301,19.52,19.53,18.88,19.17,1372200,0
20010302,19.16,19.80,19.00,19.50,1062200,0
20010305,19.50,19.88,19.02,19.80,1794400,0
20010306,19.80,20.02,19.65,19.81,2248600,0
20010307,19.81,20.33,19.81,20.17,8616000,0
