DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.99,27.99,26.29,26.40,0,0
20010103,26.55,27.44,26.50,27.06,41600,0
20010104,27.00,27.25,26.76,27.25,31200,0
20010105,27.15,27.15,26.04,26.04,0,0
20010108,26.20,26.37,24.90,25.35,0,0
20010109,25.85,26.00,25.69,26.00,0,0
20010110,26.05,26.56,26.00,26.56,20000,0
20010111,26.45,26.63,26.45,26.63,29700,0
20010112,26.50,26.55,26.25,26.35,33100,0
20010115,26.35,26.35,26.35,26.35,0,0
20010116,26.34,28.50,26.25,28.50,0,0
20010117,28.20,28.20,26.99,27.00,0,0
20010118,26.95,27.05,25.25,25.30,64400,0
20010119,25.25,25.60,25.06,25.06,0,0
20010122,25.06,25.06,25.06,25.06,0,0
20010123,24.90,25.15,23.80,24.15,0,0
20010124,24.15,24.15,23.30,23.75,0,0
20010125,23.84,23.85,22.87,23.13,0,0
20010126,23.20,23.25,22.61,23.00,0,0
20010129,25.34,25.44,24.56,25.16,0,0
20010130,24.00,26.19,24.00,25.94,0,0
20010131,24.50,25.00,24.50,24.65,0,0
20010201,24.60,25.25,24.50,24.95,25000,0
20010202,25.20,25.39,23.95,23.95,0,0
20010205,24.05,26.50,24.05,26.24,0,0
20010206,26.24,27.99,26.00,27.68,75100,0
20010207,27.48,28.26,27.23,27.98,159700,0
20010208,27.98,28.21,27.85,27.90,0,0
20010209,27.75,29.00,27.70,28.11,81300,0
20010212,28.00,28.00,27.60,27.75,37900,0
20010213,27.59,27.89,27.26,27.26,30200,0
20010214,27.26,27.26,26.91,26.91,0,0
20010215,27.04,27.17,26.95,27.13,43900,0
20010216,27.00,29.00,26.50,28.26,109300,0
20010219,28.26,28.26,28.26,28.26,0,0
20010220,27.85,27.99,26.77,26.77,46700,0
20010221,26.85,27.13,26.20,26.97,28100,0
20010222,27.15,27.15,26.33,26.39,51300,0
20010223,26.32,26.32,25.60,26.15,18200,0
20010226,26.40,26.98,26.00,26.00,15000,0
20010227,26.12,26.15,24.85,25.29,43400,0
20010228,25.30,26.00,25.26,25.90,21900,0
20010301,26.05,26.20,25.85,25.95,29800,0
20010302,25.90,26.85,25.85,25.85,48200,0
20010305,26.00,26.09,25.90,25.95,18600,0
20010306,25.98,26.05,25.61,25.70,13300,0
20010307,25.81,25.95,25.57,25.62,13000,0
20010308,25.70,25.75,25.23,25.26,10800,0
20010309,25.10,25.55,25.10,25.20,29600,0
20010312,25.45,25.45,25.24,25.27,12700,0
20010313,25.20,25.48,25.10,25.30,41800,0
20010314,25.35,25.58,24.85,24.85,23100,0
20010315,25.05,25.39,24.90,25.37,26300,0
20010316,25.50,25.74,25.50,25.60,57500,0
20010319,25.60,25.77,25.05,25.77,15200,0
20010320,25.70,26.33,25.70,25.87,16700,0
20010321,25.87,25.87,25.44,25.44,11600,0
20010322,25.34,26.25,25.10,26.12,24300,0
20010323,26.16,26.26,25.80,26.08,20900,0
20010326,26.00,26.10,25.93,26.00,7600,0
20010327,25.95,26.35,25.92,26.30,20900,0
20010328,26.10,26.31,25.99,26.02,34600,0
20010329,26.00,26.25,25.72,25.99,33400,0
20010330,25.99,26.20,25.51,26.20,37400,0
20010402,26.14,26.25,25.28,25.28,39500,0
20010403,25.18,25.85,24.50,25.76,21800,0
20010404,25.55,25.90,25.55,25.65,12500,0
20010405,25.74,26.35,25.70,26.35,9900,0
20010406,26.20,26.35,26.10,26.30,17800,0
20010409,26.35,26.35,25.10,25.50,3000000,0
20010410,25.50,26.16,25.50,25.80,11500,0
20010411,25.95,25.95,25.40,25.70,8900,0
20010412,25.50,25.99,25.50,25.99,16100,0
20010416,25.85,26.00,24.90,25.91,22400,0
20010417,25.90,25.98,25.75,25.80,11100,0
20010418,25.99,26.34,25.99,26.00,30100,0
20010419,26.00,26.20,26.00,26.10,14300,0
20010420,26.05,26.06,25.60,25.77,16900,0
20010423,25.52,25.65,25.04,25.05,20900,0
20010424,25.11,25.25,25.05,25.18,10700,0
20010425,25.21,26.10,25.21,26.09,16100,0
20010426,26.15,26.19,26.00,26.15,11400,0
20010427,26.20,26.35,26.15,26.35,20300,0
20010430,26.35,26.35,26.16,26.16,1008200,0
20010501,26.16,26.25,25.81,25.98,10600,0
20010502,25.90,26.35,25.90,26.25,7200,0
20010503,26.15,26.35,26.12,26.35,17100,0
20010504,26.31,27.35,26.25,27.35,46700,0
20010507,27.40,27.77,27.06,27.07,28200,0
20010508,27.00,27.00,26.46,26.60,15600,0
20010509,26.57,26.74,26.57,26.65,48400,0
20010510,26.64,26.64,26.17,26.17,31100,0
20010511,26.17,26.25,25.83,26.00,12300,0
20010514,26.12,26.35,26.12,26.27,10300,0
20010515,26.26,26.49,26.15,26.49,10100,0
20010516,26.25,26.85,26.25,26.76,21400,0
20010517,26.65,26.72,25.87,26.10,30100,0
20010518,26.00,26.00,25.85,25.93,9500,0
20010521,25.89,25.91,25.50,25.91,38200,0
20010522,25.90,25.90,25.50,25.70,13400,0
20010523,25.90,25.90,25.65,25.66,11500,0
20010524,25.75,25.88,25.71,25.82,20800,0
20010525,25.82,25.82,25.65,25.70,15000,0
20010528,25.70,25.70,25.70,25.70,0,0
20010529,25.65,25.75,25.55,25.64,23800,0
20010530,25.60,25.65,25.24,25.24,48000,0
20010531,25.45,25.50,24.93,25.02,31100,0
20010601,25.02,25.50,25.01,25.45,20600,0
20010604,25.50,26.00,25.35,26.00,33600,0
20010605,26.00,26.10,25.85,26.02,12600,0
20010606,26.02,26.10,25.55,25.95,20600,0
20010607,25.94,25.94,25.55,25.75,11000,0
20010608,25.79,25.79,25.35,25.46,10100,0
20010611,25.37,25.37,24.82,24.86,10100,0
20010612,24.80,24.85,23.91,24.39,25200,0
20010613,24.47,24.95,24.47,24.72,8400,0
20010614,24.72,24.72,24.30,24.31,22300,0
20010615,24.25,24.68,24.25,24.48,30600,0
20010618,24.60,24.65,24.40,24.45,8300,0
20010619,24.55,24.97,24.52,24.96,12046200,0
20010620,24.85,26.00,24.75,26.00,46300,0
20010621,26.00,26.00,25.88,25.99,23200,0
20010622,25.99,25.99,25.56,25.67,19700,0
20010625,25.90,25.99,24.80,24.80,18800,0
20010626,24.65,25.45,24.65,25.36,25500,0
20010627,25.50,26.00,25.50,25.99,29100,0
20010628,25.85,26.00,25.80,25.99,29300,0
20010629,26.00,26.00,25.92,26.00,44300,0
20010702,26.15,26.50,25.92,25.99,21500,0
20010703,26.00,26.20,25.80,25.80,12400,0
20010704,25.80,25.80,25.80,25.80,0,0
20010705,25.60,26.24,25.60,26.04,14600,0
20010706,25.95,26.00,25.41,25.41,14800,0
20010709,25.20,25.85,25.10,25.53,26500,0
20010710,25.53,26.38,25.23,25.30,18900,0
20010711,25.28,25.55,25.21,25.44,19500,0
20010712,25.50,26.35,25.50,26.25,45000,0
20010713,26.39,26.39,26.16,26.25,59100,0
20010716,26.15,26.68,26.11,26.11,13000,0
20010717,26.12,26.83,26.11,26.83,18600,0
20010718,26.75,27.25,26.45,26.55,24500,0
20010719,26.45,27.24,26.45,26.73,14300,0
20010720,26.73,27.24,26.73,27.10,31600,0
20010723,27.23,27.25,26.95,27.00,13800,0
20010724,27.00,27.25,26.33,26.48,17100,0
20010725,26.60,26.60,25.62,26.31,27500,0
20010726,26.40,27.49,26.35,27.49,17800,0
20010727,27.55,27.55,27.06,27.15,9200,0
20010730,27.19,27.20,26.80,27.19,15600,0
20010731,27.25,27.73,26.98,27.15,16500,0
20010801,27.20,27.20,27.05,27.16,20600,0
20010802,27.10,27.20,27.05,27.14,14400,0
20010803,27.20,27.20,27.00,27.12,31900,0
20010806,27.12,27.35,26.35,26.70,12900,0
20010807,26.65,27.17,26.65,27.04,36100,0
20010808,27.05,27.35,26.99,27.00,22200,0
20010809,27.00,27.10,26.90,27.08,20700,0
20010810,27.08,27.10,26.80,27.03,37200,0
20010813,27.00,27.00,26.60,26.89,19400,0
20010814,26.89,27.00,26.85,26.95,23200,0
20010815,26.95,27.00,26.70,27.00,16300,0
20010816,27.00,27.35,26.90,27.15,20400,0
20010817,27.00,27.25,26.75,26.75,18800,0
20010820,26.90,27.30,26.81,27.20,26500,0
20010821,27.25,27.30,26.90,26.90,12100,0
