DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.50,27.94,27.38,27.38,0,0
20010103,27.38,28.44,27.38,28.25,2496,0
20010104,28.25,29.50,28.13,28.81,3064,0
20010105,28.75,29.00,27.81,27.88,3403,0
20010108,28.13,28.38,27.88,28.06,53633,0
20010109,28.06,28.44,28.00,28.38,1543,0
20010110,28.06,28.13,27.31,27.69,1229,0
20010111,27.94,28.44,27.69,28.31,0,0
20010112,28.31,28.38,27.81,28.25,1748,0
20010115,28.25,28.25,28.25,28.25,0,0
20010116,28.13,28.56,27.94,28.38,0,0
20010117,28.63,29.56,28.63,29.19,0,0
20010118,29.31,29.44,28.69,28.69,0,0
20010119,28.69,29.38,28.69,28.75,12394,0
20010122,28.75,28.75,28.75,28.75,0,0
20010123,28.56,28.81,28.06,28.38,1646,0
20010124,28.38,28.63,28.06,28.19,0,0
20010125,28.25,28.88,28.25,28.25,1707,0
20010126,28.38,28.75,27.88,28.56,1138,0
20010129,31.09,31.09,29.00,30.28,60221,0
20010130,30.31,31.03,29.00,29.22,0,0
20010131,29.07,29.90,29.07,29.51,0,0
20010201,30.75,30.75,29.59,30.05,2212200,0
20010202,30.50,30.95,30.25,30.51,0,0
20010205,30.51,30.90,30.40,30.47,2238900,0
20010206,30.50,30.75,30.35,30.50,254900,0
20010207,30.50,30.55,30.02,30.08,175100,0
20010208,30.10,30.15,29.20,30.00,0,0
20010209,30.20,30.25,29.70,30.05,164400,0
20010212,30.22,30.80,30.15,30.66,0,0
20010213,30.75,30.99,30.50,30.73,177000,0
20010214,30.74,30.91,30.06,30.15,0,0
20010215,30.35,30.55,30.24,30.45,0,0
20010216,30.50,30.55,29.65,29.69,0,0
20010219,29.69,29.69,29.69,29.69,0,0
20010220,29.46,30.19,29.10,29.96,3236900,0
20010221,30.20,30.20,29.25,29.35,137300,0
20010222,29.40,29.65,28.64,28.86,173300,0
20010223,28.95,28.95,27.89,28.87,171500,0
20010226,28.95,29.00,28.45,28.92,111200,0
20010227,28.95,29.02,28.70,28.75,259600,0
20010228,28.90,29.10,28.05,28.30,2157000,0
20010301,28.25,29.00,28.24,28.63,114600,0
20010302,28.60,30.00,28.60,29.35,129700,0
20010305,29.28,30.37,29.15,29.98,151600,0
20010306,30.20,30.70,30.00,30.45,1119900,0
20010307,30.23,30.72,30.07,30.52,102100,0
20010308,30.50,30.75,29.81,30.75,171200,0
20010309,30.75,30.85,29.65,30.00,3192500,0
20010312,30.00,30.00,29.00,29.00,4175200,0
20010313,29.10,29.10,27.80,28.65,195500,0
20010314,28.06,28.15,27.85,28.00,1156700,0
20010315,28.50,29.06,28.19,28.70,1140700,0
20010316,28.99,29.05,28.28,28.36,267700,0
20010319,28.36,28.95,28.30,28.66,16000000,0
20010320,28.75,29.86,28.60,29.20,4225400,0
20010321,29.20,29.20,28.30,28.56,206100,0
20010322,28.56,29.15,27.87,29.11,324200,0
20010323,29.19,29.40,28.70,28.95,245700,0
20010326,28.90,29.20,28.40,28.40,136300,0
20010327,28.65,28.65,28.20,28.53,193100,0
20010328,28.53,28.53,27.70,28.21,154900,0
20010329,28.35,29.05,28.15,28.36,131100,0
20010330,28.36,29.41,28.30,29.12,4149200,0
20010402,29.55,29.76,28.77,28.95,141800,0
20010403,28.93,28.93,28.10,28.23,139200,0
20010404,28.25,29.15,28.25,28.88,131800,0
20010405,28.88,29.97,28.88,29.95,91500,0
20010406,29.90,30.05,28.85,28.93,5191000,0
20010409,29.15,29.90,28.95,29.81,174900,0
20010410,29.87,30.09,29.55,30.03,197200,0
20010411,30.06,30.06,28.94,29.02,75900,0
20010412,29.20,29.90,29.15,29.79,81700,0
20010416,29.54,29.85,29.40,29.66,220800,0
20010417,29.50,29.99,29.30,29.88,146700,0
20010418,29.95,31.30,29.81,30.93,354300,0
20010419,30.00,30.80,30.00,30.73,104400,0
20010420,30.49,30.50,29.55,30.29,156600,0
20010423,30.15,30.48,29.99,30.38,118500,0
20010424,29.70,30.20,28.90,29.82,1198100,0
20010425,29.05,29.40,28.70,29.00,349200,0
20010426,29.00,29.45,28.49,29.20,296700,0
20010427,29.10,29.59,28.55,29.36,168400,0
20010430,29.36,29.70,28.83,29.02,164700,0
20010501,29.10,29.40,28.76,29.34,130100,0
20010502,29.30,29.80,28.85,29.53,247900,0
20010503,29.45,29.45,28.78,29.02,152300,0
20010504,29.00,29.52,28.70,29.49,115900,0
20010507,29.60,30.00,29.53,29.55,123700,0
20010508,29.50,29.70,29.50,29.57,165700,0
20010509,29.37,29.55,29.11,29.15,137200,0
20010510,29.15,29.60,28.83,29.13,206800,0
20010511,29.35,29.48,29.07,29.26,118400,0
20010514,29.20,29.20,28.74,28.80,1072200,0
20010515,29.05,29.05,28.65,28.84,142800,0
20010516,28.62,30.35,28.54,30.29,297500,0
20010517,30.10,30.52,29.68,29.83,145100,0
20010518,29.83,29.83,29.30,29.52,242500,0
20010521,29.45,29.56,29.20,29.40,161600,0
20010522,29.50,29.90,29.36,29.40,244100,0
20010523,29.46,29.56,29.05,29.05,241100,0
20010524,29.00,29.35,28.91,29.17,135900,0
20010525,29.15,29.37,29.02,29.02,100500,0
20010528,29.02,29.02,29.02,29.02,0,0
20010529,29.02,29.49,29.02,29.16,119500,0
20010530,29.16,29.50,28.51,28.65,131500,0
20010531,28.80,29.22,28.55,28.80,111400,0
20010601,28.85,29.22,28.41,29.07,146300,0
20010604,29.07,29.24,28.80,29.01,139500,0
20010605,29.01,29.96,29.01,29.90,121000,0
20010606,29.70,30.00,29.43,29.65,1109800,0
20010607,29.65,29.90,29.05,29.50,104500,0
20010608,29.50,29.70,29.16,29.50,1137000,0
20010611,29.55,29.55,28.90,28.97,85100,0
20010612,28.99,29.00,28.48,28.97,184600,0
20010613,28.97,29.50,28.90,29.08,50200,0
20010614,29.15,29.15,28.51,28.66,88600,0
20010615,28.60,28.95,28.41,28.61,212100,0
20010618,27.51,27.51,26.69,26.90,295000,0
20010619,26.70,26.71,25.53,26.24,316900,0
20010620,26.25,26.25,25.96,26.22,219500,0
20010621,26.17,26.26,25.99,26.23,1189200,0
20010622,26.23,26.36,25.68,25.73,154800,0
20010625,25.65,26.05,25.19,25.19,190600,0
20010626,25.05,25.05,24.50,24.77,1469600,0
20010627,24.95,25.23,24.65,24.92,327600,0
20010628,24.95,25.20,24.65,24.80,1199400,0
20010629,24.70,25.04,24.15,24.27,1416200,0
20010702,24.21,24.63,24.17,24.38,288000,0
20010703,24.45,24.70,24.20,24.48,217300,0
20010704,24.48,24.48,24.48,24.48,0,0
20010705,24.55,24.85,24.35,24.55,1129500,0
20010706,24.55,24.60,24.42,24.47,243900,0
20010709,24.58,24.94,24.22,24.69,201600,0
20010710,24.60,24.71,24.28,24.28,123400,0
20010711,24.28,24.59,24.11,24.45,1248700,0
20010712,24.45,25.31,24.45,25.30,304600,0
