DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,9.5313,9.5313,8.4063,8.9375,638000,0
20010103,9.0000,9.5938,8.7656,9.5156,1158800,0
20010104,9.4688,9.4688,8.7813,8.8281,818000,0
20010105,8.7813,8.9688,8.5469,8.7188,339200,0
20010108,8.7813,8.7813,8.5313,8.5938,236400,0
20010109,8.5000,8.5938,7.3125,7.4688,1309600,0
20010110,7.4375,7.8125,6.5156,7.7656,2799200,0
20010111,7.9219,8.6250,7.8438,8.5938,1009200,0
20010112,8.5781,8.5859,8.1875,8.1875,1096800,0
20010115,8.1875,8.1875,8.1875,8.1875,0,0
20010116,8.2813,9.0000,8.0781,9.0000,904400,0
20010117,8.8125,8.8125,8.0469,8.3906,1105600,0
20010118,8.2656,8.3125,7.5938,7.6250,670400,0
20010119,7.7578,7.8750,7.3438,7.5313,474400,0
20010122,7.6250,7.7188,7.3125,7.3125,254000,0
20010123,7.2188,7.3438,7.1563,7.1875,832400,0
20010124,7.1563,7.3906,7.1563,7.1563,343200,0
20010125,7.1250,7.3906,6.6250,7.3906,1415200,0
20010126,7.2188,8.1875,7.2188,8.0000,1655600,0
20010129,8.0938,8.2500,7.6094,7.9688,620000,0
20010130,7.8750,8.0156,7.8750,7.9844,535200,0
20010131,8.0000,8.2500,7.8750,8.1094,2207600,0
20010201,8.1094,8.1094,7.7813,8.0938,263600,0
20010202,7.8125,8.1094,7.7344,7.7344,103200,0
20010205,7.7500,8.2500,7.7500,8.1484,158800,0
20010206,8.0938,8.2500,7.5781,7.6016,227200,0
20010207,7.5781,8.5625,7.3906,8.3750,358800,0
20010208,8.3750,8.4531,8.2500,8.2813,714800,0
20010209,8.2813,8.2813,7.8750,7.9063,141200,0
20010212,8.1250,8.2813,7.9063,8.2344,40000000,0
20010213,8.2031,8.6563,8.2031,8.4688,326800,0
20010214,8.1406,8.3438,8.1406,8.2813,82000,0
20010215,8.3125,8.7188,8.3125,8.4063,420400,0
20010216,8.3438,8.7344,8.2813,8.7188,221600,0
20010219,8.7188,8.7188,8.7188,8.7188,0,0
20010220,8.6875,8.9375,8.6094,8.7188,264400,0
20010221,8.7734,9.8438,8.7344,9.6406,1222000,0
20010222,9.5313,9.7500,9.1719,9.6875,423600,0
20010223,9.4688,9.8438,9.4063,9.8438,1004000,0
20010226,9.8594,10.0625,9.7813,9.8438,1579200,0
20010227,9.8906,10.1719,8.9688,9.0000,1648800,0
20010228,9.0078,9.9219,8.8125,9.8125,760800,0
20010301,9.7500,9.9688,9.3750,9.8438,908800,0
20010302,9.7188,10.1406,9.6563,10.1250,597200,0
20010305,10.1094,10.1563,9.6719,9.7656,709600,0
20010306,9.8906,9.9219,9.4375,9.5625,466800,0
20010307,9.5078,9.6563,9.3125,9.6406,140800,0
20010308,9.4063,9.6875,9.4063,9.5859,98400,0
20010309,9.4375,9.9219,9.4375,9.8438,724800,0
20010312,9.8906,9.9063,9.5469,9.6094,381200,0
20010313,9.4688,9.4688,9.1250,9.2813,1296800,0
20010314,9.0938,9.3750,8.8750,8.9844,819200,0
20010315,9.2656,9.2656,8.9375,9.2031,692800,0
20010316,9.0469,9.3438,9.0000,9.2344,628000,0
20010319,9.2500,9.5938,9.2500,9.5625,3809200,0
20010320,9.5156,9.8750,9.5000,9.6250,2684800,0
20010321,9.7344,10.2188,9.6250,10.1563,1693200,0
20010322,10.1719,10.3594,9.3750,9.8438,1864400,0
20010323,9.7188,10.1406,9.7188,9.9688,557200,0
20010326,10.0234,11.2188,9.9844,11.1250,2618400,0
20010327,11.3050,11.7200,11.0000,11.1250,1872000,0
20010328,11.1025,11.2025,10.3750,10.3750,1510400,0
20010329,10.4525,11.1250,10.3600,10.8750,1388800,0
20010330,11.0225,11.1725,10.7025,11.1575,1380400,0
20010402,11.5325,11.5475,11.1400,11.2825,1115200,0
20010403,11.2025,11.2200,10.5000,10.6250,370000,0
20010404,10.4700,11.0625,10.4375,11.0000,913200,0
20010405,11.1100,11.6250,10.9850,11.5000,1202400,0
20010406,11.4700,11.5325,11.1575,11.2500,791600,0
20010409,11.4225,11.8500,11.2550,11.8125,846800,0
20010410,11.8500,12.2750,11.7750,11.8625,1415600,0
