DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,11.9100,12.0900,11.5800,12.0900,2097900,0
20030501,12.0300,12.3000,11.9500,12.2500,1312200,0
20030502,12.1800,12.3200,11.8500,12.2900,1900900,0
20030505,12.2300,12.5800,12.2000,12.5400,2176000,0
20030506,12.2500,12.5400,12.2500,12.5000,758600,0
20030507,12.4200,12.8000,12.4000,12.7000,990300,0
20030508,12.6000,12.7500,12.5000,12.7200,815300,0
20030509,12.7500,12.7700,12.4500,12.5900,1157400,0
20030512,12.5000,13.4500,12.2500,13.3600,3123000,0
20030513,13.3000,14.2200,13.2500,13.9300,4718700,0
20030514,13.9700,14.0000,13.3600,13.6500,1354100,0
20030515,13.6500,13.7500,13.1600,13.4000,797300,0
20030516,13.3300,13.5500,12.8300,13.5500,1493800,0
20030519,13.4500,13.5800,13.3000,13.3500,1102300,0
20030520,13.3000,13.3500,12.8800,13.1000,2152900,0
20030521,13.0000,13.5700,13.0000,13.2800,930600,0
20030522,13.1800,13.4900,13.1500,13.4300,1116600,0
20030523,13.4300,13.6400,13.3000,13.3200,1287900,0
20030527,13.4200,14.0400,13.3300,13.9500,2212300,0
20030528,13.8500,15.0100,13.7800,14.8500,3516100,0
20030529,15.3000,15.9000,15.1100,15.1500,5121900,0
20030530,15.4000,15.4600,14.6000,15.1500,2475700,0
20030602,15.5000,15.7500,15.4800,15.5400,1695100,0
20030603,15.0000,15.2000,14.6000,14.8600,2191600,0
20030604,14.9600,15.1400,14.5900,14.9700,2222300,0
20030605,14.9700,16.0400,14.7600,15.9700,2316800,0
20030606,15.9700,16.5300,15.3000,15.4000,3287000,0
20030609,14.5000,15.3800,14.5000,15.3500,4232800,0
20030610,15.3800,15.6000,14.8500,15.0200,4167600,0
20030611,14.9200,15.4000,14.8600,15.2500,2929900,0
20030612,15.1800,15.6000,15.0000,15.6000,2549600,0
20030613,15.7300,16.0000,15.4000,15.9600,2168700,0
20030616,16.0000,17.1000,15.7800,17.0000,3809400,0
20030617,17.3500,18.0000,17.2500,17.2500,5949600,0
20030618,17.2500,17.6200,17.1000,17.6200,2986600,0
20030619,17.5500,17.9000,17.2300,17.3400,4029900,0
20030620,17.3900,17.6200,17.1600,17.3100,1869100,0
20030623,17.1500,17.3000,16.6200,16.9700,1968000,0
20030624,16.9300,17.0400,16.5900,16.8500,1435300,0
20030625,16.7500,17.4500,16.7500,17.2400,1392400,0
20030626,17.1500,18.3900,17.1400,18.3800,3683100,0
20030627,18.3900,18.4900,18.0200,18.1800,2618200,0
20030630,17.7500,18.1500,17.6000,17.6500,3030600,0
20030701,17.6500,18.1900,17.4500,18.1900,2752100,0
20030702,18.1900,19.9900,18.1900,19.6200,4669600,0
20030703,19.4000,19.6300,19.0000,19.5000,2010300,0
20030707,19.9000,20.4700,19.7600,20.3500,2287100,0
20030708,20.3400,20.5000,20.0200,20.4400,2139300,0
20030709,20.3800,20.3900,19.9500,20.2300,3511700,0
20030710,20.0500,20.1500,19.6200,19.8000,2334100,0
20030711,19.8200,20.3500,19.8200,20.3500,772300,0
20030714,20.5000,21.2000,20.5000,21.0000,2268000,0
20030715,21.1500,21.5000,20.4000,20.6500,3263400,0
20030716,21.1900,22.2600,20.7900,21.5600,6581500,0
20030717,21.3500,21.4500,20.9300,21.0200,3202400,0
20030718,20.6000,20.7000,20.0000,20.0300,5026000,0
20030721,19.7000,19.8000,19.3500,19.7500,3295000,0
20030722,19.8500,20.0000,19.7700,19.9200,3103400,0
20030723,20.0000,20.0000,19.3500,19.5000,5494300,0
20030724,19.5000,19.5500,18.9100,18.9300,8418000,0
20030725,18.7500,19.0700,18.6700,18.8900,20462400,0
20030728,20.4800,20.4800,19.0200,20.4800,6768600,0
20030729,20.2500,20.6800,19.8700,20.5000,3675800,0
20030730,20.5000,20.8600,20.2100,20.8600,2898300,0
20030731,20.9000,21.9300,20.7200,21.8000,4230900,0
20030801,21.7800,21.7900,21.0500,21.1800,2013700,0
20030804,20.7500,21.2100,20.1300,21.0500,3195700,0
20030805,21.0200,21.5000,20.9000,21.0000,2491200,0
20030806,21.0100,21.8300,21.0100,21.6400,3584700,0
20030807,21.4500,21.6300,20.9200,21.4700,2566500,0
20030808,21.4700,21.8600,21.2500,21.8000,2030700,0
20030811,22.1500,22.7000,22.0000,22.1700,3732800,0
20030812,22.2500,22.4000,21.7200,22.3000,1907800,0
20030813,22.3000,22.5500,21.6800,21.7000,2248700,0
20030814,21.5000,21.5000,20.2400,20.7000,9273500,0
20030815,20.7000,20.7400,20.3500,20.7000,1899500,0
20030818,20.8200,21.5000,20.8200,21.4500,3658900,0
