DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,31.00,31.13,30.50,30.75,0,0
20010103,30.75,31.00,29.63,30.81,33921,0
20010104,31.06,31.63,30.75,31.00,7883,0
20010105,31.25,31.75,30.38,30.44,61918,0
20010108,30.56,31.13,29.69,29.75,3811,0
20010109,29.63,30.25,29.19,29.94,0,0
20010110,29.69,30.00,29.38,29.81,1319,0
20010111,29.00,30.06,28.75,29.94,5370,0
20010112,30.06,30.06,28.44,29.88,0,0
20010115,29.88,29.88,29.88,29.88,0,0
20010116,29.56,30.50,29.56,29.94,7203,0
20010117,30.19,30.44,29.94,29.94,3785,0
20010118,30.25,30.25,29.06,29.56,11627,0
20010119,29.00,29.50,28.25,28.88,2832,0
20010122,28.88,28.88,28.88,28.88,0,0
20010123,28.75,28.94,28.06,28.50,2219,0
20010124,28.88,30.13,28.69,30.00,5386,0
20010125,30.25,30.75,30.13,30.56,9650,0
20010126,33.00,33.00,32.13,32.38,95653,0
20010129,33.06,35.09,33.00,33.69,734700,0
20010130,33.91,35.09,33.00,33.00,478500,0
20010131,34.00,34.95,33.06,34.32,574900,0
20010201,34.08,34.08,33.30,33.69,158500,0
20010202,33.69,34.55,33.10,33.40,284900,0
20010205,33.65,34.30,33.65,34.10,236900,0
20010206,34.25,34.65,34.11,34.36,0,0
20010207,34.16,34.35,33.80,34.28,356400,0
20010208,34.60,35.52,34.50,35.30,2430100,0
20010209,35.30,35.33,33.50,34.33,936100,0
20010212,34.35,35.48,34.35,34.80,3220600,0
20010213,35.00,36.34,35.00,35.92,306000,0
20010214,35.82,36.70,35.75,35.90,392100,0
20010215,36.69,36.98,36.00,36.88,313900,0
20010216,36.85,36.85,35.70,36.07,210900,0
20010219,36.07,36.07,36.07,36.07,0,0
20010220,35.85,37.00,35.85,36.46,298800,0
20010221,36.71,36.85,36.00,36.49,254900,0
20010222,36.00,36.01,34.85,35.21,763200,0
20010223,35.00,35.12,33.67,34.32,3281000,0
20010226,34.19,35.70,34.19,35.38,4209000,0
20010227,35.13,36.10,35.10,35.95,379000,0
20010228,35.96,35.96,34.50,34.88,2325100,0
20010301,34.60,35.25,34.32,35.14,218600,0
20010302,35.14,37.00,35.01,36.47,1240300,0
20010305,36.19,38.30,36.10,37.17,346300,0
20010306,37.37,38.05,37.20,37.30,121500,0
20010307,37.51,37.90,37.51,37.57,206300,0
20010308,37.56,38.35,36.82,38.00,658200,0
20010309,38.10,38.20,36.95,37.11,236100,0
20010312,37.31,37.60,36.65,36.70,194300,0
20010313,35.60,36.40,34.25,35.87,11606100,0
20010314,35.87,35.87,34.65,34.97,254400,0
20010315,35.20,35.20,33.99,34.00,6461400,0
20010316,33.82,33.82,32.54,32.57,775700,0
20010319,32.50,34.12,32.49,33.41,2194000,0
20010320,33.21,34.35,33.05,33.85,292300,0
20010321,35.00,35.00,32.90,33.06,344900,0
20010322,32.75,32.75,30.80,32.25,536200,0
20010323,32.15,33.00,31.70,32.76,284700,0
20010326,33.10,33.70,32.80,33.49,127000,0
20010327,33.57,33.57,32.70,32.77,617300,0
20010328,32.27,32.60,31.66,32.40,282400,0
20010329,32.30,32.81,32.08,32.59,119500,0
20010330,32.30,33.05,31.90,32.95,163400,0
20010402,32.81,33.75,32.24,32.60,189500,0
20010403,32.51,32.51,31.60,31.70,2135000,0
20010404,31.75,32.58,31.73,32.17,1145400,0
20010405,33.25,34.00,32.93,33.94,125700,0
20010406,34.11,34.11,32.76,33.23,146900,0
20010409,33.00,34.20,32.96,33.05,264600,0
20010410,33.04,34.30,32.92,34.15,212000,0
20010411,33.90,34.10,32.55,32.85,2221700,0
20010412,32.77,33.20,32.49,33.06,145500,0
20010416,33.31,33.51,32.50,32.91,174700,0
20010417,32.85,33.13,32.49,32.65,243100,0
20010418,32.65,35.30,32.55,35.22,1462000,0
20010419,35.15,35.20,34.02,34.70,481600,0
20010420,34.50,34.52,33.53,34.07,412900,0
20010423,34.17,34.30,33.26,34.14,146000,0
20010424,33.60,34.15,33.01,33.90,263000,0
20010425,33.90,34.23,33.65,34.20,189500,0
20010426,34.00,35.05,34.00,34.77,137600,0
20010427,35.10,35.70,35.06,35.70,159400,0
20010430,35.95,36.65,35.76,36.25,421000,0
20010501,36.25,36.25,35.60,35.76,2302000,0
20010502,35.91,36.25,35.60,36.10,1214900,0
20010503,35.90,36.09,35.45,35.91,252800,0
20010504,35.25,36.09,34.94,36.09,4224600,0
20010507,36.07,36.24,35.49,35.54,30017200,0
20010508,35.54,35.74,35.30,35.38,249300,0
20010509,34.93,35.38,34.73,35.25,1200800,0
20010510,35.05,36.19,35.05,36.12,1249500,0
20010511,36.05,36.15,35.60,35.70,1135900,0
20010514,35.85,36.10,35.55,35.95,114500,0
20010515,35.98,36.43,35.92,36.40,214500,0
20010516,36.40,38.00,36.05,37.90,359500,0
20010517,37.90,38.15,37.66,37.82,115400,0
20010518,37.75,38.15,37.75,38.07,15000000,0
20010521,38.07,38.25,37.30,38.25,119200,0
20010522,38.25,38.39,37.34,37.66,98300,0
20010523,37.50,37.50,37.01,37.20,105700,0
20010524,36.95,37.32,36.50,37.20,110400,0
20010525,37.10,37.25,36.79,37.03,1082600,0
20010528,37.03,37.03,37.03,37.03,0,0
20010529,36.90,37.85,36.90,37.83,1145900,0
20010530,37.63,37.93,37.30,37.67,190800,0
20010531,37.45,38.00,37.45,38.00,229300,0
20010601,38.05,38.40,38.00,38.40,2201200,0
20010604,38.75,38.75,37.85,38.55,107900,0
20010605,38.70,39.59,38.50,39.50,2207700,0
20010606,39.25,39.25,38.75,38.78,147600,0
20010607,38.88,39.51,38.66,39.50,2177000,0
20010608,39.89,40.16,39.71,40.05,244400,0
20010611,40.05,40.40,40.05,40.35,5254300,0
20010612,40.35,40.35,39.91,40.10,12420400,0
20010613,40.00,40.35,39.55,40.01,2289800,0
20010614,40.41,40.41,39.55,39.57,2212900,0
20010615,39.25,40.01,38.95,40.01,419100,0
20010618,38.90,40.80,38.20,40.43,267000,0
20010619,40.20,40.60,40.10,40.40,236400,0
20010620,40.40,41.30,40.40,41.18,1814900,0
20010621,41.43,41.54,40.85,41.54,4387400,0
20010622,41.34,41.45,40.60,41.28,380000,0
20010625,41.08,41.25,40.21,40.56,150800,0
20010626,40.65,40.95,40.35,40.82,1200300,0
20010627,40.50,41.46,40.50,41.40,280600,0
20010628,41.55,41.85,41.50,41.65,286800,0
20010629,41.65,41.99,41.40,41.87,321900,0
20010702,41.88,42.15,41.43,41.87,326200,0
