DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,1.28,1.29,1.20,1.20,0,0
20010103,1.17,1.22,1.14,1.22,0,0
20010104,1.20,1.27,1.18,1.27,0,0
20010105,1.28,1.30,1.27,1.28,3640,0
20010108,1.30,1.30,1.25,1.25,0,0
20010109,1.22,1.23,1.22,1.22,2040,0
20010110,1.25,1.28,1.24,1.26,3728,0
20010111,1.27,1.28,1.24,1.24,1064,0
20010112,1.24,1.24,1.22,1.23,0,0
20010115,1.23,1.23,1.23,1.23,0,0
20010116,1.24,1.26,1.24,1.25,8112,0
20010117,1.23,1.28,1.23,1.28,5416,0
20010118,1.30,1.30,1.25,1.27,0,0
20010119,1.26,1.26,1.23,1.24,3776,0
20010122,1.24,1.24,1.24,1.24,0,0
20010123,1.22,1.23,1.14,1.16,3160,0
20010124,1.13,1.16,1.13,1.14,0,0
20010125,1.14,1.17,1.13,1.14,0,0
20010126,1.14,1.14,1.13,1.14,7768,0
20010129,1.27,1.27,1.21,1.21,0,0
20010130,1.22,1.25,1.22,1.23,0,0
20010131,1.17,1.17,1.14,1.14,0,0
20010201,1.14,1.15,1.10,1.10,0,0
20010202,1.11,1.15,1.11,1.14,0,0
20010205,1.13,1.17,1.13,1.17,70400,0
20010206,1.16,1.17,1.14,1.17,0,0
20010207,1.17,1.26,1.17,1.26,561600,0
20010208,1.26,1.31,1.26,1.27,0,0
20010209,1.21,1.28,1.21,1.28,199200,0
20010212,1.27,1.29,1.25,1.26,0,0
20010213,1.28,1.29,1.26,1.26,263200,0
20010214,1.24,1.26,1.20,1.25,0,0
20010215,1.28,1.29,1.25,1.25,1439200,0
20010216,1.26,1.26,1.25,1.25,146400,0
20010219,1.25,1.25,1.25,1.25,0,0
20010220,1.26,1.31,1.26,1.30,8343200,0
20010221,1.30,1.30,1.28,1.28,264800,0
20010222,1.28,1.28,1.27,1.28,365600,0
20010223,1.28,1.28,1.27,1.28,667200,0
20010226,1.31,1.35,1.29,1.32,1308000,0
20010227,1.33,1.34,1.30,1.30,336000,0
20010228,1.31,1.31,1.30,1.30,165600,0
20010301,1.30,1.32,1.30,1.31,146400,0
20010302,1.29,1.33,1.29,1.32,8117600,0
20010305,1.33,1.33,1.30,1.31,249600,0
20010306,1.31,1.33,1.31,1.31,397600,0
20010307,1.33,1.40,1.33,1.36,601600,0
20010308,1.38,1.39,1.36,1.38,220800,0
20010309,1.38,1.38,1.36,1.38,149600,0
20010312,1.38,1.39,1.26,1.26,947200,0
20010313,1.27,1.28,1.15,1.23,164000,0
20010314,1.22,1.24,1.19,1.24,542400,0
20010315,1.25,1.29,1.19,1.29,1243200,0
20010316,1.30,1.30,1.25,1.26,533600,0
20010319,1.27,1.29,1.26,1.28,253600,0
20010320,1.28,1.38,1.26,1.27,676000,0
20010321,1.26,1.27,1.20,1.21,329600,0
20010322,1.22,1.23,1.19,1.23,495200,0
20010323,1.24,1.25,1.23,1.25,376800,0
20010326,1.25,1.28,1.25,1.28,16274400,0
20010327,1.27,1.29,1.20,1.27,1441600,0
20010328,1.27,1.27,1.25,1.26,406400,0
20010329,1.27,1.27,1.21,1.21,393600,0
20010330,1.19,1.24,1.19,1.24,208800,0
20010402,1.24,1.27,1.20,1.25,8950400,0
20010403,1.25,1.25,1.25,1.25,160800,0
20010404,1.25,1.27,1.22,1.24,201600,0
20010405,1.25,1.25,1.23,1.24,434400,0
20010406,1.26,1.26,1.14,1.14,852000,0
20010409,1.14,1.17,1.13,1.13,1160000,0
20010410,1.10,1.14,1.10,1.13,604800,0
20010411,1.13,1.13,1.11,1.12,242400,0
20010412,1.10,1.14,1.10,1.14,740000,0
20010416,1.14,1.16,1.14,1.14,640800,0
20010417,1.14,1.19,1.14,1.19,248000,0
20010418,1.20,1.23,1.20,1.21,195200,0
20010419,1.21,1.24,1.21,1.24,338400,0
20010420,1.24,1.24,1.24,1.24,307200,0
20010423,1.34,1.34,1.28,1.34,613600,0
20010424,1.34,1.38,1.34,1.36,484800,0
20010425,1.38,1.39,1.35,1.37,424000,0
20010426,1.38,1.45,1.38,1.42,260000,0
20010427,1.43,1.73,1.43,1.58,1380000,0
20010430,1.63,1.66,1.63,1.64,1047200,0
20010501,1.66,1.69,1.49,1.63,1871200,0
20010502,1.63,1.63,1.59,1.62,792800,0
20010503,1.62,1.63,1.59,1.62,962400,0
20010504,1.63,1.64,1.60,1.63,694400,0
20010507,1.64,1.64,1.62,1.62,593600,0
20010508,1.62,1.63,1.62,1.62,418400,0
20010509,1.62,1.62,1.60,1.61,307200,0
20010510,1.61,1.64,1.60,1.63,168800,0
20010511,1.63,1.64,1.61,1.63,16417600,0
20010514,1.60,1.64,1.60,1.64,554400,0
20010515,1.64,1.81,1.63,1.79,819200,0
20010516,1.78,1.78,1.76,1.76,1012800,0
20010517,1.79,1.80,1.79,1.79,49005600,0
20010518,1.79,2.04,1.79,1.99,1267200,0
20010521,2.00,2.03,1.91,1.91,2236000,0
20010522,1.89,1.89,1.86,1.87,1087200,0
20010523,1.86,1.86,1.81,1.85,2424000,0
20010524,1.85,1.86,1.82,1.86,251200,0
20010525,1.86,2.03,1.84,1.98,1296000,0
20010528,1.98,1.98,1.98,1.98,0,0
20010529,1.98,1.98,1.92,1.94,17032800,0
20010530,1.95,1.95,1.91,1.93,17098400,0
20010531,1.93,1.94,1.91,1.92,25143200,0
20010601,1.92,1.92,1.81,1.91,816800,0
20010604,1.92,1.95,1.86,1.89,1300800,0
20010605,1.91,1.91,1.88,1.91,570400,0
20010606,1.90,1.90,1.81,1.85,760000,0
20010607,1.85,1.85,1.71,1.78,391200,0
20010608,1.74,1.78,1.74,1.75,583200,0
20010611,1.74,1.75,1.70,1.71,584800,0
20010612,1.70,1.74,1.70,1.74,250400,0
20010613,1.73,1.73,1.71,1.73,108000,0
20010614,1.73,1.73,1.70,1.72,216000,0
20010615,1.69,1.70,1.66,1.68,635200,0
20010618,1.69,1.69,1.56,1.60,80367200,0
20010619,1.58,1.60,1.57,1.57,332000,0
20010620,1.57,1.58,1.54,1.56,352000,0
20010621,1.55,1.56,1.40,1.40,1299200,0
20010622,1.44,1.49,1.35,1.41,9558400,0
20010625,1.42,1.43,1.41,1.42,564000,0
20010626,1.42,1.43,1.41,1.42,856800,0
20010627,1.42,1.42,1.39,1.42,202400,0
20010628,1.44,1.44,1.38,1.39,110400,0
20010629,1.38,1.49,1.38,1.49,991200,0
20010702,1.44,1.44,1.38,1.41,1128000,0
20010703,1.41,1.42,1.38,1.42,222400,0
20010704,1.42,1.42,1.42,1.42,0,0
20010705,1.41,1.42,1.39,1.41,212800,0
20010706,1.42,1.42,1.39,1.39,404800,0
20010709,1.38,1.39,1.37,1.37,421600,0
20010710,1.38,1.41,1.38,1.38,441600,0
20010711,1.38,1.40,1.38,1.38,626400,0
20010712,1.39,1.40,1.36,1.39,8739200,0
20010713,1.39,1.40,1.39,1.40,311200,0
20010716,1.39,1.41,1.38,1.38,380000,0
20010717,1.38,1.46,1.38,1.46,300000,0
20010718,1.46,1.46,1.44,1.45,552800,0
20010719,1.46,1.48,1.46,1.46,458400,0
20010720,1.39,1.45,1.39,1.45,359200,0
20010723,1.46,1.46,1.43,1.46,305600,0
20010724,1.47,1.51,1.45,1.49,602400,0
20010725,1.49,1.49,1.46,1.49,264800,0
20010726,1.56,1.59,1.53,1.57,409600,0
20010727,1.58,1.63,1.57,1.58,217600,0
20010730,1.60,1.60,1.55,1.58,157600,0
20010731,1.57,1.64,1.55,1.61,233600,0
20010801,1.61,1.65,1.59,1.60,219200,0
20010802,1.56,1.58,1.56,1.57,76800,0
20010803,1.59,1.59,1.47,1.52,518400,0
20010806,1.54,1.54,1.49,1.49,329600,0
20010807,1.49,1.54,1.45,1.50,354400,0
20010808,1.49,1.53,1.49,1.51,413600,0
20010809,1.51,1.51,1.41,1.48,16371200,0
20010810,1.46,1.49,1.46,1.48,16458400,0
20010813,1.48,1.48,1.44,1.47,263200,0
20010814,1.48,1.48,1.46,1.46,8184000,0
20010815,1.47,1.49,1.47,1.49,32504800,0
20010816,1.48,1.58,1.48,1.58,8579200,0
20010817,1.58,1.61,1.58,1.60,208000,0
20010820,1.60,1.63,1.57,1.63,626400,0
20010821,1.63,1.67,1.61,1.61,325600,0
20010822,1.63,1.69,1.62,1.69,236000,0
20010823,1.69,1.69,1.63,1.63,288800,0
20010824,1.64,1.65,1.59,1.64,384000,0
20010827,1.64,1.66,1.63,1.63,305600,0
20010828,1.64,1.64,1.61,1.61,336800,0
20010829,1.61,1.63,1.57,1.57,680800,0
20010830,1.59,1.61,1.56,1.57,152000,0
20010831,1.56,1.59,1.54,1.56,340800,0
20010903,1.56,1.56,1.56,1.56,0,0
20010904,1.58,1.59,1.49,1.49,342400,0
20010905,1.49,1.49,1.45,1.47,117600,0
20010906,1.48,1.50,1.45,1.46,56125600,0
20010907,1.46,1.46,1.44,1.46,385600,0
20010910,1.47,1.47,1.44,1.46,466400,0
20010911,1.46,1.46,1.46,1.46,0,0
20010917,1.44,1.49,1.42,1.46,185600,0
20010918,1.48,1.48,1.41,1.41,223200,0
20010919,1.41,1.41,1.36,1.38,707200,0
20010920,1.38,1.39,1.37,1.37,547200,0
20010921,1.37,1.39,1.31,1.38,280000,0
20010924,1.39,1.42,1.39,1.40,248800,0
20010925,1.40,1.40,1.38,1.38,8770400,0
20010926,1.37,1.39,1.36,1.36,392800,0
20010927,1.38,1.40,1.37,1.40,166400,0
20010928,1.41,1.48,1.41,1.48,8388800,0
20011001,1.48,1.50,1.48,1.49,24456000,0
20011002,1.50,1.51,1.48,1.50,8119200,0
20011003,1.49,1.49,1.45,1.47,298400,0
20011004,1.47,1.49,1.45,1.45,262400,0
20011005,1.45,1.46,1.38,1.45,232000,0
20011008,1.44,1.47,1.43,1.45,228000,0
20011009,1.44,1.44,1.40,1.40,410400,0
20011010,1.41,1.54,1.41,1.54,628800,0
20011011,1.55,1.56,1.54,1.56,851200,0
20011012,1.56,1.56,1.53,1.53,106400,0
20011015,1.59,1.63,1.54,1.56,515200,0
20011016,1.56,1.59,1.56,1.58,268000,0
20011017,1.58,1.59,1.56,1.56,324000,0
20011018,1.54,1.54,1.50,1.51,224800,0
20011019,1.51,1.56,1.51,1.56,192800,0
20011022,1.56,1.60,1.56,1.59,535200,0
20011023,1.59,1.59,1.55,1.55,180800,0
20011024,1.55,1.55,1.50,1.50,397600,0
20011025,1.50,1.50,1.49,1.50,301600,0
20011026,1.49,1.51,1.44,1.50,64619200,0
20011029,1.49,1.50,1.48,1.49,394400,0
20011030,1.49,1.50,1.48,1.48,710400,0
20011031,1.48,1.50,1.48,1.48,362400,0
20011101,1.47,1.52,1.45,1.49,265600,0
