DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,24.75,25.10,24.35,24.38,883200,0
20010103,24.45,24.89,24.45,24.63,4157800,0
20010104,24.63,24.67,22.90,23.20,2276000,0
20010105,23.20,23.20,22.63,22.84,1548800,0
20010108,22.45,23.05,22.45,22.67,1529200,0
20010109,22.92,23.57,22.80,22.97,964600,0
20010110,23.15,24.00,22.91,23.52,726600,0
20010111,23.40,24.25,23.35,23.67,0,0
20010112,23.67,23.68,22.89,22.89,936400,0
20010115,22.89,22.89,22.89,22.89,0,0
20010116,22.89,23.25,22.20,22.81,970600,0
20010117,22.92,23.11,22.91,23.03,816200,0
20010118,23.20,23.20,22.10,22.10,1220200,0
20010119,22.10,22.19,21.90,22.06,1092000,0
20010122,22.06,22.06,22.06,22.06,0,0
20010123,22.59,23.02,22.53,22.95,717800,0
20010124,22.55,23.75,22.50,23.55,2802400,0
20010125,23.55,24.02,23.38,23.98,600400,0
20010126,23.75,24.17,23.38,24.14,432000,0
20010129,23.59,24.53,23.50,24.47,602600,0
20010130,23.67,24.55,23.00,23.78,10357600,0
20010131,23.25,23.32,22.45,22.68,6898800,0
20010201,22.75,22.75,22.50,22.50,0,0
20010202,22.50,22.75,22.48,22.57,13561800,0
20010205,22.55,23.25,22.55,23.19,1014400,0
20010206,23.00,23.36,22.95,23.08,20781600,0
20010207,23.02,23.90,23.02,23.75,1694200,0
20010208,23.75,23.85,23.45,23.80,779600,0
20010209,23.75,23.95,23.62,23.85,932800,0
20010212,24.05,25.00,24.04,24.99,1201600,0
20010213,24.90,24.98,24.27,24.85,1061200,0
20010214,24.92,24.95,24.66,24.88,2814600,0
20010215,24.95,25.00,24.60,24.85,806400,0
20010216,24.75,25.00,24.63,25.00,709200,0
20010219,25.00,25.00,25.00,25.00,0,0
20010220,24.88,25.14,24.57,25.11,447600,0
20010221,25.14,26.15,25.14,25.91,1422200,0
20010222,25.91,26.97,25.91,26.77,2697000,0
20010223,26.58,27.00,26.55,26.97,3471800,0
20010226,26.97,27.90,26.97,27.63,1739800,0
20010227,27.63,28.42,27.35,27.59,2498800,0
20010228,27.85,28.08,27.61,28.08,1024000,0
20010301,28.08,28.50,27.67,28.50,1399600,0
20010302,28.50,28.50,27.68,27.95,2010200,0
20010305,27.85,28.50,27.85,28.00,5273200,0
20010306,27.88,28.10,27.25,27.48,1000200,0
20010307,27.25,27.42,26.63,26.94,838200,0
20010308,27.00,28.06,27.00,27.76,1003200,0
20010309,27.69,27.86,27.23,27.82,412200,0
20010312,27.45,27.45,26.39,26.40,1057000,0
20010313,26.40,26.70,25.85,26.39,1732400,0
20010314,26.25,26.25,25.67,26.13,1186400,0
20010315,26.18,26.52,25.89,26.43,501000,0
20010316,26.13,26.75,26.13,26.39,1965400,0
20010319,26.39,26.52,25.62,26.18,4708200,0
20010320,26.60,26.60,25.74,25.85,787000,0
20010321,25.55,26.00,25.39,25.70,759200,0
20010322,25.33,25.33,23.50,24.00,2081000,0
20010323,24.00,24.73,23.92,24.70,1536600,0
20010326,24.85,25.90,24.65,25.88,6762800,0
20010327,25.99,27.05,25.84,26.50,1739400,0
20010328,24.75,26.12,24.66,25.97,1736400,0
20010329,25.92,27.30,25.73,26.10,3038200,0
20010330,26.20,26.45,25.50,26.13,1097000,0
20010402,26.33,26.49,25.55,25.60,1012000,0
20010403,25.55,25.70,24.77,24.91,1270600,0
20010404,24.93,25.35,24.52,25.07,603800,0
20010405,25.10,25.92,25.10,25.83,4607600,0
20010406,25.65,25.90,25.36,25.70,3011000,0
20010409,25.77,26.50,25.75,26.19,1082600,0
20010410,26.75,26.85,25.70,26.08,1516200,0
20010411,25.90,25.93,25.14,25.22,1205800,0
20010412,25.22,26.10,25.22,26.00,867800,0
20010416,26.38,26.67,25.75,26.01,656800,0
20010417,25.65,26.93,25.63,26.90,1279200,0
20010418,27.70,28.00,27.31,27.52,2001400,0
20010419,28.05,28.70,27.84,28.42,2286600,0
20010420,28.43,28.43,27.88,28.30,1013600,0
20010423,27.95,28.39,27.70,27.83,1586000,0
20010424,27.98,28.65,27.90,28.47,1896200,0
20010425,28.80,29.25,28.77,29.13,1634600,0
20010426,29.12,29.48,29.00,29.13,1637800,0
20010427,29.40,29.61,29.05,29.58,12972400,0
20010430,29.70,29.98,29.20,29.65,2038600,0
