DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.2656,4.2891,3.8984,4.1953,10594400,0
20010103,4.1406,5.0000,4.0625,4.9141,15492000,0
20010104,4.7969,5.0469,4.5859,4.6016,9291200,0
20010105,4.6719,4.7422,4.4297,4.4453,6689600,0
20010108,4.3906,4.5781,4.2344,4.5234,5695200,0
20010109,4.5391,4.8320,4.5313,4.7344,4650400,0
20010110,4.6016,5.0000,4.4531,4.9375,7817600,0
20010111,4.9336,5.2266,4.8516,5.1641,7489600,0
20010112,5.1094,5.3984,4.9375,5.3203,9679200,0
20010115,5.3203,5.3203,5.3203,5.3203,0,0
20010116,5.2734,5.3359,5.0625,5.3047,6478400,0
20010117,5.4922,5.6094,5.3438,5.5000,9109600,0
20010118,6.1719,6.3125,6.0781,6.2500,38256000,0
20010119,6.2734,6.3984,6.1719,6.1719,14353600,0
20010122,6.0938,6.2969,6.0313,6.1719,14684000,0
20010123,6.2188,6.2656,6.1250,6.1719,8584800,0
20010124,6.2188,6.6953,6.2109,6.5859,19108800,0
20010125,6.5156,6.5625,6.3047,6.3281,13032800,0
20010126,6.3125,6.3281,6.1875,6.2109,17846400,0
20010129,6.1641,6.5273,6.1563,6.2500,9718400,0
20010130,6.2500,6.5156,6.2188,6.4609,6981600,0
20010131,6.4609,6.7500,6.4063,6.4219,9099200,0
20010201,6.4141,6.5625,6.2578,6.5547,4646400,0
20010202,6.4531,6.4844,5.8828,6.0234,14470400,0
20010205,6.0078,6.0273,5.3906,5.6406,35092800,0
20010206,5.6328,6.1719,5.6094,6.0000,9478400,0
20010207,5.9219,6.0703,5.7500,5.9297,13901600,0
20010208,5.8984,6.3672,5.8984,6.1094,10628000,0
20010209,6.1289,6.3516,6.0625,6.1484,9804800,0
20010212,6.0938,6.2969,6.0781,6.2266,11769600,0
20010213,6.3281,6.4453,6.2109,6.2188,5954400,0
20010214,6.2031,6.3203,6.1719,6.2891,10663200,0
20010215,6.2578,6.7344,6.2578,6.4063,15424000,0
20010216,6.2266,6.3750,6.2031,6.3359,9192000,0
20010219,6.3359,6.3359,6.3359,6.3359,0,0
