DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,30.00,30.00,28.63,29.00,21117,0
20010103,28.88,29.44,27.25,27.44,28915,0
20010104,27.00,27.06,23.50,25.69,63033,0
20010105,25.75,26.13,25.13,26.13,28212,0
20010108,26.13,26.13,25.06,25.81,20874,0
20010109,25.69,26.25,25.38,25.88,38206,0
20010110,25.81,26.00,25.25,25.94,12511,0
20010111,25.94,26.00,25.00,25.63,13501,0
20010112,25.63,25.63,24.44,25.13,82414,0
20010115,25.13,25.13,25.13,25.13,0,0
20010116,25.50,25.63,24.69,25.56,13937,0
20010117,25.63,25.94,24.81,25.13,22694,0
20010118,25.63,25.75,25.13,25.50,15557,0
20010119,25.50,25.56,24.50,24.69,31554,0
20010122,24.69,24.69,24.69,24.69,0,0
20010123,24.56,24.63,23.75,24.25,22541,0
20010124,24.00,25.19,23.75,25.19,167336,0
20010125,25.06,25.94,25.00,25.75,20786,0
20010126,25.94,26.25,25.81,26.25,22147,0
20010129,26.97,28.09,26.00,26.78,1043800,0
20010130,26.78,28.34,26.16,26.69,1712900,0
20010131,26.40,26.97,26.40,26.92,2269800,0
20010201,26.92,27.21,26.30,27.18,917600,0
20010202,27.05,27.25,26.83,27.04,819600,0
20010205,27.05,27.15,26.95,27.07,1071200,0
20010206,27.10,27.30,26.94,27.02,1410500,0
20010207,27.00,27.00,26.50,26.67,2270800,0
20010208,26.80,27.50,26.67,27.39,1522100,0
20010209,28.00,28.00,27.45,27.57,1146100,0
20010212,27.50,27.84,27.30,27.51,1072000,0
20010213,27.70,28.01,27.27,27.75,1153000,0
20010214,27.75,27.75,27.01,27.30,15103300,0
20010215,26.80,27.09,26.60,27.00,2021800,0
20010216,26.90,27.08,26.61,26.85,1312700,0
20010219,26.85,26.85,26.85,26.85,0,0
20010220,27.10,27.48,26.90,27.07,1315100,0
20010221,27.08,27.57,27.01,27.26,1259300,0
20010222,27.35,27.60,26.61,26.97,1722900,0
20010223,27.00,27.29,26.84,27.16,15613700,0
20010226,27.50,27.50,27.13,27.23,1653100,0
20010227,27.00,27.25,26.77,27.07,1000900,0
20010228,27.20,27.33,26.96,27.26,1132000,0
