DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,40.16,40.59,38.81,39.13,7160,0
20010103,37.81,38.00,36.44,36.44,30520,0
20010104,36.31,36.31,33.47,33.63,19010,0
20010105,33.16,33.94,32.75,33.13,18610,0
20010108,33.31,33.66,31.34,31.88,21892,0
20010109,32.38,32.41,31.38,32.19,10134,0
20010110,32.06,32.38,30.81,31.72,6428,0
20010111,32.13,32.59,31.53,31.78,7940,0
20010112,31.94,32.22,31.50,31.78,0,0
20010115,31.78,31.78,31.78,31.78,0,0
20010116,31.50,32.84,31.25,32.72,0,0
20010117,32.84,33.06,31.13,31.69,9076,0
20010118,31.19,31.75,30.75,31.59,0,0
20010119,31.47,31.47,30.81,31.03,12794,0
20010122,31.03,31.03,31.03,31.03,0,0
20010123,31.09,31.41,30.78,31.38,5798,0
20010124,31.50,31.56,30.59,30.69,4784,0
20010125,31.25,32.34,30.75,32.09,0,0
20010126,32.22,32.72,31.72,32.38,0,0
20010129,33.86,34.55,33.23,34.53,0,0
20010130,34.16,35.14,33.73,34.67,0,0
20010131,34.33,34.65,33.88,34.65,0,0
20010201,34.78,35.03,34.43,34.80,539800,0
20010202,34.75,34.80,34.19,34.42,0,0
20010205,34.78,34.81,34.26,34.69,538600,0
20010206,34.96,35.19,34.07,34.19,654800,0
20010207,34.33,35.22,34.30,35.04,637600,0
20010208,35.38,36.20,33.70,33.83,0,0
20010209,33.88,35.40,33.20,34.44,912200,0
20010212,34.56,34.60,34.03,34.33,0,0
20010213,34.15,34.52,34.00,34.52,4233400,0
20010214,34.92,35.14,34.83,34.83,493400,0
20010215,34.38,34.40,34.10,34.27,176000,0
20010216,34.40,34.70,34.40,34.62,446800,0
20010219,34.62,34.62,34.62,34.62,0,0
20010220,34.87,36.00,34.74,35.86,479400,0
20010221,35.83,36.00,35.03,35.97,4334200,0
20010222,35.95,35.96,34.38,34.54,473800,0
20010223,34.60,34.69,33.83,33.88,421200,0
20010226,34.00,34.44,33.78,33.92,410800,0
20010227,33.92,34.15,33.69,34.10,457800,0
20010228,34.20,34.22,32.70,33.47,1107000,0
20010301,33.53,33.67,33.13,33.44,477600,0
20010302,33.25,33.40,33.24,33.39,433000,0
20010305,33.40,33.58,32.83,33.22,2220400,0
20010306,33.24,33.24,32.42,32.64,197200,0
20010307,32.50,32.51,31.35,31.45,1329600,0
20010308,31.58,32.97,31.58,32.91,459400,0
20010309,32.95,33.26,32.53,32.89,501200,0
20010312,32.84,33.25,32.59,32.74,2327000,0
20010313,32.55,32.63,31.80,32.44,328000,0
20010314,32.33,32.42,32.02,32.21,363200,0
20010315,32.24,32.31,31.92,32.17,301600,0
20010316,32.00,32.39,31.82,32.06,499800,0
20010319,32.13,32.20,31.92,32.15,523800,0
20010320,32.13,32.67,32.01,32.15,525400,0
20010321,32.15,32.50,32.00,32.06,517600,0
20010322,32.10,32.26,30.83,31.13,516400,0
20010323,31.20,32.13,31.17,31.89,418000,0
20010326,31.95,32.16,31.42,32.02,152600,0
20010327,31.95,32.04,30.75,31.54,1440600,0
20010328,31.38,32.99,31.35,32.69,287800,0
20010329,32.79,32.79,31.48,31.90,248600,0
20010330,32.16,33.00,31.90,32.72,284200,0
20010402,32.90,34.14,32.90,33.56,313400,0
20010403,33.70,33.70,32.56,32.69,238800,0
20010404,32.68,32.77,31.88,32.72,1053000,0
20010405,32.80,32.83,31.70,31.70,923400,0
20010406,31.65,32.21,30.51,30.51,2664200,0
20010409,30.53,30.53,30.00,30.38,916200,0
20010410,30.63,31.75,30.45,31.18,636600,0
20010411,30.80,30.80,28.86,29.41,8876000,0
20010412,29.41,30.13,29.15,29.65,1427800,0
20010416,29.73,30.69,29.70,30.57,627600,0
20010417,30.44,30.88,30.32,30.50,392400,0
20010418,30.38,30.38,29.70,29.75,886200,0
20010419,29.75,29.95,29.50,29.88,215600,0
20010420,29.80,29.80,29.41,29.51,431200,0
20010423,29.56,30.31,29.56,29.99,2203600,0
20010424,29.86,30.20,29.80,29.87,342400,0
20010425,29.80,30.40,29.65,30.03,483600,0
20010426,29.73,29.73,26.75,27.08,3536400,0
20010427,27.25,27.55,26.00,26.13,5578600,0
20010430,26.55,27.05,25.88,26.00,624000,0
20010501,26.05,26.75,26.05,26.63,685200,0
20010502,26.60,26.60,25.90,26.15,657200,0
20010503,26.05,26.39,26.00,26.36,380000,0
20010504,26.37,26.60,26.17,26.31,2358400,0
20010507,26.18,26.28,25.96,26.06,668400,0
20010508,26.01,26.01,25.48,25.75,735800,0
20010509,25.75,25.96,25.63,25.93,16471800,0
20010510,25.99,26.03,25.83,25.85,54000000,0
20010511,25.83,25.83,25.47,25.69,448400,0
20010514,25.75,26.20,25.73,26.17,411400,0
